,name,address,city,postal_code,phone,fax,grades,program
18,St. John Brebeuf School #1729,605 Renfrew Street,Winnipeg,R3N 1J8,(204) 489-2115,(204) 928-7455,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
19,St. Mary's Academy #1478,550 Wellington Crescent,Winnipeg,R3M 0C1,(204) 477-0244,(204) 453-2417,7 to 12,"English, French: Communication and Culture - Grades 4-12"
20,St. Maurice School #1232,1639 Pembina Highway,Winnipeg,R3T 2G6,(204) 453-4020,(204) 452-4050,K to 12,"Early Start French, English, French: Communication and Culture - Grades 4-12"
21,St. Paul's High School #1832,2200 Grant Avenue,Winnipeg,R3P 0P8,(204) 831-2300,(204) 831-2340,9 to 12,"English, French: Communication and Culture - Grades 4-12"
22,Acadia Colony School #2202,Box 358,Carberry,R0K 0H0,(204) 834-3524,() -,K to 12,English
23,Brookdale School #1117,General Delivery,Brookdale,R0K 0G0,(204) 354-2166,(204) 354-2346,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
24,Carberry Collegiate #1434,Box 518,Carberry,R0K 0H0,(204) 834-2172,(204) 834-3440,5 to 12,"English, French: Communication and Culture - Grades 4-12"
25,Fairway Colony School #2098,P.O.Box 330,Douglas,R0K 0R0,(204) 763-4103,() -,K to 12,English
26,Hazel M. Kellington School #1292,Box 696,Neepawa,R0J 1H0,(204) 476-2323,(204) 476-3449,K to 4,"Early Start French, English, French: Communication and Culture - Grades 4-12"
27,J. M. Young School #1184,General Delivery,Eden,R0J 0M0,(204) 966-3487,(204) 966-3508,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
28,Neepawa Area Collegiate #1573,Box 430,Neepawa,R0J 1H0,(204) 476-3305,(204) 476-2765,9 to 12,"English, French: Communication and Culture - Grades 4-12"
29,Neepawa Middle School #2320,Box 1510,Neepawa,R0J 1H0,(204) 704-3000,(204) 000-0000,5 to 8,"English, French: Communication and Culture - Grades 4-12"
30,R. J. Waugh Elementary #1645,Box 639,Carberry,R0K 0H0,(204) 834-2828,(204) 834-3749,K to 4,"Early Start French, English, French: Communication and Culture - Grades 4-12"
31,Riverbend Colony School #1574,Riverbend Colony Box 344,Carberry,R0K 0H0,(204) 834-2266,(204) 834-3590,K to 12,English
32,Riverside Colony School #1734,Riverside Colony Box 1360,Neepawa,R0J 1H0,(204) 368-2263,(204) 368-2221,K to 12,English
33,Rolling Acres School #2236,Box 38,Birnie,R0J 0J0,(204) 966-3496,() -,K to 12,English
34,Spruce Wood School #1221,Spruce Wood Colony,Brookdale,R0K 0G0,(204) 354-2259,(204) 354-2008,K to 12,English
35,Twilight Colony School #2127,Box 2380,Neepawa,R0J 1H0,(204) 476-8837,(204) 476-3101,K to 12,English
36,Willerton School #1311,Springhill Colony Box 1930,Neepawa,R0J 1H0,(204) 476-2740,(204) 476-5713,K to 12,English
37,Blue Clay Colony School #2086,Box 220,Dominion City,R0A 0H0,(204) 427-2315,(204) 427-3398,K to 12,English
38,Emerson Elementary #1177,Box 422,Emerson,R0A 0L0,(204) 373-2624,(204) 373-2234,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
39,Glenway Colony School #1380,Glenway Colony Box 291,Dominion City,R0A 0H0,(204) 427-2223,(204) 427-2205,K to 12,English
40,Green Ridge School #2290,Box 156,Dominion City,R0A 0H0,(204) 427-3827,(204) 427-3879,K to 12,English
41,Gretna Elementary #1786,Box 90,Gretna,R0G 0V0,(204) 327-5344,(204) 327-5266,K to 8,"English, French: Communication and Culture - Grades 4-12"
42,Horizon Colony School #2286,120 - 9th Street Nw,Altona,R0G 0B1,(204) 829-3226,(204) 829-3241,K to 12,English
43,Pineland Colony School #2122,Box 39,Piney,R0A 1K0,(204) 423-2069,(204) 423-2022,K to 12,English
44,Regional Alternative Education Centre #2181,120 9th Street N.W.,Altona,R0G 0B1,(204) 324-6543,() -,9 to 12,English
45,Ridgeville Colony School #2123,Box 10,Dominion City,R0A 0H0,(204) 373-2645,(204) 373-2652,K to 12,English
46,Roseau Valley School #1658,Box 176,Dominion City,R0A 0H0,(204) 427-2143,(204) 427-2615,K to 12,"Early Start French, English, French: Communication and Culture - Grades 4-12"
47,Rosenfeld Elementary #1344,Box 33,Rosenfeld,R0G 1X0,(204) 324-8438,(204) 324-6394,K to 6,"English, French: Communication and Culture - Grades 4-12"
48,Ross L. Gray School #1059,General Delivery,Sprague,R0A 1Z0,(204) 437-2175,(204) 437-2893,K to 12,"Early Start French, English, French: Communication and Culture - Grades 4-12"
49,Shevchenko School #1551,Box 1000,Vita,R0A 2K0,(204) 425-3535,(204) 425-3064,K to 12,"English, French: Communication and Culture - Grades 4-12, Intensive French (English Program)"
50,W. C. Miller Collegiate #1778,181 - 6th Street S.E.,Altona,R0G 0B3,(204) 324-6416,(204) 324-8525,9 to 12,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
51,cole Elmwood School #1730,27 - 4th Street S.W.,Altona,R0G 0B2,(204) 324-8611,(204) 324-8167,K to 3,"Early Immersion, English"
52,cole Parkside School #1721,155 - 5th Street N.W.,Altona,R0G 0B1,(204) 324-8206,(204) 324-8172,7 to 8,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
53,cole West Park School #1533,83 - 3rd Street N.W.,Altona,R0G 0B1,(204) 324-5319,(204) 324-5229,4 to 6,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
54,Alexander School #1901,Box 21,Alexander,R0K 0A0,(204) 752-2251,(204) 752-2395,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
55,Betty Gibson School #1325,701 - 12th Street,Brandon,R7A 6H7,(204) 729-3965,(204) 729-3969,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
56,Crocus Plains Regional Secondary #1302,1930 - 1st Street,Brandon,R7A 6Y6,(204) 729-3900,(204) 727-2162,9 to 12,"English, French: Communication and Culture - Grades 4-12"
57,Earl Oxford School #1371,540 - 18th Street,Brandon,R7A 5B2,(204) 729-3270,(204) 729-3278,K to 8,"English, French: Communication and Culture - Grades 4-12"
58,George Fitton School #1007,1129 - 3rd Street,Brandon,R7A 3E7,(204) 729-3220,(204) 727-7674,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
59,Green Acres School #1112,335 Queens Avenue East,Brandon,R7A 2B9,(204) 729-3265,(204) 729-0345,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
60,J. R. Reid School #1270,813 - 26th Street,Brandon,R7B 2B6,(204) 729-3955,(204) 729-3958,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
61,King George School #1660,535 Park Street,Brandon,R7A 6M6,(204) 729-3990,(204) 729-3996,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
62,Kirkcaldy Heights School #1987,10 Knowlton Drive,Brandon,R7A 6N7,(204) 729-3290,(204) 729-3295,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
63,Linden Lanes School #1631,49 Silver Birch Drive,Brandon,R7B 1A8,(204) 729-3260,(204) 729-3264,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
64,Maryland Park School #2327,700 Maryland Avenue,Brandon,R7A 7X9,(204) 725-7770,(204) 000-0000,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
65,Meadows School #1706,1220 - 22nd Street,Brandon,R7B 1T4,(204) 729-3988,(204) 729-3970,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
66,Neelin High #1758,1020 Brandon Avenue,Brandon,R7A 1K6,(204) 729-3180,(204) 726-5813,9 to 12,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
67,New Era School #1215,527 Louise Avenue,Brandon,R7A 0X1,(204) 729-3161,() -,K to 8,"Early Immersion, Early Start French, English, French: Communication and Culture - Grades 4-12"
68,O'Kelly School #1845,Box 70 C.F.B.Shilo,Shilo,R0K 2A0,(204) 729-0399,(204) 765-2589,K to 8,"Early Immersion, Early Start French, English, French: Communication and Culture - Grades 4-12"
69,Prairie Hope High School #2321,Unit A 638 Princess Avenue,Brandon,R7A 0PE,(204) 725-2630,(204) 725-3920,9 to 12,English
70,Riverheights School #1604,32 E Fotheringham Drive,Brandon,R7B 3G3,(204) 729-3210,(204) 729-3213,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
71,Riverview School #1603,1105 Louise Avenue East,Brandon,R7A 1Y2,(204) 729-0330,(204) 729-0334,K to 6,"Early Start French, English, French: Communication and Culture - Grades 4-12"
72,Spring Valley Colony School #1037,Spring Valley Colony C/O 1031-6th Street,Brandon,R7A 4K5,(204) 729-0320,(204) 727-2217,K to 12,English
73,St. Augustine School #1593,330 3rd St,Brandon,R7A 3C3,(204) 729-3285,(204) 729-3286,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
84,Christ The King School #1482,12 Lennox Avenue,Winnipeg,R2M 1A6,(204) 257-0027,(204) 257-2129,N to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
85,Holy Cross School #1549,300 Dubuc Street,Winnipeg,R2H 1E4,(204) 237-4936,(204) 237-7433,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
86,Immaculate Heart Of Mary School #1523,650 Flora Avenue,Winnipeg,R2W 2S5,(204) 582-5698,(204) 586-6698,N to 8,"English, French: Communication and Culture - Grades 4-12, Ukrainian"
87,St. Alphonsus School #1087,343 Munroe Avenue,Winnipeg,R2K 1H2,(204) 667-6271,(204) 663-4187,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
88,St. Boniface Diocesan High School #1257,282 Dubuc Street,Winnipeg,R2H 1E4,(204) 987-1560,(204) 237-9891,9 to 12,"English, French: Communication and Culture - Grades 4-12"
89,St. Emile School #1791,552 St. Anne'S Road,Winnipeg,R2M 3G4,(204) 989-5020,(204) 989-5026,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
90,St. Gerard School #1562,40 Foster Street,Winnipeg,R2L 1V7,(204) 667-4862,(204) 668-7932,N to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
91,St. Joseph The Worker School #1756,505 Brewster Street,Winnipeg,R2C 2W6,(204) 222-1841,(204) 222-1769,N to 6,"Early Start French, English, French: Communication and Culture - Grades 4-12"
92,Centre Scolaire Lo-Rmillard #2255,1095 Chemin Sainte-Anne,Winnipeg,R2N 4G5,(204) 256-2831,(204) 256-3848,9 to 12,Francais
93,Cntr D'Apprentissage Franco-Manitobain #2262,585 Rue St. Jean-Baptiste,Winnipeg,R2H 2Y2,(204) 237-8927,(204) 235-0139,9 to 12,Francais
94,Collge Louis-Riel #1287,585 Rue St-Jean-Baptiste,Saint-Boniface,R2H 2Y2,(204) 237-8927,(204) 235-0139,7 to 12,Francais
95,cole Christine-Lesprance #1332,425 Chemin John Forsyth,Winnipeg,R2N 4J3,(204) 255-2081,(204) 257-2545,M to 8,Francais
96,cole Communautaire Aurle-Lemoine #2078,"Case Postale 900 81, Chem.Des Anc. Combattants",Saint-Laurent,R0C 2S0,(204) 646-2392,(204) 646-2235,M to 12,Francais
97,cole Communautaire Gilbert-Rosset #2147,Case Postale 147 108 Avenue Bériault,Saint-Claude,R0G 1Z0,(204) 379-2177,(204) 379-2166,N to 12,Francais
98,cole Communautaire La Voie Du Nord #2267,Case Postale 1223 Station Main 271 Chemin Weir,Thompson,R8N 1P1,(204) 778-8699,(204) 778-5465,M to 12,Francais
99,cole Communautaire Ral-Brard #1870,Case Postale 490 377 Rue Sabourin,Saint-Pierre-Jolys,R0A 1V0,(204) 433-7706,(204) 433-3086,M to 12,Francais
100,cole Communautaire Saint-Georges #2091,Case Postale 159 14 Baie Caron,Saint-Georges,R0E 1V0,(204) 367-4224,(204) 367-4680,N to 12,Francais
101,cole Jours De Plaine #2104,Case Postale 135 283 - Route Prov. 480,Laurier,R0J 1A0,(204) 447-3364,(204) 447-2954,N to 12,Francais
102,cole La Source #2231,Case Postale 240 T-102 Avenue St. Barbara,Shilo,R0K 2A0,(204) 765-5050,(204) 765-2187,M to 12,Francais
103,cole Lacerte #1180,1101 Promenade Autumnwood,Saint-Boniface,R2J 1C8,(204) 256-4384,(204) 254-7855,M to 8,Francais
104,cole Lagimodire #1770,Case Postale 130 361 Rue Senez,Lorette,R0A 0Y0,(204) 878-3621,(204) 878-2866,M to 8,Francais
105,cole Nord-Est #2329,"851, Chemin Panet",Winnipeg,R2K 4C,(204) 878-4424,(204) 000-0000,M to 1,Francais
106,cole Nol-Ritchot #1204,45 Avenue De La Digue,Saint-Norbert,R3V 1M7,(204) 261-0380,(204) 269-1704,M to 8,Francais
107,cole Pointe-Des-Chnes #1648,90 Chemin Arena,Sainte-Anne,R5H 1G6,(204) 422-5505,(204) 422-9934,M to 12,Francais
108,cole Prcieux-Sang #1887,209 Rue Kenny,Saint-Boniface,R2H 2E5,(204) 233-4327,(204) 233-9109,M to 8,Francais
109,cole Romo-Dallaire #2211,81 Chemin Quail Ridge,Winnipeg,R2Y 2A9,(204) 885-8000,(204) 885-8005,M to 8,Francais
110,cole Rgionale Notre-Dame #1671,Case Postale 250 45 Avenue Notre-Dame Ouest,N.-D.-De-Lourdes,R0G 1M0,(204) 248-2147,(204) 248-2371,M to 12,Francais
111,cole Rgionale Saint-Jean-Baptiste #1152,"Case Postale 130 113, 2e Avenue",Saint-Jean-Baptiste,R0G 2B0,(204) 758-3501,(204) 758-3243,M to 12,Francais
122,Brandon School Division Summer School #2233,C/O Crocus Plains High School 1930 - 1st Street,Brandon,R7A 6Y6,(204) 729-3900,(204) 727-2162,9 to 12,English
123,Distance Learning Unit #2112,Main Plaza 555 Main Street,Winkler,R6W 1C4,(204) 325-9652,(0) -,9 to 12,English
124,Inform Net #2305,181 Henlow Bay,Winnipeg,R3Y 1M7,(204) 888-7957,(204) 831-0859,9 to 12,English
125,Nelson Mcintyre Coll. Summer School #2013,188 St. Mary'S Road,Winnipeg,R2H 1H9,(204) 237-0219,(204) 237-1615,9 to 12,English
126,Red River College #2016,C 116-2055 Notre Dame Avenue,Winnipeg,R3H 0J9,(204) 694-1789,(204) 633-6489,00 to 00,English
127,Seven Oaks S.D. Summer School #2099,C/O Maples Coll. I.T. Centre 2nd Floor-1330 Jefferson Ave.,Winnipeg,R2P 1L3,(204) 927-3700,(204) 927-3705,9 to 12,English
128,St. James-Assiniboia Summer School #2008,St. James Collegiate 1900 Portage Avenue,Winnipeg,R3J 0J1,(204) 888-4867,(204) 889-0830,9 to 12,English
129,Turtle Mountain Sch. Div. Summer School #2140,Box 280,Killarney,R0K 1G0,(204) 523-4492,(204) 523-4054,9 to 12,English
130,Univ. Of Winnipeg Coll. Summer School #2011,2w04-515 Portage Avenue,Winnipeg,R3B 2E9,(204) 786-9221,(204) 775-1942,10 to 12,English
131,Wapaskwa Virtual Collegiate #2289,C/O Mfnerc 2 - 1100 Waverley Street,Winnipeg,R3T 3X9,(204) 594-1290,(204) 942-2490,7 to 12,English
132,Winnipeg S.D. Summer School #2009,401 Church Avenue,Winnipeg,R2W 1C4,(204) 586-5015,(0) -,10 to 12,English
133,Arborg Collegiate #1587,Box 220 461 St. Peter Street,Arborg,R0C 0A0,(204) 376-2605,(204) 376-5160,9 to 12,"English, French: Communication and Culture - Grades 4-12"
134,Arborg Early/Middle Years School #1423,Box 670,Arborg,R0C 0A0,(204) 376-5054,(204) 376-2958,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
135,Dr. George Johnson Middle School #1300,Box 1170,Gimli,R0C 1B0,(204) 642-8581,(204) 642-8281,5 to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
136,Gimli High School #1368,Box 1260,Gimli,R0C 1B0,(204) 642-8546,(204) 642-5063,9 to 12,"English, French: Communication and Culture - Grades 4-12"
137,Riverton Collegiate #1857,Box 749,Riverton,R0C 2R0,(204) 378-5135,(204) 378-5201,8 to 12,"English, French: Communication and Culture - Grades 4-12"
138,Riverton Early Middle Years School #2133,Box 280,Riverton,R0C 2R0,(204) 378-5145,(204) 378-2964,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
139,Sigurbjorg Stefansson Early School #2212,Box 7500,Gimli,R0C 1B0,(204) 642-1500,(204) 642-1468,K to 4,"Early Start French, English, French: Communication and Culture - Grades 4-12"
140,Winnipeg Beach School #1601,Box 130,Winnipeg Beach,R0C 3G0,(204) 389-2176,(204) 389-3864,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
141,'72 Memorial High School #2135,General Delivery,Oxford House,R0B 1C0,(204) 538-2020,(204) 538-2075,7 to 12,English
142,Abbalak Thunderswift Memorial School #1387,Box 160,Little Grand Rapids,R0B 0V0,(204) 397-2199,(204) 397-2102,N to 9,"Bilingual, English"
143,Amos Okemow Memorial School #1668,Box 103,God'S River,R0B 0N0,(204) 366-2070,(204) 366-2105,N to 11,English
144,Anicinabe Community School #1329,Box 219,Pine Falls,R0E 1M0,(204) 367-2285,(204) 367-9231,N to 3,English
145,Charles Sinclair School #1969,Box 109,Koostatak,R0C 1S0,(204) 645-2206,(204) 645-2614,N to 6,English
146,Chemawawin School #1058,Box 10,Easterville,R0C 0V0,(204) 329-2115,(204) 329-2214,N to 12,English
147,Chief Charles Thomas Audy Memorial Sch. #2090,Box 307,Birch River,R0L 0E0,(204) 236-4783,(204) 236-4779,N to 8,English
148,Chief Clifford Lynxleg Anishinabe School #1937,Valley River Reserve,Shortdale,R0L 1W0,(204) 546-2641,(204) 546-3120,N to 7,English
149,Chief Sam Cook Mahmuwee Education Centre #2038,General Delivery,Split Lake,R0B 1P0,(204) 342-2295,(204) 342-2139,N to 12,English
150,Donald Ahmo School #2060,General Delivery,Crane River,R0L 0M0,(204) 732-2548,(204) 732-2753,N to 8,English
151,Ebb And Flow School #1240,General Delivery,Ebb And Flow,R0L 0R0,(204) 448-2012,(204) 448-2393,N to 12,English
152,Fisher River High School #2315,"P.O. Box 360, Lot 78",Fisher River,R0C 1S0,(204) 645-3313,(204) 645-3364,7 to 12,English
153,Fox Lake School #2082,P.O. Box 279,Gillam,R0B 0L0,(204) 486-2307,(204) 486-2606,N to 8,English
154,Garden Hill First Nations High School #2092,General Delivery,Island Lake,R0B 0T0,(204) 456-2886,(204) 456-2894,7 to 12,English
155,George Knott School #2067,General Delivery,Waasagomach,R0B 1Z0,(204) 457-2485,(204) 457-2273,N to 12,English
156,George Saunders Memorial School #1314,General Delivery P.O. Box 255,York Landing,R0B 2B0,(204) 341-2118,(204) 341-2235,N to 8,English
157,Ginew School #1912,Box 10,Ginew,R0A 2R0,(204) 427-2490,(204) 427-2398,N to 8,English
158,God's Lake Narrows First Nation School #2080,General Delivery,God'S Lake Narrows,R0B 0M0,(204) 335-2003,(204) 335-2440,N to 9,English
159,Indian Springs School #1068,Box 145,Swan Lake,R0G 2S0,(204) 836-2332,(204) 836-2317,N to 8,English
160,Isaac Beaulieu Memorial #1402,Marius Post Office,Marius,R0H 0T0,(204) 843-2407,(204) 843-2269,N to 12,English
201,Hapnot Collegiate #1865,115 Green Street,Flin Flon,R8A 0P7,(204) 687-7506,(204) 687-8667,9 to 12,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
202,Many Faces Education Centre #2085,115 Green Street,Flin Flon,R8A 0P7,(204) 687-6354,(204) 687-5116,9 to 12,English
203,Many Faces Education Centre Alc #2249,115 Green Street,Flin Flon,R8A 0P7,(204) 687-6354,(204) 687-5116,9 to 12,English
204,Ruth Betts Community School #1736,9 Terrace Avenue,Flin Flon,R8A 1S2,(204) 687-7538,(204) 687-5131,K to 8,"English, French: Communication and Culture - Grades 4-12"
205,cole Mcisaac School #1178,336 Princess Boulevard,Flin Flon,R8A 0K8,(204) 687-7578,(204) 687-5145,K to 8,"Early Immersion, English, French: Communication and Culture - Grades 4-12"
206,Boundary Lane Colony School #2121,Box 164,Elkhorn,R0M 0N0,(204) 845-2662,(204) 845-2576,K to 12,English
207,Elkhorn School #1476,Box 310,Elkhorn,R0M 0N0,(204) 845-2118,(204) 845-2476,K to 12,"Early Start French, English"
208,Goulter School #1224,Box 1090,Virden,R0M 2C0,(204) 748-2294,(204) 748-1803,K to 4,"English, French: Communication and Culture - Grades 4-12"
209,Kola School #1672,Box 312,Kola,R0M 1B0,(204) 556-2347,(204) 556-2425,1 to 8,English
210,Mary Montgomery School #1902,Box 700,Virden,R0M 2C0,(204) 748-2575,() -,K to 4,"English, French: Communication and Culture - Grades 4-12"
211,Oak Lake Community School #1711,Box 7,Oak Lake,R0M 1P0,(204) 855-2242,(204) 855-2906,K to 8,"Early Start French, English, French: Communication and Culture - Grades 4-12"
212,Plainview Colony School #1313,Plainview Colony Box 59,Elkhorn,R0M 0N0,(204) 845-2273,(204) 845-2127,K to 12,English
213,Reston School #1427,Box 160,Reston,R0M 1X0,(204) 877-3994,(204) 877-3101,K to 12,English
214,Virden Collegiate #1043,Box 1418,Virden,R0M 2C0,(204) 748-2205,(204) 748-3555,9 to 12,"English, French: Communication and Culture - Grades 4-12"
215,Virden Junior High #1567,Box 1510,Virden,R0M 2C0,(204) 748-1932,(204) 748-1944,5 to 8,"English, French: Communication and Culture - Grades 4-12"
216,Barrows Junction School #1820,General Delivery,Barrows Junction,R0L 0B0,(204) 545-6246,(204) 545-6228,N to 9,English
217,Berens River School #1680,Box 344,Berens River,R0B 0A0,(204) 382-2153,(204) 382-2422,N to 9,English
218,Black River Anishinabe School #1408,General Delivery,O'Hanley,R0E 1K0,(204) 367-8298,(204) 367-2266,N to 10,English
219,Brochet School #1522,Box 70,Brochet,R0B 0B0,(204) 323-2051,(204) 323-2053,N to 9,English
220,Chan Kagha Otina Dakota Wayawa Tipi Sch. #1934,Box 40,Beulah,R0M 0B0,(204) 568-4757,(204) 568-4762,N to 12,English
221,Cold Lake School #1031,General Delivery,Sherridon,R0B 1L0,(204) 468-2021,(204) 468-2039,K to 8,English
222,Cormorant Lake School #1839,General Delivery,Cormorant,R0B 0G0,(204) 357-2225,(204) 357-2178,N to 10,English
223,Cranberry Portage Elementary #1595,General Delivery,Cranberry Portage,R0B 0H0,(204) 472-3250,(204) 472-3622,N to 8,English
224,D. R. Hamilton School #1008,Box 70,Cross Lake,R0B 0J0,(204) 676-2278,(204) 676-2045,N to 9,English
225,Dauphin River School #1968,Box 140,Gypsumville P.O.,R0C 1J0,(204) 659-5268,(204) 659-5790,N to 8,English
226,Duck Bay School #1788,Box 123,Duck Bay,R0L 0N0,(204) 524-2394,(204) 524-2267,N to 9,English
227,Duke Of Marlborough School #1904,Box 338,Churchill,R0B 0E0,(204) 675-2737,(204) 675-2617,N to 12,English
228,Falcon Beach School #1984,Box 70,Falcon Lake,R0E 0N0,(204) 349-2295,(204) 349-2274,N to 10,English
229,Frontier Collegiate #1852,General Delivery,Cranberry Portage,R0B 0H0,(204) 472-3431,(204) 472-3191,9 to 12,English
230,Frontier Mosakahiken School #1528,General Delivery,Moose Lake,R0B 0Y0,(204) 678-2353,(204) 678-2312,N to 12,English
231,Frontier S.D. Adult Education Program #2206,30 Speers Road,Winnipeg,R2J 1L9,(204) 258-2722,(204) 258-2063,9 to 12,English
232,Gillam School #1024,Box 370,Gillam,R0B 0L0,(204) 652-2193,(204) 652-2150,N to 12,English
233,Grand Rapids School #1278,General Delivery,Grand Rapids,R0C 1E0,(204) 639-2451,(204) 639-2605,N to 12,English
234,Gypsumville School #2021,General Delivery,Gypsumville,R0C 1J0,(204) 659-4475,(204) 659-5708,K to 8,English
235,Helen Betty Osborne Ininiw Edu. Res. Ctr #2232,Box 790,Norway House,R0B 1B0,(204) 359-4100,(204) 359-4803,N to 12,English
266,Blumenfeld School #1334,Border Valley Unit Box 1510,Winkler,R6W 4B4,(204) 325-7208,(204) 325-0050,1 to 8,English
267,Border Valley Elementary #1444,Border Valley Unit Box 1510,Winkler,R6W 4B4,(204) 325-8674,(204) 325-5559,K to 8,English
268,Edelweiss School #1107,Plum Coulee Unit Box 108,Plum Coulee,R0G 1R0,(204) 829-3973,(204) 829-3632,K to 12,English
269,Emerado Centennial #2248,675 Prairieview Drive,Winkler,R6W 1M5,(204) 331-4533,(204) 331-3656,4 to 8,"English, French: Communication and Culture - Grades 4-12"
270,Garden Valley Collegiate #1565,736 Main Street,Winkler,R6W 4C8,(204) 325-8008,(204) 325-5894,9 to 12,"English, French: Communication and Culture - Grades 4-12"
271,Hochfeld School #1339,C/O Southwood Unit 224 Hespeler Avenue E.,Schanzenfeld,R6W 1K3,(204) 325-8592,(204) 325-1095,1 to 8,English
272,J. R. Walkof Elementary #1544,800 Southview Drive,Winkler,R6W 4E1,(204) 325-7765,(204) 325-5903,K to 3,English
273,Northlands Parkway Collegiate #2285,139 Northlands Parkway East,Winkler,R6W 0E9,(204) 325-8200,(204) 325-8600,9 to 12,"English, French: Communication and Culture - Grades 4-12"
274,Parkland Elementary School #2053,1100 Roblin Blvd,Winkler,R6W 1G2,(204) 325-6373,(204) 325-4066,K to 8,"English, French: Communication and Culture - Grades 4-12"
