name,source_facility_type,source_id,full_address,provider
Chinook Helicopters (1982) Ltd.,Private Institution,APHN,"30720 Rotor Drive, Abbotsford, British Columbia, Canada, (604) 855-1100",Employment and Social Development Canada
Vancouver Film School,Private Institution,APHO,"200 - 198 W Hasting Street, Vancouver, British Columbia, Canada, (604) 685-5808",Employment and Social Development Canada
Canadian Tourism College - Surrey,Private Institution,APIC,"320 - 10362 King George Hwy, Surrey, British Columbia, Canada, (604) 582-1122",Employment and Social Development Canada
"CDI College of Business, Technology & Healthcare - Surrey",Private Institution,APIM,"100-11125 124th Street, Surrey, British Columbia, Canada, (604) 585-8585",Employment and Social Development Canada
"CDI College of Business, Technology & Healthcare - Burnaby",Private Institution,APIN,"500 - 5021 Kingsway, Burnaby, British Columbia, Canada, (604) 850-8585",Employment and Social Development Canada
Pacific Horticulture College,Private Institution,APIQ,"505 Quayle Rd., Victoria, British Columbia, Canada, (250) 479-3210",Employment and Social Development Canada
Vancouver College of Counsellor Training,Private Institution,APIX,"503 333 Terminal Ave, Vancouver, British Columbia, Canada, (604) 683-2442",Employment and Social Development Canada
Diving Dynamics,Private Institution,APJL,"1884 AMBROSI ROAD, Kelowna, British Columbia, Canada, (250) 861-1848",Employment and Social Development Canada
Kosmetae Academy,Private Institution,APJS,"3 - 32700 GEORGE FERGUSON WAY , Abbotsford, British Columbia, Canada, 850-5777",Employment and Social Development Canada
Academy of Learning-Richmond,Private Institution,APKU,"#220 4351 No. 3 Road, Richmond, British Columbia, Canada, (604) 270-3907",Employment and Social Development Canada
Granville College,Private Institution,APLG,"725 - 570 Dunsmuir Street, Vancouver, British Columbia, Canada, (604) 683-8850",Employment and Social Development Canada
Academy of Learning - Westshore,Private Institution,APLQ,"715 Goldstream Avenue, Langford, British Columbia, Canada, (250) 391-6020",Employment and Social Development Canada
Academy of Learning - Broadway Stn Vancouver,Private Institution,APLV,"302 2555 Commercial Drive, Vancouver, British Columbia, Canada,",Employment and Social Development Canada
Academy of Learning - Nanaimo,Private Institution,APMT,"7 - 1551 Esteven Road, PO Box 8860, Nanaimo, British Columbia, Canada, (250) 753-4220",Employment and Social Development Canada
Vancouver Career College - Abbotsford,Private Institution,APMW,"2121 Clearbrook Road, Abbotsford, British Columbia, Canada, (604) 850-3523",Employment and Social Development Canada
Vancouver Career College - Vancouver,Private Institution,APNE,"1100 - 626 West Pender Street, Vancouver, British Columbia, Canada, (604) 915-9675",Employment and Social Development Canada
Academy of Learning - Kamloops,Private Institution,APNG,"699 Victoria St., Kamloops, British Columbia, Canada, (250) 372-5429",Employment and Social Development Canada
Sprott Shaw College - New Westminster,Private Institution,APNI,"88 - 6th Street, Unit 420, New Westminster, British Columbia, Canada, (604) 520-3900",Employment and Social Development Canada
Academy of Learning - Abbotsford,Private Institution,APNT,"204-2692 Clearbrook Road, Abbotsford, British Columbia, Canada,",Employment and Social Development Canada
Sprott Shaw College - Surrey,Private Institution,APNZ,"3-13678 100th Avenue, Surrey, British Columbia, Canada, (604) 583-1004",Employment and Social Development Canada
West Coast College of Health Care,Private Institution,APOD,"204 - 9648 128 Street, Surrey, British Columbia, Canada, (604) 951-6644",Employment and Social Development Canada
Automotive Training Centre,Private Institution,APOF,"12160 88th avenue, Surrey, British Columbia, Canada, (604) 635-2239",Employment and Social Development Canada
Tzu Chi International College of Traditional Chinese Medicine,Private Institution,APOG,"201 - 1508 W Broadway, Vancouver, British Columbia, Canada, (604) 731-2926",Employment and Social Development Canada
Heli College Canada Training Inc.,Private Institution,APOP,"5333 - 216th Street, Hanger 2, Langley, British Columbia, Canada, (604) 530-3812",Employment and Social Development Canada
Hilltop Academy - New Westminster,Private Institution,APOU,"215-810 Quayside Drive, New Westminster, British Columbia, Canada, (604) 553-0505",Employment and Social Development Canada
Hair Art Academy,Private Institution,APOZ,"104-20238 Frasher Highway, Langley, British Columbia, Canada, (604) 427-3288",Employment and Social Development Canada
Excel Career College - Courtenay,Private Institution,APPI,"201 - 841 Cliffe Avenue, Courtenay, British Columbia, Canada, (250) 334-2452",Employment and Social Development Canada
Okanagan Valley College of Massage Therapy,Private Institution,APPL,"200, 3400 - 30th Avenue, Vernon, British Columbia, Canada, (250) 558-3718",Employment and Social Development Canada
Kutenai Art Therapy Institute,Private Institution,APPU,"191 Baker Street, Nelson, British Columbia, Canada, (250) 352-2264",Employment and Social Development Canada
Academy of Learning - Langley,Private Institution,APPX,"201-20621 Logarn Avenue, Langley, British Columbia, Canada, (604) 532-4040",Employment and Social Development Canada
Vancouver Institute of Media Arts (VANARTS),Private Institution,APQJ,"600-570 Dunsmuir Street, Vancouver, British Columbia, Canada, (604) 682-2787",Employment and Social Development Canada
Canadian Health Care Academy - Surrey,Private Institution,APQU,"202-10252 City Parkway, Surrey, British Columbia, Canada, (604) 540-2421",Employment and Social Development Canada
Kootenay Columbia College of Integrative Health Sciences,Private Institution,APQY,"2 - 560 Baker Street, Nelson, British Columbia, Canada, (250) 352-5887",Employment and Social Development Canada
Langley Flying School Inc.,Private Institution,APQZ,"Langley Airport, 110 - 5385 216 Street, Langley, British Columbia, Canada, (604)532-6461",Employment and Social Development Canada
Rhodes Wellness College,Private Institution,APRA,"280 - 1125 Howe St, Vancouver, British Columbia, Canada, (604) 708-4416",Employment and Social Development Canada
Northwest Culinary Academy of Vancouver,Private Institution,APRJ,"2725 Main Street, Vancouver, British Columbia, Canada, (604) 876-7653",Employment and Social Development Canada
Canadian Outdoor Leadership Training,Private Institution,APRM,"Box 2160, Campbell River, British Columbia, Canada, (250) 286-3122",Employment and Social Development Canada
Vancouver College of Massage Therapy (VCMT),Private Institution,APRS,"3rd Floor 1050 West Pender St, Vancouver, BC, British Columbia, Canada, (604) 681-4450",Employment and Social Development Canada
Vancouver Academy of Dramatic Arts,Private Institution,APRT,"900 Helmcken St, Vancouver, British Columbia, Canada, (604) 633-1525",Employment and Social Development Canada
Academy of Learning - Surrey,Private Institution,APRX,"102-13753 72nd Ave, Surrey, British Columbia, Canada, (604) 598-3555",Employment and Social Development Canada
Adler University,Private Institution,APRY,"520 Seymour Street, Vancouver , British Columbia, Canada, (236) 521-2418",Employment and Social Development Canada
Orca Institute,Private Institution,APRZ,"#1202 1255 Bidwell St., Vancouver, British Columbia, Canada,",Employment and Social Development Canada
Academy of Learning - Kelowna,Private Institution,APSB,"240A - 1640 Leckie Road, Kelowna, British Columbia, Canada, (250) 868-3688",Employment and Social Development Canada
Vancouver Island School of Art,Private Institution,APSC,"950 KINGS ROAD, Victoria, BC, British Columbia, Canada, (250) 380-3500",Employment and Social Development Canada
Fairleigh Dickinson University - Vancouver,Private Institution,APSE,"842 Cambie street, Vancouver, British Columbia, Canada, (604) 682-8112 (877) 338-8002",Employment and Social Development Canada
SAE Institute,Private Institution,APSK,"122-998 Harbourside Drive, North Vancouver , British Columbia, Canada, (604) 980-2882",Employment and Social Development Canada
BC Helicopters Ltd.,Private Institution,APSX,"1404 Townline Rd, Langley, British Columbia, Canada, (604) 639-9090",Employment and Social Development Canada
Body Glamour Institute of Beauty by Anita,Private Institution,APTB,"1919 Lonsdale Avenue, North Vancouver, British Columbia, Canada, (604) 904-4111",Employment and Social Development Canada
Sprott Shaw College School of Trade,Private Institution,APTF,"3216 Betta Avenue, Burnaby, British Columbia, Canada, (778) 379-0410",Employment and Social Development Canada
Think Tank Training Centre,Private Institution,APTH,"107 West Esplanade, North Vancouver, British Columbia, Canada, (604) 990-8265",Employment and Social Development Canada
Electrical Joint Training Committee,Private Institution,APTI,"100 - 1424 Broadway St, Port Coquitlam, British Columbia, Canada, (604) 571-6540",Employment and Social Development Canada
Quest University Canada,Private Institution,APTJ,"3200 University Boulevard, Squamish, British Columbia, Canada, (604) 898-8000",Employment and Social Development Canada
New York Institute of Technology - Vancouver,Private Institution,APTL,"701 W Georgia St #1700, Vancouver, British Columbia, Canada,",Employment and Social Development Canada
Pacific Rim Early Childhood Institution Inc.,Private Institution,APTM,"2120 Bear Hill Road, Saanichton , British Columbia, Canada, (250) 652-6011",Employment and Social Development Canada
Taylor Pro-Training Ltd,Private Institution,APTN,"2654 Norris Rd, Kelowna, British Columbia, Canada, (250) 765-7624",Employment and Social Development Canada
Blanche Macdonald Centre - Robson,Private Institution,APTO,"460 Robson Street, Vancouver, British Columbia, Canada, (604) 685-0337",Employment and Social Development Canada
Discovery Community College-Nanaimo-Bowen,Private Institution,APTP,"101 - 495 Dunsmuir Street, Nanaimo, British Columbia, Canada, (250) 740-0115",Employment and Social Development Canada
Discovery Community College - Courtenay,Private Institution,APTS,"201/202 - 1025 Cliffe Ave, Courtenay, British Columbia, Canada, (250) 338-9663",Employment and Social Development Canada
Pacific Rim College,Private Institution,APTU,"229 - 560 Johnson Street, Victoria, British Columbia, Canada, (250) 483-2119",Employment and Social Development Canada
UA Piping Industry College of BC- Delta,Private Institution,APTV,"101-1658 Fosters Way, Annacis Island, Delta, British Columbia, Canada, (604) 294-1931",Employment and Social Development Canada
Discovery Community College - Nanaimo Seniors Village,Private Institution,APTY,"6085 Uplands Drive, Nanaimo, British Columbia, Canada, (250) 740-0114",Employment and Social Development Canada
Discovery Community College - Parksville Corfield,Private Institution,APUA,"201/203 - 160 Corfield Ave, Parksville, British Columbia, Canada, (250) 248-2444",Employment and Social Development Canada
Discovery Community College - Campbell River,Private Institution,APUD,"1130 Shoppers Row, Campbell River, British Columbia, Canada, (250) 287-9850",Employment and Social Development Canada
Alexander College,Private Institution,APUF,"101-4603 Kingsway, Burnaby, British Columbia, Canada, (604) 435-5815",Employment and Social Development Canada
Lost Boys Studios - School of Visual Effects,Private Institution,APUG,"1825 Victoria Diversion, Vancouver, British Columbia, Canada, (604) 558-4999",Employment and Social Development Canada
Interior Heavy Equipment Operator School Ltd,Private Institution,APUH,"2-10058 Hwy 97 N., Winfield, British Columbia, Canada, (250) 766-3853",Employment and Social Development Canada
Vancouver Acting School,Private Institution,APUI,"210-112 3rd Ave East, Vancouver, British Columbia, Canada, (604) 569-1337",Employment and Social Development Canada
Canscribe Career College,Private Institution,APUJ,"340 - 1632 Dickson Avenue, Kelowna, British Columbia, Canada, (250) 448-4670",Employment and Social Development Canada
University Canada West - Vancouver,Private Institution,APUK,"100-626 West Pender St., Vancouver, British Columbia, Canada, (604)431-6887",Employment and Social Development Canada
Visual College of Art and Design (VCAD),Private Institution,APUL,"500 - 626 W Pender St, Vancouver, British Columbia, Canada, (604) 694-0019",Employment and Social Development Canada
Keystone College Ltd.,Private Institution,APUM,"Unit 4, 2720 Cliffe Avenue, Courtenay, British Columbia, Canada, (250) 871-8300",Employment and Social Development Canada
Victoria College of Art,Private Institution,APUP,"1625 Bank Street, Victoria, British Columbia, Canada, (250) 598-5422",Employment and Social Development Canada
Discovery Community College - Surrey,Private Institution,APUR,"10040 King George Blvd, Surrey, British Columbia, Canada, (604)930-9908",Employment and Social Development Canada
Vancouver College of Dental Hygiene,Private Institution,APUV,"1205 6th Avenue , New Westminster, British Columbia, Canada, (604) 215-7611",Employment and Social Development Canada
"CDI College of Business, Technology & Healthcare - Richmond",Private Institution,APUW,"180-4351 No 3 Road, Richmond, British Columbia, Canada, (604) 279-0003",Employment and Social Development Canada
Vancouver School of Healing Arts,Private Institution,APUX,"208-1125 Howe St, Vancouver, British Columbia, Canada, (604) 688-5060",Employment and Social Development Canada
Discovery Community College - Maple Ridge,Private Institution,APUY,"22141 - 119 avenue, Maple Ridge, British Columbia, Canada, (604) 463-1174",Employment and Social Development Canada
Dorset College,Private Institution,APUZ,"1215 West Broadway, Vancouver, British Columbia, Canada, (250) 879-8686",Employment and Social Development Canada
Divesafe International,Private Institution,APVC,"170 Dogwood Street, Campbell River, British Columbia, Canada, (250) 287-3837",Employment and Social Development Canada
Western Maritime Institute,Private Institution,APVF,"3519 Hallberg Road, Ladysmith, British Columbia, Canada,",Employment and Social Development Canada
Q College - Victoria,Private Institution,APVH,"303 - 771 Vernon Ave, Victoria, British Columbia, Canada, (250)298-5059",Employment and Social Development Canada
Vancouver Beijing College of Chinese Medicine,Private Institution,APVI,"3135 - 8888 Odlin Cres, Vancouver, British Columbia, Canada, (604)207-9389",Employment and Social Development Canada
Mark Anthony Academy of Cosmetology,Private Institution,APVJ,"5735 203rd Street, Langley, British Columbia, Canada, (604)530-4678",Employment and Social Development Canada
Orane International College,Private Institution,APVK,"140 - 1675 Douglas St, Victoria, British Columbia, Canada, (250)388-4440",Employment and Social Development Canada
All Body Laser Corp. Training Institute,Private Institution,APVL,"140 - 2627 Shaugnessy St, Port Coquitlam, British Columbia, Canada, (604)773-7515",Employment and Social Development Canada
Canadian College of Shiatsu Therapy,Private Institution,APVM,"142 Lonsdale Ave, North Vancouver, British Columbia, Canada, (604)904-4187",Employment and Social Development Canada
UA Piping Industry College of BC-Fort St John Campus,Private Institution,APVN,"7825 100 Ave., Fort St John, British Columbia, Canada, (250)263-9595",Employment and Social Development Canada
Okanagan Mountain Helicopters FTU Ltd.,Private Institution,APVO,"6285 Airport Way, Kelowna, British Columbia, Canada, (250)491-9359",Employment and Social Development Canada
"CDI College of Business, Technology & Healthcare - South Surrey",Private Institution,APVP,"112-14928 56th Ave, Surrey, British Columbia, Canada, (604)915-7288",Employment and Social Development Canada
Vancouver Hairdressing Academy - Vancouver,Private Institution,APVR,"528 West Broadway, Vancouver, British Columbia, Canada, (604)616-9179",Employment and Social Development Canada
Vancouver Hairdressing Academy - Surrey,Private Institution,APVS,"101-2828 152ND Street, Surrey, British Columbia, Canada, (604)616-9179",Employment and Social Development Canada
Canadian College,Private Institution,APVU,"200 - 1050 Alberni Street, Vancouver, British Columbia, Canada, (604)688-9366",Employment and Social Development Canada
St. Mark's College,Private Institution,APVW,"5935 Iona Dr, Vancouver, British Columbia, Canada, (604)822-4463",Employment and Social Development Canada
Canadian Health Care Academy - Vancouver,Private Institution,APVX,"516 Kingsway, Vancouver, British Columbia, Canada, (604)589-2422",Employment and Social Development Canada
Sprott Shaw College - Richmond,Private Institution,APVY,"7920 Cambie Road, Richmond, British Columbia, Canada, (604)708-8867",Employment and Social Development Canada
Capital College,Private Institution,APVZ,"540 - 4400 Hazelbridge Way, Richmond, British Columbia, Canada, (604)270-7426",Employment and Social Development Canada
Ajna Yoga,Private Institution,APWA,"209-2250 Oak Bay Avenue, Victoria, British Columbia, Canada, (250)812-8356",Employment and Social Development Canada
Brighton College - Surrey,Private Institution,APWB,"217 - 9801 King George BLVD, Surrey, British Columbia, Canada, (604)587-5608",Employment and Social Development Canada
Canadian National Institute of Business,Private Institution,APWC,"Unit 125 and 125A, 3030 Lincoln Avenue, Coquitlam, British Columbia, Canada, (604) 474 2642",Employment and Social Development Canada
Vancouver Career College - Burnaby,Private Institution,APWR,"212 - 5021 Kingsway, Burnaby, British Columbia, Canada, (604) 438-6881",Employment and Social Development Canada
Sprott Shaw College- Abbotsford,Private Institution,APWS,"1 - 33655 Essendene Avenue, Abbotsford, British Columbia, Canada, (604) 503-3323",Employment and Social Development Canada
Interior Academy,Private Institution,APWT,"113 Victoria Street, Kamloops, British Columbia, Canada, (250) 374-5565",Employment and Social Development Canada
Sprott Shaw College - Penticton,Private Institution,APWV,"101 - 2603 Skaha Lake Road, Penticton, British Columbia, Canada, (250) 770-2277",Employment and Social Development Canada
Sprott Shaw College - Nanaimo,Private Institution,APWW,"6-140 Terminal Avenue, Nanaimo, British Columbia, Canada, (250) 754-9600",Employment and Social Development Canada
Sprott Shaw College - Kelowna,Private Institution,APWX,"200- 546 Leon Avenue, Kelowna, British Columbia, Canada, (250) 860-8884",Employment and Social Development Canada
Nimbus School of Recording & Media,Private Institution,APXD,"300 - 238 East 2nd Ave, Vancouver , British Columbia, Canada, (604) 875-8998",Employment and Social Development Canada
Cornerstone International Community College of Canada,Private Institution,APXE,"609 W HASTINGS STEET, Vancouver, British Columbia, Canada, (604) 687-5414",Employment and Social Development Canada
Windsong College of Healing Arts,Private Institution,APXJ,"6199 Smith Road, Port Alberni, British Columbia, Canada, (250) 723-3307",Employment and Social Development Canada
Focus College - Kelowna,Private Institution,APXO,"206 1470 St. Paul Street, Kelowna, British Columbia, Canada,",Employment and Social Development Canada
Stenberg College - Surrey,Private Institution,APXS,"750, 13450 - 102nd ave, Surrey, British Columbia, Canada, (604) 580-2772",Employment and Social Development Canada
West Coast College of Massage Therapy - Victoria,Private Institution,APXU,"100 - 818 Broughton Street, Victoria, British Columbia, Canada, (250) 381-9800",Employment and Social Development Canada
Canadian College of Performing Arts,Private Institution,APYB,"1701 Elgin Road, Victoria, British Columbia, Canada, (250) 595-9970",Employment and Social Development Canada
Corpus Christi College,Private Institution,APYJ,"5935 Iona Drive, Vancouver, British Columbia, Canada, (604) 822-6862",Employment and Social Development Canada
Boucher Institute of Naturopathic Medicine,Private Institution,APYL,"200 - 435 COLUMBIA STREET, New Westminster, British Columbia, Canada, (604) 777-9981",Employment and Social Development Canada
Sprott Shaw College - East Vancouver,Private Institution,APYN,"501-333 Terminal Avenue, Vancouver, British Columbia, Canada, (604) 251-4473",Employment and Social Development Canada
Sprott Shaw College - Kamloops,Private Institution,APYQ,"301 - 340 Victoria St, Kamloops, British Columbia, Canada, (250) 314-1122",Employment and Social Development Canada
Vancouver Career College - Chilliwack,Private Institution,APYS,"8392 Young Road, Chilliwack, British Columbia, Canada, (604)850-3523",Employment and Social Development Canada
Vancouver Premier College of Hotel Management,Private Institution,APYZ,"200 - 1338 West Broadway, Vancouver, British Columbia, Canada, (604) 730-1628",Employment and Social Development Canada
Oshio College of Acupuncture & Herbology,Private Institution,APZB,"100 - 3491 Saanich Road, Victoria, British Columbia, Canada, (250) 472-6601",Employment and Social Development Canada
LaSalle College Vancouver- Renfrew,Private Institution,APZC,"2665 Renfrew Street, Vancouver, British Columbia, Canada, (604) 683-9200",Employment and Social Development Canada
Ashton College - Vancouver,Private Institution,APZE,"300 - 1190 Melville Street, , Vancouver, British Columbia, Canada, (604) 899-0803",Employment and Social Development Canada
Vancouver Career College - Surrey,Private Institution,APZJ,"230 - 13401 108 Ave, Surrey, British Columbia, Canada, (604) 580-2133",Employment and Social Development Canada
Sprott Shaw College - Maple Ridge,Private Institution,APZM,"204 - 20395 Lougheed Highway, Maple Ridge, British Columbia, Canada, (604) 466-3600",Employment and Social Development Canada
Vancouver Career College - Coquitlam,Private Institution,APZQ,"5 - 1180 Pinetree Way, Coquitlam, British Columbia, Canada, (604) 944-8855",Employment and Social Development Canada
Centre for Arts And Technology - Kelowna,Private Institution,APZU,"100 - 1632 Dickson Avenue, Kelowna, British Columbia, Canada, (250) 860-2787",Employment and Social Development Canada
Central College,Private Institution,APZZ,"220-60 8th Street, New Westminster, British Columbia, Canada, (604) 523-2388",Employment and Social Development Canada
Cambridge College,Private Institution,AQAF,"454-4800 Kingsway, Burnaby, British Columbia, Canada, (604) 438-7246",Employment and Social Development Canada
Pacific Institute of Culinary Arts,Private Institution,AQAH,"1505 West 2nd Avenue, Vancouver, British Columbia, Canada, (604) 734-4488",Employment and Social Development Canada
Universal Learning Institute - Richmond,Private Institution,AQAK,"200 - 8211 Ackroyd Road, Richmond, British Columbia, Canada, (604) 273-2880",Employment and Social Development Canada
Universal Learning Institute - Vancouver,Private Institution,AQAY,"702-333 Terminal Avenue, Vancouver, British Columbia, Canada, (604) 637-2880",Employment and Social Development Canada
New Image College,Private Institution,AQBB,"987 Granville Street, 2nd Floor, Vancouver, British Columbia, Canada, (604) 685-8807",Employment and Social Development Canada
Cambria College - Victoria,Private Institution,AQBC,"210-702 Fort Street, Victoria, British Columbia, Canada, (778) 265-7547",Employment and Social Development Canada
Brighton College - Burnaby,Private Institution,AQBE,"305 - 4538 Kingsway, Burnaby, British Columbia, Canada, (604) 430-5608",Employment and Social Development Canada
Mountain Transport Institute Ltd.,Private Institution,AQBK,"2181A 6th Avenue, Castlegar, British Columbia, Canada, (250) 365-3748",Employment and Social Development Canada
Omni College,Private Institution,AQBL,"3130 - 8788 McKim Way, Richmond, British Columbia, Canada, (604) 279-1800",Employment and Social Development Canada
PCU College of Holistic Medicine,Private Institution,AQBQ,"100 - 5021 Kingsway, Burnaby, British Columbia, Canada, (604) 433-1299",Employment and Social Development Canada
Kelowna College of Professional Counselling,Private Institution,AQCC,"101 - 251 Lawrence Avenue, Kelowna, British Columbia, Canada, (250) 717-0412",Employment and Social Development Canada
Acsenda School of Management,Private Institution,AQCH,"200-666 Burrard Street, Vancouver, British Columbia, Canada, (604) 439-5111",Employment and Social Development Canada
Metropolitan Community College,Private Institution,AQCL,"900 - 549 HOWE STREET, Vancouver, British Columbia, Canada, (604) 320-3332",Employment and Social Development Canada
Vancouver Animation School,Private Institution,AQCN,"270-5489 Byrne Road, Burnaby, British Columbia, Canada, (604)6121171",Employment and Social Development Canada
