name,source_facility_type,source_id,full_address,provider
"CDI College of Business, Technology & Healthcare",Private Institution,DPDO,"280 Main Street, Winnipeg, Manitoba, Canada, (204) 942-1773",Employment and Social Development Canada
Yellowquill College,Private Institution,DPDV,"480 Madison Street, Winnipeg, Manitoba, Canada, (204) 953-2817",Employment and Social Development Canada
Northwest Law Enforcement Academy,Private Institution,DPEB,"200 -1821 Wellington Avenue, Winnipeg, Manitoba, Canada, (204) 953-8300",Employment and Social Development Canada
Criti Care Emergency Medical Services,Private Institution,DPEC,"106-386 Broadway, Winnipeg, Manitoba, Canada, (204) 989-3671",Employment and Social Development Canada
Millennia Helicopters Ltd.,Private Institution,DPED,"28083 North Kildonan RPO, Winnipeg, Manitoba, Canada, 204-230-5423",Employment and Social Development Canada
Willis College,Private Institution,DPEG,"200-464 Hargrave Street, Winnipeg, Manitoba, Canada, (204) 956-4708",Employment and Social Development Canada
CHN College Inc.,Private Institution,DPEH,"670 Main Street, Winnipeg, Manitoba, Canada, 204-947-5237",Employment and Social Development Canada
Mountain City Aviation,Private Institution,DPEK,"50 Conner Hill Drive, Morden, Manitoba, Canada,",Employment and Social Development Canada
The Salon Professional Academy,Private Institution,DPEM,"260-1395 Ellice Avenue, Winnipeg, Manitoba, Canada,",Employment and Social Development Canada
Louis Riel Vocational College,Private Institution,DPEN,"108-150 Henry Avenue, Winnipeg, Manitoba, Canada,",Employment and Social Development Canada
Code of Excellence Training Centre - Local IBEW 2085,Private Institution,DPEO,"550 Notre Dame Avenue, Winnipeg , Manitoba, Canada, 204-957-0036",Employment and Social Development Canada
Traditional Chinese Medicine and Acupuncture College of Manitoba,Private Institution,DPEQ,"661 Pembina Highway, Winnipeg, Manitoba, Canada,",Employment and Social Development Canada
H & Co. Academy Esthetics,Private Institution,DPER,"801-10th Street, Brandon, MB, Manitoba, Canada, 2047171700",Employment and Social Development Canada
Brandon University,University,DUAA,"270-18th Street, ATTN: Karen Stewart, Brandon, Manitoba, Canada, (204) 728-9699",Employment and Social Development Canada
University of Manitoba,University,DUAB,"Room 422 University Centre, Winnipeg, Manitoba, Canada, (204) 474-9532",Employment and Social Development Canada
University of Winnipeg,University,DUAD,"515 Portage Avenue, Awards and Financial Aid Offic, Winnipeg, Manitoba, Canada, 204-789-1420",Employment and Social Development Canada
Universite de Saint-Boniface,University,DUAF,"200 Ave De La Cathedrale, Saint-Boniface, Manitoba, Canada, (204) 237-1818",Employment and Social Development Canada
Canadian Mennonite University,University,DUAK,"500 Shaftsbury Boulevard, Winnipeg, Manitoba, Canada, (204) 487-3300",Employment and Social Development Canada
Assiniboine Community College,Technical and Vocational,DVAA,"1430 Victoria Avenue East, Attention: Bryce Neufeld, Brandon, Manitoba, Canada, (204) 725-8700",Employment and Social Development Canada
Louis Riel School Division Arts and Technology Centre,Technical and Vocational,DVAD,"5 de Bourmont Avenue, Winnipeg, Manitoba, Canada, 204-237-8951",Employment and Social Development Canada
Red River College,Technical and Vocational,DVAG,"D101-2055 Notre Dame Avenue, Winnipeg, Manitoba, Canada, (204) 632-3979",Employment and Social Development Canada
Manitoba Institute of Trades and Technology,Technical and Vocational,DVAQ,"7 Fultz Boulevard, Winnipeg, Manitoba, Canada, 204-989-6519",Employment and Social Development Canada
R.B. Russell Vocational High School,Technical and Vocational,DVAU,"364 Dufferin Avenue, Winnipeg, Manitoba, Canada,",Employment and Social Development Canada
Manitoba Emergency Services College,Technical and Vocational,DVCR,"1601 VanHorne Avenue East, Brandon, Manitoba, Canada, (204) 726-6855",Employment and Social Development Canada
St. James-Assiniboia Continuing Education,Technical and Vocational,DVCU,"470 Hamilton Avenue, Winnipeg, Manitoba, Canada, (204) 832-9637",Employment and Social Development Canada
