name,source_facility_type,source_id,full_address,provider
St. Peter's College,University,CUAI,"P. O. Box 40, Muenster, Saskatchewan, Canada, (306) 682-7888",Employment and Social Development Canada
First Nations University of Canada,University,CUAJ,"1 First Nations Way, Regina, Saskatchewan, Canada, 3065468400",Employment and Social Development Canada
Gabriel Dumont Institute,University,CUAL,"917 22nd Street, Saskatoon, Saskatchewan, Canada, (306) 242-6070",Employment and Social Development Canada
Saskatoon Health Region Orthoptic Program,Technical and Vocational,CVAB,"Eye Care Centre, Saskatoon City Hospital, 701 Queen Street, Saskatoon, Saskatchewan, Canada, (306) 655-8000",Employment and Social Development Canada
Dumont Technical Institute,Technical and Vocational,CVAF,"917 22nd Street West, Saskatoon, Saskatchewan, Canada, (306) 242-6070",Employment and Social Development Canada
Saskatchewan Polytechnic Moose Jaw Campus,Technical and Vocational,CVAH,"P.O. Box 1420, Moose Jaw, Saskatchewan, Canada, (306) 694-3200",Employment and Social Development Canada
Saskatchewan Polytechnic Regina Campus,Technical and Vocational,CVAM,"P.O. Box 556, Regina, Saskatchewan, Canada, (306) 565-4356",Employment and Social Development Canada
Saskatchewan Polytechnic Saskatoon Campus,Technical and Vocational,CVAP,"1130 Idylwyld Dr. N., P.O. Box 1520, Saskatoon, Saskatchewan, Canada, (306) 933-6440",Employment and Social Development Canada
Saskatchewan Polytechnic Prince Albert Campus,Technical and Vocational,CVAU,"1100-15th St. E., P.O. Box 3003, Prince Albert, Saskatchewan, Canada, (306) 953-7000",Employment and Social Development Canada
College Mathieu,Miscellaneous,CZAA,"C.P. 989, Gravelbourg, Saskatchewan, Canada,",Employment and Social Development Canada
