name,source_facility_type,source_id,full_address,provider
Fisheries & Marine Institute - Memorial University of Newfoundland,Technical and Vocational,JVAA,"P.O. Box 4920, 155 Ridge Road, St. John's, Newfoundland and Labrador, Canada, 7097780470",Employment and Social Development Canada
"College of the North Atlantic, Prince Phillip Drive campus",Technical and Vocational,JVAB,"St. John's Campus, P.O. Box 1693, 1 Prince Philip Drive, St. John's, Newfoundland and Labrador, Canada, (709) 758-7284",Employment and Social Development Canada
"College of the North Atlantic, Baie Verte campus",Technical and Vocational,JVAD,"Baie Verte Campus, 1 Terra Nova Road, Baie Verte, Newfoundland and Labrador, Canada, (709) 532-8066",Employment and Social Development Canada
"College of the North Atlantic, Bonavista campus",Technical and Vocational,JVAF,"Bonavista Campus, C/O P.O. Box 670, 301 Confederation Drive, Bonavista, Newfoundland and Labrador, Canada, (709) 468-2610",Employment and Social Development Canada
"College of the North Atlantic, Burin campus",Technical and Vocational,JVAG,"Burin Campus, 4 Pike's Lane, PO Box 60, Burin, Newfoundland and Labrador, Canada, (709) 891-1253",Employment and Social Development Canada
"College of the North Atlantic, Carbonear campus",Technical and Vocational,JVAH,"Carbonear Campus, P.O. Box 60, 4 Pike's Lane, Carbonear, Newfoundland and Labrador, Canada, (709) 596-6139",Employment and Social Development Canada
"College of the North Atlantic, Clarenville campus",Technical and Vocational,JVAI,"Clarenville Campus, 69 Pleasant St., Clarenville, Newfoundland and Labrador, Canada, (709) 466-6900",Employment and Social Development Canada
"College of the North Atlantic, Seal Cove campus",Technical and Vocational,JVAJ,"P.O. Box 19003, , Station Seal Cove, 1670 Conception Bay Highway, Conception Bay South, Newfoundland and Labrador, Canada, (709) 744-2047",Employment and Social Development Canada
"College of the North Atlantic, Corner Brook campus",Technical and Vocational,JVAK,"Corner Brook Campus, C/O P.O. Box 822, 141 O'Connell Drive, Corner Brook, Newfoundland and Labrador, Canada, (709) 637-8530",Employment and Social Development Canada
"College of the North Atlantic, Gander campus",Technical and Vocational,JVAL,"Gander Campus, C/O P.O. Box 395, 1 Magee Road, Gander, Newfoundland and Labrador, Canada, (709) 651-4800",Employment and Social Development Canada
"College of the North Atlantic, Grand Falls-Windsor campus",Technical and Vocational,JVAM,"Grand Falls-Windsor Campus, 5 Cromer Avenue, Grand Falls-Windsor, Newfoundland and Labrador, Canada, (709) 292-5600",Employment and Social Development Canada
"College of the North Atlantic, Happy Valley-Goose Bay campus",Technical and Vocational,JVAN,"Happy Valley-Goose Bay Campus, C/O P.O. Box 1720, Station B, 219 Hamilton River Road, Happy Valley-Goose Bay, Newfoundland and Labrador, Canada, (709) 896-6300",Employment and Social Development Canada
"College of the North Atlantic, Placentia campus",Technical and Vocational,JVAP,"Placentia Campus, P.O. Box 190, 1 Roosevelt Avenue, Placentia, Newfoundland and Labrador, Canada, (709) 227-2037",Employment and Social Development Canada
"College of the North Atlantic, Port Aux Basques campus",Technical and Vocational,JVAQ,"Port Aux Basques Campus, C/O P.O. Box 760, 59 Grand Bay Road, Port Aux Basques, Newfoundland and Labrador, Canada, (709) 695-3582",Employment and Social Development Canada
"College of the North Atlantic, St. Anthony campus",Technical and Vocational,JVAS,"St- Anthony Campus, P.O. Box 550, St. Anthony, Newfoundland and Labrador, Canada, (709) 454-3559",Employment and Social Development Canada
"College of the North Atlantic, Ridge Road Campus",Technical and Vocational,JVAU,"P.O. Box 1150, 153 Ridge Road, St. John's, Newfoundland and Labrador, Canada, (709) 758-7000",Employment and Social Development Canada
"College of the North Atlantic, Labrador West campus",Technical and Vocational,JVAV,"Labrador West Campus, 1600 Nichols-Adam Highway, Labrador City, Newfoundland and Labrador, Canada, (709) 944-7210",Employment and Social Development Canada
