name,source_facility_type,source_id,full_address,provider
Edmonton Flying Club,Private Institution,BPBL,"#3 - 52111 Range Road 270, Spruce Grove, Alberta, Canada, (780) 499-6669",Employment and Social Development Canada
Calgary College of Traditional Chinese Med and Acupunture,Private Institution,BPBQ,"4014 MacLeod Trail South, Suite 107, Calgary, Alberta, Canada, 4032878688",Employment and Social Development Canada
Alberta Bible College,Private Institution,BPBT,"635 Northmount Dr. N.W., Calgary, Alberta, Canada, (403) 282-2994",Employment and Social Development Canada
Vanguard College,Private Institution,BPBV,"12140 - 103rd Street, Edmonton, Alberta, Canada, 7804520808",Employment and Social Development Canada
Est-Elle Academy of Hair Design Limited,Private Institution,BPCC,"8004 Gateway Blvd, Edmonton, Alberta, Canada, (780) 432-7577",Employment and Social Development Canada
Peace River Bible Institute,Private Institution,BPCH,"9601 - 100th Street, P.O. Box 99, Sexsmith, Alberta, Canada, (403) 568-3962",Employment and Social Development Canada
Southern Alberta Institute of Massage - Lethbridge,Private Institution,BPCI,"534 18 Street, South, Lethbridge, Alberta, Canada, (403) 331-5657",Employment and Social Development Canada
Reeves College - Calgary City Centre,Private Institution,BPCN,"Suite 1500, 910 7th Avenue SW, Calgary, Alberta, Canada, (403) 290-1511",Employment and Social Development Canada
Alberta Academy of Aesthetics,Private Institution,BPCO,"1424, 8882 170 Street, Edmonton, Alberta, Canada, (403) 486-7201",Employment and Social Development Canada
MC College-Red Deer,Private Institution,BPCT,"5008 Ross St., Red Deer, Alberta, Canada, (403) 342-1110",Employment and Social Development Canada
Prairie Aviation Training Centre,Private Institution,BPDL,"Box 4000, 330 5 Ave North, Three Hills, Alberta, Canada, (403) 443-2349",Employment and Social Development Canada
MCG Career College - Red Deer,Private Institution,BPDS,"200, 4806-51 Ave, Red Deer, Alberta, Canada, (888) 261-8999",Employment and Social Development Canada
Sky Wings Aviation Academy,Private Institution,BPEC,"Box 190, Hanger 13, Red Deer Indust. Arpt., Penhold, Alberta, Canada, 4038865191",Employment and Social Development Canada
Canadian Southern Baptist Seminary,Private Institution,BPEV,"Main Campus, 200 Seminary View, Cochrane, Alberta, Canada, 4039326622",Employment and Social Development Canada
Sultana's Beauty Clinic And School,Private Institution,BPEZ,"76 Boyce Street, Red Deer, Alberta, Canada, (403) 342-5525",Employment and Social Development Canada
Rosebud School of the Arts,Private Institution,BPFC,"Box 654, Rosebud, Alberta, Canada, 4036772350",Employment and Social Development Canada
Kdm Dental College International Incorporated,Private Institution,BPFF,"940 - 6th Ave Sw, Suite 520, Calgary, Alberta, Canada, 4032642744",Employment and Social Development Canada
Columbia College,Private Institution,BPGD,"802 Manning Rd Ne, Calgary, Alberta, Canada, 4032359300",Employment and Social Development Canada
Namao Flying Club,Private Institution,BPGF,"25 27018 S.H. 633, Sturgeon County, Alberta, Canada, (780) 419-6777",Employment and Social Development Canada
MH Vicars School of Massage Therapy-Calgary,Private Institution,BPGL,"101 & 103, 200 Country Hills Landing NW, Calgary, Alberta, Canada, (403) 567-1451",Employment and Social Development Canada
Rocky Mountain College,Private Institution,BPGS,"4039 Brentwood Rd. N.W., Calgary, Alberta, Canada, 4032845100",Employment and Social Development Canada
International Academy of Esthetics,Private Institution,BPGV,"122 150 Chippewa Road, Sherwood Park, Alberta, Canada, (780) 449-1225",Employment and Social Development Canada
Alberta College of Massage Therapy-Calgary,Private Institution,BPGY,"#100, 1167 Kensington Crescent, NW, Calgary, Alberta, Canada, (780) 916-6888",Employment and Social Development Canada
Alberta College of Massage Therapy-Lloydminster,Private Institution,BPGZ,"Bay 1A, 5712 - 44 Street, Lloydminster, Alberta, Canada, (780) 916-6888",Employment and Social Development Canada
Victory Bible College,Private Institution,BPHO,"10623 West Valley Road SW, Calgary, Alberta, Canada, 403-286-8337",Employment and Social Development Canada
Academy of Learning - Edmonton West,Private Institution,BPHR,"17718 - 64 Ave, Edmonton, Alberta, Canada, (780) 496-9428",Employment and Social Development Canada
Academy of Learning (Edmonton South),Private Institution,BPHS,"5650-23 Ave, Edmonton, Alberta, Canada, (403) 433-1717",Employment and Social Development Canada
Kdm Dental College International Incorporated,Private Institution,BPHT,"2101 Bell Tower, 10104-103 Ave, Edmonton, Alberta, Canada, 7804236863",Employment and Social Development Canada
Nechi Institute: Centre of Indigenous Learning,Private Institution,BPHV,"P.O. Box 2039, Station Main, St. Albert, Alberta, Canada, (780) 459-1884",Employment and Social Development Canada
Maskwacis Cultural College,Private Institution,BPHW,"Po Box 960, Hobbema, Alberta, Canada, (780) 585-3925",Employment and Social Development Canada
Training Incorporated - Lethbridge,Private Institution,BPIF,"444 - 5 Avenue South, Lethbridge, Alberta, Canada, (403) 320-5100",Employment and Social Development Canada
Academy of Learning-Red Deer,Private Institution,BPII,"2965 Bremner Avenue, Red Deer, Alberta, Canada, (403) 347-6676",Employment and Social Development Canada
Academy of Learning - Edmonton Downtown,Private Institution,BPIK,"10010 - 100 Street, Edmonton, Alberta, Canada, (780) 424-1144",Employment and Social Development Canada
Alberta Institute of Massage,Private Institution,BPIQ,"#4 7710 Gaetz Ave., Red Deer, Alberta, Canada, (403) 346-1018",Employment and Social Development Canada
Christcity Theological Institute,Private Institution,BPIS,"14788 - 156 St, Edmonton, Alberta, Canada, 780-784-2489",Employment and Social Development Canada
St. Mary's University,Private Institution,BPJB,"14500 Bannister Road East S.E., Calgary, Alberta, Canada, (403) 531-9130",Employment and Social Development Canada
St. Stephen's College,Private Institution,BPJF,"8810-112th St., Edmonton, Alberta, Canada, (780) 439-7311",Employment and Social Development Canada
University nuhelot'ine thaiyots'ii nistameyimakanak Blue Quills,Private Institution,BPJP,"P.O. Box 279, St. Paul, Alberta, Canada, (780) 645-4455",Employment and Social Development Canada
Academy of Learning - Airdrie,Private Institution,BPJW,"Main Campus, #201 2002 Luxstone, Blvd, Airdrie, Alberta, Canada, (403) 912-3430",Employment and Social Development Canada
Campbell College Ltd.,Private Institution,BPKG,"101 - 11748 Kingsway Avenue, Edmonton, Alberta, Canada, (780) 448-1850",Employment and Social Development Canada
Academy of Learning - Calgary NE,Private Institution,BPKW,"Suite 260 495-36 St, NE, Calgary, Alberta, Canada, (403) 569-8973",Employment and Social Development Canada
Academy of Learning - Calgary South,Private Institution,BPKX,"220 8228 MacLeod Trail, SE, Calgary, Alberta, Canada, (403) 252-8973",Employment and Social Development Canada
"CDI College of Business, Technology and Health Care, Calgary City Centre",Private Institution,BPLB,"Suite 100, 800 - 5th Avenue SW, Calgary, Alberta, Canada,",Employment and Social Development Canada
"CDI College of Business, Technology and Health Care, Calgary North",Private Institution,BPLC,"#100 403 33 Steet, NE, Calgary, Alberta, Canada, (403) 571-8585",Employment and Social Development Canada
"CDI College of Business, Technology and Health Care, Edmonton City Centre",Private Institution,BPLD,"200 - 10004 Jasper Ave, Edmonton, Alberta, Canada, (780) 424-6650",Employment and Social Development Canada
"CDI College of Business, Technology and Health Care, Edmonton North",Private Institution,BPLE,"Unit 104/285 9450 137 Ave., Northtown Mall, , Edmonton, Alberta, Canada, (780) 478-7900",Employment and Social Development Canada
Reeves College - Calgary North,Private Institution,BPLG,"#120, 2886 Sunridge Way NE, Calgary, Alberta, Canada, (403) 769-1556",Employment and Social Development Canada
Reeves College - Lethbridge,Private Institution,BPLH,"#110 601 4th Avenue South, Lethbridge, Alberta, Canada, (403) 381-4469",Employment and Social Development Canada
Pixel Blue College,Private Institution,BPLK,"200, 10080 Jasper Avenue, Edmonton, Alberta, Canada, (780) 756-3990",Employment and Social Development Canada
Cypress College - Medicine Hat,Private Institution,BPLL,"3-7th Street, SE, Medicine Hat, Alberta, Canada, (403) 527-4382",Employment and Social Development Canada
Sterling College Ltd.,Private Institution,BPLN,"1239 2 Ave South, Lethbridge, Alberta, Canada, (403) 394-7884",Employment and Social Development Canada
Emergency Services Academy,Private Institution,BPLO,"2nd Floor, 161 Broadway , Boulevard, Sherwood Park, Alberta, Canada, (780) 416-8822",Employment and Social Development Canada
Super T Aviation Academy,Private Institution,BPLP,"Hangar #11, 49 Viscount Ave SW, Medicine Hat, Alberta, Canada, (403) 548-6636",Employment and Social Development Canada
Academy of Learning - High River,Private Institution,BPLQ,"#4, 28 12 Ave, SE, High River, Alberta, Canada, (403) 652-2116",Employment and Social Development Canada
Bredin College of Business and Health Care-Spruce Grove,Private Institution,BPLR,"204-314 McLeod Avenue, Spruce Grove, Alberta, Canada, (780) 425-3730",Employment and Social Development Canada
Alberta Health and Safety Training Institute-Calgary,Private Institution,BPLX,"Unit 125, 3510 29 Street NE, Calgary, Alberta, Canada, (403) 670-5406",Employment and Social Development Canada
CDI College of Bus Tech and Health-Edmonton South,Private Institution,BPLY,"Units 104, 275 and 285,, 9450 - 137th Avenue, Edmonton, Alberta, Canada, (780) 463-7900",Employment and Social Development Canada
DelMar College,Private Institution,BPLZ,"5915 1A Street, SW, Calgary, Alberta, Canada, (403) 264-8055",Employment and Social Development Canada
Alberta Caregiving Institute-Edmonton General Hospital,Private Institution,BPMC,"Edmonton General Hospital, 11111 Jasper Ave, Edmonton, Alberta, Canada, (780) 761-2234",Employment and Social Development Canada
High Velocity Equipment Training College,Private Institution,BPMF,"NE 22 52 26 W4, Enoch, Alberta, Canada, (780) 678-2626",Employment and Social Development Canada
Calgary Flying Club,Private Institution,BPMG,"155A MacLaurin Drive, Calgary, Alberta, Canada, (403) 288-8831",Employment and Social Development Canada
Medical Reception College 1 Ltd-Calgary,Private Institution,BPMH,"Suite 210, 840 7 Avenue SW, Calgary, Alberta, Canada, (403) 701-2837",Employment and Social Development Canada
Medical Reception College 1 Ltd-Edmonton,Private Institution,BPMI,"10279 Jasper Ave, Edmonton, Alberta, Canada, (403) 701-2837",Employment and Social Development Canada
Artists Within Makeup Academy,Private Institution,BPMK,"306, 822 11 Ave SW, Calgary, Alberta, Canada, (403) 208-0034",Employment and Social Development Canada
LR Helicopters Inc.,Private Institution,BPMR,"135 MacLaurin Drive, Springbank Airport, Calgary, Alberta, Canada, (403) 286-4601",Employment and Social Development Canada
Elevated Learning Academy Inc. - Calgary,Private Institution,BPMS,"Unit 305, 4014 MacLeod Trail SE, Calgary, Alberta, Canada, (403) 473-0939",Employment and Social Development Canada
Royal Health Care Aide Training School - Lethbridge,Private Institution,BPMT,"522 - 5 Street South, Lethbridge, Alberta, Canada, (403) 393-5167",Employment and Social Development Canada
CDI College of Business Tech and Health Care-Calgary South,Private Institution,BPMU,"Midnapore Mall, Suite 200-240 Midpark Way SE, Calgary, Alberta, Canada, (403) 207-1813",Employment and Social Development Canada
CDI College of Business Tech and Health Care-Edmonton West,Private Institution,BPMV,"176 Mayfield Common, NW, Edmonton, Alberta, Canada, (780) 702-0328",Employment and Social Development Canada
Solomon College Ltd,Private Institution,BPMW,"Suite 228, 10621 100 Avenue, Edmonton, Alberta, Canada, (780) 431-1515",Employment and Social Development Canada
Wholistic Health Training and Research Centre,Private Institution,BPMX,"Compass Place Building, Suite 500, 10050 - 112 Street, Edmonton, Alberta, Canada, (780) 461-6708",Employment and Social Development Canada
Eveline Charles Academy-Calgary,Private Institution,BPMZ,"404 510 8 Avenue, SW, Calgary, Alberta, Canada, (403) 476-0593",Employment and Social Development Canada
Eveline Charles Academy - Edmonton,Private Institution,BPNA,"2047, 8882 170 Street NW, Edmonton, Alberta, Canada, (780) 409-0222",Employment and Social Development Canada
Alberta School of Dog Grooming,Private Institution,BPNB,"5009 50 Avenue, Leduc, Alberta, Canada, (780) 980-5327",Employment and Social Development Canada
ABM College,Private Institution,BPNC,"112 - 28th Street SE, Calgary, Alberta, Canada, (403) 7194300",Employment and Social Development Canada
The Health Care Aide Academy,Private Institution,BPNE,"200 5009-49 Street, Red Deer , Alberta, Canada, 4033472018",Employment and Social Development Canada
South Edmonton School of Massage Therapy,Private Institution,BPNG,"#220, 6203 - 28th Avenue, Edmonton, Alberta, Canada, (780) 450-0720",Employment and Social Development Canada
Elevated Learning Academy Inc. - Edmonton,Private Institution,BPNI,"209-10080 Jasper Avenue, Edmonton, Alberta, Canada, 8885445573",Employment and Social Development Canada
MTG Healthcare Academy,Private Institution,BPNJ,"Suite 100, 1324 36 Ave NE, Calgary, Alberta, Canada, 4032642009",Employment and Social Development Canada
Robertson College - Edmonton,Private Institution,BPNK,"#206, 10145 - 109 Street, Edmonton, Alberta, Canada, 7807056633",Employment and Social Development Canada
Professional Medical Associates-Calgary,Private Institution,BPNL,"#112, 11420 27 Street SE, Calgary, Alberta, Canada, 4035479709",Employment and Social Development Canada
Hope College,Private Institution,BPNN,"120 - 3 Street E, Drumheller, Alberta, Canada, 4038568108",Employment and Social Development Canada
Cambrooks College,Private Institution,BPNO,"202, 4015 17 Ave SE, Calgary, Alberta, Canada, (403) 452-3694",Employment and Social Development Canada
NIWE Academy Inc.,Private Institution,BPNP,"3817 - 27 Street, Calgary, Alberta, Canada, 5873519024",Employment and Social Development Canada
Ecole Holt Couture School of Couture Sewing and Design,Private Institution,BPNS,"2227 20 Ave SW, Calgary, Alberta, Canada, 4032445460",Employment and Social Development Canada
Aveda Institute-Calgary,Private Institution,BPNT,"225-8 Ave, SW, Calgary, Alberta, Canada, 4032645053",Employment and Social Development Canada
Makami College Inc.- Calgary,Private Institution,BPNV,"9618 Horton Road SW, Calgary, Alberta, Canada, 403 474-0772",Employment and Social Development Canada
Cypress College-Brooks,Private Institution,BPNW,"716 2 Street West, P.O. Box 908, Brooks , Alberta, Canada, 4033625907",Employment and Social Development Canada
National Manual Osteopathic College,Private Institution,BPNX,"#203 4911 - 50 Street, Innisfail, Alberta, Canada, 4033561581",Employment and Social Development Canada
One Beauty Academy - Medicine Hat,Private Institution,BPNY,"634 2 Street SE, Medicine Hat, Alberta, Canada, 4308949434",Employment and Social Development Canada
Rosewood College,Private Institution,BPOA,"280, 3670 - 63 Avenue , NE, Calgary, Alberta, Canada, 4038369578",Employment and Social Development Canada
TOC Hair Studio Akademy,Private Institution,BPOC,"#201 6008 MacLeod Trail SW, Calgary, Alberta, Canada, 4034605919",Employment and Social Development Canada
Bay River College,Private Institution,BPOD,"Unit 1 & 2, 3516-26 Street NE, Calgary, Alberta, Canada, 4034576400",Employment and Social Development Canada
"CLI College of Business, Health and Technology-Edmonton North",Private Institution,BPOE,"8706 118 Ave, Edmonton, Alberta, Canada, 7804210224",Employment and Social Development Canada
One Beauty Academy-Grande Prairie,Private Institution,BPOF,"Suite 209 10001-101 Ave, Grande Prairie, Alberta, Canada, 4035276822",Employment and Social Development Canada
Numa International Institute of Makeup and Design,Private Institution,BPOH,"6410 - 1A Street SW, Calgary, Alberta, Canada, (403) 394-7884",Employment and Social Development Canada
Training Inc.-Cardston,Private Institution,BPOI,"58 2 Avenue West, Cardston, Alberta, Canada, 4036534603",Employment and Social Development Canada
Training Inc.-Pincher Creek,Private Institution,BPOJ,"715C Main Street, Pincher Creek, Alberta, Canada, 4033205100",Employment and Social Development Canada
Cooking Lake Aviation Services,Private Institution,BPOK,"Cooking Lake Airport Hangar 69, 51401 Range Road 221, Sherwood Park, Alberta, Canada, 7809222802",Employment and Social Development Canada
One Beauty Academy-Calgary,Private Institution,BPOM,"6410-1A Street SW, Calgary, Alberta, Canada, 4035276822",Employment and Social Development Canada
MTG Healthcare Academy-Red Deer,Private Institution,BPON,"4815-48 Street, NE, Red Deer, Alberta, Canada, 4032642049",Employment and Social Development Canada
Bella Elite Beauty & Barber Academy Ltd.,Private Institution,BPOO,"311 - 8 th Street South, Lethbridge, Alberta, Canada, 5872712717",Employment and Social Development Canada
MCG - Red Deer,Private Institution,BPOQ,"103 4719-48 Avenue, Red Deer, Alberta, Canada, 7804538210",Employment and Social Development Canada
Calgary Flight Training Centre,Private Institution,BPOR,"Hangar 15 1436 Twp Rd 320, Didsbury , Alberta, Canada, 4033354892",Employment and Social Development Canada
Business IQ Training Inc.,Private Institution,BPOT,"5051-50 Street, Camrose, Alberta, Canada, 7806722672",Employment and Social Development Canada
ERP College,Private Institution,BPOU,"1400-734 7th Avenue SW, Calgary, Alberta, Canada, 4034520745",Employment and Social Development Canada
Advance Institute of Wellness and Esthetics,Private Institution,BPOV,"#14-140 East Chestermere Dr, Chestermere, Alberta, Canada, 4034724105",Employment and Social Development Canada
Embody School of Pilates,Private Institution,BPOW,"213, 300 Old Canmore Rd, Canmore, Alberta, Canada, 4036786765",Employment and Social Development Canada
Bredin College of Business and Health Care - Calgary,Private Institution,BPOX,"#410 744-4 Avenue SW, Calgary, Alberta, Canada, 7804253730",Employment and Social Development Canada
Bredin College of Business and Health Care-Edmonton,Private Institution,BPOY,"9th Floor 10004 104 Avenue NW, Edmonton, Alberta, Canada, 7804253730",Employment and Social Development Canada
MCG Career College - Cold Lake,Private Institution,BPOZ,"103 - 5605 55 Street, Cold Lake, Alberta, Canada, 888 261 8999",Employment and Social Development Canada
MTG Healthcare Academy-Edmonton,Private Institution,BPPA,"Suite 203, 9915 51 Avenue NW, Edmonton, Alberta, Canada, 7808637263",Employment and Social Development Canada
"CLI College of Business, Health and Technology-Calgary Campus",Private Institution,BPPC,"#210 4202 - 17 Avenue SE , Calgary, Alberta, Canada, (780) 680-7930",Employment and Social Development Canada
Sundance College,Private Institution,BPPD,"Unit G 128-28 Street SE, Calgary, Alberta, Canada, 403-455-9010",Employment and Social Development Canada
ACCData Computer Systems and Training,Private Institution,BPPF,"305-9804-100 Avenue, Grande Prairie, Alberta, Canada, 5872999444",Employment and Social Development Canada
Academy of Learning-Brooks,Private Institution,BPPG,"Unit C 212 - 2nd Avenue West, Brooks, Alberta, Canada, 4037932294",Employment and Social Development Canada
Alberta College of Massage Therapy-Red Deer,Private Institution,BPPH,"#120 4913 50 Avenue, Red Deer, Alberta, Canada, (780) 916-6888",Employment and Social Development Canada
The Esthetic Institute Training Center,Private Institution,BPPI,"4110 7005 Fairmount Drive, SE, Calgary, Alberta, Canada, 4032632204",Employment and Social Development Canada
Aesthetics Pro,Private Institution,BPPJ,"Unit 303 320-23 Avenue SW, Alberta Professional Building, Calgary, Alberta, Canada, 4034758202",Employment and Social Development Canada
Heritage College,Private Institution,BPPK,"140, 3015 - 12 Street NE, Calgary, Alberta, Canada, 403-800-8221",Employment and Social Development Canada
Evolve Dental Academy,Private Institution,BPPL,"103, 1914-34 Avenue SW, Calgary, Alberta, Canada, 4033543255",Employment and Social Development Canada
Cypress College-Legion Campus,Private Institution,BPPN,"702-2nd Street SE, Medicine Hat, Alberta, Canada, 4035274382",Employment and Social Development Canada
Academy of Reflexology and Massage,Private Institution,BPPO,"1026 Moyer Drive, Sherwood Park, Alberta, Canada, 7802353720",Employment and Social Development Canada
Synergy Flight Training Inc.,Private Institution,BPPQ,"Bldg. 38, 32 - 27018 SH633, Villeneuve Airport, Strugeon County, Alberta, Canada, 7804532085",Employment and Social Development Canada
Painter Decorator College,Private Institution,BPPR,"4409-94 Street, Edmonton, Alberta, Canada, 5879891954",Employment and Social Development Canada
Timberline Canadian Alpine Academy,Private Institution,BPPS,"333 Banff Avenue, PO Box 1040, Banff, Alberta, Canada, 4034976940",Employment and Social Development Canada
Bredin college of Business and Health Care-Red Deer,Private Institution,BPPT,"501 5010-43 Street, Red Deer, Alberta, Canada, 7804253730",Employment and Social Development Canada
M. Dent College,Private Institution,BPPU,"207, 1711-4th Street SW, Calgary, Alberta, Canada, 4032647656",Employment and Social Development Canada
CDI College of Business Technology and Health Care-Red Deer,Private Institution,BPPV,"5th Floor, 5000 Gaetz Avenue, Red Deer, Alberta, Canada, (587) 951-1030",Employment and Social Development Canada
Cambrooks College-Downtown Location,Private Institution,BPPW,"1105-7 Avenue SW, Calgary, Alberta, Canada, 4039191429",Employment and Social Development Canada
DelMar College of Esthetics & Wellness,Private Institution,BPPX,"Suite 160 , 5769 4 Street SE, Calgary, Alberta, Canada, 4032556644",Employment and Social Development Canada
Alberta Business & Health Institute,Private Institution,BPPY,"210, 5009 50 Ave, Red Deer, Alberta, Canada, (403) 986-9998",Employment and Social Development Canada
East-West College of Business and Technology,Private Institution,BPPZ,"Suite 200, 3880 - 29th Street , NE, Calgary, Alberta, Canada, 5877182955",Employment and Social Development Canada
"Ambber & Salma College of Esthetics, Laser & Spa Training Centre",Private Institution,BPQA,"#18 5440-4 Street NW, Calgary, Alberta, Canada, 4032450022",Employment and Social Development Canada
Peerless Training Institute,Private Institution,BPQC,"#260, 2635-37th Avenue NE, Calgary, Alberta, Canada, (403) 230-2665",Employment and Social Development Canada
Canford Institute of Technology,Private Institution,BPQD,"10709 105 Street , Edmonton, Alberta, Canada, 403 869-9391",Employment and Social Development Canada
Peace River Academy,Private Institution,BPQE,"Glenmary School, 8801 96 Street, Peace River, Alberta, Canada, 7804090222",Employment and Social Development Canada
ABES (Alberta Business and Educational Services)-Calgary,Private Institution,BPQF,"10, 221-18 Street SE, Calgary, Alberta, Canada, 4032328758",Employment and Social Development Canada
Lighthouse Labs - Calgary,Private Institution,BPQG,"WorkNicer, 630 8 Ave SW, #600, Calgary, Alberta, Canada, 8885696898",Employment and Social Development Canada
Polished School Of Esthetics,Private Institution,BPQH,"207 12 Street B North, Lethbridge, Alberta, Canada, 5872207416",Employment and Social Development Canada
The Esthetic Institute Training Center-Edmonton,Private Institution,BPQI,"6012 82 Avenue, Edmonton, Alberta, Canada, 4036308975",Employment and Social Development Canada
Canadian Institute of Osteopathic Therapy,Private Institution,BPQJ,"757 57 Ave NE, Calgary, Alberta, Canada, 403 455-2468",Employment and Social Development Canada
Manual Osteopathic College of Canada,Private Institution,BPQL,"4620 99 Street, Edmonton, Alberta, Canada, 7809166888",Employment and Social Development Canada
InnoTech College-Calgary,Private Institution,BPQM,"305 4014 MacLeod Trail SE, Calgary, Alberta, Canada, 4034730939",Employment and Social Development Canada
InnoTech College-Edmonton,Private Institution,BPQN,"209 10080 Jasper Avenue, Edmonton, Alberta, Canada, 4034730939",Employment and Social Development Canada
Archways Healing College,Private Institution,BPQO,"275 8702 Meadowlark , Road NW, Edmonton, Alberta, Canada, 7804257770",Employment and Social Development Canada
Canadian Health and Business College,Private Institution,BPQP,"208, 1212 1 Street SE, Calgary, Alberta, Canada, 4034533346",Employment and Social Development Canada
Southern Alberta Institute of Massage-Medicine Hat,Private Institution,BPQQ,"340 Maple Avenue SE, Medicine Hat, Alberta, Canada, 4035049694",Employment and Social Development Canada
One Beauty Academy-Edmonton,Private Institution,BPQR,"1424 8882 170 Street, Edmonton, Alberta, Canada, 5879995890",Employment and Social Development Canada
Alberta College of Massage Therapy-Edmonton South,Private Institution,BPQS,"4620 99 Street, Edmonton, Alberta, Canada, 7809166888",Employment and Social Development Canada
Alberta Health and Safety Training Institute-Red Deer,Private Institution,BPQT,"Bay 22 7471 Edgar Industrial , Bend, Red Deer, Alberta, Canada, 4036705406",Employment and Social Development Canada
The Excel Academy,Private Institution,BPRC,"10766 97 STREET, Edmonton, Alberta, Canada, (780) 455-2601",Employment and Social Development Canada
Alberta College of Acupuncture And Traditional Chinese Medicine,Private Institution,BPRD,"102, 1910-20th Avenue NW, Calgary, Alberta, Canada, (403) 286-8788",Employment and Social Development Canada
Newman Theological College,Private Institution,BPRF,"10012 84 Street, NW, Edmonton, Alberta, Canada, (780) 467-5858",Employment and Social Development Canada
Mountain View Helicopters,Private Institution,BPRJ,"Springbank Airport, 402A Otter Bay, Calgary, Alberta, Canada, (403) 286-7186",Employment and Social Development Canada
Alberta College of Massage Therapy-Grande Prairie,Private Institution,BPRY,"201, 11402 100 Street, Grande Prairie, Alberta, Canada, (780) 916-6888",Employment and Social Development Canada
MH Vicars School of Massage Therapy - Edmonton,Private Institution,BPSA,"2828 Calgary Trail , NW, Edmonton, Alberta, Canada, (780) 491-0574",Employment and Social Development Canada
Professional Medical Associates - St. Albert,Private Institution,BPSC,"#101 265 Carleton Drive, St. Albert, Alberta, Canada, 7804608410",Employment and Social Development Canada
Excel Flight Training Incorporated,Private Institution,BPSE,"421 Stubb Ross Road, Suite 201, Leithbridge, Alberta, Canada, (403) 329-4887",Employment and Social Development Canada
Springbank Air Training College Ltd.,Private Institution,BPSG,"132 Maclaurin Drive, Calgary, Alberta, Canada, (403) 288-7700",Employment and Social Development Canada
Rotorworks Inc.,Private Institution,BPSM,"Whitecourt Airport, Box 86, Whitecourt, Alberta, Canada, (780) 778-6600",Employment and Social Development Canada
Nightingale Academy of Health Services Inc.,Private Institution,BPSP,"Venta Care Centre, 13525 102 Street, , Edmonton, Alberta, Canada, (780) 478-5267",Employment and Social Development Canada
EIE MediSpa & Laser Training Centre,Private Institution,BPSR,"6724 75 Street, Edmonton, Alberta, Canada, (780) 466-5271",Employment and Social Development Canada
Reeves College - Lloydminster,Private Institution,BPSS,"2nd Floor, The Atrium Centre, 5012 - 49 Street, Lloydminster, Alberta, Canada, (780) 875-3308",Employment and Social Development Canada
Ambrose University,Private Institution,BPSV,"150 Ambrose Circle SW, Calgary, Alberta, Canada, (403) 410-2000",Employment and Social Development Canada
Reeves College - Edmonton,Private Institution,BPSY,"#500 , 10004Jasper Avenue, Edmonton, Alberta, Canada, (780) 990-1650",Employment and Social Development Canada
Robertson College - Calgary,Private Institution,BPTA,"Suite 100, 2912 Memorial Drive SE, , Calgary, Alberta, Canada, (403) 920-0070",Employment and Social Development Canada
