,name,source_facility_type,ages,capacity,infant,toddler,school_age,facility_type,full_address,provider
24,BEACONSFIELD DISCOVERY DAYCARE,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,677 Beaconsfield Avenue Saint John E2M 2K6 (506) 647-0115,Province of New Brunswick
25,BELL AIR DAY CARE,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,248 Bond Drive Moncton E1E 4S4 (506) 204-8285,Province of New Brunswick
26,BENOIT CHILDCARE,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,20 Leaman Court Saint John E2J 1B6 (506) 657-7151,Province of New Brunswick
27,Best Beginnings Preschool and Afterschool Centre,Part-time Centre,"Preschool, School-age",12.0,N,Y,Y,Day Care,58 Hanselpacker Road Harvey Station E6K 1A3 (506) 261-9918,Province of New Brunswick
28,BGCCC AFTER SCHOOL PROGRAM,Part-time Centre,School-age,45.0,N,N,Y,Day Care,54 Disher Lane Dufferin Charlotte Co E3L 3H7 (506) 466-4300,Province of New Brunswick
29,BGCCC EARLY LEARNING CENTRE,Full-time Centre,"Infant, Preschool",54.0,Y,Y,N,Day Care,54 Disher Lane Dufferin Charlotte Co E3L 3H7 (506) 466-4314,Province of New Brunswick
30,Birchwood Preschool,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,23 Lloyd Street Hanwell E3C 1M4 (506) 206-4455,Province of New Brunswick
31,Bluebell Montessori,Full-time Centre,"Preschool, School-age",27.0,N,Y,Y,Day Care,177 Argyle Street Fredericton E3B 1T6 (506) 454-5558,Province of New Brunswick
32,Boulevard Early Learning Centre,Full-time Centre,"Infant, Preschool, School-age",48.0,Y,Y,Y,Day Care,174 Milltown Boulevard St. Stephen E3L 1G8 (506) 466-3614,Province of New Brunswick
33,Boulevard Out of School Club,Part-time Centre,School-age,30.0,N,N,Y,Day Care,Milltown Boulevard St. Stephen E3L 1G8 (506) 466-3614,Province of New Brunswick
34,BOYS AND GIRLS CLUB OF CHARLOTTE COUNTY - BLACKS HARBOUR,Part-time Centre,School-age,19.0,N,N,Y,Day Care,600 Main Street Blacks Harbour E5H 1C1 (506) 466-4300,Province of New Brunswick
35,Boys and Girls Club of Charlotte County-Club ASP,Part-time Centre,School-age,30.0,N,N,Y,Day Care,54 Disher Lane Dufferin Charlotte Co E3L 3H7 (506) 466-4300,Province of New Brunswick
36,BOYS AND GIRLS CLUB OF CHARLOTTE COUNTY--MILLTOWN,Full-time Centre,"Preschool, School-age",40.0,N,Y,Y,Day Care,434 Milltown Boulevard St. Stephen E3L 1J8 (506) 466-4300,Province of New Brunswick
37,BRIDGE STREET AFTER SCHOOL ACADEMY,Full-time Centre,"Preschool, School-age",60.0,N,Y,Y,Day Care,148 Bridge Street Sackville E4L 3P7 (506) 536-1066,Province of New Brunswick
38,BRIDGE STREET CHILDREN'S ACADEMY,Full-time Centre,"Infant, Preschool",55.0,Y,Y,N,Day Care,146 Bridge Street Sackville E4L 3P7 (506) 536-1066,Province of New Brunswick
39,Bright Beginnings Daycare,Full-time Centre,"Infant, Preschool",51.0,Y,Y,N,Day Care,486 Needham Street Fredericton E3B 1P1 (506) 458-6998,Province of New Brunswick
40,BRIGHT HORIZONS,Full-time Centre,"Infant, Preschool",20.0,Y,Y,N,Day Care,914 Dever Road Saint John E2M 4J3 (506) 674-1484,Province of New Brunswick
41,Brighter Horizons Preschool & Afterschool Centre,Full-time Centre,"Preschool, School-age",30.0,N,Y,Y,Day Care,491 Pleasant Drive Minto E4B 2T4 (506) 327-3030,Province of New Brunswick
42,Building Blocks Early Education Center,Full-time Centre,"Preschool, School-age",22.0,N,Y,Y,Day Care,34 King Street Campbellton E3N 1C6 (506) 987-2532,Province of New Brunswick
43,BUILDING BLOCKS PLAYCENTER,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,79 Weyburn Road Moncton E1A 5M5 (506) 874-9139,Province of New Brunswick
44,BUILDING FUTURES AFTERSCHOOL ADVENTURE,Full-time Centre,"Preschool, School-age",49.0,N,Y,Y,Day Care,178 Albert Street Moncton E1C 1B2 (506) 384-7529,Province of New Brunswick
45,BUILDING FUTURES EARLY LEARNING CHILD CARE CENTER,Full-time Centre,"Infant, Preschool",60.0,Y,Y,N,Day Care,178 Albert Street Moncton E1C 1B2 (506) 384-7529,Province of New Brunswick
46,BUTTERFLIES & BUMBLEBEES DAYCARE,Full-time Centre,"Infant, Preschool",48.0,Y,Y,N,Day Care,A 661 Dever Road Saint John E2M 4J2 (506) 672-3134,Province of New Brunswick
47,C.S.E Little Hands-Little Feet C.E.C Inc. 2,Full-time Centre,"Preschool, School-age",55.0,N,Y,Y,Day Care,1036 chemin Tobique DSL de Drummond E3Y 2K4 (506) 582-1722,Province of New Brunswick
48,CAUSERIE AMICALE,Full-time Centre,"Infant, Preschool, School-age",52.0,Y,Y,Y,Day Care,176 chemin Cormier Cross Cocagne E4R 2J5 (506) 576-6738,Province of New Brunswick
49,Cedar Brook Early Learning Center of Excellence,Full-time Centre,"Infant, Preschool",52.0,Y,Y,N,Day Care,3532 Woodstock Road Fredericton E3E 1E6 (506) 260-6256,Province of New Brunswick
50,Cedar Brook Forest School,Full-time Centre,"Preschool, School-age",24.0,N,Y,Y,Day Care,3532 Woodstock Road Fredericton E3E 1E6 (506) 260-6256,Province of New Brunswick
51,CENTENARY QUEEN SQUARE DAYCARE CENTRE,Full-time Centre,"Infant, Preschool",24.0,Y,Y,N,Day Care,310 Princess Street Saint John E2L 1L5 (506) 693-8080,Province of New Brunswick
52,CENTRE DE JOUR L'EVEIL,Full-time Centre,Preschool,47.0,N,Y,N,Day Care,9 rue Sainte-Croix Moncton E1A 3E9 (506) 858-4270,Province of New Brunswick
53,Centre de Soins et ducation Mickey & Minnie,Full-time Centre,"Infant, Preschool",39.0,Y,Y,N,Day Care,14 avenue No Saint-Andr E3Y 0C5 (506) 473-1090,Province of New Brunswick
54,Centre ducatif Bouge O Max,Part-time Centre,"Preschool, School-age",23.0,N,Y,Y,Day Care,438 rue Levesque Saint-Andr E3Y 3C7,Province of New Brunswick
55,Centre ducatif la Marelle Educational Center,Full-time Centre,"Preschool, School-age",60.0,N,Y,Y,Day Care,1060 chemin Melanson Dieppe E1A 7P2 (506) 384-0707,Province of New Brunswick
56,CENTRE DUCATIF LE PLATINUM,Full-time Centre,"Preschool, School-age",60.0,N,Y,Y,Day Care,355 rue Amirault Dieppe E1A 1G1 (506) 855-9000,Province of New Brunswick
57,CENTRE DUCATIF L'ENVOL DE DIEPPE,Part-time Centre,"Preschool, School-age",9.0,N,Y,Y,Day Care,11 ruelle David Dieppe E1A 0J7 (506) 384-2361,Province of New Brunswick
58,Centre ducatif les p'tits crayons 2,Full-time Centre,"Infant, Preschool, School-age",34.0,Y,Y,Y,Day Care,520 rue Amirault Dieppe E1A 1C8 (506) 384-5936,Province of New Brunswick
59,Centre educatif les p'tits crayons Inc.,Full-time Centre,"Infant, Preschool, School-age",63.0,Y,Y,Y,Day Care,313 rue Centrale Memramcook E4K 1Z9 (506) 334-0252,Province of New Brunswick
60,CENTRE DUCATIF MLI MLO,Home,School-age,9.0,N,N,Y,Home,210 rue Sainte-Therese Dieppe E1A 1T3 (506) 852-1317,Province of New Brunswick
61,Centre Parascolaire Entre Amis,Part-time Centre,School-age,60.0,N,N,Y,Day Care,505 rue Champlain Dieppe E1A 1P2 (506) 855-2647,Province of New Brunswick
62,Centre Parascolaire Entre Amis Junior,Part-time Centre,School-age,30.0,N,N,Y,Day Care,505 rue Champlain Dieppe E1A 1P2 (506) 855-2647,Province of New Brunswick
63,CENTRE PARASCOLAIRE NOS PETITS CAMARADES,Full-time Centre,School-age,40.0,N,N,Y,Day Care,386 rue Amirault Dieppe E1A 1G3 (506) 854-7412,Province of New Brunswick
64,"Centre rcratif ""B"" Safari Social",Part-time Centre,School-age,60.0,N,N,Y,Day Care,55 rue Englehart Dieppe E1A 8K2 (506) 386-2262,Province of New Brunswick
65,Centre rcratif 'A' Safari Social,Full-time Centre,"Preschool, School-age",40.0,N,Y,Y,Day Care,55 rue Englehart Dieppe E1A 8K2 (506) 386-2262,Province of New Brunswick
66,Centreville Child Care,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,756 Central Street Centreville E7K 2M7 (506) 276-4437,Province of New Brunswick
67,Centreville Preschool,Part-time Centre,Preschool,10.0,N,Y,N,Day Care,751 Central Street Centreville E7K 2M6 (506) 276-4437,Province of New Brunswick
68,CHATHAM DAY CARE CENTER,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,80 University Avenue Miramichi E1N 0C6 (506) 773-9779,Province of New Brunswick
69,CHATHAM DAY CARE CENTRE TOO,Full-time Centre,"Infant, Preschool",45.0,Y,Y,N,Day Care,21 Hotel Dieu Street Miramichi E1N 0A5 (506) 773-0993,Province of New Brunswick
70,CHERYL'S HOME AWAY FROM HOME DAYCARE,Full-time Centre,"Infant, Preschool, School-age",45.0,Y,Y,Y,Day Care,79 Edith Avenue Saint John E2J 4H3 (506) 696-6443,Province of New Brunswick
71,CHERYL'S HOME AWAY FROM HOME DAYCARE LTD.,Full-time Centre,Preschool,17.0,N,Y,N,Day Care,185 Loch Lomond Road Saint John E2J 3Z6 (506) 639-3096,Province of New Brunswick
72,CHEZ CATHY,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,447 rue Avant-Garde Dieppe E1A 5E6 (506) 874-6860,Province of New Brunswick
73,Chez Gisle,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,144 Street Goodine Fredericton E3B 9H5 (506) 459-0405,Province of New Brunswick
74,Chickadee Tree ELC,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,11 Perley Avenue Fredericton E3A 4R6 (506) 262-1436,Province of New Brunswick
75,Children's Playhouse,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,1466 Woodstock Road Fredericton E3C 1P3 (506) 454-2744,Province of New Brunswick
76,Cindy's Childcare Centre,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,1125 655 Route Waasis E3B 9A4 (506) 429-2948,Province of New Brunswick
77,CLARK'S AFTERSCHOOL ADVENTURES,Home,School-age,9.0,N,N,Y,Home,11 Golden Hawk Drive Miramichi E1N 3J1 (506) 773-7943,Province of New Brunswick
78,CLASS: CREATIVE LEARNING AFTER SCHOOL SOLUTIONS,Part-time Centre,School-age,60.0,N,N,Y,Day Care,25 Duke Street Sussex E4E 1P8 (506) 434-1234,Province of New Brunswick
79,CLOSE TO HOME DAYCARE,Home,School-age,9.0,N,N,Y,Home,68 Lake Road Kingston E5N 1K1 (506) 639-9587,Province of New Brunswick
80,CLUB 6-12,Part-time Centre,School-age,60.0,N,N,Y,Day Care,140 Street Botsford Moncton E1C 4X5 (506) 859-1498,Province of New Brunswick
81,CLUB 6-12 PLUS,Part-time Centre,School-age,40.0,N,N,Y,Day Care,140 Street Botsford Moncton E1C 4X5 (506) 859-1498,Province of New Brunswick
82,CLUB ABC,Part-time Centre,School-age,15.0,N,N,Y,Day Care,83 Street Drummond Moncton E1A 2Z3 (506) 857-8999,Province of New Brunswick
83,CLUB ANNA-MALENFANT,Part-time Centre,School-age,60.0,N,N,Y,Day Care,500 rue Centrale Dieppe E1A 6V7 (506) 383-8470,Province of New Brunswick
84,Club Des Amis 2,Part-time Centre,School-age,60.0,N,N,Y,Day Care,1125 Highland Avenue Bathurst E2A 4P7 (506) 543-3807,Province of New Brunswick
85,Club Des Amis 3,Part-time Centre,"Preschool, School-age",24.0,N,Y,Y,Day Care,840 Street Grandview Bathurst E2A 3R7 (506) 547-0084,Province of New Brunswick
86,Club Des Amis 4,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,1410 Miramichi Avenue Bathurst E2A 1Y2 (506) 548-8584,Province of New Brunswick
87,Club Des Amis 5,Part-time Centre,School-age,35.0,N,N,Y,Day Care,1255 Drive Rough Water Bathurst E2A 1Z2 (506) 548-8584,Province of New Brunswick
88,Club Des Amis 6,Full-time Centre,"Preschool, School-age",60.0,N,Y,Y,Day Care,980 Boulevard Vanier Bathurst E2A 3N2 (506) 547-0084,Province of New Brunswick
89,Club Des Amis 7,Full-time Centre,"Infant, Preschool",60.0,Y,Y,N,Day Care,980 Boulevard Vanier Bathurst E2A 3N2 (506) 547-0085,Province of New Brunswick
90,Club Des Amis Halte Scolaire,Full-time Centre,Preschool,12.0,N,Y,N,Day Care,980 Boulevard Vanier Bathurst E2A 3N2 (506) 547-0085,Province of New Brunswick
91,Club Des Amis Terry Fox,Part-time Centre,School-age,45.0,N,N,Y,Day Care,155 Basin Street Bathurst E2A 6N1 (506) 547-0084,Province of New Brunswick
92,Club Le Marais,Part-time Centre,School-age,38.0,N,N,Y,Day Care,1620 boulevard Dieppe Dieppe E1A 8P5 (506) 380-0777,Province of New Brunswick
93,CLUB SOLEIL,Part-time Centre,School-age,15.0,N,N,Y,Day Care,29 Street Mcann Moncton E1A 4S6 (506) 850-6000,Province of New Brunswick
94,CLUB STE-THRSE 2,Part-time Centre,School-age,30.0,N,N,Y,Day Care,500 rue Notre-Dame Dieppe E1A 5C2 (506) 855-7417,Province of New Brunswick
95,Clubhouse Kids,Home,School-age,9.0,N,N,Y,Home,55 Bromley Avenue Hanwell E3C 1M8 (506) 454-6292,Province of New Brunswick
96,Coburg Early Learning Child Care Home,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,120 Coburg Street Saint John E2L 3K1 (506) 693-2228,Province of New Brunswick
97,COCHRAN'S HOME AWAY FROM HOME DAYCARE,Full-time Centre,"Infant, Preschool, School-age",38.0,Y,Y,Y,Day Care,1433 Loch Lomond Road Saint John E2J 1Z8 (506) 696-6442,Province of New Brunswick
98,College Hill Early Learning Cooperative Ltd.,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,850 Montgomery Street Fredericton E3B 2X9 (506) 458-2883,Province of New Brunswick
99,Co-op Wee Care Daycare Education and Learning Center,Full-time Centre,"Infant, Preschool",60.0,Y,Y,N,Day Care,190 Doak Road Fredericton E3C 2G2 (506) 444-0505,Province of New Brunswick
100,Country Kids Day Care,Part-time Centre,School-age,32.0,N,N,Y,Day Care,148 Hillsborough Road Riverview E1B 1R6 (506) 860-6572,Province of New Brunswick
101,Country Kids Learning Center,Full-time Centre,"Preschool, School-age",42.0,N,Y,Y,Day Care,142 Hillsborough Road Riverview E1B 1R6 (506) 860-6572,Province of New Brunswick
102,Country Kids Preschool,Full-time Centre,"Infant, Preschool, School-age",58.0,Y,Y,Y,Day Care,142 Hillsborough Road Riverview E1B 1R6 (506) 860-6572,Province of New Brunswick
103,COURTENAY AVENUE DAYCARE 2018,Full-time Centre,"Preschool, School-age",24.0,N,Y,Y,Day Care,133 Courtenay Avenue Saint John E2J 1N4 (506) 634-8418,Province of New Brunswick
104,CPE la Ribambelle en Folie Lte,Full-time Centre,"Infant, Preschool",49.0,Y,Y,N,Day Care,11782 Route 144 Saint-Lonard E7E 2M1 (506) 423-6401,Province of New Brunswick
105,CPE Les Poussins,Full-time Centre,"Infant, Preschool, School-age",44.0,Y,Y,Y,Day Care,523 rue Principale Clair E7A 2G8 (506) 253-9075,Province of New Brunswick
106,Crafty Corner Childcare Centre,Full-time Centre,"Infant, Preschool, School-age",58.0,Y,Y,Y,Day Care,2-1 9160 Main Street Florenceville-Bristol E7L 2A6 (506) 392-6161,Province of New Brunswick
107,Creating Lil' Wonders Daycare,Full-time Centre,"Infant, Preschool",16.0,Y,Y,N,Day Care,205 Main Street Rexton E4W 2A9 (506) 523-4434,Province of New Brunswick
108,Creating Wonders,Full-time Centre,"Infant, Preschool, School-age",38.0,Y,Y,Y,Day Care,203 Main Street Rexton E4W 2A9 (506) 523-4434,Province of New Brunswick
109,Creative Childcare Early Learning Centre of Excellence,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,1691 Lincoln Road Fredericton E3B 8J7 (506) 459-8458,Province of New Brunswick
110,Crilley Connections Afterschool Program,Part-time Centre,School-age,24.0,N,N,Y,Day Care,281 Restigouche Road Oromocto E2V 2H2 (506) 357-9938,Province of New Brunswick
111,Crilley Connections Child Care,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,281 Restigouche Road Oromocto E2V 2H2 (506) 357-9938,Province of New Brunswick
112,CSE/CEC Marika Inc.,Full-time Centre,"Infant, Preschool, School-age",53.0,Y,Y,Y,Day Care,98 chemin Tobique Grand-Sault/Grand Falls E3Y 1B9 (506) 475-8525,Province of New Brunswick
113,DALEY DAY CARE 2,Full-time Centre,"Infant, Preschool, School-age",39.0,Y,Y,Y,Day Care,99 Highlandview Road Moncton E1A 2L1 (506) 388-9019,Province of New Brunswick
114,Dandelion Daycare,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,103 Teak Drive Fredericton E3A 2H9 (506) 292-0207,Province of New Brunswick
115,Dawson Day Home,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,Oromocto (709) 728-1190,Province of New Brunswick
116,Daycare of Memories,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,217 Sumner Avenue Moncton E1C 8A6 (506) 854-5656,Province of New Brunswick
117,DISCOVERY STREET LEARNING CENTER,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,19 Francis rue Dieppe E1A 7R2 (506) 855-6276,Province of New Brunswick
118,DIVINE MERCY CATHOLIC PRESCHOOL,Part-time Centre,"Preschool, School-age",31.0,N,Y,Y,Day Care,30 Douglas Street Saint John E2K 0G5 (506) 214-5556,Province of New Brunswick
119,Dragonfly Daycare and Afterschool Club,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,46 Milky Way Drive Hanwell E3C 1M7 (506) 455-4704,Province of New Brunswick
120,Dufferin Street Afterschool Academy,Part-time Centre,School-age,60.0,N,N,Y,Day Care,10 Dufferin Street Sackville E4L 3W3 (506) 536-1066,Province of New Brunswick
121,Dunn Learning Academy - Montesorri/Afterschool Program,Full-time Centre,"Infant, Preschool, School-age",60.0,Y,Y,Y,Day Care,572 New Maryland Highway New Maryland E3C 1K1 (506) 292-1788,Province of New Brunswick
122,Dunn Learning Academy I am Special Daycare,Full-time Centre,"Infant, Preschool",15.0,Y,Y,N,Day Care,162 Bradshaw Drive New Maryland E3C 1H3 (506) 455-4667,Province of New Brunswick
123,Early World of Learning Daycare,Full-time Centre,"Infant, Preschool, School-age",37.0,Y,Y,Y,Day Care,1052 Northside Drive Minto E4B 3H7 (506) 327-4551,Province of New Brunswick
124,EARTHLINGS CHILDCARE,Part-time Centre,"Preschool, School-age",15.0,N,Y,Y,Day Care,144 Oak Ridge Drive Moncton E1G 0M2 (506) 878-7554,Province of New Brunswick
125,East Coast Kids Child Care & Learning Center,Full-time Centre,"Preschool, School-age",57.0,N,Y,Y,Day Care,31 School Lane Hillsborough E0A 1X0 (506) 962-5868,Province of New Brunswick
126,East Coast Kids Riverside-Albert,Full-time Centre,"Preschool, School-age",24.0,N,Y,Y,Day Care,90 Water Street Riverside-Albert E4H 3Z7 (506) 962-5868,Province of New Brunswick
127,Eastwood Play and Learn,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,111 Eastwood Drive Woodstock E7M 1P5 (506) 324-1033,Province of New Brunswick
128,cole de la Petite Enfance,Full-time Centre,Preschool,60.0,N,Y,N,Day Care,4138 rue Principale Tracadie-Sheila E1X 1B8 (506) 395-4013,Province of New Brunswick
129,cole de la Petite enfance 3,Full-time Centre,"Infant, School-age",18.0,Y,N,Y,Day Care,4138 rue Principale Tracadie-Sheila E1X 1B8 (506) 395-4013,Province of New Brunswick
130,EJ Afterschool Program,Part-time Centre,School-age,46.0,N,N,Y,Day Care,300 Restigouche Road Oromocto E2V 2H5 (506) 260-9898,Province of New Brunswick
131,ELSIPOGTOG DAY CARE,Full-time Centre,"Preschool, School-age",25.0,N,Y,Y,Day Care,208 MAIN Street Elsipogtog First Nation E4W 2X9 (506) 523-8305,Province of New Brunswick
132,Elsipogtog Headstart,Full-time Centre,Preschool,35.0,N,Y,N,Day Care,361 Big Cove Road Elsipogtog First Nation E4W 2S3 (506) 523-8254,Province of New Brunswick
133,Enlightened Souls Day Care,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,40 Henderson Avenue Riverview E1B 3P3 (506) 381-9380,Province of New Brunswick
134,Enrich Kids,Part-time Centre,School-age,30.0,N,N,Y,Day Care,B 557 Saint Mary's Street Fredericton E3A 8H4 (506) 897-0105,Province of New Brunswick
135,Evergreen Acres Childcare,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,15 Debbie Lane Richibucto Road E3A 6T6 (506) 261-3236,Province of New Brunswick
136,FAMILY TIES AFTER SCHOOL PROGRAM,Part-time Centre,School-age,49.0,N,N,Y,Day Care,166 Tower Street Saint John E2M 1Z2 (506) 214-6789,Province of New Brunswick
137,FAMILY TIES PLAYCARE CENTRE,Full-time Centre,"Infant, Preschool",60.0,Y,Y,N,Day Care,166 Tower Street Saint John E2M 1Z2 (506) 214-6789,Province of New Brunswick
138,Fit Kids,Part-time Centre,School-age,60.0,N,N,Y,Day Care,688 Prospect Street Fredericton E3B 6G9 (506) 472-3674,Province of New Brunswick
139,FitCamp90 After-School,Part-time Centre,School-age,24.0,N,N,Y,Day Care,274 Halifax Street Moncton E1C 9S3 (506) 860-0690,Province of New Brunswick
142,Forest Park Childcare,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,14 Butternut Lane Noonan E3A 0Z3 (506) 440-4268,Province of New Brunswick
143,Forever Young Home Childcare Centre,Home,"Infant, Preschool, School-age",6.0,Y,Y,Y,Home,175 Diamond Street Fredericton E3G 7T9 (506) 206-1548,Province of New Brunswick
144,Franco I,Full-time Centre,"Preschool, School-age",60.0,N,Y,Y,Day Care,715 Street Priestman Fredericton E3B 5W7 (506) 458-9915,Province of New Brunswick
145,Franco II,Part-time Centre,School-age,60.0,N,N,Y,Day Care,715 Street Priestman Fredericton E3B 5W7 (506) 458-9915,Province of New Brunswick
146,Franco III,Full-time Centre,Preschool,60.0,N,Y,N,Day Care,715 Street Priestman Fredericton E3B 5W7 (506) 458-9915,Province of New Brunswick
147,Fredericton Christian Academy Children's Centre,Part-time Centre,School-age,60.0,N,N,Y,Day Care,778 MacLaren Avenue Fredericton E3A 3L7 (506) 458-9379,Province of New Brunswick
148,Fredericton Christian Academy Early Childhood Learning Centre,Full-time Centre,Preschool,40.0,N,Y,N,Day Care,778 MacLaren Avenue Fredericton E3A 3L7 (506) 458-9379,Province of New Brunswick
149,Fredericton Early Learning Centre,Full-time Centre,Preschool,41.0,N,Y,N,Day Care,351 Aberdeen Street Fredericton E3B 1R8 (506) 452-8894,Province of New Brunswick
150,Fredericton Montessori Academy,Part-time Centre,School-age,60.0,N,N,Y,Day Care,131 Duncan Lane Fredericton E3B 9T1 (506) 444-6249,Province of New Brunswick
151,Fredericton Montessori Academy - Casa,Full-time Centre,"Preschool, School-age",36.0,N,Y,Y,Day Care,131 Duncan Lane Fredericton E3B 9T1 (506) 444-6249,Province of New Brunswick
