,name,ages,infant,toddler,school_age,full_address,province,city,provider
38,24-7 Dayhome -childcare,Infant Toddler Preschool,Y,Y,N,287 berwick drive nw Calgary AB,Alberta,Calgary,GoDayCare.com
39,3 And Up Kids Club (Acadia Kids),Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,97 Avenue SE Calgary Calgary AB,Alberta,Calgary,GoDayCare.com
40,3 Little Munchies Dayhome,Toddler Kindergarten Preschool,N,Y,N,Prestwick Bay S.E Cagary Calgary AB,Alberta,Calgary,GoDayCare.com
41,7days A Week Dayhome,Infant Toddler Kindergarten Preschool,Y,Y,N,"Abbeydale,NE Calgary AB",Alberta,Calgary,GoDayCare.com
42,Bradie's Dayhome,Infant Toddler Kindergarten Preschool,Y,Y,N,#7 Westview Crescent Calmar AB,Alberta,Calmar,GoDayCare.com
43,Country Kids Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,RR 272 Calmar AB,Alberta,Calmar,GoDayCare.com
44,Little Blue Stars,Toddler Kindergarten Preschool Schoolage,N,Y,Y,128 Coyote Way Canmore AB,Alberta,Canmore,GoDayCare.com
45,Little Monkeys Playhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Grotto close Canmore AB,Alberta,Canmore,GoDayCare.com
46,Marti's Day-Home,Infant Toddler Preschool,Y,Y,N,Canyon Close Canmore AB,Alberta,Canmore,GoDayCare.com
47,Mountain Munchkin Daycare,Infant Toddler Kindergarten Preschool,Y,Y,N,20 Grotto Way Canmore AB,Alberta,Canmore,GoDayCare.com
48,P A N J U L I A Playcare,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Eagle Terrace Road Canmore AB,Alberta,Canmore,GoDayCare.com
49,Rockies Playhome,Infant Toddler,Y,Y,N,Spring Creek Drive Canmore AB,Alberta,Canmore,GoDayCare.com
50,Wendy`s Day Home,Infant Toddler Preschool,Y,Y,N,207 Cayley AB,Alberta,Cayley,GoDayCare.com
51,Affordable Dayhome In Chestermere,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,244 Wintermere dr Chestermere AB,Alberta,Chestermere,GoDayCare.com
52,Amanda's Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,371 Marina Drive Chestermere AB,Alberta,Chestermere,GoDayCare.com
53,Amy's Dayhome,Infant Toddler,Y,Y,N,Stonemere Pl Chestermere AB,Alberta,Chestermere,GoDayCare.com
54,BrightPath Chestermere,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,100 Main Street Chestermere Chestermere AB,Alberta,Chestermere,GoDayCare.com
55,Chestermere Garden's Before And After School Care,Schoolage,N,N,Y,Kinniburgh Gardens Chestermere AB,Alberta,Chestermere,GoDayCare.com
56,Chestermere Learning Centre,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,100 Main Street Chestermere AB,Alberta,Chestermere,GoDayCare.com
57,Creative Connections Learning Centre (CCLC),Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,"107, 288 Kinniburgh Blvd Chestermere AB",Alberta,Chestermere,GoDayCare.com
58,Dee's Day Home,Infant Toddler Kindergarten Preschool,Y,Y,N,101 Kinniburgh Bay Chestermere AB,Alberta,Chestermere,GoDayCare.com
59,Dina'sayhome,Toddler Kindergarten Preschool Schoolage,N,Y,Y,inveremere Chestermere AB,Alberta,Chestermere,GoDayCare.com
60,Jen's Day Home,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,345 Windermere Dr Chestermere AB,Alberta,Chestermere,GoDayCare.com
61,Claresholm Child Care Society,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Box 271 Claresholm AB,Alberta,Claresholm,GoDayCare.com
62,Marianne's Day Home,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,17 Avenue A Coaldale AB,Alberta,Coaldale,GoDayCare.com
63,Bizzy Beez Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,5301 2nd st Coalhurst AB,Alberta,Coalhurst,GoDayCare.com
64,Happy Hippo Day Home,Infant Toddler Kindergarten Preschool,Y,Y,N,Sunset Link Cochrane AB,Alberta,Cochrane,GoDayCare.com
65,Happy Kids Daycare ~ Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,"20 West Broatch place Cochrane, AB Cochrane AB",Alberta,Cochrane,GoDayCare.com
66,Home Away From Home Childcare,Infant Toddler Preschool,Y,Y,N,Willow Green Cochrane AB,Alberta,Cochrane,GoDayCare.com
67,Kids And Company Cochrane,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,101 Sunset Drive Unit 633 Cochrane AB,Alberta,Cochrane,GoDayCare.com
68,Suzy's Dayhome,Infant Toddler Preschool Schoolage,Y,Y,Y,river heights green Cochrane AB,Alberta,Cochrane,GoDayCare.com
69,Angel Kisses Day Home,Infant Toddler Preschool Schoolage,Y,Y,Y,crossfield Crossfield AB,Alberta,Crossfield,GoDayCare.com
70,Charity's,Infant Toddler,Y,Y,N,Sunset Heights Crossfield AB,Alberta,Crossfield,GoDayCare.com
71,Devon Dayhome,Infant Toddler Kindergarten Preschool,Y,Y,N,Devon Devon Devon AB,Alberta,Devon,GoDayCare.com
72,K's Little Blossoms Dayhome,Infant Toddler Kindergarten Preschool,Y,Y,N,Kananaskis drive Devon AB,Alberta,Devon,GoDayCare.com
73,Michelle's Place,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Highwood Blvd Devon AB,Alberta,Devon,GoDayCare.com
74,Sarah H's Day Home,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Michigan Key Devon AB,Alberta,Devon,GoDayCare.com
75,Shelley's Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Athabasca Acres Devon AB,Alberta,Devon,GoDayCare.com
76,Sunbeams Home Childcare,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Birchwood Drive Devon AB,Alberta,Devon,GoDayCare.com
77,Budding Geniuses- Great Beginnings Never End!,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,66 Sandpiper Drive Didsbury AB,Alberta,Didsbury,GoDayCare.com
78,Dawley Dayhome,Toddler Preschool,N,Y,N,46 Southridge Cresent Didsbury AB,Alberta,Didsbury,GoDayCare.com
79,Heather's DayHome,Toddler Kindergarten Preschool Schoolage,N,Y,Y,1427 Ave - 18 street Didsbury AB,Alberta,Didsbury,GoDayCare.com
80,Purdy's Play And Grow,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,23rd Ave Didsbury AB,Alberta,Didsbury,GoDayCare.com
81,Christina's Dayhome,Toddler Kindergarten Preschool Schoolage,N,Y,Y,49 Street Drayton Valley AB,Alberta,Drayton Valley,GoDayCare.com
82,Little Explorers Child Care And Discovery Centre,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,245 3rd Street W Drumheller AB,Alberta,Drumheller,GoDayCare.com
83,"Day Care Terwillegar Early Years Day Home Close To Windermere, Riverbend,Am",Toddler Kindergarten Preschool,N,Y,N,"6835,speaker vista nw edmonton Edmonton AB",Alberta,Edmonton,GoDayCare.com
84,Belle Rive Accredited Day Home,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,161 89st Edmonton AB,Alberta,Edmonton,GoDayCare.com
85,Bumble Bee Child Care Centre,Infant Toddler Kindergarten Preschool,Y,Y,N,11028 106 ave Edmonton AB,Alberta,Edmonton,GoDayCare.com
86,Busy Kids Child Care Centre,Infant Toddler Kindergarten Preschool,Y,Y,N,12621 153 Ave Edmonton AB,Alberta,Edmonton,GoDayCare.com
87,McLeod Day Care,Infant Toddler Kindergarten Preschool,Y,Y,N,5914 153 Ave Edmonton AB,Alberta,Edmonton,GoDayCare.com
88,24-7 CHILDCARE CANADA INC,Infant Toddler Kindergarten Schoolage,Y,Y,Y,15612 97 Avenue Edmonton AB,Alberta,Edmonton,GoDayCare.com
89,6Buttons - Accredited Family Day Home,Infant Toddler Kindergarten Preschool,Y,Y,N,Calderon Cres NW Edmonton AB,Alberta,Edmonton,GoDayCare.com
90,A B C Day Care Centre,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,13586 Fort Road Edmonton AB,Alberta,Edmonton,GoDayCare.com
91,A Londonderry Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,7212 139 Avenue NW Edmonton AB,Alberta,Edmonton,GoDayCare.com
92,Abc Child Development Centre,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,11411 40 Avenue Edmonton AB,Alberta,Edmonton,GoDayCare.com
93,Accredited Dayhome On The Northside Of Edmonton,Infant Toddler Kindergarten Preschool,Y,Y,N,155ave and 133st Edmonton AB,Alberta,Edmonton,GoDayCare.com
94,Ages And Stages Early Learning And Care,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,5955 199 St Edmonton AB,Alberta,Edmonton,GoDayCare.com
95,Alberta Approved Family Day Home In Meadows,Infant Toddler Preschool,Y,Y,N,30 Ave NW Edmonton AB,Alberta,Edmonton,GoDayCare.com
96,ALEF BET JEWISH DAYCARE,Toddler Kindergarten Preschool,N,Y,N,Wolfwillow Rd Edmonton AB,Alberta,Edmonton,GoDayCare.com
97,Allen Gray Child Development,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,5005 28 Avenue Edmonton AB,Alberta,Edmonton,GoDayCare.com
98,Day Care Home Provide Near St. Martha School In Timblea,Infant Kindergarten Preschool,Y,Y,N,44 milinnum gate Fort McMurray AB,Alberta,Fort Mcmurray,GoDayCare.com
99,Dianna's Early Learning And Care,Toddler Kindergarten Preschool,N,Y,N,Dickensfield Fort Mcmurray AB,Alberta,Fort Mcmurray,GoDayCare.com
100,Rhoda- Providing Occasional Childcare!,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,102 Cartier Rd. Timberlea Fort McMurray AB,Alberta,Fort Mcmurray,GoDayCare.com
101,Twinkle Toes DayHome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,313 Millennium Dr Fort Mcmurray AB,Alberta,Fort Mcmurray,GoDayCare.com
102,Gibbons Family Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,44 ave Gibbons AB,Alberta,Gibbons,GoDayCare.com
103,Be More Montessori Learning Academy,Infant Toddler Kindergarten Preschool,Y,Y,N,88a Street Grande Prairie AB,Alberta,Grande Prairie,GoDayCare.com
104,Scribbles And Giggles Family Day Home,Preschool,N,Y,N,86 A Street Grande Prairie AB,Alberta,Grande Prairie,GoDayCare.com
105,Healthy Living DayHome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,49 ave Grimshaw AB,Alberta,Grimshaw,GoDayCare.com
106,Andrea's DayHome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,10th ave s.e. High River AB,Alberta,High River,GoDayCare.com
107,Chealsey's Day Home,Infant Toddler Kindergarten Preschool,Y,Y,N,215 Sunrise Terrace N.E. High River AB,Alberta,High River,GoDayCare.com
108,Cynthia Deans - Open Arms Dayhome,Infant Toddler Kindergarten Preschool,Y,Y,N,1408 Montrose Terrace SE High River AB,Alberta,High River,GoDayCare.com
109,High Country Kids Dayhome,Infant Toddler Preschool,Y,Y,N,2090 High Country Rise NW High River AB,Alberta,High River,GoDayCare.com
110,High River DayCare,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,1006 11 Ave. SE High River AB,Alberta,High River,GoDayCare.com
111,Hippity Hop Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,466 Ave Eas High River AB,Alberta,High River,GoDayCare.com
112,Nicki's House Day Home,Infant Toddler Preschool,Y,Y,N,1718 High Park Drive NW High River AB,Alberta,High River,GoDayCare.com
113,Rae Of Sunshine Dayhome,Infant Toddler Preschool,Y,Y,N,422 High Park Blvd. NW High River AB,Alberta,High River,GoDayCare.com
114,Vi's Daycare,Infant Toddler,Y,Y,N,riverside dr nw High River AB,Alberta,High River,GoDayCare.com
115,Vis Dayhome,Infant Toddler,Y,Y,N,river side dr High River AB,Alberta,High River,GoDayCare.com
116,Brenda's Day Home,Infant Toddler Preschool,Y,Y,N,collinge road Hinton AB,Alberta,Hinton,GoDayCare.com
117,Explore And Discover Child Care Center,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,143 Erith Drive Hinton AB,Alberta,Hinton,GoDayCare.com
118,Hinton Children's Learning Centre,Toddler Kindergarten Preschool Schoolage,N,Y,Y,805 Switzer Dr. Hinton AB,Alberta,Hinton,GoDayCare.com
119,Lamont Day Home,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,4932 48ave Lamont AB,Alberta,Lamont,GoDayCare.com
120,A 2 Z Day Home,Infant Toddler Kindergarten Preschool,Y,Y,N,Hanson Dr NE Langdon AB,Alberta,Langdon,GoDayCare.com
121,All For Fun Family Day Home,Kindergarten Preschool,N,Y,N,Vander-velde Place Langdon AB,Alberta,Langdon,GoDayCare.com
122,Beansprout's Day Home,Infant Toddler Preschool,Y,Y,N,Boulder Creek Drive Langdon AB,Alberta,Langdon,GoDayCare.com
123,Busy Bee's Day Home,Toddler Kindergarten Preschool Schoolage,N,Y,Y,Wenstrom Langdon AB,Alberta,Langdon,GoDayCare.com
124,Child Care,Toddler Preschool,N,Y,N,Barber St Langdon AB,Alberta,Langdon,GoDayCare.com
125,Corrine's Dayhome,Toddler Kindergarten Preschool,N,Y,N,Railway Cres SE Langdon AB,Alberta,Langdon,GoDayCare.com
126,Dannielle's Day Home,Toddler Kindergarten Preschool Schoolage,N,Y,Y,Boulder Creek Langdon AB,Alberta,Langdon,GoDayCare.com
127,Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Douglas ave Langdon AB,Alberta,Langdon,GoDayCare.com
128,Deb's Dayhome,Toddler Kindergarten Preschool,N,Y,N,Boulder Creek Drive Langdon AB,Alberta,Langdon,GoDayCare.com
129,Bentley's Buddie's Dayhome,Infant Toddler Preschool,Y,Y,N,Aspen Drive East Leduc AB,Alberta,Leduc,GoDayCare.com
130,Bentley's Buddies - Leduc,Infant Toddler Preschool,Y,Y,N,Aspen Drive East Leduc AB,Alberta,Leduc,GoDayCare.com
131,Dawn's Day Home,Kindergarten Preschool Schoolage,N,Y,Y,53 ave Leduc AB,Alberta,Leduc,GoDayCare.com
132,Dee's Private Home Daycare,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Sheppard Circle Leduc AB,Alberta,Leduc,GoDayCare.com
133,Diana's Darlings,Infant Toddler Preschool,Y,Y,N,52 Street Leduc AB,Alberta,Leduc,GoDayCare.com
134,Dragonflies And Dreams,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Arndt Court Leduc AB,Alberta,Leduc,GoDayCare.com
135,Global Childcare Centre,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,5007 49th Avenue Leduc AB,Alberta,Leduc,GoDayCare.com
136,Growing Minds,Kindergarten Preschool,N,Y,N,Alton Drive Leduc AB,Alberta,Leduc,GoDayCare.com
137,Jack And Jill Playschool,Preschool,N,Y,N,5212 50th Street Leduc AB,Alberta,Leduc,GoDayCare.com
138,Julias Home Away From Home,Infant Toddler Preschool,Y,Y,N,southwick way Leduc AB,Alberta,Leduc,GoDayCare.com
139,Les Chatons,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,4218 50 avenue Legal AB,Alberta,Legal,GoDayCare.com
140,Les Chatons,Toddler Preschool Schoolage,N,Y,Y,4218 50 Avenue Legal AB,Alberta,Legal,GoDayCare.com
141,A Childs Second Look Daycare Center,Toddler Kindergarten Preschool,N,Y,N,Mt Burke Blvd Lethbridge AB,Alberta,Lethbridge,GoDayCare.com
142,Caterpillar Clubhouse,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Heritage Close West Lethbridge AB,Alberta,Lethbridge,GoDayCare.com
143,Discovery Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,621 7 ST S Lethbridge AB,Alberta,Lethbridge,GoDayCare.com
144,Great And Small Daycare Inc.,Infant Toddler Preschool,Y,Y,N,520 18 Street South Lethbridge AB,Alberta,Lethbridge,GoDayCare.com
145,KC's Kids,Toddler Preschool,N,Y,N,11 Laval Pl W Lethbridge AB,Alberta,Lethbridge,GoDayCare.com
146,KidZ N' LuvZ Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,1012 19 Street South Lethbridge AB,Alberta,Lethbridge,GoDayCare.com
147,Little Owl Childcare,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Heritage Close West Lethbridge AB,Alberta,Lethbridge,GoDayCare.com
148,Rhondas Family Dayhome,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Chilcotin Cres W Lethbridge AB,Alberta,Lethbridge,GoDayCare.com
149,SunDance Day Care,Toddler Kindergarten Preschool,N,Y,N,226 Mt. Sundance Cres. West Lethbridge AB,Alberta,Lethbridge,GoDayCare.com
150,University Daycare,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,4401 University Dr. W. Lethbridge AB,Alberta,Lethbridge,GoDayCare.com
151,Apple Blossom Day Homes,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,20042 P.O. Box Kensington Medicine Hat AB,Alberta,Medicine Hat,GoDayCare.com
152,Little Beginnings,Infant Toddler Kindergarten Preschool,Y,Y,N,Sprague Way SE Medicine Hat AB,Alberta,Medicine Hat,GoDayCare.com
153,Niki's Private DayHome!,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Hunt Crescent NE Medicine Hat AB,Alberta,Medicine Hat,GoDayCare.com
154,Sunita's Pre-Kindergarten Type Day Home,Infant Toddler Kindergarten Preschool,Y,Y,N,20th Ave S>E Medicine Hat AB,Alberta,Medicine Hat,GoDayCare.com
155,Tiny Tots,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Somerset Lane Medicine Hat AB,Alberta,Medicine Hat,GoDayCare.com
156,Kim's Dayhome,Infant Toddler Preschool,Y,Y,N,51 ave Millet AB,Alberta,Millet,GoDayCare.com
157,Jamie's Day Home,Kindergarten Preschool Schoolage,N,Y,Y,10010 96 Avenue Morinville AB,Alberta,Morinville,GoDayCare.com
158,Les Petites Grenouilles De Genevieve,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,105 street Morinville AB,Alberta,Morinville,GoDayCare.com
159,Little Monkey's Dayhome,Toddler Kindergarten Preschool Schoolage,N,Y,Y,102 ave Morinville AB,Alberta,Morinville,GoDayCare.com
160,Peyton's Playhouse,Infant Toddler Preschool,Y,Y,N,9611 98A Street Morinville AB,Alberta,Morinville,GoDayCare.com
161,Stoney First Nation Childcare Centre,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,P.O. Box 990 Morley AB,Alberta,Morley,GoDayCare.com
162,Wesley Care Bears Childcare Center,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,P.o. Box 40 Morley AB,Alberta,Morley,GoDayCare.com
163,Whitefield Day Care,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,3644 39 St NE Morley AB,Alberta,Morley,GoDayCare.com
164,Whitehorn Playcare,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,3708 44 Avenue NE Morley AB,Alberta,Morley,GoDayCare.com
165,Winston Heights Christian Day Care,Toddler Kindergarten Preschool Schoolage,N,Y,Y,403 28 Ave NE Morley AB,Alberta,Morley,GoDayCare.com
166,Woodbine Day Care Centre,Toddler Kindergarten Preschool Schoolage,N,Y,Y,308 Woodfield Road SW Morley AB,Alberta,Morley,GoDayCare.com
167,Ywca Child Care Centre,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,320 5 Ave SE Morley AB,Alberta,Morley,GoDayCare.com
168,Kidz Care,Toddler Kindergarten Preschool,N,Y,N,1414 26 ave Nanton AB,Alberta,Nanton,GoDayCare.com
169,Buddy's Place Child Care Center,Kindergarten Preschool,N,Y,N,5013 Centre Ave New Sarepta AB,Alberta,New Sarepta,GoDayCare.com
170,New Sarepta Out Of School Care,Kindergarten Schoolage,N,Y,Y,5013 Centre Avenue New Sarepta AB,Alberta,New Sarepta,GoDayCare.com
171,Little Sunshine Daycare,Infant Toddler Kindergarten Preschool,Y,Y,N,2710 5st Nisku AB,Alberta,Nisku,GoDayCare.com
172,Noralta Little Tykes Lodge,Infant Toddler Preschool,Y,Y,N,2710 5th Street Nisku AB,Alberta,Nisku,GoDayCare.com
173,DONNA'S DAYHOME,Infant Toddler,Y,Y,N,Crystal Shores Bay Okotoks AB,Alberta,Okotoks,GoDayCare.com
174,Kirsty's Daycare,Infant Toddler Kindergarten Preschool Schoolage,Y,Y,Y,Crystal Ridge Close Okotoks AB,Alberta,Okotoks,GoDayCare.com
175,A LOVING DAYHOME,Toddler Kindergarten Preschool,N,Y,N,Westfall Crescent Okotoks AB,Alberta,Okotoks,GoDayCare.com
177,A Stepping Stone Child Care,Infant Toddler Preschool,Y,Y,N,Cimarron Meadows Bay Okotoks AB,Alberta,Okotoks,GoDayCare.com
178,ABC Dayhome,Toddler Kindergarten Preschool,N,Y,N,Knowles Place Okotoks AB,Alberta,Okotoks,GoDayCare.com
179,Aleksandra's Dayhome,Toddler Preschool,N,Y,N,Cimarron Blvd Okotoks AB,Alberta,Okotoks,GoDayCare.com
180,Bilingual Okotoks French Dayhome,Toddler Kindergarten Preschool,N,Y,N,Cimarron blvd Okotoks AB,Alberta,Okotoks,GoDayCare.com
181,Bubbles And Mud Puddles,Infant Toddler Kindergarten Preschool,Y,Y,N,Drake Landing Cres Okotoks AB,Alberta,Okotoks,GoDayCare.com
182,CDDH In Okotoks,Infant Kindergarten Preschool,Y,Y,N,Westmount Cres Okotoks AB,Alberta,Okotoks,GoDayCare.com
