,name,source_full_address,full_address,street_number,street_name,unit,city,province,provider
6400,LA PETITE STATION,"25, rue Legendre Est",25 rue Legendre Est,25,rue legendre est,,Montréal,,Province of Quèbec
12832,PLASP-JANET MCDOUGALD PUBLIC SCHOOL,,nan,498,Hartsdale Avenue,,Mississauga,ON,Province of Ontario
4094,Festival Early Learning and Child Care Centre Inc.,"815 Buchanan Boulevard (Blvd) Winnipeg, MB",815 buchanan boulevard ,815,buchanan boulevard,,,,Province of Manitoba
12231,MFF & CP - St. Mary's After School Program,,nan,36,Silverwood Drive,,Huntsville,ON,Province of Ontario
9789,Centre √©ducatif Ste-Lucie,,nan,17337,Dow Chemin,,Long Sault,ON,Province of Ontario
22247,Brightstart Children's Academy,101-17610 65A Ave,101 17610 65A Ave,101 17610,65a ave,,Surrey,,Province of British Columbia
5912,CENTRE DE LA PETITE ENFANCE LE TRAIN DE BOURGOGNE,"2515, rue Delisle, 2e étage",2515 rue Delisle #2e étage,2515,rue delisle,,Montréal,,Province of Quèbec
14974,Toronto YMCA - St. Mary YMCA Before & After School Program,,nan,66,Main Street,,Brampton,ON,Province of Ontario
7078,CENTRE DE LA PETITE ENFANCE SARLIATAUVIK/SARLIATAUVIK CHILD CARE CENTER,", C.P. 347",CP 347,cp 347,,,Puvirnituq,,Province of Quèbec
3379,BOYLE GREAT BEGINNINGS,"5032 TAYLOR ROAD,",5032 TAYLOR ROAD,5032,taylor road,,BOYLE,,Province of Alberta
14334,Way to Grow Daycare - St. Martin,,nan,186,Margaret Street,,Smithville,ON,Province of Ontario
2664,CLAREVIEW OUT OF SCHOOL CARE,14063 VICTORIA TRAIL,14063 VICTORIA TRAIL,14063,victoria trail,,EDMONTON,,Province of Alberta
10472,The Divine Infant Child Care Centre (OP: Family Day Care Services),,nan,30,Ingleton Boulevard,,Toronto,ON,Province of Ontario
24312,Kids World Puddlejumpers & Get Ready For School,7505 Arbutus,7505 Arbutus,7505,arbutus,,Vancouver,,Province of British Columbia
8897,Open Arms Nursery,,nan,31,Marshall Street,,Richmond Hill,ON,Province of Ontario
24070,Little Sprouts Family Daycare,4925 Lazelle Ave,4925 Lazelle Ave,4925,lazelle ave,,Terrace,,Province of British Columbia
13978,Tilbury Tots Early Learning Centre - Merlin,,nan,21184,Erie Street,,Merlin,ON,Province of Ontario
13218,Stratford Cygnets Co-operative Preschool Inc.,,nan,181,Louise Street,,Stratford,ON,Province of Ontario
23635,Sunny Time Family Child Care,202 1136 Pacific St,202 1136 Pacific St,202 1136,pacific st,,Vancouver,,Province of British Columbia
16203,Garderie La Licorne,132 Rue Du Portage Caraquet NB,132 rue du portage ,132,rue du portage,,Caraquet,New Brunswick,GoDayCare.com
447,Garderie Tic Tac Toe Daycare Inc.,357 Grey Street Dalhousie E8C 1W6 (506) 684-2700,357 grey street ,357,grey street,,,,Province of New Brunswick
7960,"CENTRE DE LA PETITE ENFANCE ""PLAISIR D'ENFANT""","2872, rue Lareau",2872 rue Lareau,2872,rue lareau,,Carignan,,Province of Quèbec
3109,KIDZ JUNCTION DAYCARE,722 91 STREET SW,722 91 STREET SW,722,91 street sw,,EDMONTON,,Province of Alberta
21800,Cefa Crestwood Junior Kindergarten (Commerce Campus),110-13775 Commerce Pky,110 13775 Commerce Pky,110 13775,commerce pky,,Richmond,,Province of British Columbia
21217,Brentwood Nursery School,1455 Delta Ave,1455 Delta Ave,1455,delta ave,,Burnaby,,Province of British Columbia
346,Garderie de mon enfance,67 rue De L'Anse Eel River Crossing E8E 1P9 (506) 686-3207,67 rue de l'anse ,67,rue de l'anse,,,,Province of New Brunswick
16530,Ponderosa Play And Learn,17 Highland Dr Extension Antigonish NS,17 highland dr extension ,17,highland dr extension,,Antigonish,Nova Scotia,GoDayCare.com
12537,Our Lady of the Annunciation - Our Lady of Hope Before & After School Program,,nan,80,Red Cardinal Trail,,Richmond Hill,ON,Province of Ontario
18632,Centre De La Petite Enfance L'Univers De Mamuse Et MÃ©duque,3730 rue Jacques-de-Labadie Trois-RiviÃ¨res QC,"3730 rue Jacques de Labadie Trois RiviÃ¨res QC, Canada",3730,rue jacques de labadie,,Trois-rivieres,Quebec,GoDayCare.com
8576,Mississauga Montessori Preschool,,nan,5685,Whittle Road,,Mississauga,ON,Province of Ontario
10128,Garderie Mon Petit Jardin,,nan,500,Sandhurst Cercle,,Toronto,ON,Province of Ontario
11225,Wee Watch Private Home Day Care - Whitby,,nan,304,Colborne Street,,Whitby,ON,Province of Ontario
17461,Fort Erie Regional Child Care Centre,94 Catherine Street Fort Erie ON,94 catherine street ,94,catherine street,,Fort Erie,Ontario,GoDayCare.com
7488,CENTRE DE LA PETITE ENFANCE LES JOYEUX LUTINS,"810, rue Ladouceur",810 rue Ladouceur,810,rue ladouceur,,Joliette,,Province of Quèbec
19338,Wonder Years Preschool and Daycare #1,2 Seabreeze Drive,2 Seabreeze Drive,2,seabreeze drive,,Holyrood,,Province of Newfoundland and Labrador
16196,Garderie Les Bouts Choux,59 Andrew Campbellton NB,59 andrew ,59,andrew,,Campbellton,New Brunswick,GoDayCare.com
21053,Champlain YMCA Kids Club,6955 Frontenac St,6955 Frontenac St,6955,frontenac st,,Vancouver,,Province of British Columbia
22447,Lakeside Montessori,903B Nelson Ave,903B Nelson Ave,903b,nelson ave,,Nelson,,Province of British Columbia
2417,LETHBRIDGE PLAY AND LEARN PRESCHOOL SOCIETY,2329 - 15 AVENUE SOUTH,2329 15 AVENUE SOUTH,2329,15 avenue south,,LETHBRIDGE,,Province of Alberta
4568,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
5454,CENTRE DE LA PETITE ENFANCE FLOCONS DE RÊVE INC.,"1875, rue Notre-Dame",1875 rue Notre-Dame,1875,rue notre-dame,,Saint-Maurice,,Province of Quèbec
4876,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
14918,Centennial Hylands YMCA Child Care,,nan,33,School Road,,Shelburne,ON,Province of Ontario
1215,CANCARE CHILDREN'S CENTRE I,111 8579 SCURFIELD DRIVE NW,111 8579 SCURFIELD DRIVE NW,111,scurfield drive nw,,CALGARY,,Province of Alberta
6476,SUPERKIDS ACADÉMIE PRÉ-SCOLAIRE,"5473-5475, avenue Victoria",5473-5475 avenue Victoria,5473-5475,avenue,,Montréal,,Province of Quèbec
4860,Starting Blocks Inc.,"510 3rd Street W Stonewall, MB",510 3rd street w ,510,3rd street w,,,,Province of Manitoba
3518,THE HEARTLAND AGENCY,308 1919 SIROCCO DR SW,308 1919 SIROCCO DR SW,308,sirocco dr sw,,CALGARY,,Province of Alberta
5916,CENTRE DE LA PETITE ENFANCE LES BÉCASSEAUX INC.,"7665, rue Claire-Fauteux",7665 rue Claire-Fauteux,7665,rue claire-fauteux,,Montréal,,Province of Quèbec
12898,Parkway Day Care Centre Inc.,,nan,85,Nanticoke Creek Parkway,,Townsend,ON,Province of Ontario
11991,Maple Tree Preschool Inc.,,nan,158,John Street,,Sudbury,ON,Province of Ontario
23924,Happy Campers Osc - Happy Valley,3291 Happy Valley Rd,3291 Happy Valley Rd,3291,happy valley rd,,Victoria,,Province of British Columbia
5274,GARDERIE L'ÉLÉPHANT ROSE ENR.,"5718, avenue Banville, bureau 2",5718 avenue Banville,5718,avenue banville,,Québec,,Province of Quèbec
21250,Elite Montessori Academy,101 - 3641 29 Ave W,101 3641 29 Ave W,101,3641 29 ave w,,Vancouver,,Province of British Columbia
9515,Centre √©ducatif Coeur des Jeunes Saint-R√©mi,,nan,100,Walden Drive,,Kanata,ON,Province of Ontario
9032,KINDER ACADEMY NURSERY SCHOOL OF NIAGARA,,nan,7107,Kalar Road,,Niagara Falls,ON,Province of Ontario
21304,Kiddies Korner Parent Participation Preschool,2211 Prairie Ave,2211 Prairie Ave,2211,prairie ave,,Port Coquitlam,,Province of British Columbia
24301,All Aboard Child Care,1620 Western Dr,1620 Western Dr,1620,western dr,,Port Coquitlam,,Province of British Columbia
22080,Happy Steps Daycare,2045 Kugler Ave,2045 Kugler Ave,2045,kugler ave,,Coquitlam,,Province of British Columbia
24635,Roberta Delos Reyes,"438 Bolstad Link, Saskatoon, SK, S7W 0X9",438 bolstad link ,438,bolstad link,,,,Province of Saskatchewan
18781,Accent On Kids Early Learning And Childcare Centre,250 Independent Street Yorkton SK,250 independent street ,250,independent street,,Yorkton,Saskatchewan,GoDayCare.com
9654,Cambridge Christian School Preschool,,nan,229,Myers Road,,Cambridge,ON,Province of Ontario
19064,Grace Note Child Care Centre (2010) Limited,7071 BAYERS RD. SUITE 5009,7071 BAYERS RD SUITE 5009,7071,bayers rd,suite 5009,HALIFAX,,Province of Nova Scotia
9655,The Oaks Early Learning Childcare,,nan,147,Elgin Street,,Cambridge,ON,Province of Ontario
19970,Lariah's Little Learners Childcare,4110 Campbell Ave,4110 Campbell Ave,4110,campbell ave,,Prince George,,Province of British Columbia
8796,Cornerstone Montessori Academy,,nan,150,O'Carroll Avenue,,Peterborough,ON,Province of Ontario
24110,Mis Amiguitos Family Daycare,3900 27 St,3900 27 St,3900,27 st,,Vernon,,Province of British Columbia
14545,Bellview YMCA Child Care Centre,,nan,97,Tenth Avenue,,Brantford,ON,Province of Ontario
16483,Shakastueu Pishum Mitshuap,P.o. Box 160 North West River NL,po ,,,,North West River,Newfoundland And Labrador,GoDayCare.com
5392,MA PREMIÈRE ÉCOLE EINSTEIN INC.,"725, boulevard Lebourgneuf, local 115",725 boulevard Lebourgneuf,725,boulevard lebourgneuf,,Québec,,Province of Quèbec
22331,West Coast Early Learning Centre,2795 184 St,2795 184 St,2795,184 st,,Surrey,,Province of British Columbia
6326,GARDERIE ÉDUCATIVE LE TRÈS BON DÉPART,"8600, rue Hochelaga",8600 rue Hochelaga,8600,rue hochelaga,,Montréal,,Province of Quèbec
6942,LE JARDIN D'AMELIE,"136, boulevard Saint-Raymond",136 boulevard Saint-Raymond,136,boulevard saint-raymond,,Gatineau,,Province of Quèbec
12603,PLASP Blythwood Junior Public School,,nan,2,Strathgowan Crescent,,Toronto,ON,Province of Ontario
21936,The Rock Daycare,3883 Kirkaldy St,3883 Kirkaldy St,3883,kirkaldy st,,Thornhill,,Province of British Columbia
15465,Yip's Music & Montessori Schools,,nan,28,Crown Steel Drive,,Markham,ON,Province of Ontario
24896,Dawn Marie,"41 Calder Crescent, Regina, SK, S4S 4A5 (Hillsdale)",41 calder crescent ,41,calder crescent,,,,Province of Saskatchewan
3866,MOSAIC MONTESSORI PARKDALE,3512 - 5 AVENUE NW,3512 5 AVENUE NW,3512,5 avenue nw,,CALGARY,,Province of Alberta
14124,Umbrella Children's Centres - Harwood Before and After School Program,,nan,41,Harwood Avenue,,Ajax,ON,Province of Ontario
18955,Spring Garden Child Care Centre,2499 TRURO RD.,2499 TRURO RD,2499,truro rd,,WESTVILLE,,Province of Nova Scotia
14572,YMCA SACC - St. Basil/Walter Gretzky,,nan,365,Blackburn Drive,,Brantford,ON,Province of Ontario
10313,CRONYN CHILD CARE CENTRE,,nan,442,William Street,,London,ON,Province of Ontario
24267,Buttons 'N Bows Childcare Inc.,20190 - 48Th Ave,20190 48Th Ave,20190,48th ave,,Langley,,Province of British Columbia
24892,Milan Lamichhane,"1507 Fleet Street, Regina, SK, S4N 5R8",1507 fleet street ,1507,fleet street,,,,Province of Saskatchewan
6341,GARDERIE ÉDUCATIVE LES PETITS LAURIERS INC.,"1375, rue Laurier Est, porte 201",1375 rue Laurier Est porte 201,1375,rue laurier est,porte 201,Montréal,,Province of Quèbec
23087,Propel Montessori Daycare,7200 Cariboo Rd,7200 Cariboo Rd,7200,cariboo rd,,Burnaby,,Province of British Columbia
21598,Stars Family Child Care,1713 Sugarpine Crt,1713 Sugarpine Crt,1713,sugarpine crt,,Coquitlam,,Province of British Columbia
12315,New Liskeard Stepping Stones Day Care Centre,,nan,421,Sheperdson Road,,New Liskeard,ON,Province of Ontario
19607,Puddle Jumpers Childcare,2534 Jura Crescent,2534 Jura Crescent,2534,jura crescent,,Squamish,,Province of British Columbia
10904,Halton Hills Child Care Centre - School Age Program,,nan,102-62,Park Avenue,,Georgetown,ON,Province of Ontario
23103,In The Garden Childcare Center,1660 Mills Road,1660 Mills Road,1660,mills road,,North Saanich,,Province of British Columbia
6427,LES BOUTS DE CHOUX DE SAVIO,"8431, rue de Marseille",8431 rue de Marseille,8431,rue de marseille,,Montréal,,Province of Quèbec
8934,A & A Daycare Centre,,nan,3380,Midland Avenue,,Toronto,ON,Province of Ontario
23244,Little Darlings Daycare,2228 Mathers Ave,2228 Mathers Ave,2228,mathers ave,,West Vancouver,,Province of British Columbia
21198,University Children's Learning Centre Society,1262 Discovery Avenue,1262 Discovery Avenue,1262,discovery avenue,,Kelowna,,Province of British Columbia
3194,NEWCASTLE CHILDCARE,16947 127 STREET NW,16947 127 STREET NW,16947,127 street nw,,EDMONTON,,Province of Alberta
5184,CENTRE DE LA PETITE ENFANCE GARD'AMIS,"1645, rue de la Seigneurie",1645 rue de la Seigneurie,1645,rue de la seigneurie,,Québec,,Province of Quèbec
18423,Dollard-des-Ormeaux Home Daycare,Ceres Dollard-des-Ormeaux QC,ceres ,,,,Dollard-des-ormeaux,Quebec,GoDayCare.com
3343,HAZELDEAN DAY CARE AND OUT OF SCHOOL CARE,9635 66 AVENUE,9635 66 AVENUE,9635,66 avenue,,EDMONTON,,Province of Alberta
2666,CLAREVIEW CHILD DEVELOPMENT CENTRE,14063 VICTORIA TRAIL,14063 VICTORIA TRAIL,14063,victoria trail,,EDMONTON,,Province of Alberta
4643,Elkhorn Early Learning Centre,"112 Wexford Street Elkhorn, MB",112 wexford street ,112,wexford street,,,,Province of Manitoba
11572,Latchkey Day Care & Learning Centre - St. Peter's,,nan,2451,St. Alphonse Street,,Tecumseh,ON,Province of Ontario
8003,ÉCOLE BEE LINGUE,"1470, rue Saint-Paul Nord",1470 rue Saint-Paul Nord,1470,rue saint-paul nord,,Farnham,,Province of Quèbec
17027,Bradford Mini Masters Montessori School,160 Holland St Bradford West Gwillimbury ON,160 holland st ,160,holland st,,Bradford West Gwillimbury,Ontario,GoDayCare.com
7594,SERVICE DE GARDE LES SCHTROUMPFS,"807, boulevard de l'Industrie",807 boulevard de l'Industrie,807,boulevard de l'industrie,,Saint-Paul,,Province of Quèbec
14978,YMCA - St. Rose of Lima,,nan,4590,The Gallops,,Mississauga,ON,Province of Ontario
24764,YMCA Create N Learn,"1100 Currie Crescent, Moose Jaw, SK, S6H 5M7",1100 currie crescent ,1100,currie crescent,,,,Province of Saskatchewan
8996,Sault Ste. Marie Indian Friendship Centre,,nan,122,East Street,,Sault Ste. Marie,ON,Province of Ontario
811,SOMERSET PRESCHOOL CENTRE,84 Ropewalk Road Saint John E2K 2R1 (506) 652-3524,84 ropewalk road ,84,ropewalk road,,,,Province of New Brunswick
9554,City of Thunder Bay Private Home Child Care Program,,nan,600,McKenzie Street,,Thunder Bay,ON,Province of Ontario
8333,GARDERIE LES APPRENTIS EXPLORATEURS INC.,"385, rue des Colibris",385 rue des Colibris,385,rue des colibris,,Saint-Jean-sur-Richelieu,,Province of Quèbec
21548,Brock Kids Care,1080 Oxford St,1080 Oxford St,1080,oxford st,,Kamloops,,Province of British Columbia
21790,Henderson Centre Licensed Childcare,2291 Cedar Hill X Rd,2291 Cedar Hill X Rd,2291,cedar hill x rd,,Victoria,,Province of British Columbia
12187,Noah's Ark Children's Centre,,nan,118,Limeridge Road,,Hamilton,ON,Province of Ontario
20467,Mommy's Daycare,26994 26 Ave,26994 26 Ave,26994,26 ave,,Aldergrove,,Province of British Columbia
16493,Itsy Bitsy Daycare,P.o. Box 522 Pouch Cove NL,po ,,,,Pouch Cove,Newfoundland And Labrador,GoDayCare.com
14708,Kingston YMCA Archbishop O'Sullivan School Age,,nan,974,Pembridge Crescent,,Kingston,ON,Province of Ontario
18275,Atlantis Drive,Atlantis Dr. Whitby ON,atlantis dr ,,atlantis dr,,Whitby,Ontario,GoDayCare.com
7944,LA PETITE ACADÉMIE MARIE-LAURIER INC.,"1555, rue Stravinski, bureau 2B",1555 rue Stravinski B,1555,rue stravinski b,,Brossard,,Province of Quèbec
3481,CHILDREN'S OUT OF SCHOOL EXPLORE CENTRE,3914/3916 118 AVENUE,3914/3916 118 AVENUE,3914/3916,118 avenue,,EDMONTON,,Province of Alberta
24433,Abc Montessori Pre-School,4866 Fraser St,4866 Fraser St,4866,fraser st,,Vancouver,,Province of British Columbia
22518,Life's Little Treasures Family Daycare,1054 Silver Mountain Dr,1054 Silver Mountain Dr,1054,silver mountain dr,,Nanaimo,,Province of British Columbia
5867,CENTRE DE LA PETITE ENFANCE ENFANKIRI,"5795, rue Beaulieu",5795 rue Beaulieu,5795,rue beaulieu,,Montréal,,Province of Quèbec
20086,The Treasure Box Childcare Center,1035 Hollywood Rd,1035 Hollywood Rd,1035,hollywood rd,,Kelowna,,Province of British Columbia
11694,Linda Lowe Daycare School Age Club,,nan,109,Highway 29,,Pakenham,ON,Province of Ontario
1785,BRIGHTPATH SHERWOOD PARK OSC,20 MAIN BLVD,20 MAIN BLVD,20,main blvd,,SHERWOOD PARK,,Province of Alberta
24474,Downtown Early Learning Centre,"211 5th Avenue North, Saskatoon, SK, S7K 2P2",211 5th avenue ,211,5th avenue,,,,Province of Saskatchewan
443,Garderie Polichinelle,87 Street Arran Campbellton E3N 1L5 (506) 753-4218,87 street arran ,,87 street arran,,,,Province of New Brunswick
5303,GARDERIE LES PETITES FLEURS ENR.,"10685, boulevard de l'Ormière, bureau 100",10685 boulevard de l'Ormière,10685,boulevard de l'ormière,,Québec,,Province of Quèbec
3783,LEAPAH'S LEARNING GARDEN,11610 65 AVENUE,11610 65 AVENUE,11610,65 avenue,,EDMONTON,,Province of Alberta
3258,TERWILLEGAR COMMUNITY PRESCHOOL,1751 TOWNE CENTRE BLVD,1751 TOWNE CENTRE BLVD,1751,towne centre blvd,,EDMONTON,,Province of Alberta
1458,CASTLE MOUNTAIN CHILD DEVELOPMENT CENTRE LTD.,15 CASTLEGLEN ROAD NE,15 CASTLEGLEN ROAD NE,15,castleglen road ne,,CALGARY,,Province of Alberta
17208,Rockland Public School Daycare,999 Giroux Clarence-Rockland ON,999 giroux ,999,giroux,,Clarence-rockland,Ontario,GoDayCare.com
19703,Nsnh Queen Mary Kid's Club,230 West Keith Rd,230 West Keith Rd,230,west keith rd,,North Vancouver,,Province of British Columbia
23340,Little Children Family Daycare,5655 Cedarwood St,5655 Cedarwood St,5655,cedarwood st,,Burnaby,,Province of British Columbia
18539,Cynthia's Daycare,Francois Rapin Notre Dame De L'Ile Perrot QC,francois rapin ,,,,Notre Dame De L'ile Perrot,Quebec,GoDayCare.com
21259,Futurekids Daycare Centre,600 Fairview St,600 Fairview St,600,fairview st,,Coquitlam,,Province of British Columbia
16365,Centenary Queen Square United Church Daycare,310 Princess Street Saint John NB,310 princess street ,310,princess street,,Saint John,New Brunswick,GoDayCare.com
21018,Faith Lutheran Preschool,1005 Kensington Avenue,1005 Kensington Avenue,1005,kensington avenue,,Burnaby,,Province of British Columbia
17116,The Early Childhood Academy,Simona Drive Caledon ON,simona drive ,,simona drive,,Caledon,Ontario,GoDayCare.com
10911,Canadian Martyrs Before and After School Program,,nan,1355,Main Street,,Hamilton,ON,Province of Ontario
5874,CENTRE DE LA PETITE ENFANCE HARMONIE,"4372, rue de la Roche",4372 rue de la Roche,4372,rue de la roche,,Montréal,,Province of Quèbec
2441,1ST CLASS PRESCHOOL INC. - 1ST CLASS AFTER CLASS - SILVERADO,483 SILVERADO BLVD. SW,483 SILVERADO BLVD SW,483,silverado blvd sw,,CALGARY,,Province of Alberta
6676,GARDERIE MONTESSORI SAINT-LAURENT,"760, rue Saint-Germain, bureau 101",760 rue Saint-Germain,760,rue saint-germain,,Saint-Laurent,,Province of Quèbec
16087,Anju's Day Care,8655 king george hwy surrey BC,8655 king george hwy ,8655,king george hwy,,Surrey,British Columbia,GoDayCare.com
12206,ELMA TOWNSHIP SCHOOL AGE PROGRAM,,nan,955,Binning Street,,Listowel,ON,Province of Ontario
1834,TREE HOUSE PLAYSCHOOL,100 SIR WINSTON CHURCHILL AVE,100 SIR WINSTON CHURCHILL AVE,100,sir winston churchill ave,,ST. ALBERT,,Province of Alberta
762,RAINBOWS AND DREAMS,30 Red Oak Drive Irishtown E1H 2K3 (506) 383-9183,30 red oak drive ,30,red oak drive,,,,Province of New Brunswick
306,Garderie Au Royaume en chant T,5 rue Rue Des Sapins Kedgwick E8B 2B3 (506) 284-1017,5 rue rue des sapins ,5,rue rue des sapins,,,,Province of New Brunswick
22082,Lisa's Happy Family Child Care,4146 Union St,4146 Union St,4146,union st,,Burnaby,,Province of British Columbia
24204,Park Lane Licensed Child Care,9972 Park Lane,9972 Park Lane,9972,park lane,,Coldstream,,Province of British Columbia
14459,WHITEHILLS - PARKVIEW SCHOOL AGE,,nan,10008,Oxbow Drive,,Komoka,ON,Province of Ontario
11759,ADELAIDE EARLY CHILDHOOD LEARNING CENTRE,,nan,189,Adelaide Street,,London,ON,Province of Ontario
17955,Little Helpers,Bay Street Port Perry ON,bay street ,,bay street,,Port Perry,Ontario,GoDayCare.com
11394,Kinderschool Adlerian Nursery - Half-Day Child Care,,nan,8905,Bayview Avenue,,Richmond Hill,ON,Province of Ontario
19987,Kitchener YMCA Kids Club,3455 W King Edward,3455 W King Edward,3455,w king edward,,Vancouver,,Province of British Columbia
17665,Lively Tots -previous Location,Ninth Ave Lively ON,ninth ave ,,ninth ave,,Lively,Ontario,GoDayCare.com
13635,Swansea Nursery School - 95 Lavina Avenue,,nan,95,Lavinia Avenue,,Toronto,ON,Province of Ontario
1146,LITTLE FRIENDS NURSERY CENTRE,RM 6 & 7 9915 148 STREET,RM 6 7 9915 148 STREET,9915,148 street,rm 6 7,EDMONTON,,Province of Alberta
9527,Red Hill Family Centre,,nan,25,Mount Albion Road,,Hamilton,ON,Province of Ontario
13459,Rodnichok Daycare,,nan,1311,McWatters Street,,Ottawa,ON,Province of Ontario
12599,Little People's Play School Inc.,,nan,33,Falby Court,,Ajax,ON,Province of Ontario
18671,Biggar And District Daycare Project,204 6th Avenue East Biggar SK,204 6th avenue east ,204,6th avenue east,,Biggar,Saskatchewan,GoDayCare.com
10557,Ferris Lane Community Daycare,,nan,49,Ferris Lane,,Barrie,ON,Province of Ontario
955,ISHINE CHILDCARE,211 - 47 STREET SE,211 47 STREET SE,211,47 street se,,CALGARY,,Province of Alberta
24371,Hand In Hand - Ten Broeck Elementary,2580 Stanley St,2580 Stanley St,2580,stanley st,,Abbotsford,,Province of British Columbia
1181,HI5 DAYCARE,4109 106 STREET,4109 106 STREET,4109,106 street,,EDMONTON,,Province of Alberta
2888,NORTHEAST DAY CARE CENTRE #1,7210/7220 144 AVENUE,7210/7220 144 AVENUE,7210/7220,144 avenue,,EDMONTON,,Province of Alberta
13294,Schoolhouse Playcare Centre of Lakehead Inc.,,nan,110,Marlborough Street,,Thunder Bay,ON,Province of Ontario
18848,Needham Pre-School & Day Care,3372 DEVONSHIRE AVE.,3372 DEVONSHIRE AVE,3372,devonshire ave,,HALIFAX,,Province of Nova Scotia
7338,GARDERIE CIEL BLEU INC.,"1779, boulevard des Laurentides",1779 boulevard des Laurentides,1779,boulevard des laurentides,,Laval,,Province of Quèbec
1673,IT'S A B.L.A.S.T. - ST. PATRICK'S SCHOOL,80 RIVER GREEN ROAD,80 RIVER GREEN ROAD,80,river green road,,LETHBRIDGE,,Province of Alberta
15779,Busy Bee Day Home,56st Stettler AB,56st ,56st,,,Stettler,Alberta,GoDayCare.com
21111,Learning For Little People Preschool,120 216 Hastings Ave,120 216 Hastings Ave,120 216,hastings ave,,Penticton,,Province of British Columbia
