,name,source_full_address,full_address,street_number,street_name,unit,city,province,provider
26940,GARDERIE AUX PETITS PAS DE MIRABEL INC.,"11 200, rue du Cristal","11 200, Rue Du Cristal",11 200,rue du cristal,,Mirabel,,Province of Quèbec
31745,"Our Children, Our Future/Nos enfants, notre avenir - F√©lix Ricard",,Nan,691,Lasalle Boulevard,,Sudbury,ON,Province of Ontario
42097,Happy Honeybees Child Care,750 Cottonwood Ave,750 Cottonwood Ave,750,cottonwood ave,,Kamloops,,Province of British Columbia
18651,Aleph-Bet Child Life Enrichment Program Inc.,"Room 8, Gymnasium, Library 130 Forest Park Drive Winnipeg, MB",room 8 gymnasium library 130 forest park drive ,130,forest park drive,room 8 gymnasium library,,,Province of Manitoba
8877,STEPPING STONE CHILD DEVELOPMENT CENTER,109 8761 84 STREET,109 8761 84 Street,109,8761 84 street,,FORT SASKATCHEWAN,,Province of Alberta
14503,AGES & STAGES EARLY LEARNING & CARE INC.,5955 199 STREET HAMPTON'S LANDING,5955 199 Street Hampton'S Landing,5955,199 street hampton's landing,,EDMONTON,,Province of Alberta
29915,Garderie Petit Baobab,,Nan,60,Century Drive,,Orangeville,ON,Province of Ontario
24875,GARDERIE PRÊT OU PAS / READY OR NOT DAYCARE,"7155, chemin de la Côte-Saint-Luc, local 203","7155, Chemin De La Côte Saint Luc, Local 203",chemin de la côte saint luc,local 203,7155,Côte-Saint-Luc,,Province of Quèbec
21117,CENTRE DE LA PETITE ENFANCE LES LUCIOLES,"1130, chemin Royal","1130, Chemin Royal",1130,chemin royal,,Saint-Pierre-de-l'Île-d'Orléans,,Province of Quèbec
36633,Evergreen After School Program,2510 Highway 592 N. Emsdale ON,2510 highway 592 n ,2510,highway 592 n,,Emsdale,Ontario,GoDayCare.com
1885,BOW VALLEY BEFORE AND AFTER SCHOOL PROGRAMS,1033 COUGAR CREEK DR,1033 Cougar Creek Dr,1033,cougar creek dr,,CANMORE,,Province of Alberta
18163,KLORIOUS KIDS ACADEMY (TOWER 1 CENTER),UNIT 102,Unit 102,,,,FORT MCMURRAY,,Province of Alberta
18513,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
41716,Grace Montessori Daycare,7588 Cariboo Rd,7588 Cariboo Rd,7588,cariboo rd,,Burnaby,,Province of British Columbia
12335,AIRDRIE DAYCARE LTD. - NORTH,272194 RANGE ROAD 293 NE,272194 Range Road 293 Ne,,,,AIRDRIE,,Province of Alberta
18226,WATER VALLEY PLAYSCHOOL SOCIETY,1 MAINSTREET,1 Mainstreet,1,mainstreet,,CREMONA,,Province of Alberta
7343,ALBERTA BEACH COMMUNITY PLAYSCHOOL,4101-46 STREET,4101 46 Street,4101,46 street,,ALBERTA BEACH,,Province of Alberta
7117,ADVENTURERS SCHOOL AGE CARE LTD: COLLINGWOOD,3826 COLLINGWOOD DRIVE NW,3826 Collingwood Drive Nw,3826,collingwood drive nw,,CALGARY,,Province of Alberta
14607,LA PETITE ACADEMY CHILDCARE CENTRE,8806 92 ST NW,8806 92 St Nw,8806,92 st nw,,EDMONTON,,Province of Alberta
29149,Children's Circle of St. Barnabas,,Nan,361,Danforth Avenue,,Toronto,ON,Province of Ontario
44264,Nadine Eddy,"SW 20-8-13 West of 2nd, Box126, Weyburn, SK, S4H 2J9",sw 20 8 13 west of 2nd box126 ,13,west of 2nd box126,sw 20 8,,,Province of Saskatchewan
24379,AU ROYAUME DE FANFAN 2,"6137-A, du Pomerol","6137 A, Du Pomerol",6137 a,du pomerol,,Québec,,Province of Quèbec
3141,BRIGHTPATH MILLWOODS OSC,2953 66 STREET,2953 66 Street,2953,66 street,,EDMONTON,,Province of Alberta
16998,GLOBAL KIDS II,"UNIT 170, 7212 MACLEOD TRAIL SE",Unit 170 7212 Macleod Trail Se,7212,macleod trail se,unit 170,CALGARY,,Province of Alberta
26558,GARDERIE DES MARRONNIERS INC.,"1500, montée Monette","1500, Montée Monette",1500,montée monette,,Laval,,Province of Quèbec
28485,First Adventure Child Development Centre Best Start,,Nan,100,Tracey Street,,Belleville,ON,Province of Ontario
13186,FRASER COMMUNITY CHILD CARE CENTRE,2611/25 151 AVENUE,2611/25 151 Avenue,2611/25,151 avenue,,EDMONTON,,Province of Alberta
19602,The Young Men's and Young Women's Christian Association of Winnipeg Inc.,"Gym 445 Island Shore Boulevard (Blvd) Winnipeg, MB",gym 445 island shore boulevard  ,445,island shore boulevard,gym,,,Province of Manitoba
8929,TERRA CHILD AND FAMILY SUPPORT CENTRE,9359 67A STREET,9359 67A Street,9359,67a street,,EDMONTON,,Province of Alberta
13394,SCHOOL'S OUT KIDS' OPTION INC (S.O.K.O. INC),5720 SILVER RIDGE DRIVE NW,5720 Silver Ridge Drive Nw,5720,silver ridge drive nw,,CALGARY,,Province of Alberta
2238,LLOYDMINSTER PLAY & LEARN SCHOOL AGE PROGRAM,6604 35 ST,6604 35 St,6604,35 st,,LLOYDMINSTER,,Province of Alberta
21325,GARDERIE ÉDUCATIVE MONTS & MERVEILLES INC.,"8070, boulevard Wilfrid-Pelletier","8070, Boulevard Wilfrid Pelletier",8070,boulevard wilfrid pelletier,,Anjou,,Province of Quèbec
3078,ELMWOOD OUT OF SCHOOL,"UNITS 16615/16621-83 AVENUE, NW",Units 16615/16621 83 Avenue Nw,16615/16621,83 avenue nw,units,EDMONTON,,Province of Alberta
30666,Klemmer Farmhouse Co-Operative Nursery,,Nan,,Columbia Street,,Waterloo,ON,Province of Ontario
20961,GARDERIE GRONIGO INC.,"975, avenue du Bourg-Royal","975, Avenue Du Bourg Royal",975,avenue du bourg royal,,Québec,,Province of Quèbec
31778,BLENHEIM SCHOOL AGE PROGRAM,,Nan,32,Wilmot Street,,Drumbo,ON,Province of Ontario
11428,FIT KIDS CARE - CLOSED,"108, 8060 SILVER SPRINGS BLVD NW",108 8060 Silver Springs Blvd Nw,108 8060,silver springs blvd nw,,CALGARY,,Province of Alberta
38788,Helew'u' Child Care Society,4155 Belshaw St,4155 Belshaw St,4155,belshaw st,,Merritt,,Province of British Columbia
27548,GARDERIE ÉDUCATIVE BELLES AVENTURES,"115, rue des Mimosas","115, Rue Des Mimosas",115,rue des mimosas,,Saint-Jean-sur-Richelieu,,Province of Quèbec
22657,CENTRE DE LA PETITE ENFANCE L'ÉVEIL DE LA NATURE,"11, chemin Raphaël","11, Chemin Raphaël",11,chemin raphaël,,La Pêche,,Province of Quèbec
23583,ABC DU BOISÉ INC.,"671, chemin du Lac","671, Chemin Du Lac",671,chemin du lac,,Boucherville,,Province of Quèbec
42748,Blueberry Creek Early Learning & Care Centre,200 Centre Ave,200 Centre Ave,200,centre ave,,Castlegar,,Province of British Columbia
20563,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
15601,STEPPING STONES ACADEMY CHILD DEVELOPMENT CENTRE,12518 132 AVE,12518 132 Ave,12518,132 ave,,EDMONTON,,Province of Alberta
22768,CENTRE DE LA PETITE ENFANCE WASPSHOOYAN/WASPSHOOYAN KANOWAYEMASOOKAMOUK,"15, rue Wastawshkootaw","15, Rue Wastawshkootaw",15,rue wastawshkootaw,,Oujé-Bougoumou,,Province of Quèbec
26150,LA GARDERIE ÉDUCATIVE PARFAITEMENT + GRAND,"201, A, rue du Prado","201, A, Rue Du Prado",201 a,rue du prado,,Gatineau,,Province of Quèbec
41034,Mountain View Group Daycare 7,740 Smith Avenue,740 Smith Avenue,740,smith avenue,,Coquitlam,,Province of British Columbia
29049,Centre √©ducatif Les Petits Tresors - New Sacred Heart daycare,,Nan,1500B,Cumberland Street,,Cornwall,ON,Province of Ontario
23727,LES JEUNES POUSSES DES JARDINS-DU-QUÉBEC INSTALLATION HEMMINGFORD,"542, avenue Goyette","542, Avenue Goyette",542,avenue goyette,,Hemmingford,,Province of Quèbec
10958,DAVAR CHILD CARE SOCIETY,P.O. BOX 37053 RPO MAYLAND HTS,Po  Rpo Mayland Hts,,,,CALGARY,,Province of Alberta
5968,YMCA RIVERSTONE CHILD CARE,8901 WILLOW DRIVE,8901 Willow Drive,8901,willow drive,,GRANDE PRAIRIE,,Province of Alberta
25431,GARDERIE MERVEILLES ROSEMONT II,"4251-4259, rue Bélanger","4251 4259, Rue Bélanger",4259,rue bélanger,4251,Montréal,,Province of Quèbec
31730,Lynwood Early Learning Centre,,Nan,3877-B,Richmond Road,,Nepean,ON,Province of Ontario
19168,Kids & Company Ltd.,"158 Fort Street Winnipeg, MB",158 fort street ,158,fort street,,,,Province of Manitoba
16681,CHILDREN'S HOUSE CHILD CARE SOCIETY,1215 - 4 AVENUE SOUTH,1215 4 Avenue South,1215,4 avenue south,,LETHBRIDGE,,Province of Alberta
3392,BANFF CHILD CARE CENTRE,349 BIG HORN ST.,349 Big Horn St,349,big horn st,,BANFF,,Province of Alberta
11610,LOTSA TOTS WEST OSC,6950A TAYLOR DRIVE,6950A Taylor Drive,6950a,taylor drive,,RED DEER,,Province of Alberta
3674,JOLLY LEARNING DAYCARE,UNIT 108 12222 137 AVENUE NW,Unit 108 12222 137 Avenue Nw,12222,137 avenue nw,unit 108,EDMONTON,,Province of Alberta
7171,PROGRESSIVE ACADEMY DAY CARE,13212 106 AVENUE,13212 106 Avenue,13212,106 avenue,,EDMONTON,,Province of Alberta
16388,MELODIES PRESCHOOL,132 ALBERT ST. SE,132 Albert St Se,132,albert st se,,AIRDRIE,,Province of Alberta
19507,St. Norbert Children's Centre Inc.,"3448 Pembina Highway Winnipeg , MB","3448 Pembina Highway Winnipeg  Mb, Canada",,,,,,Province of Manitoba
33769,YMCA Cedarland SACC,,Nan,60,Ashgrove Avenue,,Brantford,ON,Province of Ontario
44358,Ecole des Trois Soleils - Service de Garde 2,P.O.Box 6030,Pobox 6030,,,,,,Nunavut
38522,Milestones Early Learning Centre - Park Avenue A,228 Park Avenue,228 Park Avenue,228,park avenue,,Mount Pearl,,Province of Newfoundland and Labrador
16355,KIDS CONNECTION DAYCARE,"BAY A, 111 MACLEOD TRAIL SW",Bay A 111 Macleod Trail Sw,111,macleod trail sw,bay a,HIGH RIVER,,Province of Alberta
26949,GARDERIE LES P'TITS SOLEILS ENCHANTÉS 3 INC.,"16610, rue Notre-Dame","16610, Rue Notre Dame",16610,rue notre dame,,Mirabel,,Province of Quèbec
31811,P.R.Y.D.E. at St. Jude,,Nan,68,Coles Avenue,,Ajax,ON,Province of Ontario
28612,BrightPath Matheson,,Nan,"Unit ""C""",155 Matheson Blvd. West,,Mississauga,ON,Province of Ontario
40619,Little Willows Early Learning Childcare Centre (Powell) Inc,23500 Dewdney Trunk Rd,23500 Dewdney Trunk Rd,23500,dewdney trunk rd,,Maple Ridge,,Province of British Columbia
1565,KIDS KINGDOM PRESCHOOL,1 WASKASOO AVENUE,1 Waskasoo Avenue,1,waskasoo avenue,,PENHOLD,,Province of Alberta
13304,SEEDS & SPROUTS OUT OF SCHOOL CARE,101 2003 91 STREET SW,101 2003 91 Street Sw,101,2003 91 street sw,,EDMONTON,,Province of Alberta
31547,Gateway Montessori School,,Nan,5,Elinor Avenue,,Toronto,ON,Province of Ontario
9036,AMAZING KIDS DAYCARE,10130 156 STREET,10130 156 Street,10130,156 street,,EDMONTON,,Province of Alberta
23278,CENTRE DE LA PETITE ENFANCE MULTI-GARDE,"1144, rue des Bouleaux","1144, Rue Des Bouleaux",1144,rue des bouleaux,,Saint-Lin-Laurentides,,Province of Quèbec
34961,Kids And Company Red Deer,210 - 8 Conway Street Red Deer AB,210 8 conway street ,210 8,conway street,,Red Deer,Alberta,GoDayCare.com
18150,EARLY LEARNING INCLUSIVE CHILDCARE INC.,13915 61 STREET,13915 61 Street,13915,61 street,,EDMONTON,,Province of Alberta
3404,SHAN'Z CHILD CARE,74 EVANSMEADE CIRCLE NW,74 Evansmeade Circle Nw,74,evansmeade circle nw,,CALGARY,,Province of Alberta
43507,Gillian's Care,1341 Station Rd,1341 Station Rd,1341,station rd,,Coombs,,Province of British Columbia
1949,SILVER SPRINGS DAY CARE CENTRE,7204 SILVERMEAD ROAD NW,7204 Silvermead Road Nw,7204,silvermead road nw,,CALGARY,,Province of Alberta
8049,SHAGANAPPI FAMILY DAY HOME AGENCY,3415 8 AVENUE SW,3415 8 Avenue Sw,3415,8 avenue sw,,CALGARY,,Province of Alberta
4483,SUNNYSIDE OUT OF SCHOOL CARE,6323 184 STREET,6323 184 Street,6323,184 street,,EDMONTON,,Province of Alberta
39435,Kids & Company Langford,Building D 965 Langford Parkway,Building D 965 Langford Parkway,965,langford parkway,building d,Victoria,,Province of British Columbia
11694,RED DEER FAMILY DAY HOME PROGRAM,2-5571 45 STREET,2 5571 45 Street,2 5571,45 street,,RED DEER,,Province of Alberta
9167,FIRST STEPS & BEYOND DAYCARE,4910 59 STREET,4910 59 Street,4910,59 street,,RED DEER,,Province of Alberta
28590,Bright Horizons Family Solutions Ltd.,,Nan,8250,Warden Avenue,,Markham,ON,Province of Ontario
26981,GARDERIE LE MONDE FANTASTIQUE D'ANAÏS INC.,"352B, chemin de la Grand-Côte","352B, Chemin De La Grand Côte",352b,chemin de la grand côte,,Rosemère,,Province of Quèbec
34776,Whispering Hills Daycare,#2 University Drive Athabasca AB,#2 university drive ,#2,university drive,,Athabasca,Alberta,GoDayCare.com
11051,THE BLOSSOMS OUT OF SCHOOL CARE PROGRAM,"UNIT102, 112 - 28 STREET SE",Unit102 112 28 Street Se,,,,CALGARY,,Province of Alberta
22678,GARDERIE TI-MINOU CHEZ ROSIE,"343, 2e Rue Est","343, 2E Rue Est",343,2e rue est,,La Sarre,,Province of Quèbec
178,Tiny Treasures Dayhome,none,None,,,,Yellowknife,,Northwest Territories
21258,CENTRE DE LA PETITE ENFANCE LES STROUMPS,"165, rue Curé-Larocque","165, Rue Curé Larocque",165,rue curé larocque,,Sherbrooke,,Province of Quèbec
33172,Thistleoaks Child Care Centre,,Nan,53,Bond Street,,Oakville,ON,Province of Ontario
145,Little Walkers Dayhome,none,None,,,,Yellowknife,,Northwest Territories
3451,GREENFIELD (LENDRUM) SCHOOL AGE PROGRAM,11330 54 AVENUE,11330 54 Avenue,11330,54 avenue,,EDMONTON,,Province of Alberta
27580,LES AMIS DU CARRÉ DE SABLE,"1450, avenue Bédard","1450, Avenue Bédard",1450,avenue bédard,,Saint-Lazare,,Province of Quèbec
7996,SUSAN'S DAYCARE,4507 - 50TH AVENUE,4507 50Th Avenue,4507,50th avenue,,VALLEYVIEW,,Province of Alberta
13574,ST. PAUL FAMILY DAY HOMES,5201 50 STREET,5201 50 Street,5201,50 street,,ST. PAUL,,Province of Alberta
7937,VILLAGE LANDING OSC,UNIT 470-140 ST. ALBERT TRAIL,Unit 470 140 St Albert Trail,140,st albert trail,unit 470,ST. ALBERT,,Province of Alberta
37508,Angels R Forever,Harrongate Place whitby Whitby ON,harrongate place whitby ,,,,Whitby,Ontario,GoDayCare.com
38868,Cousteau L'ecole Francaise Internationale De Vancouver,3657 Fromme Road,3657 Fromme Road,3657,fromme road,,North Vancouver,,Province of British Columbia
13877,MARLBOROUGH PARK PRESCHOOL,6021 MADIGAN DRIVE NE,6021 Madigan Drive Ne,6021,madigan drive ne,,CALGARY,,Province of Alberta
33609,Way to Learn Daycare - Hamilton,,Nan,331,Strathearne Avenue,,Hamilton,ON,Province of Ontario
10013,BRIGHTPATH FOREST HEIGHTS,3527 FONDA WAY SE,3527 Fonda Way Se,3527,fonda way se,,CALGARY,,Province of Alberta
10526,THE OASIS DAYCARE,"UNIT 101, 10124 - 101 AVENUE",Unit 101 10124 101 Avenue,10124,101 avenue,unit 101,GRANDE PRAIRIE,,Province of Alberta
11045,THE BLOSSOMS DAYCARE PROGRAM,"UNIT 102, 112 - 28 STREET SE",Unit 102 112 28 Street Se,112,28 street se,unit 102,CALGARY,,Province of Alberta
16166,EDELWEISS PREPARATORY SCHOOL LTD.,600 NORTHMOUNT DRIVE NW,600 Northmount Drive Nw,600,northmount drive nw,,CALGARY,,Province of Alberta
11249,SOMERSET CHILD CARE,5 SOMERSET CIRCLE SW,5 Somerset Circle Sw,5,somerset circle sw,,CALGARY,,Province of Alberta
29152,Children's Garden Junior School - Early Start,,Nan,670,Eglinton Avenue,,Toronto,ON,Province of Ontario
40282,Nsnh - Learning Together Child Care Centre,1858 Sutherland Ave,1858 Sutherland Ave,1858,sutherland ave,,North Vancouver,,Province of British Columbia
43841,Shiela Castillo,"239 Bentley Court, Saskatoon, SK, S7L 6L4",239 bentley court ,239,bentley court,,,,Province of Saskatchewan
7235,WESTBROOK PLAYSCHOOL ASSOCIATION,NE 3-28-4-5,Ne 3 28 4 5,ne 3,28 4 5,,COCHRANE,,Province of Alberta
6883,AMAZING KIDS OUT OF SCHOOL CARE,10130 156 STREET,10130 156 Street,10130,156 street,,EDMONTON,,Province of Alberta
40859,Supreme Family Daycare,701 Hailey St,701 Hailey St,701,hailey st,,Coquitlam,,Province of British Columbia
38457,Creative Kids Afterschool Club,434 Main Road,434 Main Road,434,main road,,St. John's,,Province of Newfoundland and Labrador
14223,DUGGAN OUT OF SCHOOL CARE,10616 36A AVENUE,10616 36A Avenue,10616,36a avenue,,EDMONTON,,Province of Alberta
11527,YMCA WESTVIEW CHILD CARE,407 WOVERINE DRIVE,407 Woverine Drive,407,woverine drive,,FORT MCMURRAY,,Province of Alberta
17046,FORT SASKATCHEWAN BOYS & GIRLS CLUB,10090 93 AVE,10090 93 Ave,10090,93 ave,,FORT SASKATCHEWAN,,Province of Alberta
29241,Clifford Cooperative Nursery School,,Nan,17,Allan Street,,Clifford,ON,Province of Ontario
12295,GLENORA CHILD CARE,10530 138 STREET,10530 138 Street,10530,138 street,,EDMONTON,,Province of Alberta
30750,Little Turtles Daycare and Learning Centre,,Nan,2040,Walsh Street,,Thunder Bay,ON,Province of Ontario
27591,GARDERIE DE L'ÎLE AUX NOIX,"13, rue des Noyers","13, Rue Des Noyers",13,rue des noyers,,Saint-Paul-de-l'Île-aux-Noix,,Province of Quèbec
22535,CENTRE DE LA PETITE ENFANCE COOP LIBELLE,"355, boulevard de la Cité-des-Jeunes","355, Boulevard De La Cité Des Jeunes",355,boulevard de la cité des jeunes,,Gatineau,,Province of Quèbec
23827,L'ACADÉMIE DES FUTÉRUSÉS INC.,"649, rue Adoncour","649, Rue Adoncour",649,rue adoncour,,Longueuil,,Province of Quèbec
33797,YMCA St Peter SACC,,Nan,175,Glenwood Drive,,Brantford,ON,Province of Ontario
4586,LITTLE OTTERS OUT OF SCHOOL CARE,4409 BLACK GOLD DRIVE,4409 Black Gold Drive,4409,black gold drive,,LEDUC,,Province of Alberta
22300,GARDERIE UNIVERS,"80, avenue Ashgrove","80, Avenue Ashgrove",80,avenue ashgrove,,Pointe-Claire,,Province of Quèbec
34802,24 Hour Day Home In Coventry Hills,112 Covepark way ne Calgary AB,112 covepark way ne ,112,covepark way ne,,Calgary,Alberta,GoDayCare.com
19446,Rowena Quilnet,None,None,,,,,,Province of Manitoba
27686,LA GARDERIE LE MONDE DES RÊVES INC.,"100A, chemin de l'Anse","100A, Chemin De L'Anse",100a,chemin de l'anse,,Vaudreuil-Dorion,,Province of Quèbec
29086,Centretown Parents' Day Care,,Nan,94,James Street,,Ottawa,ON,Province of Ontario
22232,GARDERIE LES PETITS DÉBUTANTS INC./LITTLE LEARNERS DAYCARE,"19, promenade Ronald","19, Promenade Ronald",19,promenade ronald,,Montréal-Ouest,,Province of Quèbec
485,Garderie chez Nini,6395 Route 17 Saint-Quentin E8A 2J8 (506) 504-0057,"6395 Route 17 Saint Quentin   504 0057NB, Canada",,,,,,Province of New Brunswick
39298,Next Generation Children's Center,15618 90 Ave,15618 90 Ave,15618,90 ave,,Surrey,,Province of British Columbia
15399,SUMMIT KIDS - RIDEAU,829 RIDEAU ROAD SW,829 Rideau Road Sw,829,rideau road sw,,CALGARY,,Province of Alberta
4767,LAUGH AND LEARN ACADEMY,"128, 636 KING STREET",128 636 King Street,128 636,king street,,SPRUCE GROVE,,Province of Alberta
4553,YMCA HOLY CROSS OUT OF SCHOOL CARE,11011 - 90 STREET,11011 90 Street,11011,90 street,,GRANDE PRAIRIE,,Province of Alberta
8092,JENNIE ELLIOTT STUDENT CARE,3031 LINDSAY DRIVE SW,3031 Lindsay Drive Sw,3031,lindsay drive sw,,CALGARY,,Province of Alberta
31893,PLASP - Fernforest Public School,,Nan,275,Fernforest Drive,,Brampton,ON,Province of Ontario
19968,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
8278,OLIVE TREE LEARNING CENTRE,205 FIR STREET,205 Fir Street,205,fir street,,SHERWOOD PARK,,Province of Alberta
8429,BRIGHT HORIZONS CHILDCARE ASPEN TRAILS,UNIT 710 3870 SHERWOOD DRIVE,Unit 710 3870 Sherwood Drive,3870,sherwood drive,unit 710,SHERWOOD PARK,,Province of Alberta
41889,Happy Lane Childcare,17234 2 Ave,17234 2 Ave,17234,2 ave,,Surrey,,Province of British Columbia
16033,WEE CARE DROP-IN CENTER,UNIT 107/108 11735 - 105 STREET,Unit 107/108 11735 105 Street,11735,105 street,unit 107/108,GRANDE PRAIRIE,,Province of Alberta
6290,FORT VERMILION HEAD START,5109 - 43 STREET,5109 43 Street,5109,43 street,,FORT VERMILION,,Province of Alberta
4885,DALHOUSIE OUT OF SCHOOL AND PLAYSCHOOL,5432 DALHART RD. NW,5432 Dalhart Rd Nw,5432,dalhart rd nw,,CALGARY,,Province of Alberta
43669,International Village Children's Centre - 3-5 Program,680 Abbott,680 Abbott,680,abbott,,Vancouver,,Province of British Columbia
1129,ISHINE CHILDCARE,211 - 47 STREET SE,211 47 Street Se,211,47 street se,,CALGARY,,Province of Alberta
36078,Pineridge Children's Centre,32 Ewen Street Arnprior ON,32 ewen street ,32,ewen street,,Arnprior,Ontario,GoDayCare.com
26254,AU JARDIN DES RÊVES,"51, rue Joséphat-Méthot","51, Rue Joséphat Méthot",51,rue joséphat méthot,,Sept-Îles,,Province of Quèbec
4822,DUCLOS PRESCHOOL,4801 52 AVENUE,4801 52 Avenue,4801,52 avenue,,BONNYVILLE,,Province of Alberta
39413,You Care We Care Daycare Inc.,32965 Lougheed Hwy,32965 Lougheed Hwy,32965,lougheed hwy,,Mission,,Province of British Columbia
13994,NORTHEAST DAY CARE CENTRE #1,7210/7220 144 AVENUE,7210/7220 144 Avenue,7210/7220,144 avenue,,EDMONTON,,Province of Alberta
43308,W.E. Kinvig Grow And Learn,Rm 202 - 13266 70 B Ave,Rm 202 13266 70 B Ave,13266,70 b ave,rm 202,Surrey,,Province of British Columbia
3812,BABYCARE MONTESSORI CHILDREN'S CENTRE,4657 MACLEOD TRAIL S,4657 Macleod Trail S,4657,macleod trail s,,CALGARY,,Province of Alberta
24308,ROYAUME DES ENFANTS,"4010, rue des Mouettes","4010, Rue Des Mouettes",4010,rue des mouettes,,Jonquière,,Province of Quèbec
6559,LORELEI BEAUMARIS COMMUNITY PLAYSCHOOL,16220 - 103 STREET,16220 103 Street,16220,103 street,,EDMONTON,,Province of Alberta
