,Unnamed: 0,EI Code,EI Name,EI Type,Address,EI Designation Date,phone,provider,province
50,50,HVAM,Nova Scotia Community College (Lunenburg Campus),Technical and Vocational,"75 High Street,  P.O. Box 1450,  Bridgewater,  Nova Scotia,  Canada,  ",1988-05-12,9025434608,ESDC,ns
51,51,HVAP,Nova Scotia Community College (Institute Technology Campus),Technical and Vocational,"5685 Leeds Street,  P.O. Box 2210,  Halifax,  Nova Scotia,  Canada,  ",1988-12-21,9024916722,ESDC,ns
52,52,HVAR,Halifax Regional Police Training School,Technical and Vocational,"2 Chapman Street,  Dartmouth,  Nova Scotia,  Canada,  ",2018-10-31,(902) 490-5345,ESDC,ns
53,53,HVAT,Nova Scotia Community College (Pictou Campus),Technical and Vocational,"39 Acadia Street,  P.O. Box 820,  Stellarton,  Nova Scotia,  Canada,  ",1988-12-21,9027522002,ESDC,ns
54,54,HVAV,Nova Scotia Community College (Shelburne Campus),Technical and Vocational,"1575 Lake Road,  P.O. Box 760,  Shelburne,  Nova Scotia,  Canada,  ",1988-12-21,9028758640,ESDC,ns
55,55,HVAX,Nova Scotia Community College-eCampus,Technical and Vocational,"50 Elliott Road,  Lawrencetown,  Nova Scotia,  Canada,  ",2018-06-28,(902) 742-0661,ESDC,ns
56,56,HVAY,Canadian Coast Guard College,Technical and Vocational,"P.O. Box 4500,  Sydney,  Nova Scotia,  Canada,  ",2007-10-30,(902) 564-3660,ESDC,ns
57,57,HVBD,Nova Scotia Community College (Strait Area Campus),Technical and Vocational,"226 Reeves Street,  Port Hawkesbury,  Nova Scotia,  Canada,  ",1988-12-21,9026252380,ESDC,ns
58,58,HVBG,Nova Scotia Community College (Marconi Campus),Technical and Vocational,"1240 Grand Lake Road,  P.O. Box 1042,  Sydney,  Nova Scotia,  Canada,  ",1988-12-21,9025632450,ESDC,ns
59,59,HVBU,Nova Scotia Community College (Truro Campus),Technical and Vocational,"36 Arthur Street,  Truro,  Nova Scotia,  Canada,  ",1996-01-01,9028935385,ESDC,ns
60,60,HVBW,Maritime Conservatory of Performing Arts,Technical and Vocational,"6199 Chebucto Road,  Halifax,  Nova Scotia,  Canada,  ",2005-03-11,9024236995,ESDC,ns
