,Unnamed: 0,EI Code,EI Name,EI Type,Address,EI Designation Date,phone,provider,province
19,19,JPDQ,"Keyin College, Gander",Private Institution,"Gander Campus,  175 airport blvd.,  Gander,  Newfoundland and Labrador,  Canada,  ",2001-03-12,(709) 489-8560,ESDC,nl
20,20,JPDR,Ironworkers Education And Training Co. Inc.,Private Institution,"38 Sagona Avenue,  Mount Pearl,  Newfoundland and Labrador,  Canada,  ",2004-11-04,7097472158,ESDC,nl
21,21,JUAA,Memorial University of Newfoundland,University,"P.O. Box 4200 Stn. C,  St. John's,  Newfoundland and Labrador,  Canada,  ",1988-12-21,(709) 864-8212,ESDC,nl
22,22,JUAB,Grenfell Campus - Memorial University of Newfoundland,University,"University Drive,  Corner Brook,  Newfoundland and Labrador,  Canada,  ",1988-12-21,7096398981,ESDC,nl
23,23,JUAE,Queen's College,University,"210 Prince Philip Drive,  St. John's,  Newfoundland and Labrador,  Canada,  ",1988-12-21,7097530116,ESDC,nl
24,24,JVAA,Fisheries & Marine Institute - Memorial University of Newfoundland,Technical and Vocational,"P.O. Box 4920,  155 Ridge Road,  St. John's,  Newfoundland and Labrador,  Canada,  ",1988-12-21,7097780470,ESDC,nl
25,25,JVAB,"College of the North Atlantic, Prince Phillip Drive campus",Technical and Vocational,"St. John's Campus,  P.O. Box 1693,  1 Prince Philip Drive,  St. John's,  Newfoundland and Labrador,  Canada,  ",1988-12-21,(709) 758-7284,ESDC,nl
26,26,JVAD,"College of the North Atlantic, Baie Verte campus",Technical and Vocational,"Baie Verte Campus,  1 Terra Nova Road,  Baie Verte,  Newfoundland and Labrador,  Canada,  ",1988-08-30,(709) 532-8066,ESDC,nl
27,27,JVAF,"College of the North Atlantic, Bonavista campus",Technical and Vocational,"Bonavista Campus,  C/O P.O. Box 670,  301 Confederation Drive,  Bonavista,  Newfoundland and Labrador,  Canada,  ",1988-12-21,(709) 468-2610,ESDC,nl
28,28,JVAG,"College of the North Atlantic, Burin campus",Technical and Vocational,"Burin Campus,  4 Pike's Lane,  PO Box 60,  Burin,  Newfoundland and Labrador,  Canada,  ",1988-12-21,(709) 891-1253,ESDC,nl
29,29,JVAH,"College of the North Atlantic, Carbonear campus",Technical and Vocational,"Carbonear Campus,  P.O. Box 60,  4 Pike's Lane,  Carbonear,  Newfoundland and Labrador,  Canada,  ",2001-01-30,(709) 596-6139,ESDC,nl
30,30,JVAI,"College of the North Atlantic, Clarenville campus",Technical and Vocational,"Clarenville Campus,  69 Pleasant St.,  Clarenville,  Newfoundland and Labrador,  Canada,  ",1988-12-21,(709) 466-6900,ESDC,nl
31,31,JVAJ,"College of the North Atlantic, Seal Cove campus",Technical and Vocational,"P.O. Box 19003, ,  Station Seal Cove,  1670 Conception Bay Highway,  Conception Bay South,  Newfoundland and Labrador,  Canada,  ",1995-09-19,(709) 744-2047,ESDC,nl
32,32,JVAK,"College of the North Atlantic, Corner Brook campus",Technical and Vocational,"Corner Brook Campus,  C/O P.O. Box 822,  141 O'Connell Drive,  Corner Brook,  Newfoundland and Labrador,  Canada,  ",1988-12-21,(709) 637-8530,ESDC,nl
33,33,JVAL,"College of the North Atlantic, Gander campus",Technical and Vocational,"Gander Campus,  C/O P.O. Box 395,  1 Magee Road,  Gander,  Newfoundland and Labrador,  Canada,  ",1988-12-21,(709) 651-4800,ESDC,nl
34,34,JVAM,"College of the North Atlantic, Grand Falls-Windsor campus",Technical and Vocational,"Grand Falls-Windsor Campus,  5 Cromer Avenue,  Grand Falls-Windsor,  Newfoundland and Labrador,  Canada,  ",1988-12-21,(709) 292-5600,ESDC,nl
35,35,JVAN,"College of the North Atlantic, Happy Valley-Goose Bay campus",Technical and Vocational,"Happy Valley-Goose Bay Campus,  C/O P.O. Box 1720, Station B,  219 Hamilton River Road,  Happy Valley-Goose Bay,  Newfoundland and Labrador,  Canada,  ",1988-12-21,(709) 896-6300,ESDC,nl
36,36,JVAP,"College of the North Atlantic, Placentia campus",Technical and Vocational,"Placentia Campus,  P.O. Box 190,  1 Roosevelt Avenue,  Placentia,  Newfoundland and Labrador,  Canada,  ",1995-09-19,(709) 227-2037,ESDC,nl
37,37,JVAQ,"College of the North Atlantic, Port Aux Basques campus",Technical and Vocational,"Port Aux Basques Campus,  C/O P.O. Box 760,  59 Grand Bay Road,  Port Aux Basques,  Newfoundland and Labrador,  Canada,  ",1988-12-21,(709) 695-3582,ESDC,nl
38,38,JVAS,"College of the North Atlantic, St. Anthony campus",Technical and Vocational,"St- Anthony Campus,  P.O. Box 550,  St. Anthony,  Newfoundland and Labrador,  Canada,  ",1988-12-21,(709) 454-3559,ESDC,nl
39,39,JVAU,"College of the North Atlantic, Ridge Road Campus",Technical and Vocational,"P.O. Box 1150,  153 Ridge Road,  St. John's,  Newfoundland and Labrador,  Canada,  ",2006-06-07,(709) 758-7000,ESDC,nl
40,40,JVAV,"College of the North Atlantic, Labrador West campus",Technical and Vocational,"Labrador West Campus,  1600 Nichols-Adam Highway,  Labrador City,  Newfoundland and Labrador,  Canada,  ",1989-05-30,(709) 944-7210,ESDC,nl
