CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
HABKK,Akosane,Undetermined,,Railway Point,Populated Place,UNP,0cfe43cf849c20c32c7495205cc13f6d,52.7333452,-102.483807,26-43-4-W2,Saskatchewan,50000,1940-04-23,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAPNP,Alameda,Undetermined,,Town,Populated Place,TOWN,0c2fd78b849c20c3f22927743be390e7,49.2681464,-102.2870583,1-4-3-W2,Saskatchewan,1000000,1952-02-06,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABKO,Albatross,Undetermined,,Locality,Populated Place,UNP,0cfe45b2849c20c36d802d51afcfc382,50.5333904,-104.6672297,23-18-20-W2,Saskatchewan,250000,1952-10-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAVEM,Albert,Undetermined,,Urban Community,Populated Place,UNP,0c326b8f849c20c38431dad7bb94cf6e,52.1178212,-106.644778,,Saskatchewan,50000,1984-08-20,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAUXI,Albert Park,Undetermined,,Urban Community,Populated Place,UNP,0c325a7d849c20c37ff4005887ffd8a1,50.4072618,-104.6311052,,Saskatchewan,50000,1984-02-20,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAUXJ,Albert Park South,Undetermined,,Urban Community,Populated Place,UNP,0c325b7a849c20c3c3df4ff1e3b50f8c,50.4014285,-104.6311055,,Saskatchewan,50000,1984-02-20,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABKU,Albertville,Undetermined,,Village,Populated Place,VILG,ee396034d05311d892e2080020a0f4c9,53.3944528,-105.5382639,"12,13-51-25-W2; 7,18-51-24-W2",Saskatchewan,1000000,1986-01-13,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABLB,Aldina,Undetermined,,Locality,Populated Place,UNP,0c28374f849c20c3ead904fddeca9414,53.0000479,-106.8839098,,Saskatchewan,1000000,1967-02-06,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAQHL,Algrove,Undetermined,,Hamlet,Populated Place,UNP,0c3039a1849c20c36d05c088ea5d1e75,52.4833347,-103.8838244,40-14-W2,Saskatchewan,250000,1963-05-14,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAVHG,Alice Beach,Undetermined,,Resort Village,Populated Place,VILG,0c327997849c20c33e20e5e371a4d7ce,50.9276306,-105.1659306,"22,23-23-W2",Saskatchewan,250000,1983-07-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABLN,Alida,Undetermined,,Village,Populated Place,VILG,0cfe46f4849c20c36c5e6042a373c133,49.3890056,-101.8742889,16-5-33-W,Saskatchewan,1000000,1955-01-20,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABLS,Allan,Undetermined,,Town,Populated Place,TOWN,0c283a43849c20c3ef407f09ca5f32b9,51.8958806,-106.0603667,34-1-W3,Saskatchewan,1000000,1956-09-06,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAQMI,Allan Hills,Undetermined,,Locality,Populated Place,UNP,0c305530849c20c3a5efc91bfc30fc77,51.6500344,-106.0839343,16-31-1-W3,Saskatchewan,250000,1956-11-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABME,Alsask,Undetermined,,Hamlet,Populated Place,UNP,0cfe485c849c20c3293a39de4e28f5d6,51.379722,-109.997011,10-28-29-W3,Saskatchewan,1000000,2009-06-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAWJL,Alta Vista,Undetermined,,Organized Hamlet,Populated Place,HAM,0c32b09f849c20c345f2903b8a22fd29,50.803175,-104.9675939,22-21-22-W2,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAURW,Altawan,Undetermined,,Railway Point,Populated Place,UNP,0c323c21849c20c3cc799bb0b3c58410,49.233347,-109.9340919,23-3-30-W3,Saskatchewan,50000,1954-09-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABMN,Alticane,Undetermined,,Hamlet,Populated Place,UNP,0c283ef9849c20c3a2dabb97a7779d67,52.9000604,-107.4839507,26-45-11-W3,Saskatchewan,250000,1964-11-10,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABMO,Alvena,Undetermined,,Village,Populated Place,VILG,0cfe493e849c20c3085203e0569cb4a0,52.5184058,-106.0192642,12-41-1-W3,Saskatchewan,250000,1948-10-07,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATNT,Amazon,Undetermined,,Hamlet,Populated Place,UNP,26be0723c6ce11d892e2080020a0f4c9,51.550035,-105.45059,9-30-25-W2,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATNV,Ambassador,Undetermined,,Railway Point,Populated Place,UNP,0c31d715849c20c3a60fcb38e60f9143,51.5667006,-105.0172366,15-30-22-W2,Saskatchewan,50000,1956-08-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HASUF,Amiens,Undetermined,,Locality,Populated Place,UNP,0c3172f1849c20c3c7261faec2b8e1ae,53.3167232,-107.2505963,50-9-W3,Saskatchewan,250000,1956-10-04,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAXVN,Amisk Lake 184,Undetermined,,Indian Reserve,Administrative Area,IR,f0c1df66bbe211d892e2080020a0f4c9,54.5817685,-102.4150064,"33,34,35-64,65-3-W2",Saskatchewan,50000,1972-06-01,Indigenous and Northern Affairs Canada
HAXDC,Amisk Lake Recreation Site,Undetermined,,Recreation Site,Administrative Area,PARK,0cf4f1f0849c20c348bf6896e2736f83,54.623081,-102.1001283,,Saskatchewan,1000000,,"Saskatchewan-Ministry of Parks, Culture and Sport"
HBADX,Amiskosakahikan 210,Undetermined,,Indian Reserve,Administrative Area,IR,223685568de7479e90e2adee733a6ab6,54.444904,-102.144677,,Saskatchewan,50000,2010-07-07,Indigenous and Northern Affairs Canada
HABMS,Amsterdam,Undetermined,,Organized Hamlet,Populated Place,HAM,1e097b80c6ce11d892e2080020a0f4c9,51.747805,-102.458983,14-32-4-W2,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAQMH,Amulet,Undetermined,,Hamlet,Populated Place,UNP,25733783c6ce11d892e2080020a0f4c9,49.616701,-104.750546,2-8-21-W2,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATNQ,Ancrum,Undetermined,,Locality,Populated Place,UNP,0cff3eb0849c20c3991a3807099745c4,51.8667007,-105.7839277,33-27-W2,Saskatchewan,50000,1956-08-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAWZC,Anderson Island Protected Area,Undetermined,,Protected Area,Administrative Area,PARK,0cf4e0e6849c20c31796d2a9a1879960,53.7943142,-103.0568334,,Saskatchewan,1000000,1998-06-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAVZR,Andrews Lake Game Preserve,Undetermined,,Game Preserve,Administrative Area,PARK,0c329624849c20c3d5e5af695e2b3d35,50.0167022,-109.0340652,,Saskatchewan,1000000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAQZG,Anerley,Undetermined,,Hamlet,Populated Place,UNP,25e644aec6ce11d892e2080020a0f4c9,51.3667068,-107.3173173,28-10-W3,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAAPM,Aneroid,Undetermined,,Hamlet,Populated Place,HAM,0c27c3c9849c20c33366fc6b314aacf7,49.716414,-107.300102,9-9-10-W3,Saskatchewan,250000,2008-12-31,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABNS,Anglia,Undetermined,,Hamlet,Populated Place,UNP,1e156261c6ce11d892e2080020a0f4c9,51.566716,-108.167357,30-16-W3,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABNT,Anglin Lake,Undetermined,,Locality,Populated Place,UNP,0c28485a849c20c35d213ac0c8b4c046,53.7000501,-105.9504963,54-27-W2,Saskatchewan,250000,1966-06-08,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAPCJ,Anglin Lake Recreation Site,Undetermined,,Recreation Site,Administrative Area,PARK,678ed1a7d05511d892e2080020a0f4c9,53.7020387,-105.9617102,54-55-27-28-W2,Saskatchewan,1000000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAVVX,Anglo-Rouyn Mine Site,Undetermined,,Locality,Populated Place,UNP,0c3293d7849c20c3b92d7bb3d205ae8a,55.3000696,-105.0004512,,Saskatchewan,250000,1974-01-30,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABOB,Annaheim,Undetermined,,Village,Populated Place,VILG,0c2849b9849c20c3477e4dbbc14b880b,52.3212528,-104.8191564,4-39-20-W2,Saskatchewan,1000000,1977-01-28,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAPCK,Antelope,Undetermined,,Locality,Populated Place,UNP,54c01805c6cd11d892e2080020a0f4c9,50.1500372,-108.3340305,1-14-18-W3,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAXDG,Antelope Lake Regional Park,Undetermined,,Regional Park,Administrative Area,PARK,0cf4f234849c20c3555deef09a8e94a7,50.2778183,-108.4145873,,Saskatchewan,1000000,1998-06-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATBW,Antelope Park No. 322,Undetermined,,Rural Municipality,Administrative Area,MUN2,0c319581849c20c36400266fc1336760,51.7507045,-109.8476259,,Saskatchewan,50000,1980-04-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAWBQ,Antelope Wildlife Management Unit,Undetermined,,Wildlife Management Unit,Administrative Area,PARK,0c32a309849c20c352a4a450b31d2b37,51.7167283,-109.8174428,,Saskatchewan,1000000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABOJ,Antler,Undetermined,,Hamlet,Populated Place,UNP,0cfe49db849c20c39b373cde2049250a,49.5660528,-101.4575194,14-7-30-W,Saskatchewan,1000000,1955-01-20,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATLJ,Antler No. 61,Undetermined,,Rural Municipality,Administrative Area,MUN2,0c31caf3849c20c3892c8477e3861261,49.5773321,-101.7993422,,Saskatchewan,50000,1980-04-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABSW,Aquadell,Undetermined,,Locality,Populated Place,UNP,1e34d144c6ce11d892e2080020a0f4c9,50.6333646,-106.7839612,29-19-6-W3,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAWLC,Aquadeo,Undetermined,,Resort Village,Populated Place,VILG,082353dfd05511d892e2080020a0f4c9,53.1372361,-108.4250028,16-48-17-W3,Saskatchewan,250000,1988-01-04,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABTA,Arabella,Undetermined,,Locality,Populated Place,UNP,0c2866ef849c20c3d533ae6a0fad67a4,52.0499904,-102.050461,35-1-W2,Saskatchewan,250000,1940-04-23,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAQMG,Arborfield,Undetermined,,Town,Populated Place,TOWN,0cff0e74849c20c3e95c9ddc3cc1495c,53.1056694,-103.6607417,3-48-12-W2,Saskatchewan,1000000,1947-09-04,"Saskatchewan-Ministry of Parks, Culture and Sport"
HASZH,Arborfield No. 456,Undetermined,,Rural Municipality,Administrative Area,MUN2,0c318713849c20c333bcb9ab96a389ba,53.0692851,-103.5186429,,Saskatchewan,50000,1980-04-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATPX,Arbury,Undetermined,,Locality,Populated Place,UNP,576dac18c6cd11d892e2080020a0f4c9,51.1500401,-104.2838811,27-25-17-W2,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAPCN,Arbuthnot,Undetermined,,Hamlet,Populated Place,UNP,2420c6c3c6ce11d892e2080020a0f4c9,49.8166954,-106.9006302,9-10-7-W3,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAPCO,Archerwill,Undetermined,,Village,Populated Place,VILG,0cfef0ad849c20c3eb08f1ea9f56a75f,52.4389944,-103.8610139,18-40-13-W2,Saskatchewan,1000000,1949-08-04,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABTL,Archive,Undetermined,,Railway Point,Populated Place,UNP,0c286a3b849c20c3974c28149f198eb9,50.2833602,-105.617243,23-15-27-W2,Saskatchewan,250000,1951-10-04,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAVGP,Archydal,Undetermined,,Locality,Populated Place,UNP,27d1e83dc6ce11d892e2080020a0f4c9,50.483361,-105.750582,35-17-28-W2,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABTN,Arcola,Undetermined,,Town,Populated Place,TOWN,0cfe4c66849c20c382ad02ff90a6412c,49.6354522,-102.4919222,9-8-4-W2,Saskatchewan,1000000,1952-02-06,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABTQ,Ardath,Undetermined,,Hamlet,Populated Place,UNP,1e428ce5c6ce11d892e2080020a0f4c9,51.6167073,-107.2339799,33-30-9-W3,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAOPZ,Ardill,Undetermined,,Locality,Populated Place,UNP,546f38ddc6cd11d892e2080020a0f4c9,49.9392331,-105.8419943,25-11-29-W2,Saskatchewan,250000,2011-02-08,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABTS,Ardwick,Undetermined,,Railway Point,Populated Place,UNP,0c286b58849c20c3e803a9ed9ba5b05a,49.633361,-106.0172461,13-8-1-W3,Saskatchewan,250000,1954-07-08,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABTT,Arelee,Undetermined,,Hamlet,Populated Place,UNP,0c286bbb849c20c3a28065dda7a7bc40,52.2500528,-107.5006459,10-38-11-W3,Saskatchewan,250000,2002-03-21,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAQDK,Argo,Undetermined,,Railway Point,Populated Place,UNP,0c302241849c20c361d55b0c6a79b3d0,52.016718,-108.1006809,17-35-15-W3,Saskatchewan,250000,1939-12-12,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATMP,Argyle No. 1,Undetermined,,Rural Municipality,Administrative Area,MUN2,0c31d267849c20c3b752380f9cdad9cd,49.1540522,-101.4793929,,Saskatchewan,50000,1980-04-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAUXK,Argyle Park,Undetermined,,Urban Community,Populated Place,UNP,0c325b3a849c20c3b061e7b5d83e4619,50.490318,-104.6283265,,Saskatchewan,50000,1984-02-20,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABTX,Arlington Beach,Undetermined,,Organized Hamlet,Populated Place,HAM,4819df67c6cd11d892e2080020a0f4c9,51.2468222,-105.2358856,25-26-24-W2,Saskatchewan,250000,1992-04-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATKS,Arlington No. 79,Undetermined,,Rural Municipality,Administrative Area,MUN2,0c31c656849c20c3664e60072524be07,49.6238384,-108.6588933,,Saskatchewan,50000,1980-04-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATDR,Arm River No. 252,Undetermined,,Rural Municipality,Administrative Area,MUN2,0c319fdd849c20c3922b256b9b742a2b,51.2243875,-105.8235798,,Saskatchewan,50000,1980-04-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAWDD,Arm River Recreation Site,Undetermined,,Recreation Site,Administrative Area,PARK,58fc136ec6cd11d892e2080020a0f4c9,50.8366486,-105.4431275,5-22-25-W2,Saskatchewan,1000000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAQMF,Arma,Undetermined,,Railway Point,Populated Place,UNP,55eb2aa2c6cd11d892e2080020a0f4c9,52.5833756,-106.3672487,4-42-3-W3,Saskatchewan,50000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABUB,Armilla,Undetermined,,Railway Point,Populated Place,UNP,0c286dde849c20c3d4508326c090342a,49.6333558,-102.5838077,11-8-5-W2,Saskatchewan,250000,1952-02-06,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABUC,Armit,Undetermined,,Hamlet,Populated Place,UNP,1e4cc616c6ce11d892e2080020a0f4c9,52.8333599,-101.7838116,32-44-30-W,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAXAC,Armit River Recreation Site,Undetermined,,Recreation Site,Administrative Area,PARK,0d022c83849c20c329bb4479dffb25af,52.8301581,-101.6776976,,Saskatchewan,1000000,1998-06-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAMJM,Armley,Undetermined,,Hamlet,Populated Place,UNP,5235ea75c6cd11d892e2080020a0f4c9,53.1166944,-104.0338021,6-48-14-W2,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAMJN,Armour,Undetermined,,Railway Point,Populated Place,UNP,0c2e99a1849c20c3471f42312650dbea,50.5167086,-104.6172163,12-18-20-W2,Saskatchewan,250000,1952-10-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAUXL,Arnheim Place,Undetermined,,Urban Community,Populated Place,UNP,0c325c1e849c20c3a82cdf8cda6fa9ce,50.4364288,-104.5866589,,Saskatchewan,50000,1984-02-20,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATNM,Arpiers,Undetermined,,Locality,Populated Place,UNP,0c31d5c8849c20c3d23d059aac072fdc,51.9500344,-105.7839251,34-17-W2,Saskatchewan,50000,1956-08-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAPCQ,Arran,Undetermined,,Village,Populated Place,VILG,0c2fc419849c20c35a1c7f252159c3d8,51.8844681,-101.7186203,6-34-30-W,Saskatchewan,250000,1956-08-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAMKM,Artland,Undetermined,,Hamlet,Populated Place,UNP,523ffc96c6cd11d892e2080020a0f4c9,52.7000761,-109.8841001,7-43-27-W3,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAXWF,Asimakaniseekan Askiy 102A,Cree,,Indian Reserve,Administrative Area,IR,f1436b88bbe211d892e2080020a0f4c9,52.1286894,-106.5857044,"22-46,47-6,7-W3",Saskatchewan,50000,,Indigenous and Northern Affairs Canada
HBAEK,Asimakaniseekan Askiy 102B,Undetermined,,Indian Reserve,Administrative Area,IR,1acd5f16361a40b8a5fc83d3839c6aea,52.128902,-106.709863,,Saskatchewan,50000,2012-11-29,Indigenous and Northern Affairs Canada
HAWRU,Aspen Cove,Undetermined,,Hamlet,Populated Place,UNP,0cc542bd849c20c3152f763904c03d34,53.544535,-108.6895906,2-53-19-W3,Saskatchewan,50000,1994-03-15,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAMLA,Asquith,Undetermined,,Town,Populated Place,TOWN,0c2e9fc7849c20c3aaef553f8a201357,52.1347731,-107.2266111,33-36-9-W3,Saskatchewan,1000000,1948-10-07,"Saskatchewan-Ministry of Parks, Culture and Sport"
HASXA,Asquith,Undetermined,,Railway Point,Populated Place,UNP,2661b64ac6ce11d892e2080020a0f4c9,52.1167132,-107.2173024,27-36-9-W3,Saskatchewan,250000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAOOY,Assiniboia,Undetermined,,Town,Populated Place,TOWN,0cfee9c2849c20c3516eb1e57a4630b2,49.6291139,-105.9886333,10-8-30-W2,Saskatchewan,7500000,1952-03-06,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAUXM,Assiniboia East,Undetermined,,Urban Community,Populated Place,UNP,0c325bde849c20c30dc9101f9de6f4fe,50.4347618,-104.5783251,,Saskatchewan,50000,1984-02-20,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAWHH,Assiniboia Regional Park,Undetermined,,Regional Park,Administrative Area,PARK,0c32ab0b849c20c368e5f509d714c71e,49.6111389,-105.8394622,10-8-30-W2,Saskatchewan,1000000,1977-12-31,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAXVC,Assiniboine 76,Undetermined,,Indian Reserve,Administrative Area,IR,f06a226bbbe211d892e2080020a0f4c9,50.3459504,-103.5305157,"15,16-16-11-W2",Saskatchewan,50000,1972-06-01,Indigenous and Northern Affairs Canada
HAWVE,Athabasca Sand Dunes Provincial Park,Undetermined,,Provincial Park,Administrative Area,PARK,1762ae02d05511d892e2080020a0f4c9,59.1580586,-108.6218949,,Saskatchewan,1000000,1998-06-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HBBOB,Atim Ka-Mihkosit,Undetermined,,Indian Reserve,Administrative Area,IR,cd191e6162334bb9818fc058e41ce317,50.4190576,-104.5815122,,Saskatchewan,50000,2018-11-22,Indigenous and Northern Affairs Canada
HAQDJ,Attica,Undetermined,,Railway Point,Populated Place,UNP,0cff0952849c20c38cd4e20e60eb15d4,51.9500297,-105.1005651,29-34-22-W2,Saskatchewan,250000,1956-08-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAQFE,Atton's Lake Regional Park,Undetermined,,Regional Park,Administrative Area,PARK,0d021bcb849c20c3e1befc46324cc7d0,52.8334065,-108.8632108,44-20-W3,Saskatchewan,1000000,1965-12-31,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAMLR,Atwater,Undetermined,,Village,Populated Place,VILG,0d08dfa7849c20c39a5d194eda33ea65,50.7758139,-102.2269111,4-21-2-W2,Saskatchewan,250000,1950-05-04,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAMLW,Auburnton,Undetermined,,Locality,Populated Place,UNP,0cfed44e849c20c3e15e2d08a99faef6,49.4000195,-102.0837914,21-5-1-W2,Saskatchewan,250000,1952-02-06,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATKV,Auvergne No. 76,Undetermined,,Rural Municipality,Administrative Area,MUN2,0c31c7a5849c20c37f82546818feb55c,49.661337,-107.4387666,,Saskatchewan,50000,1980-04-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAMME,Ava,Undetermined,,Railway Point,Populated Place,UNP,0c2ea4a1849c20c3d0f5a89777e9ce45,51.8500554,-108.6173832,33-19-W3,Saskatchewan,250000,1962-08-13,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAVEN,Avalon,Undetermined,,Urban Community,Populated Place,UNP,0c326b4d849c20c3d37fd3b120290524,52.0967098,-106.6561674,,Saskatchewan,50000,1984-08-20,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAMMF,Avebury,Undetermined,,Locality,Populated Place,UNP,0c2ea526849c20c398263fa3d64200a5,53.1500485,-106.9839121,17-48-7-W3,Saskatchewan,250000,1934-11-17,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAUST,Avery,Undetermined,,Railway Point,Populated Place,UNP,0c323fc9849c20c3857bfce971540772,53.2500738,-107.9839807,28-49-14-W3,Saskatchewan,250000,1956-10-04,"Saskatchewan-Ministry of Parks, Culture and Sport"
