,source_full_address,full_address,street_number,street_name,unit,rearranged,rearranged_parsed
2672,4517 54TH STREET,4517 54TH STREET,4517,54th street,,4517 54TH STREET,"[('4517', 'house_number'), ('54th street', 'road')]"
2673,4900 93 AVENUE NW,4900 93 AVENUE NW,4900,93 avenue nw,,4900 93 AVENUE NW,"[('4900', 'house_number'), ('93 avenue nw', 'road')]"
2674,370 BULYEA ROAD,370 BULYEA ROAD,370,bulyea road,,370 BULYEA ROAD,"[('370', 'house_number'), ('bulyea road', 'road')]"
2675,13315 - 89 STREET,13315 89 STREET,13315,89 street,,13315 89 STREET,"[('13315', 'house_number'), ('89 street', 'road')]"
2676,"SUITE 101, 800 YANKEE VALLEY BLVD. SW",#101 800 YANKEE VALLEY BLVD SW,800,yankee valley blvd sw,#101,#101  800 YANKEE VALLEY BLVD SW,"[('#101', 'unit'), ('800', 'house_number'), ('yankee valley blvd sw', 'road')]"
2677,LONGVIEW SCHOOL,LONGVIEW SCHOOL,,,,LONGVIEW SCHOOL,"[('longview school', 'house')]"
2678,P.O BOX 34067,PO BOX 34067,,,,PO BOX 34067,"[('po box 34067', 'po_box')]"
2679,2920 18 AVE N,2920 18 AVE N,2920,18 ave n,,2920 18 AVE N,"[('2920', 'house_number'), ('18 ave n', 'road')]"
2680,20 GROTTO WAY,20 GROTTO WAY,20,grotto way,,20 GROTTO WAY,"[('20', 'house_number'), ('grotto way', 'road')]"
2681,1721 29 AVE SW,1721 29 AVE SW,1721,29 ave sw,,1721 29 AVE SW,"[('1721', 'house_number'), ('29 ave sw', 'road')]"
2682,"203, 2002 LUXSTONE BLVD SW",203 2002 LUXSTONE BLVD SW,2002,luxstone blvd sw,203,203 2002 LUXSTONE BLVD SW,"[('203', 'house_number'), ('2002', 'postcode'), ('luxstone blvd sw', 'road')]"
2683,"60, 4307 - 130 AVENUE SE",60 4307 130 AVENUE SE,60 4307,130 avenue se,,60 4307 130 AVENUE SE,"[('60 4307', 'house_number'), ('130 avenue se', 'road')]"
2684,16227 109 STREET,16227 109 STREET,16227,109 street,,16227 109 STREET,"[('16227', 'house_number'), ('109 street', 'road')]"
2685,3031 - 30 AVENUE,3031 30 AVENUE,3031,30 avenue,,3031 30 AVENUE,"[('3031', 'house_number'), ('30 avenue', 'road')]"
2686,"2122, 8561 - 8A AVE SW",2122 8561 8A AVE SW,2122,8561 8a ave sw,,2122 8561 8A AVE SW,"[('2122', 'house_number'), ('8561 8a ave sw', 'road')]"
2687,4105 118 AVE,4105 118 AVE,4105,118 ave,,4105 118 AVE,"[('4105', 'house_number'), ('118 ave', 'road')]"
2688,370 BULYEA ROAD,370 BULYEA ROAD,370,bulyea road,,370 BULYEA ROAD,"[('370', 'house_number'), ('bulyea road', 'road')]"
2689,100 KING STREET,100 KING STREET,100,king street,,100 KING STREET,"[('100', 'house_number'), ('king street', 'road')]"
2690,1216 - 36 AVE SW,1216 36 AVE SW,1216,36 ave sw,,1216 36 AVE SW,"[('1216', 'house_number'), ('36 ave sw', 'road')]"
2691,1721 29 AVE SW,1721 29 AVE SW,1721,29 ave sw,,1721 29 AVE SW,"[('1721', 'house_number'), ('29 ave sw', 'road')]"
2692,10534 - 62 STREET,10534 62 STREET,10534,62 street,,10534 62 STREET,"[('10534', 'house_number'), ('62 street', 'road')]"
2693,7608 154 STREET,7608 154 STREET,7608,154 street,,7608 154 STREET,"[('7608', 'house_number'), ('154 street', 'road')]"
2694,"60, 4307 - 130 AVENUE SE",60 4307 130 AVENUE SE,60 4307,130 avenue se,,60 4307 130 AVENUE SE,"[('60 4307', 'house_number'), ('130 avenue se', 'road')]"
2695,22707 97 AVENUE,22707 97 AVENUE,22707,97 avenue,,22707 97 AVENUE,"[('22707', 'house_number'), ('97 avenue', 'road')]"
2696,"SUITE 101, 800 YANKEE VALLEY BLVD. SW",#101 800 YANKEE VALLEY BLVD SW,800,yankee valley blvd sw,#101,#101  800 YANKEE VALLEY BLVD SW,"[('#101', 'unit'), ('800', 'house_number'), ('yankee valley blvd sw', 'road')]"
2697,50A GROSVENOR BLVD,50A GROSVENOR BLVD,50a,grosvenor blvd,,50A GROSVENOR BLVD,"[('50a', 'house_number'), ('grosvenor blvd', 'road')]"
2698,5024 106 AVENUE,5024 106 AVENUE,5024,106 avenue,,5024 106 AVENUE,"[('5024', 'house_number'), ('106 avenue', 'road')]"
2699,15 MISSION AVE,15 MISSION AVE,15,mission ave,,15 MISSION AVE,"[('15', 'house_number'), ('mission ave', 'road')]"
2700,4105 118 AVE,4105 118 AVE,4105,118 ave,,4105 118 AVE,"[('4105', 'house_number'), ('118 ave', 'road')]"
2701,5024 106 AVENUE,5024 106 AVENUE,5024,106 avenue,,5024 106 AVENUE,"[('5024', 'house_number'), ('106 avenue', 'road')]"
2702,8999 WENTWORTH AVE SW,8999 WENTWORTH AVE SW,8999,wentworth ave sw,,8999 WENTWORTH AVE SW,"[('8999', 'house_number'), ('wentworth ave sw', 'road')]"
2703,100 MAIN STREET,100 MAIN STREET,100,main street,,100 MAIN STREET,"[('100', 'house_number'), ('main street', 'road')]"
2704,3720 42 STREET NW,3720 42 STREET NW,3720,42 street nw,,3720 42 STREET NW,"[('3720', 'house_number'), ('42 street nw', 'road')]"
2705,100 MAIN STREET,100 MAIN STREET,100,main street,,100 MAIN STREET,"[('100', 'house_number'), ('main street', 'road')]"
2706,12 ARBOUR LAKE DR NW,12 ARBOUR LAKE DR NW,12,arbour lake dr nw,,12 ARBOUR LAKE DR NW,"[('12', 'house_number'), ('arbour lake dr nw', 'road')]"
2707,4603 MARBANK DRIVE NE,4603 MARBANK DRIVE NE,4603,marbank drive ne,,4603 MARBANK DRIVE NE,"[('4603', 'house_number'), ('marbank drive ne', 'road')]"
2708,65 ROBINSON DR,65 ROBINSON DR,65,robinson dr,,65 ROBINSON DR,"[('65', 'house_number'), ('robinson dr', 'road')]"
2709,9506 100 AVE,9506 100 AVE,9506,100 ave,,9506 100 AVE,"[('9506', 'house_number'), ('100 ave', 'road')]"
2710,4922 98 AVENUE,4922 98 AVENUE,4922,98 avenue,,4922 98 AVENUE,"[('4922', 'house_number'), ('98 avenue', 'road')]"
2711,9717 MORINVILLE DRIVE,9717 MORINVILLE DRIVE,9717,morinville drive,,9717 MORINVILLE DRIVE,"[('9717', 'house_number'), ('morinville drive', 'road')]"
2712,"102 SOUTHFORK DR, UNIT 102",102 SOUTHFORK DR UNIT 102,southfork dr,unit 102,102,102 SOUTHFORK DR UNIT 102,"[('102', 'house_number'), ('southfork dr', 'road'), ('unit 102', 'unit')]"
2713,4603 MARBANK DRIVE NE,4603 MARBANK DRIVE NE,4603,marbank drive ne,,4603 MARBANK DRIVE NE,"[('4603', 'house_number'), ('marbank drive ne', 'road')]"
2714,4922 98 AVENUE,4922 98 AVENUE,4922,98 avenue,,4922 98 AVENUE,"[('4922', 'house_number'), ('98 avenue', 'road')]"
2715,50 HOGAN ROAD RR1,50 HOGAN ROAD RR1,50,hogan road rr1,,50 HOGAN ROAD RR1,"[('50', 'house_number'), ('hogan road rr1', 'road')]"
2716,155 FALCONRIDGE CRES NE,155 FALCONRIDGE CRES NE,155,falconridge cres ne,,155 FALCONRIDGE CRES NE,"[('155', 'house_number'), ('falconridge cres ne', 'road')]"
2717,12 ARBOUR LAKE DRIVE NW,12 ARBOUR LAKE DRIVE NW,12,arbour lake drive nw,,12 ARBOUR LAKE DRIVE NW,"[('12', 'house_number'), ('arbour lake drive nw', 'road')]"
2718,1215 - 4 AVENUE SOUTH,1215 4 AVENUE SOUTH,1215,4 avenue south,,1215 4 AVENUE SOUTH,"[('1215', 'house_number'), ('4 avenue south', 'road')]"
2719,2108 UXBRIDGE DRIVE NW,2108 UXBRIDGE DRIVE NW,2108,uxbridge drive nw,,2108 UXBRIDGE DRIVE NW,"[('2108', 'house_number'), ('uxbridge drive nw', 'road')]"
2720,99 IRVING CRESCENT,99 IRVING CRESCENT,99,irving crescent,,99 IRVING CRESCENT,"[('99', 'house_number'), ('irving crescent', 'road')]"
2721,6502 - 58 STREET NW,6502 58 STREET NW,6502,58 street nw,,6502 58 STREET NW,"[('6502', 'house_number'), ('58 street nw', 'road')]"
2722,2900 CEDARBRAE DRIVE S.W.,2900 CEDARBRAE DRIVE SW,2900,cedarbrae drive sw,,2900 CEDARBRAE DRIVE SW,"[('2900', 'house_number'), ('cedarbrae drive sw', 'road')]"
2723,4 JONES CRESCENT,4 JONES CRESCENT,4,jones crescent,,4 JONES CRESCENT,"[('4', 'house_number'), ('jones crescent', 'road')]"
2724,101 BARCLAY PARADE SW,101 BARCLAY PARADE SW,101,barclay parade sw,,101 BARCLAY PARADE SW,"[('101', 'house_number'), ('barclay parade sw', 'road')]"
2725,820 64 AVE NW,820 64 AVE NW,820,64 ave nw,,820 64 AVE NW,"[('820', 'house_number'), ('64 ave nw', 'road')]"
2726,7906 MISSION HEIGHTS DRIVE,7906 MISSION HEIGHTS DRIVE,7906,mission heights drive,,7906 MISSION HEIGHTS DRIVE,"[('7906', 'house_number'), ('mission heights drive', 'road')]"
2727,5128 - 150 LEGACY MAIN STREET SE,5128 150 LEGACY MAIN STREET SE,5128 150,legacy main street se,,5128 150 LEGACY MAIN STREET SE,"[('5128 150', 'house_number'), ('legacy main street se', 'road')]"
2728,236 ACADIA DRIVE SE,236 ACADIA DRIVE SE,236,acadia drive se,,236 ACADIA DRIVE SE,"[('236', 'house_number'), ('acadia drive se', 'road')]"
2729,3333 RICHARDSON WAY SW,3333 RICHARDSON WAY SW,3333,richardson way sw,,3333 RICHARDSON WAY SW,"[('3333', 'house_number'), ('richardson way sw', 'road')]"
2730,110 DEER RIDGE DR,110 DEER RIDGE DR,110,deer ridge dr,,110 DEER RIDGE DR,"[('110', 'house_number'), ('deer ridge dr', 'road')]"
2731,101 BARCLAY PARADE SW,101 BARCLAY PARADE SW,101,barclay parade sw,,101 BARCLAY PARADE SW,"[('101', 'house_number'), ('barclay parade sw', 'road')]"
2732,"SUITE 101, 50 GRANDE AVENUE",#101 50 GRANDE AVENUE,50,grande avenue,#101,#101  50 GRANDE AVENUE,"[('#101', 'unit'), ('50', 'house_number'), ('grande avenue', 'road')]"
2733,"13,14 6325 - 12 STREET SE",1314 6325 12 STREET SE,1314,6325 12 street se,,1314 6325 12 STREET SE,"[('1314', 'house_number'), ('6325 12 street se', 'road')]"
2734,10638 215 STREET,10638 215 STREET,10638,215 street,,10638 215 STREET,"[('10638', 'house_number'), ('215 street', 'road')]"
2735,"6325 - 12 STREET SE, SUITE 13",6325 12 STREET SE #13,12 street,se #13,6325,#13 6325 12 STREET SE ,"[('#13', 'unit'), ('6325', 'house_number'), ('12 street se', 'road')]"
2736,5005 28 AVENUE,5005 28 AVENUE,5005,28 avenue,,5005 28 AVENUE,"[('5005', 'house_number'), ('28 avenue', 'road')]"
2737,250011 RANGE ROAD 33,250011 RANGE ROAD 33,range road,33,250011,250011 RANGE ROAD 33,"[('250011', 'house_number'), ('range road', 'road'), ('33', 'house_number')]"
2738,430-72 STREET,430 72 STREET,430,72 street,,430 72 STREET,"[('430', 'house_number'), ('72 street', 'road')]"
2739,4315 26 AVENUE SE,4315 26 AVENUE SE,4315,26 avenue se,,4315 26 AVENUE SE,"[('4315', 'house_number'), ('26 avenue se', 'road')]"
2740,"#103, 1817 - 48 ST. SE",#103 1817 48 ST SE,1817,48 st se,#103,#103  1817 48 ST SE,"[('#103', 'unit'), ('1817', 'house_number'), ('48 st se', 'road')]"
2741,189 HEMINGWAY ROAD NW,189 HEMINGWAY ROAD NW,189,hemingway road nw,,189 HEMINGWAY ROAD NW,"[('189', 'house_number'), ('hemingway road nw', 'road')]"
2742,101 3 STREET SW,101 3 STREET SW,101,3 street sw,,101 3 STREET SW,"[('101', 'house_number'), ('3 street sw', 'road')]"
2743,6700 KOOTENAY ST SW,6700 KOOTENAY ST SW,6700,kootenay st sw,,6700 KOOTENAY ST SW,"[('6700', 'house_number'), ('kootenay st sw', 'road')]"
2744,5414 6TH AVE,5414 6TH AVE,5414,6th ave,,5414 6TH AVE,"[('5414', 'house_number'), ('6th ave', 'road')]"
2745,536 SONORA AVENUE SW,536 SONORA AVENUE SW,536,sonora avenue sw,,536 SONORA AVENUE SW,"[('536', 'house_number'), ('sonora avenue sw', 'road')]"
2746,250011 RANGE ROAD 33,250011 RANGE ROAD 33,range road,33,250011,250011 RANGE ROAD 33,"[('250011', 'house_number'), ('range road', 'road'), ('33', 'house_number')]"
2747,1690 BAYWATER PARK,1690 BAYWATER PARK,1690,baywater park,,1690 BAYWATER PARK,"[('1690', 'house_number'), ('baywater park', 'road')]"
2748,10638 215 STREET,10638 215 STREET,10638,215 street,,10638 215 STREET,"[('10638', 'house_number'), ('215 street', 'road')]"
2749,"#206, 1 BOW RIDGE RD.",#206 1 BOW RIDGE RD,1,bow ridge rd,#206,#206  1 BOW RIDGE RD,"[('#206', 'unit'), ('1', 'house_number'), ('bow ridge rd', 'road')]"
2750,C32224 SPRINGBANK ROAD,C32224 SPRINGBANK ROAD,c32224,springbank road,,C32224 SPRINGBANK ROAD,"[('c32224', 'house_number'), ('springbank road', 'road')]"
2751,158/160 550 CLAREVIEW ROAD,158/160 550 CLAREVIEW ROAD,158/160 550,clareview road,,158/160 550 CLAREVIEW ROAD,"[('158/160 550', 'house_number'), ('clareview road', 'road')]"
2752,2104 - 6 AVENUE SOUTH,2104 6 AVENUE SOUTH,2104,6 avenue south,,2104 6 AVENUE SOUTH,"[('2104', 'house_number'), ('6 avenue south', 'road')]"
2753,"#103, 1817 - 48 ST. SE",#103 1817 48 ST SE,1817,48 st se,#103,#103  1817 48 ST SE,"[('#103', 'unit'), ('1817', 'house_number'), ('48 st se', 'road')]"
2754,226 MT. SUNDANCE CRESCENT WEST,226 MT SUNDANCE CRESCENT WEST,226,mt sundance crescent west,,226 MT SUNDANCE CRESCENT WEST,"[('226', 'house_number'), ('mt sundance crescent west', 'road')]"
2755,"#219, 125 MAIN STREET",#219 125 MAIN STREET,125,main street,#219,#219  125 MAIN STREET,"[('#219', 'unit'), ('125', 'house_number'), ('main street', 'road')]"
2756,"#40-MT. BURKE BLVD, WEST",#40 MT BURKE BLVD WEST,#40,mt burke blvd west,,#40  MT BURKE BLVD WEST,"[('#40', 'house_number'), ('mt burke blvd west', 'road')]"
2757,15425 BANNISTER ROAD SE,15425 BANNISTER ROAD SE,15425,bannister road se,,15425 BANNISTER ROAD SE,"[('15425', 'house_number'), ('bannister road se', 'road')]"
2758,15425 BANNISTER ROAD SE,15425 BANNISTER ROAD SE,15425,bannister road se,,15425 BANNISTER ROAD SE,"[('15425', 'house_number'), ('bannister road se', 'road')]"
2759,4314-54 A AVE,4314 54 A AVE,4314,54 a ave,,4314 54 A AVE,"[('4314', 'house_number'), ('54 a ave', 'road')]"
2760,38 KINCORA RISE NW,38 KINCORA RISE NW,38,kincora rise nw,,38 KINCORA RISE NW,"[('38', 'house_number'), ('kincora rise nw', 'road')]"
2761,"4315, 26TH AVE SE",4315 26TH AVE SE,4315,26th ave se,,4315 26TH AVE SE,"[('4315', 'house_number'), ('26th ave se', 'road')]"
2762,50 - 24 MT BURKE BLVD WEST,50 24 MT BURKE BLVD WEST,50 24,mt burke blvd west,,50 24 MT BURKE BLVD WEST,"[('50 24', 'house_number'), ('mt burke blvd west', 'road')]"
2763,334 HIGHWAY AVE,334 HIGHWAY AVE,334,highway ave,,334 HIGHWAY AVE,"[('334', 'house_number'), ('highway ave', 'road')]"
2764,158/160 550 CLAREVIEW ROAD,158/160 550 CLAREVIEW ROAD,158/160 550,clareview road,,158/160 550 CLAREVIEW ROAD,"[('158/160 550', 'house_number'), ('clareview road', 'road')]"
2765,3715 - 67 ST. NE,3715 67 ST NE,3715,67 st ne,,3715 67 ST NE,"[('3715', 'house_number'), ('67 st ne', 'road')]"
2766,13825 PARKSIDE DRIVE SE,13825 PARKSIDE DRIVE SE,13825,parkside drive se,,13825 PARKSIDE DRIVE SE,"[('13825', 'house_number'), ('parkside drive se', 'road')]"
2767,33 EDGEVALLEY CIRCLE NW,33 EDGEVALLEY CIRCLE NW,33,edgevalley circle nw,,33 EDGEVALLEY CIRCLE NW,"[('33', 'house_number'), ('edgevalley circle nw', 'road')]"
2768,13915 61 STREET,13915 61 STREET,13915,61 street,,13915 61 STREET,"[('13915', 'house_number'), ('61 street', 'road')]"
2769,4099 GARRISON BLVD SW,4099 GARRISON BLVD SW,4099,garrison blvd sw,,4099 GARRISON BLVD SW,"[('4099', 'house_number'), ('garrison blvd sw', 'road')]"
2770,4810 34 STREET,4810 34 STREET,4810,34 street,,4810 34 STREET,"[('4810', 'house_number'), ('34 street', 'road')]"
2771,5505 MAGASIN AVENUE,5505 MAGASIN AVENUE,5505,magasin avenue,,5505 MAGASIN AVENUE,"[('5505', 'house_number'), ('magasin avenue', 'road')]"
2772,5501-3 AVE,5501 3 AVE,5501,3 ave,,5501 3 AVE,"[('5501', 'house_number'), ('3 ave', 'road')]"
2773,305 6 AVENUE SOUTH,305 6 AVENUE SOUTH,305,6 avenue south,,305 6 AVENUE SOUTH,"[('305', 'house_number'), ('6 avenue south', 'road')]"
2774,4099 GARRISON BLVD SW,4099 GARRISON BLVD SW,4099,garrison blvd sw,,4099 GARRISON BLVD SW,"[('4099', 'house_number'), ('garrison blvd sw', 'road')]"
2775,"103, 2003 91 STREET SW",103 2003 91 STREET SW,103,2003 91 street sw,,103 2003 91 STREET SW,"[('103', 'house_number'), ('2003 91 street sw', 'road')]"
2776,3715 - 67 ST. NE,3715 67 ST NE,3715,67 st ne,,3715 67 ST NE,"[('3715', 'house_number'), ('67 st ne', 'road')]"
2777,299 COLLEGE DR SE,299 COLLEGE DR SE,299,college dr se,,299 COLLEGE DR SE,"[('299', 'house_number'), ('college dr se', 'road')]"
2778,9535 PRAIRIE ROAD,9535 PRAIRIE ROAD,9535,prairie road,,9535 PRAIRIE ROAD,"[('9535', 'house_number'), ('prairie road', 'road')]"
2779,200 MT PLEASANT DR.,200 MT PLEASANT DR,200,mt pleasant dr,,200 MT PLEASANT DR,"[('200', 'house_number'), ('mt pleasant dr', 'road')]"
2780,11201 PINNACLE BOULEVARD,11201 PINNACLE BOULEVARD,11201,pinnacle boulevard,,11201 PINNACLE BOULEVARD,"[('11201', 'house_number'), ('pinnacle boulevard', 'road')]"
2781,11201 PINNACLE BOULEVARD,11201 PINNACLE BOULEVARD,11201,pinnacle boulevard,,11201 PINNACLE BOULEVARD,"[('11201', 'house_number'), ('pinnacle boulevard', 'road')]"
2782,2825 MILLWOODS ROAD,2825 MILLWOODS ROAD,2825,millwoods road,,2825 MILLWOODS ROAD,"[('2825', 'house_number'), ('millwoods road', 'road')]"
2783,2825 MILLWOODS ROAD,2825 MILLWOODS ROAD,2825,millwoods road,,2825 MILLWOODS ROAD,"[('2825', 'house_number'), ('millwoods road', 'road')]"
2784,9260 58 STREET NW,9260 58 STREET NW,9260,58 street nw,,9260 58 STREET NW,"[('9260', 'house_number'), ('58 street nw', 'road')]"
2785,10310 56 STREET,10310 56 STREET,10310,56 street,,10310 56 STREET,"[('10310', 'house_number'), ('56 street', 'road')]"
2786,4 3002 106 STREET,4 3002 106 STREET,4 3002,106 street,,4 3002 106 STREET,"[('4 3002', 'house_number'), ('106 street', 'road')]"
2787,3820 32 STREET NE,3820 32 STREET NE,3820,32 street ne,,3820 32 STREET NE,"[('3820', 'house_number'), ('32 street ne', 'road')]"
2788,3034 106 STREET,3034 106 STREET,3034,106 street,,3034 106 STREET,"[('3034', 'house_number'), ('106 street', 'road')]"
2789,104 - 39 STREET SE,104 39 STREET SE,104,39 street se,,104 39 STREET SE,"[('104', 'house_number'), ('39 street se', 'road')]"
2790,10210 115 AVE,10210 115 AVE,10210,115 ave,,10210 115 AVE,"[('10210', 'house_number'), ('115 ave', 'road')]"
2791,104 - 39 STREET SE,104 39 STREET SE,104,39 street se,,104 39 STREET SE,"[('104', 'house_number'), ('39 street se', 'road')]"
2792,14710 53 AVENUE,14710 53 AVENUE,14710,53 avenue,,14710 53 AVENUE,"[('14710', 'house_number'), ('53 avenue', 'road')]"
2793,10830 96 STREET NW,10830 96 STREET NW,10830,96 street nw,,10830 96 STREET NW,"[('10830', 'house_number'), ('96 street nw', 'road')]"
2794,2099 BLACKMUD CREEK DRIVE,2099 BLACKMUD CREEK DRIVE,2099,blackmud creek drive,,2099 BLACKMUD CREEK DRIVE,"[('2099', 'house_number'), ('blackmud creek drive', 'road')]"
2795,210 BEACON HILL DRIVE,210 BEACON HILL DRIVE,210,beacon hill drive,,210 BEACON HILL DRIVE,"[('210', 'house_number'), ('beacon hill drive', 'road')]"
2796,18 12981 50 STREET,18 12981 50 STREET,18,12981 50 street,,18 12981 50 STREET,"[('18', 'house_number'), ('12981 50 street', 'road')]"
2797,11201 PINNACLE BOULEVARD,11201 PINNACLE BOULEVARD,11201,pinnacle boulevard,,11201 PINNACLE BOULEVARD,"[('11201', 'house_number'), ('pinnacle boulevard', 'road')]"
2798,"#19, 8 WESTON DRIVE SW",#19 8 WESTON DRIVE SW,8,weston drive sw,#19,#19  8 WESTON DRIVE SW,"[('#19', 'unit'), ('8', 'house_number'), ('weston drive sw', 'road')]"
2799,18 12981 50 STREET,18 12981 50 STREET,18,12981 50 street,,18 12981 50 STREET,"[('18', 'house_number'), ('12981 50 street', 'road')]"
2800,3010 SPENCE WYND SW,3010 SPENCE WYND SW,3010,spence wynd sw,,3010 SPENCE WYND SW,"[('3010', 'house_number'), ('spence wynd sw', 'road')]"
2801,10210 115 AVENUE,10210 115 AVENUE,10210,115 avenue,,10210 115 AVENUE,"[('10210', 'house_number'), ('115 avenue', 'road')]"
2802,210 BEACON HILL DRIVE,210 BEACON HILL DRIVE,210,beacon hill drive,,210 BEACON HILL DRIVE,"[('210', 'house_number'), ('beacon hill drive', 'road')]"
2803,4716 118 AVENUE,4716 118 AVENUE,4716,118 avenue,,4716 118 AVENUE,"[('4716', 'house_number'), ('118 avenue', 'road')]"
2804,4716 118 AVENUE,4716 118 AVENUE,4716,118 avenue,,4716 118 AVENUE,"[('4716', 'house_number'), ('118 avenue', 'road')]"
2805,3855 114 STREET,3855 114 STREET,3855,114 street,,3855 114 STREET,"[('3855', 'house_number'), ('114 street', 'road')]"
2806,6323 184 STREET NW,6323 184 STREET NW,6323,184 street nw,,6323 184 STREET NW,"[('6323', 'house_number'), ('184 street nw', 'road')]"
2807,11120 28 AVENUE,11120 28 AVENUE,11120,28 avenue,,11120 28 AVENUE,"[('11120', 'house_number'), ('28 avenue', 'road')]"
2808,165 LIBERTON DRIVE,165 LIBERTON DRIVE,165,liberton drive,,165 LIBERTON DRIVE,"[('165', 'house_number'), ('liberton drive', 'road')]"
2809,4995 MARKET STREET SE,4995 MARKET STREET SE,4995,market street se,,4995 MARKET STREET SE,"[('4995', 'house_number'), ('market street se', 'road')]"
2810,"BAY 9-12, 205 1ST STREET EAST",BAY 9 12 205 1ST STREET EAST,205,1st street east,bay 9 12,BAY 9 12 205 1ST STREET EAST,"[('bay 9 12', 'road'), ('205', 'house_number'), ('1st street east', 'road')]"
2811,"UNIT 2201, 100 HORSE CREEK ROAD",UNIT 2201 100 HORSE CREEK ROAD,100,horse creek road,unit 2201,UNIT 2201 100 HORSE CREEK ROAD,"[('unit 2201', 'unit'), ('100', 'house_number'), ('horse creek road', 'road')]"
2812,1208 RENFREW DRIVE NE,1208 RENFREW DRIVE NE,1208,renfrew drive ne,,1208 RENFREW DRIVE NE,"[('1208', 'house_number'), ('renfrew drive ne', 'road')]"
2813,"BAY 9 - 12, 205 1ST STREET EAST",BAY 9 12 205 1ST STREET EAST,205,1st street east,bay 9 12,BAY 9 12 205 1ST STREET EAST,"[('bay 9 12', 'road'), ('205', 'house_number'), ('1st street east', 'road')]"
2814,128 1 STREET EAST,128 1 STREET EAST,128,1 street east,,128 1 STREET EAST,"[('128', 'house_number'), ('1 street east', 'road')]"
2815,3855 114 STREET,3855 114 STREET,3855,114 street,,3855 114 STREET,"[('3855', 'house_number'), ('114 street', 'road')]"
2816,6323 184 STREET,6323 184 STREET,6323,184 street,,6323 184 STREET,"[('6323', 'house_number'), ('184 street', 'road')]"
2817,10419 158 AVENUE,10419 158 AVENUE,10419,158 avenue,,10419 158 AVENUE,"[('10419', 'house_number'), ('158 avenue', 'road')]"
2818,222 MAIN STREET,222 MAIN STREET,222,main street,,222 MAIN STREET,"[('222', 'house_number'), ('main street', 'road')]"
2819,3911 57A AVENUE,3911 57A AVENUE,3911,57a avenue,,3911 57A AVENUE,"[('3911', 'house_number'), ('57a avenue', 'road')]"
2820,10309-102 AVE,10309 102 AVE,10309,102 ave,,10309 102 AVE,"[('10309', 'house_number'), ('102 ave', 'road')]"
2821,333 - 11 AVENUE SW,333 11 AVENUE SW,333,11 avenue sw,,333 11 AVENUE SW,"[('333', 'house_number'), ('11 avenue sw', 'road')]"
2822,5812 149 AVENUE,5812 149 AVENUE,5812,149 avenue,,5812 149 AVENUE,"[('5812', 'house_number'), ('149 avenue', 'road')]"
2823,3802 139 AVENUE,3802 139 AVENUE,3802,139 avenue,,3802 139 AVENUE,"[('3802', 'house_number'), ('139 avenue', 'road')]"
2824,5010-50 AVENUE,5010 50 AVENUE,5010,50 avenue,,5010 50 AVENUE,"[('5010', 'house_number'), ('50 avenue', 'road')]"
2825,11540 73 AVENUE,11540 73 AVENUE,11540,73 avenue,,11540 73 AVENUE,"[('11540', 'house_number'), ('73 avenue', 'road')]"
2826,52 DOVERCREST WAY SE,52 DOVERCREST WAY SE,52,dovercrest way se,,52 DOVERCREST WAY SE,"[('52', 'house_number'), ('dovercrest way se', 'road')]"
2827,"#232, 200 - 4 AVENUE, SOUTH",#232 200 4 AVENUE SOUTH,200,4 avenue south,#232,#232  200 4 AVENUE SOUTH,"[('#232', 'unit'), ('200', 'house_number'), ('4 avenue south', 'road')]"
2828,11510 153 AVENUE,11510 153 AVENUE,11510,153 avenue,,11510 153 AVENUE,"[('11510', 'house_number'), ('153 avenue', 'road')]"
2829,5216 52 AVE.,5216 52 AVE,5216,52 ave,,5216 52 AVE,"[('5216', 'house_number'), ('52 ave', 'road')]"
2830,5812 149 AVENUE,5812 149 AVENUE,5812,149 avenue,,5812 149 AVENUE,"[('5812', 'house_number'), ('149 avenue', 'road')]"
2831,369 SIENNA PARK DRIVE SW,369 SIENNA PARK DRIVE SW,369,sienna park drive sw,,369 SIENNA PARK DRIVE SW,"[('369', 'house_number'), ('sienna park drive sw', 'road')]"
2832,10309-102 AVENUE,10309 102 AVENUE,10309,102 avenue,,10309 102 AVENUE,"[('10309', 'house_number'), ('102 avenue', 'road')]"
2833,"3820 - 24 AVE NW, WEST CAMPUS",3820 24 AVE NW WEST CAMPUS,24 ave nw,west campus,3820,3820 24 AVE NW WEST CAMPUS,"[('3820', 'house_number'), ('24 ave nw', 'road'), ('west campus', 'suburb')]"
2834,222 MAIN STREET,222 MAIN STREET,222,main street,,222 MAIN STREET,"[('222', 'house_number'), ('main street', 'road')]"
2835,101 - 8703 91 STREET,101 8703 91 STREET,101,8703 91 street,,101 8703 91 STREET,"[('101', 'house_number'), ('8703 91 street', 'road')]"
2836,5329 106 STREET,5329 106 STREET,5329,106 street,,5329 106 STREET,"[('5329', 'house_number'), ('106 street', 'road')]"
2837,8901 WILLOW DRIVE,8901 WILLOW DRIVE,8901,willow drive,,8901 WILLOW DRIVE,"[('8901', 'house_number'), ('willow drive', 'road')]"
2838,8901 WILLOW DRIVE,8901 WILLOW DRIVE,8901,willow drive,,8901 WILLOW DRIVE,"[('8901', 'house_number'), ('willow drive', 'road')]"
