,cityprov
114,"Lieu historique national du Canada du Presbytère St Andrew's MB, Canada"
115,"Theordore SK, Canada"
116,"Camperville MB, Canada"
117,"Woodstock ON, Canada"
118,"Pukatawagan 198 MB, Canada"
119,"Wuskwi Sipihk No 7 MB, Canada"
120,"Petit rocher NB, Canada"
121,"Sharpewood MB, Canada"
122,"Cymri No 36 SK, Canada"
123,"Hubbard SK, Canada"
124,"Grafton ON, Canada"
125,"Muskowekwan 85 27 SK, Canada"
126,"Dneiper SK, Canada"
127,"Charron Lake Game Preserve SK, Canada"
128,"Decimal MB, Canada"
129,"Riding Mountain Park East Gate Registration Complex National Historic Site of Canada MB, Canada"
130,"Duck River MB, Canada"
131,"Forgan SK, Canada"
132,"Midale SK, Canada"
133,"Norway House 17C 29 MB, Canada"
134,"Stoney Point ON, Canada"
135,"Fox Lake 2 MB, Canada"
136,"Letellier MB, Canada"
137,"King George No 256 SK, Canada"
138,"Greenacres MB, Canada"
139,"Sunbury NB, Canada"
140,"Buffalo No 409 SK, Canada"
141,"Riding Mountain MB, Canada"
142,"Lawrencetown NS, Canada"
143,"Norgate MB, Canada"
144,"Peguis 1G MB, Canada"
145,"Ochapowace 71 40 SK, Canada"
146,"Oak Island Settlement MB, Canada"
147,"East Paint Lake Park Reserve MB, Canada"
148,"Falcon Lake MB, Canada"
149,"Foam Lake No 276 SK, Canada"
150,"Fort Pelly #1 Historic Site SK, Canada"
151,"Kylemore SK, Canada"
152,"Allan Hills SK, Canada"
153,"Muskowekwan 85 61 SK, Canada"
154,"Caswell Hill SK, Canada"
155,"Wapusk National Park of Canada MB, Canada"
156,"Newton MB, Canada"
157,"Les Coteaux QC, Canada"
158,"Innes SK, Canada"
159,"Lumsden SK, Canada"
160,"Red Cross Lake North MB, Canada"
161,"Rorketon MB, Canada"
162,"Riverbend MB, Canada"
163,"Illerbrun SK, Canada"
164,"Bearskin Lake ON, Canada"
165,"Yorkton SK, Canada"
166,"Warren Landing MB, Canada"
167,"Ochapowace 71 10 SK, Canada"
168,"Nut Mountain SK, Canada"
169,"High Point SK, Canada"
170,"St Francois Xavier MB, Canada"
171,"Battrum SK, Canada"
172,"Grassy Creek No 78 SK, Canada"
173,"Regina SK, Canada"
174,"Bayne No 371 SK, Canada"
175,"Horsham SK, Canada"
176,"Birdtail Sioux MB, Canada"
177,"Springwater Provincial Park MB, Canada"
178,"Feudal SK, Canada"
179,"Blumenort SK, Canada"
180,"Back MB, Canada"
181,"Silver Ridge MB, Canada"
182,"Victor MB, Canada"
183,"Whiteshell Provincial Park MB, Canada"
184,"Blumenheim SK, Canada"
185,"Clear Springs MB, Canada"
186,"Mariposa Wildlife Management Unit SK, Canada"
187,"Muskowekwan 85 69 SK, Canada"
188,"Port Elgin ON, Canada"
189,"Ochapowace 71 37 SK, Canada"
190,"Medard MB, Canada"
191,"Hendersons Beach SK, Canada"
192,"Muskowekwan 85 56 SK, Canada"
193,"Morse No 165 SK, Canada"
194,"Drinkwater SK, Canada"
195,"Farley SK, Canada"
196,"George Gordon First Nation 86 SK, Canada"
197,"Manigotagan Settlement MB, Canada"
198,"Ochapowace 71 70 SK, Canada"
199,"Sioux Valley MB, Canada"
200,"Okno MB, Canada"
201,"Fort Richmond MB, Canada"
202,"Khedive SK, Canada"
203,"Red Sucker Lake 1976 C MB, Canada"
204,"Dore Lake SK, Canada"
205,"Adam Wood Memorial Landing SK, Canada"
206,"Shilo MB, Canada"
207,"Harbour View South MB, Canada"
208,"Frenchville SK, Canada"
209,"St Stephen NB, Canada"
210,"Port Robinson ON, Canada"
211,"Grandview MB, Canada"
212,"St James Junction MB, Canada"
213,"Layco SK, Canada"
214,"Lillesve MB, Canada"
215,"Klintonel SK, Canada"
216,"Winnipegosis MB, Canada"
217,"Little Red River 106D SK, Canada"
218,"Muskiki Springs SK, Canada"
219,"Robertville NB, Canada"
220,"Canso NS, Canada"
221,"Betula Lake MB, Canada"
222,"Worthington MB, Canada"
223,"Garwood SK, Canada"
224,"Fairfield Park MB, Canada"
225,"Baden MB, Canada"
226,"Austin MB, Canada"
227,"Domremy Beach SK, Canada"
228,"Margaret Park MB, Canada"
229,"Lieu historique national du Canada York Factory MB, Canada"
230,"Norwood West MB, Canada"
231,"Bonfield ON, Canada"
232,"Assineweetasataypawin MB, Canada"
233,"Coaldale AB, Canada"
234,"Lieu historique national du Canada de la Bataille de Fish Creek SK, Canada"
235,"108 Mile Ranch BC, Canada"
236,"Ochapowace 71 57 SK, Canada"
237,"Baltimore ON, Canada"
238,"St Theresa Point MB, Canada"
239,"Divide SK, Canada"
240,"Marie Hill SK, Canada"
241,"Polonia MB, Canada"
242,"Winnipekosihk MB, Canada"
243,"Henribourg SK, Canada"
244,"Roseland MB, Canada"
245,"Hudson Bay Park SK, Canada"
246,"Ochapowace 71 45 SK, Canada"
247,"Lorette MB, Canada"
248,"Temiscaming QC, Canada"
249,"Schomberg ON, Canada"
250,"Bresaylor SK, Canada"
251,"Pelly Crossing YT, Canada"
252,"Laguna Beach MB, Canada"
253,"Lakeview No 337 SK, Canada"
254,"Pembina Valley Provincial Park MB, Canada"
255,"Eagle Creek Regional Park SK, Canada"
256,"Fortier MB, Canada"
257,"Ness Lake Recreation Site SK, Canada"
258,"Rhodes MB, Canada"
259,"Thunder Hill MB, Canada"
260,"McCreary MB, Canada"
261,"Lake St Andrew MB, Canada"
262,"Mayfeld MB, Canada"
263,"Churchbridge No 211 SK, Canada"
264,"Garry No 245 SK, Canada"
265,"Chortitz MB, Canada"
266,"Fort Black SK, Canada"
267,"Consul SK, Canada"
268,"Botwood NL, Canada"
269,"Wapaminakoskak Narrows MB, Canada"
270,"Anderson MB, Canada"
271,"South Atikaki Provincial Park MB, Canada"
272,"Keeseekoose 66 Sa 02 SK, Canada"
273,"Colborne ON, Canada"
274,"Hearne SK, Canada"
275,"Muskowekwan 85 12 SK, Canada"
276,"Stephenville NL, Canada"
277,"Deleau MB, Canada"
278,"Garden Hill First Nation MB, Canada"
279,"Holbein SK, Canada"
280,"Morweena MB, Canada"
281,"Deux montagnes QC, Canada"
282,"Verona ON, Canada"
283,"Carry The Kettle 76 61 SK, Canada"
284,"Chief Joseph Custer SK, Canada"
285,"Wellington Wildlife Management Area MB, Canada"
286,"South Junction MB, Canada"
287,"Carry The Kettle 76 3 SK, Canada"
288,"Clearwater Lake Regional Park SK, Canada"
289,"Corning SK, Canada"
290,"B Say Tah SK, Canada"
291,"Govenlock SK, Canada"
292,"Horizon SK, Canada"
293,"Winnpeg  MB, Canada"
294,"Norman MB, Canada"
295,"Kosapachekaywinasinne MB, Canada"
296,"Montreal River Recreation Site SK, Canada"
297,"North End MB, Canada"
298,"Stitt MB, Canada"
299,"Browning SK, Canada"
300,"Goulbourne MB, Canada"
301,"Broad Valley Wildlife Management Area MB, Canada"
302,"La Rochelle MB, Canada"
303,"Hope BC, Canada"
304,"Blewett SK, Canada"
305,"Flintoft SK, Canada"
306,"Venlaw MB, Canada"
307,"Sandy Bay MB, Canada"
308,"Breeze SK, Canada"
309,"Hodgeville SK, Canada"
310,"Ocean Man 69A SK, Canada"
311,"Shamattawa MB, Canada"
312,"Claggett SK, Canada"
313,"Emesville MB, Canada"
314,"Lawledge MB, Canada"
315,"Mentmore MB, Canada"
316,"Meadow Lake Lions Regional Park SK, Canada"
317,"City Centre MB, Canada"
318,"Oakland MB, Canada"
319,"Mooseocoot MB, Canada"
320,"Athapap MB, Canada"
321,"Lindequist SK, Canada"
322,"Moosomin 112L SK, Canada"
323,"Emerson Junction MB, Canada"
324,"Ruthenia MB, Canada"
325,"Colwood BC, Canada"
326,"Riverheights MB, Canada"
327,"Celtic SK, Canada"
328,"Gergovia SK, Canada"
329,"Codette SK, Canada"
330,"Saint Lonard NB, Canada"
331,"Amiskosakahikan 210 SK, Canada"
332,"Thorold ON, Canada"
333,"Saskatoon Sask, Canada"
334,"Grande Pointe MB, Canada"
335,"Ginew MB, Canada"
336,"Albert Park South SK, Canada"
337,"Woodstock NB, Canada"
338,"Hampton NB, Canada"
339,"Killarney Turtle Mountain MB, Canada"
340,"Lewvan SK, Canada"
341,"Archydal SK, Canada"
342,"Debden SK, Canada"
343,"Sherritt Junction MB, Canada"
344,"Hazelwood No 94 SK, Canada"
345,"Kenosee Park SK, Canada"
346,"Cap pele NB, Canada"
347,"Edwin MB, Canada"
348,"Whitewater MB, Canada"
349,"Amaranth MB, Canada"
350,"Gibbs SK, Canada"
351,"Cranbrook BC, Canada"
352,"Grandview No 349 SK, Canada"
353,"Antler Corner MB, Canada"
354,"Pasquia Settlement MB, Canada"
355,"Rosthern SK, Canada"
356,"Adolphe MB, Canada"
357,"Toronto Island ON, Canada"
358,"McCord SK, Canada"
359,"Duval SK, Canada"
360,"Braddock SK, Canada"
361,"Roseau River 2B MB, Canada"
362,"Muskeg Lake 102D SK, Canada"
363,"Ibsen SK, Canada"
364,"Watchorn Provincial Park MB, Canada"
365,"Island Lake MB, Canada"
366,"Cross Lake MB, Canada"
367,"Pointe du Bois MB, Canada"
368,"Clarence Creek ON, Canada"
369,"Budd MB, Canada"
370,"Browning No 34 SK, Canada"
371,"Norway House 17C 3 MB, Canada"
372,"Blacks Point MB, Canada"
373,"Besant Recreation Site SK, Canada"
374,"Carruthers SK, Canada"
375,"Sheth Chok MB, Canada"
376,"Brokenhead River Ecological Reserve MB, Canada"
377,"Cowan Dam Recreation Site SK, Canada"
378,"Dummer SK, Canada"
379,"Ochapowace 71 22 SK, Canada"
380,"Fillmore No 96 SK, Canada"
381,"Little Amyot Lake Recreation Site SK, Canada"
382,"Rogersville NB, Canada"
383,"Finns MB, Canada"
384,"Alvinston ON, Canada"
385,"Keeseekoose Kk 66 ST 04 SK, Canada"
386,"Jordan River SK, Canada"
387,"Thi Dare MB, Canada"
388,"Montreal Lake 106 SK, Canada"
389,"Pit Siding MB, Canada"
390,"Muskowekwan 85 32 SK, Canada"
391,"Ochapowace 71 120 SK, Canada"
392,"Linear Mounds National Historic Site of Canada MB, Canada"
393,"Bullhead MB, Canada"
394,"Leslie Beach SK, Canada"
395,"Berens River 13 MB, Canada"
396,"Ditton Park SK, Canada"
397,"Norco SK, Canada"
398,"Hanover MB, Canada"
399,"Success SK, Canada"
400,"Glentworth SK, Canada"
401,"Forts Rouge, Garry and Gibraltar National Historic Site of Canada MB, Canada"
402,"Kenyan Lake MB, Canada"
403,"Nonsuch MB, Canada"
404,"Canmore AB, Canada"
405,"Kirkella MB, Canada"
406,"Carry The Kettle 76 1 SK, Canada"
407,"Fort la Reine MB, Canada"
408,"Carbonear NL, Canada"
409,"Kindersley SK, Canada"
410,"King Fisher Bay MB, Canada"
411,"Hudson Bay Regional Park SK, Canada"
412,"Shefford QC, Canada"
413,"Ituna and District Regional Park SK, Canada"
414,"Silver Heights MB, Canada"
415,"Wilsons Beach NB, Canada"
416,"Odessa ON, Canada"
417,"Terrace BC, Canada"
418,"Eden MB, Canada"
419,"Delta Marsh Wildlife Management Area MB, Canada"
420,"Mikado SK, Canada"
421,"Linden MB, Canada"
422,"Bagot MB, Canada"
423,"Gladstone  MB, Canada"
424,"Last Mountain Lake Wildlife Management Unit SK, Canada"
425,"Cross Lake 19C MB, Canada"
426,"Overflowing River MB, Canada"
427,"Catfish Creek Wildlife Management Area MB, Canada"
428,"Frontier No 19 SK, Canada"
429,"Newcross SK, Canada"
430,"Ocean Man 69C SK, Canada"
431,"Ochapowace 71 72 SK, Canada"
432,"Ochapowace 71 12 SK, Canada"
433,"Halcrow MB, Canada"
434,"Peguis 1H MB, Canada"
435,"Hamburg MB, Canada"
436,"Sommerfeld MB, Canada"
437,"Crocus MB, Canada"
438,"Holland Landing ON, Canada"
439,"Coventry Place SK, Canada"
440,"Salt Springs NS, Canada"
441,"Sandy Bay 5 MB, Canada"
442,"Arden MB, Canada"
443,"Cana Junction SK, Canada"
444,"St Leon MB, Canada"
445,"Drayton ON, Canada"
446,"Hillmond SK, Canada"
447,"Wabowden MB, Canada"
448,"Swan Lake First Nation 8A MB, Canada"
449,"Mount Pleasant No 2 SK, Canada"
450,"Aubigny MB, Canada"
451,"Carman MB, Canada"
452,"Omemee ON, Canada"
453,"Kamsack Beach SK, Canada"
454,"Steeves Mountain NB, Canada"
455,"Leipzig SK, Canada"
456,"Keeseekoowenin MB, Canada"
457,"Hardy SK, Canada"
458,"Black Sturgeon MB, Canada"
459,"Glencairn Village SK, Canada"
460,"Keeseekoose 66 Ca 02 SK, Canada"
461,"Dorchester ON, Canada"
462,"Humboldt No 370 SK, Canada"
463,"Brooksby SK, Canada"
464,"Newdale MB, Canada"
465,"Meadowood MB, Canada"
466,"Cote 64 SK, Canada"
467,"Odanah MB, Canada"
468,"Walkleyburg MB, Canada"
469,"Pulberry MB, Canada"
470,"Balmoral NB, Canada"
471,"Homewood MB, Canada"
472,"Hudson QC, Canada"
473,"Molewood SK, Canada"
474,"Tecumseh ON, Canada"
475,"Last Mountain House Provincial Park SK, Canada"
476,"Button MB, Canada"
477,"Muir MB, Canada"
478,"Bancroft ON, Canada"
479,"Norway House 17D 5 MB, Canada"
480,"Lothian SK, Canada"
481,"Birdinia MB, Canada"
482,"Sundown MB, Canada"
483,"Clearwater River SK, Canada"
484,"Alfred Hole Goose Sanctuary MB, Canada"
485,"Endcliffe MB, Canada"
486,"Lashburn SK, Canada"
487,"High Hill Lake MB, Canada"
488,"Lynbrook Heights SK, Canada"
489,"Grahamdale Wildlife Management Area MB, Canada"
490,"Cuffley SK, Canada"
491,"Chemawawin 2 MB, Canada"
492,"Plantagenet ON, Canada"
493,"Onanole MB, Canada"
494,"Carry The Kettle 76 10 SK, Canada"
495,"Ochapowace 71 93 SK, Canada"
496,"Lake Johnston No 102 SK, Canada"
497,"Shelburne ON, Canada"
498,"Vermilyea Lake MB, Canada"
499,"Loon Straits MB, Canada"
500,"Long Spruce MB, Canada"
501,"Dipper Rapids 192C SK, Canada"
502,"Ingvald Opseth Wildlife Refuge SK, Canada"
503,"Courtland ON, Canada"
504,"Muskowekwan 85 14 SK, Canada"
505,"Churchbridge SK, Canada"
506,"Poplar River 16 MB, Canada"
507,"Cochrane ON, Canada"
508,"Oliver BC, Canada"
509,"Napanee ON, Canada"
510,"Abbott SK, Canada"
511,"Hillsdale No 440 SK, Canada"
512,"Clearsand Beach SK, Canada"
513,"Lieu historique national du Canada du Fort Battleford SK, Canada"
514,"Split Lake 171A MB, Canada"
515,"Muskowekwan 85 35 SK, Canada"
516,"Happy Valley No 10 SK, Canada"
517,"Aspen Park MB, Canada"
518,"Coothill SK, Canada"
519,"Langs Crossing MB, Canada"
520,"Bedford NS, Canada"
521,"Spruce Sands MB, Canada"
522,"Reed River 36A MB, Canada"
523,"Blue Bell SK, Canada"
524,"Chappell SK, Canada"
525,"St Labre MB, Canada"
526,"Muskowekwan 85 41 SK, Canada"
527,"Gouverneur SK, Canada"
528,"Grund MB, Canada"
529,"Whitemouth Falls Provincial Park MB, Canada"
530,"Wendigo Beach MB, Canada"
531,"Juno MB, Canada"
532,"Pelican Rapids Access Road Phase 1 MB, Canada"
533,"Renfrew ON, Canada"
534,"Norris Lake MB, Canada"
535,"Hagen SK, Canada"
536,"Brooklin ON, Canada"
537,"Buffalo Rubbing Stone Historic Site SK, Canada"
538,"Bobcaygeon ON, Canada"
539,"Lake St Martin MB, Canada"
540,"Taché MB, Canada"
541,"Richmond Hill ON, Canada"
542,"Ferndale MB, Canada"
543,"Wolseley SK, Canada"
544,"Hamilton Heights MB, Canada"
545,"Andover NB, Canada"
546,"Sand Lakes Provincial Park MB, Canada"
547,"Petlura MB, Canada"
548,"Copper Cliff ON, Canada"
549,"Churchill 1 MB, Canada"
550,"Pincourt QC, Canada"
551,"Heaman MB, Canada"
552,"War Lake A MB, Canada"
553,"Beaupré Creek Recreation Site SK, Canada"
554,"Iqaluit NU, Canada"
555,"Ardath SK, Canada"
556,"Broncho SK, Canada"
557,"Craik No 222 SK, Canada"
558,"Janow Corners SK, Canada"
559,"Notukeu Regional Park SK, Canada"
560,"Kelvington No 366 SK, Canada"
561,"Ochapowace 71 49 SK, Canada"
562,"Richland MB, Canada"
563,"Carmacks YT, Canada"
564,"Mosquito Grizzly Bear's Head Lean Man TLE 1 SK, Canada"
565,"Carry The Kettle 76 84 SK, Canada"
566,"Waterville Sunbury NB, Canada"
567,"Lasalle ON, Canada"
568,"Kearney SK, Canada"
569,"Guelph ON, Canada"
570,"Moose Lake 31C MB, Canada"
571,"Delorme Beach SK, Canada"
572,"Buccleugh SK, Canada"
573,"Edillen MB, Canada"
574,"Shelburne NS, Canada"
575,"George Gordon First Nation 86 4 SK, Canada"
576,"Chambly QC, Canada"
577,"Valley River MB, Canada"
578,"Bunclody MB, Canada"
579,"Keswick ON, Canada"
580,"Ceepee SK, Canada"
581,"Pine Creek Station MB, Canada"
582,"Nackawic NB, Canada"
583,"Blooming SK, Canada"
584,"Bishop's Falls NL, Canada"
585,"Alonsa MB, Canada"
586,"Bergen MB, Canada"
587,"Eldersley SK, Canada"
588,"Connaught No 457 SK, Canada"
589,"Piponshewanik MB, Canada"
590,"Greenfeld SK, Canada"
591,"Umpherville MB, Canada"
592,"Handel SK, Canada"
593,"Langdon AB, Canada"
594,"Duck Bay MB, Canada"
595,"Knee Lake 192B SK, Canada"
596,"Makwa SK, Canada"
597,"Masikiskahk MB, Canada"
598,"Vancouver BC, Canada"
599,"Big River No 555 SK, Canada"
600,"Ochapowace 71 104 SK, Canada"
601,"Carry The Kettle 76 48 SK, Canada"
602,"Avebury SK, Canada"
603,"Mississauga ON, Canada"
604,"Dunnville ON, Canada"
605,"Dernic SK, Canada"
606,"Masefield SK, Canada"
607,"Lieu historique national du Canada du Fort Livingstone SK, Canada"
608,"Carcross YT, Canada"
609,"Ladder Valley SK, Canada"
610,"God's Lake 23 MB, Canada"
611,"Lowland MB, Canada"
612,"Rufford MB, Canada"
613,"Duncairn Reservoir Bird Sanctuary SK, Canada"
614,"Landmark MB, Canada"
615,"White Lake MB, Canada"
616,"Wivenhoe MB, Canada"
617,"Cudworth Junction SK, Canada"
618,"Union Point MB, Canada"
619,"Waasis NB, Canada"
620,"Herschel SK, Canada"
621,"Balaton Beach MB, Canada"
622,"Norway House 17C 41 MB, Canada"
623,"Boharm SK, Canada"
624,"Wolf River MB, Canada"
625,"Lamprey MB, Canada"
626,"Holdfast SK, Canada"
627,"Claremont ON, Canada"
628,"Tyrrell MB, Canada"
629,"Bedell NB, Canada"
630,"Lachute QC, Canada"
631,"Norway House Settlement MB, Canada"
632,"Blumenort South MB, Canada"
633,"Lens SK, Canada"
634,"Lett SK, Canada"
635,"Coronach SK, Canada"
636,"Eagles Lake 165C SK, Canada"
637,"Crawford Park MB, Canada"
638,"Cathedral Bluffs SK, Canada"
639,"Stony Plain AB, Canada"
640,"Metinota SK, Canada"
641,"Wapella SK, Canada"
642,"Prince of Wales Fort National Historic Site of Canada MB, Canada"
643,"Dreghorn SK, Canada"
644,"Stouffville ON, Canada"
645,"Whytewold MB, Canada"
646,"Forest ON, Canada"
647,"Maymont SK, Canada"
648,"Barrie ON, Canada"
649,"Weymouth NS, Canada"
650,"Nguac NB, Canada"
651,"Rosser MB, Canada"
652,"Cypress Hills Massacre National Historic Site of Canada SK, Canada"
653,"Biggar and District Regional Park SK, Canada"
654,"Channing MB, Canada"
655,"Rusagonis NB, Canada"
656,"Holiday Park SK, Canada"
657,"La Plaine SK, Canada"
658,"Tyndall MB, Canada"
659,"Victoria MB, Canada"
660,"New England SK, Canada"
661,"Larkhill MB, Canada"
662,"Dolly Bay MB, Canada"
663,"Niverville MB, Canada"
664,"Oakshela SK, Canada"
665,"Plumas MB, Canada"
666,"Red Sucker Lake 1976 D MB, Canada"
667,"Norway House Cree Nation Opiminegoka Lake MB, Canada"
668,"Kitchisakik MB, Canada"
669,"Jarvis ON, Canada"
670,"Carry The Kettle 76 11 SK, Canada"
671,"Fishing Lake Regional Park (KC Beach) SK, Canada"
672,"Dakota Plains 6A MB, Canada"
673,"Carberry MB, Canada"
674,"Reeder MB, Canada"
675,"Sault Ste Marie ON, Canada"
676,"Asham Point MB, Canada"
677,"Oak River MB, Canada"
678,"Big River SK, Canada"
679,"Ajax ON, Canada"
680,"Cheviot SK, Canada"
681,"Lone Tree No 18 SK, Canada"
682,"C Stuart Stevenson Wildlife Management Area MB, Canada"
683,"Muenster SK, Canada"
684,"Biggar SK, Canada"
685,"Allardville NB, Canada"
686,"Mariposa No 350 SK, Canada"
687,"Carry The Kettle 76 4 SK, Canada"
688,"Wasekuscusik Bay MB, Canada"
689,"Toutes Aides MB, Canada"
690,"Key West SK, Canada"
691,"Yellow Quill Provincial Park MB, Canada"
692,"Minoahchak 74C SK, Canada"
693,"La Barrière MB, Canada"
694,"Pinawa MB, Canada"
695,"Unity SK, Canada"
696,"Little Black Bear 84 SK, Canada"
697,"Carry The Kettle 76 44 SK, Canada"
698,"Sainte Marie Saint Raphal NB, Canada"
699,"Claytonville SK, Canada"
700,"Maryville SK, Canada"
701,"West Pine Ridge MB, Canada"
702,"Herzel SK, Canada"
703,"Forrest MB, Canada"
704,"Flowing Well SK, Canada"
705,"Bromhead SK, Canada"
706,"Hochstadt SK, Canada"
707,"Vassar MB, Canada"
708,"Carlowrie MB, Canada"
709,"Greenwald MB, Canada"
710,"Redvers SK, Canada"
711,"Brockington SK, Canada"
712,"Hawkins MB, Canada"
713,"Swift Current SK, Canada"
714,"Day's Beach SK, Canada"
715,"Ardwick SK, Canada"
716,"Gladmar SK, Canada"
717,"Longueuil QC, Canada"
718,"Norway House 17C 8 MB, Canada"
719,"Enterprise No 142 SK, Canada"
720,"Lilyfield MB, Canada"
721,"Ochapowace 71 39 SK, Canada"
722,"East Braintree MB, Canada"
723,"London ON, Canada"
724,"Ochapowace 71 33 SK, Canada"
725,"Overflowing River Provincial Park MB, Canada"
726,"Marean Lake SK, Canada"
727,"Saint Isidore NB, Canada"
728,"Big Sandy Lake Recreation Site SK, Canada"
729,"Cordova MB, Canada"
730,"Hubbards NS, Canada"
731,"Orillia ON, Canada"
732,"Graysville MB, Canada"
733,"Wiarton ON, Canada"
734,"Hecla MB, Canada"
735,"Hailsham SK, Canada"
736,"Neely Lake Game Preserve SK, Canada"
737,"Boundary Park MB, Canada"
738,"Livingston No 331 SK, Canada"
739,"Fort à la Corne Wildlife Management Unit SK, Canada"
740,"Dog Lake Wildlife Management Area MB, Canada"
741,"Chataway Lake/Knife Lake MB, Canada"
742,"Acton ON, Canada"
743,"Dufrost MB, Canada"
744,"Three Hills AB, Canada"
745,"Brochet MB, Canada"
746,"Lord Selkirk Park MB, Canada"
747,"Kathrintal Colony SK, Canada"
748,"Ochapowace 71 115 SK, Canada"
749,"Gravenhurst ON, Canada"
750,"Dallas MB, Canada"
751,"Lydiatt MB, Canada"
752,"Dunnet Regional Park SK, Canada"
753,"DSL de Grand Sault/Falls NB, Canada"
754,"Lakenheath SK, Canada"
755,"Dog Lake Islands Game Bird Refuge MB, Canada"
756,"Elaine Lake Recreation Site SK, Canada"
757,"Fairholme SK, Canada"
758,"Rosa MB, Canada"
759,"Allan SK, Canada"
760,"Evergreen Acres SK, Canada"
761,"Kahkewistahaw 72C SK, Canada"
762,"St Malo MB, Canada"
763,"Benito MB, Canada"
764,"Gordon 86 SK, Canada"
765,"Northern Lights 220 SK, Canada"
766,"Enderby BC, Canada"
767,"Insinger No 275 SK, Canada"
768,"Ochapowace 71 42 SK, Canada"
769,"River John NS, Canada"
770,"Drobot SK, Canada"
771,"Dollard des ormeaux QC, Canada"
772,"Rossland BC, Canada"
773,"Wildwood MB, Canada"
