FAC_PARTY_ID,SERVICE_TYPE_CD,NAME,ADDRESS_1,ADDRESS_2,CITY,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE,WEBSITE,EMAIL,OP_WEEKDAY_YN,OP_WEEKEND_YN,OP_STAT_HOLIDAY_YN,OP_OVERNIGHT_YN,OP_EXT_WEEKDAY_BEFORE6AM_YN,OP_EXT_WEEKDAY_AFTER7PM_YN,SRVC_UNDER36_YN,SRVC_30MOS_5YRS_YN,SRVC_LICPRE_YN,SRVC_OOS_KINDER_YN,SRVC_OOS_GR1_AGE12_YN,LANG_CANTONESE_YN,LANG_PUNJABI_YN,LANG_MANDARIN_YN,LANG_FRENCH_YN,LANG_SPANISH_YN,LANG_OTHER_YN,PROVIDE_CD_MEALS,PROVIDE_CD_PICKUP,PRESCHOOL_MORNING_YN,PRESCHOOL_MIDDAY_YN,PRESCHOOL_AFTERNOON_YN,ABORIGINAL_PROGRAMMING_YN,ACCOMMODATE_SPECIAL_NEEDS,ECE_CERTIFICATION_YN,ELF_PROGRAMMING_YN,VACANCY_SRVC_UNDER36,VACANCY_SRVC_30MOS_5YRS,VACANCY_SRVC_LICPRE,VACANCY_SRVC_OOS_GR1_AGE12,VACANCY_LAST_UPDATE,HA_FAC_INSPEC_RPTS,IS_INCOMPLETE_IND,IS_CCFRI_AUTH,IS_DUPLICATE
3590,Licensed Family,Momma Joe's Day Care,1823 Hawk Dr,,Courtenay,V9N 8Z1,49.694493,-124.962477,250-703-6313,,jnjslater@outlook.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/15,http://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-Frameset,N,Y,N
3591,Licensed Family,Love * Joy * Peace * Family Child Care,8236 French St,,Vancouver,V6P 4W1,49.211341,-123.138752,604-876-9943,,ljpfamilychildcare@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,Y,Y,N,N,2021/09/17,https://inspections.vcha.ca/ChildCare/Table,N,N,N
3592,Licensed Family,Langford Montessori Junior Kindergarten,1033 Jenkins Ave,,Victoria,V9B 2P1,48.44131,-123.518977,250-857-5895,www.langfordmontessori.com,langfordmontessori@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/20,http://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-Frameset,N,N,N
3593,Licensed Family,Nana's House Family Child Care,6263 Hawkes Blvd,,Duncan,V9L 4N8,48.798052,-123.739658,250-748-6680,,guidernanasmith@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/07/28,http://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-Frameset,N,Y,N
3594,Licensed Group,Panorama Ridge Children's Centre,6230 120 St,,Surrey,V3X 1Y7,49.116103,-122.890107,604-767-1201,,manu.gill27@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,Y,Y,Y,Y,2021/08/30,http://www.healthspace.ca/fha/childcare,N,Y,N
3595,Licensed Group,Jumpstart,107 1540 McPhee Ave,,Courtenay,V9N 3A5,49.682327,-124.997567,250-338-4288,,kathy@cvcda.ca,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Not offered,Not offered,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,2021/07/07,http://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-Frameset,N,N,N
3596,Licensed Group,Brightstart Children's Academy Ltd,1141 Riverwood Gate,,Port Coquitlam,V3B 8A2,49.264215,-122.746741,778-883-0529,,directors@brightstart.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/20,http://www.healthspace.ca/fha/childcare,N,Y,N
3597,Licensed Group,Happy May Child Care Centre Iii,201 4751 Garden City Road,,Richmond,V6X 3M7,49.177834,-123.124703,604-218-6581,,meikang@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,Y,2021/09/02,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3598,Licensed Family,Play Care Centre,4251 Campobello Pl,,Richmond,V7E 5G5,49.136965,-123.17903,778-889-4865,,playcarecentre@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/06,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3599,Licensed Family,Blossom Childcare Centre,35366 McKee Rd,,Abbotsford,V2S 8L5,49.063475,-122.244882,604-850-2231,,lombardronel64@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2021/09/01,http://www.healthspace.ca/fha/childcare,N,Y,N
3600,Licensed Group,Kootenay Kinderschool,523 Mill St,,Nelson,V1L 4S2,49.489494,-117.290555,250-352-5018,,tsegstro@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/06/22,https://www.interiorhealth.ca/HedgehogPortal/facility/Table,N,Y,N
3601,Licensed Group,Lil' Chickadees Infant/Toddler Child Care Centre,9620 Snowdon Ave,,Richmond,V7A 2M1,49.137512,-123.117279,604-271-2227,,lilchickadees@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,Y,N,N,N,2021/09/17,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3602,Licensed Family,Jenn's Playhouse,1203 Alexander Dr,,Golden,V0A 1H0,51.292067,-116.958262,250-344-6955,,jenn69is@hotmail.com,Y,N,N,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,Not offered,Include in fee,N,N,N,N,N,N,N,N,N,N,N,2021/09/27,https://www.interiorhealth.ca/HedgehogPortal/facility/Table,N,Y,N
3603,Licensed Group,Tree Of Life Childcare,4381 46A St,,Delta,V4K 2M2,49.083179,-123.098141,604-446-6171,,treeoflife_childcare@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,Y,2021/09/06,http://www.healthspace.ca/fha/childcare,N,N,N
3604,Licensed Family,Laugh And Learn Childcare,1867 Coldwater Crt,,Kamloops,V2E 2R5,50.6589,-120.260484,250-314-9774,,laughandlearnkamloops@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/05,https://www.interiorhealth.ca/HedgehogPortal/facility/Table,N,Y,N
3605,Licensed Group,Elgin Centre,3530 144Th St,,Surrey,V4P 2A1,49.065885,-122.822588,604-598-7967,,rlowens@surrey.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/27,http://www.healthspace.ca/fha/childcare,N,Y,N
3606,Licensed Group,Morgan Point Children's Centre,3366 156A St,,Surrey,V3S 9Y7,49.063199,-122.788496,604-760-6842,,morgan_point@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/07/08,http://www.healthspace.ca/fha/childcare,N,N,N
3607,Licensed Group,Sapphire Montessori Academia Inc,11315 75 Ave,,Delta,V4C 1H4,49.140324,-122.909308,604-999-8162,,littleharvardcentre@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,Y,Y,2021/07/07,http://www.healthspace.ca/fha/childcare,N,Y,N
3608,Licensed Group,Paradise Child Care Centres Ltd.,330 Craig St,,Parksville,V9P 2G5,49.314303,-124.311162,250-586-8688,,paradisecentrebc@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/17,,N,Y,N
3609,Licensed Group,Sabreland Daycare,310 Nechako Ave,,Mackenzie,V0J 2C0,55.341271,-123.103053,250-997-6340,,mnorthcott1@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/07/05,http://www.healthspace.ca/Clients/NHA/NHA_Website.nsf,N,Y,N
3610,Licensed Group,Kelowna Stepping Stones Early Learning Centre Ltd.,4713 Gordon Dr,,Kelowna,V1W 4P4,49.811614,-119.480773,250-764-3667,,steppingstonespreschool@shaw.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,Y,N,2021/07/05,https://www.interiorhealth.ca/HedgehogPortal/facility/Table,N,Y,N
3611,Licensed Group,The Kids Castle Daycare Ltd.,685 Queens Rd W,,North Vancouver,V7N 2L2,49.3363,-123.087648,604-980-7871,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/15,https://inspections.vcha.ca/ChildCare/Table,N,Y,Y
3612,Licensed Family,Hillside Montessori Childcare,1905 Latimer Rd,,Nanaimo,V9S 2W3,49.189548,-123.984493,250-729-7265,,hillsidemontessoridaycare@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2021/09/16,http://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-Frameset,N,Y,N
3613,Licensed Family,Besma Family Child Care,14747 108A Ave,,Surrey,V3R 1W7,49.199802,-122.813892,778-394-3659,,rhodabaluyut@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/17,http://www.healthspace.ca/fha/childcare,N,Y,N
3614,Licensed Group,Aubrey Daycare Centre,949 Sperling Ave,,Burnaby,V5B 4H7,49.275772,-122.964678,604-677-0012,,info@aubreydaycare.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/18,http://www.healthspace.ca/fha/childcare,N,Y,N
3615,Licensed Group,Cityreach Out Of School Care,2650 Slocan St,,Vancouver,V5M 4E9,49.261159,-123.048892,778-808-6686,,jordang@cityreach.org,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,Y,2021/09/10,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3616,Licensed Group,Auklet Group Day Care,5615 Osoyoos,,Vancouver,V6T 1S1,49.261985,-123.234863,604-822-6238,,joel.kobylka@ubc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/23,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3617,Licensed Family,Kare-A-Lot Early Learning Centre,3779 Glover Ave,Rr 4,Armstrong,V0E 1B4,50.449361,-119.210343,250-546-0500,www.karealot.ca,karyn@karealot.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/08/31,https://www.interiorhealth.ca/HedgehogPortal/facility/Table,N,Y,N
3618,Licensed Group,North Shore Child Care Centre,4085 Dollare Road,,North Vancouver,V7G 1A5,49.307403,-122.958903,604-315-6722,,info@northshorechildcare.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,Y,2021/08/20,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3619,Licensed Group,North Shore Child Care Centre,4085 Dollar Road,,North Vancouver,V7G 1A5,49.307403,-122.958903,604-315-6722,,info@northshorechildcare.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,Y,2021/06/28,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3620,Licensed Group,Butterfly Progressive Montessori Preschool Ltd.,7360 Lombard Rd,,Richmond,V7C 3N1,49.159574,-123.164874,604-241-2511,,theresalee.butterfly@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/07/02,https://inspections.vcha.ca/ChildCare/Table,N,N,N
3621,Licensed Group,Club K.I.D.S. Cherry Hill - Room #35,32557 Best Ave,,Mission,V2V 3T3,49.152271,-122.322499,604-820-5360,,smccormick@mission.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,Y,2021/07/06,http://www.healthspace.ca/fha/childcare,N,N,N
3622,Licensed Group,Morning Glory Children's Centre,9491 Ash Street,,Richmond,V7A 2T7,49.145371,-123.120545,604-272-2821,,morningglorymontessori@hotmail.com,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Extra fee,Not offered,N,N,N,N,N,N,N,N,N,N,Y,2021/09/15,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3623,Licensed Group,Msa Montessori Preschool,33676 St. Olaf Ave,,Abbotsford,V4X 1T6,49.106986,-122.291858,604-820-4987,,msamontessori@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,Y,N,2021/09/13,http://www.healthspace.ca/fha/childcare,N,N,N
3624,Licensed Family,Mountains Of Fun Daycare Inc,1336 16Th St E,,North Vancouver,V7J 1L4,49.323069,-123.037538,604-728-7757,,max@mountainsoffundaycare.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/22,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3625,Licensed Family,Bouncy Ball Family Daycare,2820 Haliday Cres,,Nanaimo,V9S 3M9,49.204958,-123.977868,250-585-3558,,elaineball5@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2021/09/16,http://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-Frameset,N,Y,N
3626,Licensed Group,Just For Kids,409  9025  158Th St,,Surrey,V4N 2Y6,49.167144,-122.784751,604-512-9020,,just4kids@shaw.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/24,http://www.healthspace.ca/fha/childcare,N,Y,N
3627,Licensed Group,Tyee Out Of School Care,3525 Dumfries,,Vancouver,V5N 3S5,49.253413,-123.074013,604-875-9111,,central@anhbc.org,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,Y,2021/06/28,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3628,Licensed Group,Leapin Lizard's Daycares Inc. West Bench,1604 West Bench Road,,Penticton,V2A 8Z3,49.501105,-119.63116,250-496-0081,,leapinlizardsdaycares@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,Y,2021/09/02,https://www.interiorhealth.ca/HedgehogPortal/facility/Table,N,Y,N
3629,Licensed Group,Leapin Lizard's Daycares Inc. Columbia,1437 Allison Street,,Penticton,V2A 3X5,49.485872,-119.557543,250-496-0081,,leapinlizardsdaycares@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/02,https://www.interiorhealth.ca/HedgehogPortal/facility/Table,N,Y,N
3630,Licensed Group,Tree House Children's Centre,5684 Unsworth Rd,,Chilliwack,V2R 5L1,49.105328,-121.997268,604-824-1234,,tree.house.1234@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/15,http://www.healthspace.ca/fha/childcare,N,N,N
3631,Licensed Family,Sonya's Family Daycare,2900 Upland St,,Prince George,V2L 2W6,53.890598,-122.760409,250-561-2080,,sonyanlu@telus.net,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/24,http://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-Frameset,N,Y,N
3632,Licensed Family,Solid Foundations Family Daycare,2626 Tweedsmuir Ave,,Prince George,V2N 1E7,53.89579,-122.780739,250-614-9226,,lafoux@telus.net,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/15,http://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-Frameset,N,Y,N
3633,Licensed Group,Graham Montessori School,2 - 1001 Royal Ave,,New Westminster,V3M 1K3,49.202128,-122.917985,778-397-0191,,mgog@shaw.ca,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Not offered,Include in fee,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,2021/09/06,http://www.healthspace.ca/fha/childcare,N,Y,N
3634,Licensed Group,Hand In Hand - Ten Broeck Elementary,2580 Stanley St,,Abbotsford,V2T 2R4,49.049888,-122.34526,604-859-1843,,ljohnson@handinhand.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,Y,2021/09/10,http://www.healthspace.ca/fha/childcare,N,Y,N
3635,Licensed Group,Happy May Child Care Centre Iv,220 4751 Garden City Road,,Richmond,V6X 3M7,49.177834,-123.124703,604-218-6581,,meikang@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2021/09/12,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3636,Licensed Group,Queneesh After School Club,2345 Mission Rd,,Courtenay,V9N 9E9,49.713181,-124.973104,250-898-7587,,queneeshafterschool@shaw.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/20,http://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-Frameset,N,N,N
3637,Licensed Group,Island Montessori House School,5575 West Saanich Road,,Victoria,V9E 2G1,48.533795,-123.436589,250-592-4411,,achen@islandmontessori.com,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Not offered,Not offered,Y,N,N,N,N,N,N,N,N,N,N,2021/09/17,http://www.healthspace.ca/Clients/VIHA/VIHA_Website.nsf/CCFL-Frameset,N,Y,N
3638,Licensed Family,Nini Family Child Care,565 50Th Ave E,,Vancouver,V5X 1A9,49.224809,-123.093074,604-876-6519,,azarkhorramshahi@yahoo.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not offered,Not offered,N,N,N,N,N,N,N,N,N,N,N,2021/09/17,http://www.vch.ca/your_environment/facility_licensing/residential_care/inspection_reports/,N,Y,N
3639,Licensed Group,Albion Active Kids Club,10031 240Th St,,Maple Ridge,V2W 1G2,49.185102,-122.558349,604-467-7453,,akc@mapleridge.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N
3640,Licensed Group,Little Bright Minds Preschool Ltd.,11451 90 Ave,,Delta,V4C 3H3,49.166928,-122.905382,778-387-0061,,brightmindsgifted@gmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/15,http://www.healthspace.ca/fha/childcare,N,N,N
3641,Licensed Group,Blueridge Out Of School Care,2650 Bronte Drive,,North Vancouver,V7H 1M4,49.323947,-123.000482,604-812-4449,,faribal@telus.net,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not offered,Not offered,N,N,N,N,N,N,N,N,Y,N,Y,2021/07/11,https://inspections.vcha.ca/ChildCare/Table,N,Y,N
3642,Licensed Family,Ospring Daycare,20110 Ospring St,,Maple Ridge,V2X 0G5,49.205988,-122.663973,604-551-3401,,jessieresto@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,Y,N,N,N,2021/09/15,,N,Y,N
3643,Licensed Family,Abc Family Child Care Centre,4800 Bellevue Dr,,Vernon,V1T 9L5,50.252325,-119.297963,250-545-4796,,tracyfrancis@live.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,N
3644,Licensed Family,Moberly Family Child Care,1052 61St Ave E,,Vancouver,V5X 2C4,49.214449,-123.084387,778-895-3185,,madeehask@hotmail.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/14,https://inspections.vcha.ca/ChildCare/Table,N,N,N
3645,Licensed Group,Okanagan Boys And Girls Clubs - Hudson Road,1221 Hudson Road,,Kelowna,V1Z 1J5,49.860801,-119.565464,250-762-3914,,dwalker@boysandgirlsclubs.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/07/09,http://www.interiorhealth.ca/YourEnvironment/InspectionReports/Pages/default.aspx,N,Y,N
3646,Licensed Group,Bgccvi - Aspen Park,2250 Bolt Ave,,Comox,V9M 4E7,49.685158,-124.945965,250-650-2274,,aspenpark@bgccvi.com,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not offered,Not offered,N,N,N,N,N,N,N,N,Y,N,Y,2021/09/17,,N,Y,N
3647,Licensed Group,Trafalgar Out Of School Care,4020 Trafalgar Street,,Vancouver,V6L 2M5,49.25013,-123.164263,604-732-8220,,accounts@tooscs.org,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/09/01,https://inspections.vcha.ca/ChildCare/Table,N,N,N
3648,Licensed Group,Somewhere To "Grow" Montessori Childcare Centre,6197 136Th St,,Surrey,V3X 1H4,49.115157,-122.845596,778-578-0329,,lcduffy@shaw.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2021/08/19,http://www.healthspace.ca/fha/childcare,N,N,N
3649,Licensed Group,Somewhere To Grow Montessori Preschool,13590 62Nd Ave,,Surrey,V3X 1H4,49.115295,-122.845794,778-578-0329,,lcduffy@shaw.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,Y,N,2021/05/30,http://www.healthspace.ca/fha/childcare,N,N,N
