Program ID,Type Name,Program Name,Physical Address Line,Physical City Name,Physical Postal Code,Phone Number,Space,Inspection Date,Inspection Reason Name,Non Compliance Sub Name,Non Compliance Name,Non Compliance Action Name,Review Date,,
8A315C4C502ABE7BBB3A3A03973F0C47,PRE-SCHOOL PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4036126361,24,12/18/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
93DAF63BAA95EF95DF6ACCA181869700,OUT OF SCHOOL CARE PROGRAM,WEE WILD ONES FAIRVIEW,611 - 71 AVENUE SE,CALGARY,T2H0S7,4037149147,17,12/18/2020,INSPECTION,,,,,,
98D793BEA398B4A8B62EEF02D657AAC6,PRE-SCHOOL PROGRAM,"WEST VIEW DAY CARE ""THE NURTURING TREE PRESCHOOL""",9745/9753/9757 90 STREET,FORT SASKATCHEWAN,T8L1K5,7808627260,16,12/18/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
9F19C15F7FCE549F6FE119A784FB9AFC,OUT OF SCHOOL CARE PROGRAM,WEST VIEW SCHOOL AGE CARE,9745/9753/9757 90 STREET,FORT SASKATCHEWAN,T8L1K5,7808627260,72,12/18/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
A28BA20ED2909A21E285F2AC792D6C9F,DAY CARE PROGRAM,BABYCARE MONTESSORI CHILDREN'S CENTRE,4657 MACLEOD TRAIL SOUTH,CALGARY,T2G0A6,4032432645,39,12/18/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
B4ABFAFBD63BED7F0E0E26DFEF1C7AF7,DAY CARE PROGRAM,WEST VIEW DAY CARE,9745/9753/9757 90 STREET,FORT SASKATCHEWAN,T8L1K5,7808627260,63,12/18/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
E1941B8660A67238FF03FC41EE0B9F3D,DAY CARE PROGRAM,WEE WILD ONES FAIRVIEW,611 - 71 AVENUE SE,CALGARY,T2H0S7,4037149147,107,12/18/2020,INSPECTION,,,,,,
FB96709EC28DABB1B5B300DC59ADCB3D,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,6615 19 STREET SE,CALGARY,T2C0P1,4035239779,20,12/18/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
0F3683557453DA64390CFEA753D0F3B3,OUT OF SCHOOL CARE PROGRAM,KIDS & COMPANY - BOW TRAIL,4033 BOW TRAIL SW,CALGARY,T3C2E8,4032375437,22,12/17/2020,INSPECTION,,,,,,
1393A9117B3A8CE86AE58A3487A83117,DAY CARE PROGRAM,KIDS & COMPANY - AIRDRIE - CLOSED,800 YANKEE VALLEY BLVD SW,AIRDRIE,T4B3Y2,4039807717,108,12/17/2020,COMPLAINT INVESTIGATION,,,,,,
46277D213A7EDEC034362282BE9D933A,OUT OF SCHOOL CARE PROGRAM,DOUGLASDALE  -  A STEP AHEAD CHILD DEVELOPMENT SERVICES LTD.,"19, 400 DOUGLAS PARK BLVD SE",CALGARY,T2Z4A3,4032697837,56,12/17/2020,INSPECTION,,,,,,
4E135CD6016A7D6B1A03AA728882BE2E,DAY CARE PROGRAM,LEGACY CHILDCARE,"SUITE 102, 400-6 AVE. NE",SLAVE LAKE,T0G2A2,7808492365,125,12/17/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
53DED5B3DBEF75765544DCFF311CC9E8,DAY CARE PROGRAM,KIDS & COMPANY - BOW TRAIL,4033 BOW TRAIL SW,CALGARY,T3C2E8,4032375437,106,12/17/2020,INSPECTION,,,,,,
56C4EA0DB196C2BEF0A8DB7EEC0CE048,DAY CARE PROGRAM,BUSY KIDS CHILD CARE CENTRE,12621 153 AVENUE,EDMONTON,T5X5X8,7809662172,35,12/17/2020,COMPLAINT INVESTIGATION,,,,,,
5B9F44A04A691AFE23A4118FADF39123,OUT OF SCHOOL CARE PROGRAM,LITTLE STEPS - NORTHERN LIGHTS,711 COVENTRY DRIVE NE,CALGARY,T3K4C7,4037108327,140,12/17/2020,INSPECTION,,,,,,
646243EF9CE3E10BB527BE305C4F9905,INNOVATIVE CHILD CARE PROGRAM,CWES INNOVATIVE CHILD CARE PROGRAM,SEE FILE,CALGARY,T2E7R1,4039212073,10,12/17/2020,INSPECTION,,,,,,
649E7DFC05FF2FD8F9D65C189EBB5926,OUT OF SCHOOL CARE PROGRAM,CODED MINDS - RAMSAY ISTEAM LAB,2223 SPILLER ROAD SE,CALGARY,T2G4G9,4037962960,70,12/17/2020,COMPLAINT INVESTIGATION,,,,,,
6618578EFD06781E075BA965826B2C02,DAY CARE PROGRAM,FUNFLEX PLAYCARE,"60, 4307 - 130 AVENUE SE",CALGARY,T2Z3V8,4034531242,36,12/17/2020,INSPECTION,,,,,,
7952F1D20801AF7432B1E277D4D514EE,DAY CARE PROGRAM,KIDS & COMPANY - BLACKMUD CREEK DAY CARE,103 1006 103A STREET,EDMONTON,T6W2P6,7804341005,108,12/17/2020,CRITICAL INCIDENT REPORT,,,,,,
969F5FAC7082C60250464FC99A6C26A2,PRE-SCHOOL PROGRAM,KALEIDOSCOPE KIDS PRESCHOOL - NOLAN,"212 , 8 NOLAN HILL BV  NW",CALGARY,T3R0P4,4035471020,48,12/17/2020,INSPECTION,,,,,,
B52824D8F2F63370D5599CB862AECE62,OUT OF SCHOOL CARE PROGRAM,LEGACY OUT OF SCHOOL CARE,"SUITE 102, 400-6 AVE. NE",SLAVE LAKE,T0G2A2,7808492365,59,12/17/2020,FOLLOW UP TO ENFORCEMENT ACTION,,,,,,
B96C1372E1DD9BEF909D6BC8AEC1EE01,OUT OF SCHOOL CARE PROGRAM,FUNFLEX PLAYCARE,"60, 4307 - 130 AVENUE SE",CALGARY,T2Z3V8,4034531242,30,12/17/2020,INSPECTION,,,,,,
C7099CB482DBA018B08DA18BAE63AFE2,OUT OF SCHOOL CARE PROGRAM,KIDS & COMPANY - AIRDRIE - CLOSED,800 YANKEE VALLEY BLVD SW,AIRDRIE,T4B3Y2,4039807717,20,12/17/2020,COMPLAINT INVESTIGATION,,,,,,
F1A3C25098B98793BBD44D1CDE28F93A,OUT OF SCHOOL CARE PROGRAM,KIDS & COMPANY - BLACKMUD CREEK OUT OF SCHOOL CARE,1006 103A STREET,EDMONTON,T6W2P6,7804341005,27,12/17/2020,CRITICAL INCIDENT REPORT,,,,,,
FC83A57A39BEFAEBFFBD72B85DBDB391,OUT OF SCHOOL CARE PROGRAM,LITTLE STEPS - ST VERONICA,380 COOPERS DRIVE SW,AIRDRIE,T4B0K2,4037108327,110,12/17/2020,INSPECTION,,,,,,
04AE78300BF790202BE8712CE3FADBAB,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4038738577,34,12/16/2020,INSPECTION,23(1)(a) - Administration Records- particulars of daily attendance of each child including arrival and departure,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,12/18/2020,,
04AE78300BF790202BE8712CE3FADBAB,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4038738577,34,12/16/2020,INSPECTION,23(1)(b)(i) - Administration Records - daily attendance of primary staff member includes arrival and departure,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,12/18/2020,,
04AE78300BF790202BE8712CE3FADBAB,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4038738577,34,12/16/2020,INSPECTION,23(1)(b)(ii) - Administration Records- daily attendance of primary staff member includes hours spent providing child care,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,12/18/2020,,
04AE78300BF790202BE8712CE3FADBAB,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4038738577,34,12/16/2020,INSPECTION,26(2)(a) - Program Supervisor - not on premises has designated alternate,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,12/22/2020,,
04AE78300BF790202BE8712CE3FADBAB,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4038738577,34,12/16/2020,INSPECTION,28(1)(a) - Minimum staffing and general supervision - seven or more children present two staff on duty,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,1/8/2021,,
04AE78300BF790202BE8712CE3FADBAB,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4038738577,34,12/16/2020,INSPECTION,27(1)(a) - Ratios and Maximum Group Size - minimum primary staff member to child ratio,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,1/29/2021,,
04AE78300BF790202BE8712CE3FADBAB,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4038738577,34,12/16/2020,COMPLAINT INVESTIGATION,,,,,,
3C79FB9F086EBE77C4C7E96624509A9A,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS OUT OF SCHOOL CARE,6615 19 ST SE,CALGARY,T2C0P1,4035239779,10,12/16/2020,INSPECTION,20(1)(a) - Administration Records - particulars of daily attendance of each child,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,12/18/2020,,
3C79FB9F086EBE77C4C7E96624509A9A,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS OUT OF SCHOOL CARE,6615 19 ST SE,CALGARY,T2C0P1,4035239779,10,12/16/2020,INSPECTION,20(1)(b)(i) - Administration Records - daily attendance of primary staff member includes arrival and departure,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,12/18/2020,,
3C79FB9F086EBE77C4C7E96624509A9A,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS OUT OF SCHOOL CARE,6615 19 ST SE,CALGARY,T2C0P1,4035239779,10,12/16/2020,INSPECTION,20(1)(b)(ii) - Administration Records - daily attendance of  primary staff member includes hours spent providing child care,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,12/18/2020,,
3C79FB9F086EBE77C4C7E96624509A9A,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS OUT OF SCHOOL CARE,6615 19 ST SE,CALGARY,T2C0P1,4035239779,10,12/16/2020,INSPECTION,25(1)(a) - Minimum staffing and general supervision - seven or more children present two staff on duty,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,1/21/2021,,
3C79FB9F086EBE77C4C7E96624509A9A,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS OUT OF SCHOOL CARE,6615 19 ST SE,CALGARY,T2C0P1,4035239779,10,12/16/2020,INSPECTION,24(1)(a) - Ratios and Maximum Group Size - minimum primary staff member to child ratio,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,1/29/2021,,
53AD3FF7E69369701C6C08FF94EB0F50,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4036126361,26,12/16/2020,INSPECTION,20(1)(a) - Administration Records - particulars of daily attendance of each child,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,12/18/2020,,
53AD3FF7E69369701C6C08FF94EB0F50,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4036126361,26,12/16/2020,INSPECTION,20(1)(b)(i) - Administration Records - daily attendance of primary staff member includes arrival and departure,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,12/18/2020,,
53AD3FF7E69369701C6C08FF94EB0F50,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4036126361,26,12/16/2020,INSPECTION,20(1)(b)(ii) - Administration Records - daily attendance of  primary staff member includes hours spent providing child care,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,12/18/2020,,
53AD3FF7E69369701C6C08FF94EB0F50,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4036126361,26,12/16/2020,INSPECTION,25(1)(a) - Minimum staffing and general supervision - seven or more children present two staff on duty,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,1/8/2021,,
53AD3FF7E69369701C6C08FF94EB0F50,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4036126361,26,12/16/2020,INSPECTION,24(1)(a) - Ratios and Maximum Group Size - minimum primary staff member to child ratio,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,1/29/2021,,
53AD3FF7E69369701C6C08FF94EB0F50,OUT OF SCHOOL CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4036126361,26,12/16/2020,COMPLAINT INVESTIGATION,,,,,,
7C9FE8AD39BFD68216C1FAD50059ABF1,OUT OF SCHOOL CARE PROGRAM,MAYLAND HEIGHTS CHILDCARE CENTRE LTD.,1416 - 21 STREET NE,CALGARY,T2E4Y6,4032765391,14,12/16/2020,INSPECTION,,,,,,
806330DEF374173394FD9B99E3E1C0A4,DAY CARE PROGRAM,GLOBAL CHILDCARE CENTRE,5007 49 AVENUE,LEDUC,T9E6M6,7809809700,39,12/16/2020,COMPLAINT INVESTIGATION,,,,,,
827B559020A49882E4BB4AB043C8DD53,DAY CARE PROGRAM,MAYLAND HEIGHTS CHILD CARE CENTRE LTD.,1416 - 21 STREET NE,CALGARY,T2E4Y6,4032765391,34,12/16/2020,INSPECTION,,,,,,
8602EA15624283A5A288F558096D2C2C,DAY CARE PROGRAM,ACORNS TO OAKTREES CHILDCARE CENTRE,3134 GLENMORE COURT SE,CALGARY,T2C2E6,4034757707,36,12/16/2020,INSPECTION,,,,,,
8A315C4C502ABE7BBB3A3A03973F0C47,PRE-SCHOOL PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4036126361,24,12/16/2020,INSPECTION,18(1)(a) - Administration Records- particulars of daily attendance of each child,SCHEDULE 5 - PRE-SCHOOL PROGRAM,ORDER TO REMEDY,12/18/2020,,
8A315C4C502ABE7BBB3A3A03973F0C47,PRE-SCHOOL PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE",CALGARY,T2X4A7,4036126361,24,12/16/2020,COMPLAINT INVESTIGATION,,,,,,
9BC90D7D481C31AC99E2C7BFA2C19F9C,DAY CARE PROGRAM,THORNHILL CHILD CARE - DOVER CENTRE,3141 34 AVENUE  SE,CALGARY,T2B2M6,4032489648,60,12/16/2020,INSPECTION,,,,,,
A2D9D18EFB5AB36074ACDBAE629EE6D2,OUT OF SCHOOL CARE PROGRAM,GLOBAL CHILDCARE CENTRE OSC,5007 49 AVENUE,LEDUC,T9E6M6,7809809700,45,12/16/2020,COMPLAINT INVESTIGATION,25(1)(b) - Minimum staffing and general supervision - children at all times supervised,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,1/18/2021,,
A3E0DD5F9960929B9B7DEC9896396A08,PRE-SCHOOL PROGRAM,EARLY DISCOVERIES NURSERY SCHOOL - HAWKWOOD,100 HAWKWOOD BLVD NW,CALGARY,T3G2S9,4032396565,50,12/16/2020,INSPECTION,,,,,,
A4CCD6320D8EC3393918F9A745728835,OUT OF SCHOOL CARE PROGRAM,ACORNS TO OAKTREES CHILDCARE CENTRE,3134 GLENMORE COURT SE,CALGARY,T2C2E6,4034757707,32,12/16/2020,INSPECTION,,,,,,
AEBD47FB0AF278B5938D2596AD5B4F88,PRE-SCHOOL PROGRAM,KALEIDOSCOPE KIDS PRESCHOOL TUSCANY MARKET,1062 - 11300 TUSCANY BLVD NW,CALGARY,T3L2V7,4035471020,48,12/16/2020,INSPECTION,,,,,,
CEDA8528BCD60C7486CC6537A63F61C5,PRE-SCHOOL PROGRAM,EARLY DISCOVERIES NURSERY SCHOOL-KINCORA,38 KINCORA RISE NW,CALGARY,T3R0A3,4032390444,66,12/16/2020,INSPECTION,,,,,,
F2D1627064EB4C2FF5FAFBEC458F0BEF,PRE-SCHOOL PROGRAM,THE LITTLE SCHOOLHOUSE,23B WHITE AVENUE,BRAGG CREEK,T0L0K0,4039493939,21,12/16/2020,INSPECTION,,,,,,
F5E8802FF285D1AB134E3EC3977D2251,DAY CARE PROGRAM,STEPPING STONES DAY CARE - SOUTH,9535 PRAIRIE ROAD,GRANDE PRAIRIE,T8V6G5,7805120782,56,12/16/2020,INCIDENT REPORT,28(1)(b) - Minimum staffing and general supervision - children at all times supervised,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,,,
FB96709EC28DABB1B5B300DC59ADCB3D,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,6615 19 STREET SE,CALGARY,T2C0P1,4035239779,20,12/16/2020,INSPECTION,23(1)(a) - Administration Records- particulars of daily attendance of each child including arrival and departure,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,12/18/2020,,
FB96709EC28DABB1B5B300DC59ADCB3D,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,6615 19 STREET SE,CALGARY,T2C0P1,4035239779,20,12/16/2020,INSPECTION,23(1)(b)(i) - Administration Records - daily attendance of primary staff member includes arrival and departure,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,12/18/2020,,
FB96709EC28DABB1B5B300DC59ADCB3D,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,6615 19 STREET SE,CALGARY,T2C0P1,4035239779,20,12/16/2020,INSPECTION,23(1)(b)(ii) - Administration Records- daily attendance of primary staff member includes hours spent providing child care,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,12/18/2020,,
FB96709EC28DABB1B5B300DC59ADCB3D,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,6615 19 STREET SE,CALGARY,T2C0P1,4035239779,20,12/16/2020,INSPECTION,28(1)(a) - Minimum staffing and general supervision - seven or more children present two staff on duty,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,1/21/2021,,
FB96709EC28DABB1B5B300DC59ADCB3D,DAY CARE PROGRAM,BLOSSOM HEIGHTS CHILDCARE CENTRE,6615 19 STREET SE,CALGARY,T2C0P1,4035239779,20,12/16/2020,INSPECTION,27(1)(a) - Ratios and Maximum Group Size - minimum primary staff member to child ratio,SCHEDULE 1 - DAY CARE PROGRAM,ORDER TO REMEDY,1/29/2021,,
FD559A68756401A6B7827AD33F7CD1AD,OUT OF SCHOOL CARE PROGRAM,THORNHILL CHILD CARE - DOVER CENTRE,3141 34 AVENUE SE,CALGARY,T2B2M6,4032489648,40,12/16/2020,INSPECTION,,,,,,
03D067087FBEDC3BFC4AA762FB3992E1,DAY CARE PROGRAM,WHERE THE WILD THINGS GROW EARLY LEARNING CENTRE LTD,2803 6 AVENUE SOUTH,LETHBRIDGE,T1J1E3,5874254855,50,12/15/2020,COMPLAINT INVESTIGATION,,,,,,
36C14C3009C2B3181F28FFF3670B53C3,OUT OF SCHOOL CARE PROGRAM,LA ROSE DES VENTS,1165 RAVENSWOOD DRIVE,AIRDRIE,T4A0H3,4034379438,60,12/15/2020,INSPECTION,,,,,,
3FCD41D334E58CF2BD466E4E1D018C0D,OUT OF SCHOOL CARE PROGRAM,STEPPING STONES OUT OF SCHOOL PROGRAM,5402 48 STREET,CONSORT,T0C1B0,4035773585,10,12/15/2020,CONSULTATION,,,,,,
