Name,Community,"Contact Name",Website,Email,Telephone,"Street Address","Operating Grant"
"Dr. A.T. Brace Infant Centre","St. John's","Katelyn Tobin",www.littlepeoplesworkshop.ca,amanda@littlepeoplesworkshop.ca,"(709) 739-5866","170 Campbell Avenue ",Yes
"Early Achievers Montessori School and Educational Centre","St. John's","Tiffany Fifield/Lisa Rees",www.earlyachievers.com,earlyachievers@nf.aibn.com,"(709) 579-7323","35 Hebron Way",No
"Early Learning Centre",Botwood,"Leigh Anne Dawe",,evcc@nf.sympatico.ca,"(709) 257-3996","11 Church Road",No
"Explore & Discover Child Care Centre",Marystown,"Amanda  Murphy",,mavis.cribb@live.com,"(709) 279-5300","10B Harris Drive Industrial Park",Yes
"Explore & Discover Toddler Centre",Marystown,"Sherry  Lake",,mavis.cribb@live.com,"(709) 279-5305","10A Harris Drive Industrial Park",Yes
"Exploring Awaits Child Care Centre","Conception Bay South","Jessica Ward",,exploringawaits@gmail.com,"(709) 834-7529","290 Conception Bay Highway",Yes
"Family Matters Child Care Centre",Gambo,"Tina Gill",,familymatterschildcare@gmail.com,"(709) 674-7540","433 J.R. Smallwood Blvd",Yes
"First Light Child Care Centre","St. John's","Debbie Ingram",,debbie@firstlightnl.ca,"(709) 738-8467","97 Elizabeth Avenue",Yes
"Fisher Children's Centre","Corner Brook","Ruth Luther",,chad.simms@cna.nl.ca,"(709) 637-8573","141 O'Connell Drive",Yes
"Fort Townshend Child Care Center","St. John's","Lori Dalton",,ftchildcare@gmail.com,"(709) 729-8830","50 Parade Street",Yes
"Four Winds Child Care","Samiajij Miawpukek","Veronica McDonald",,djmm.john@gmail.com,"(709) 882-2747","77 McDonaldewey Awti",No
"Frances Little Friends Daycare","Portugal Cove-St. Philip's","Frances Tucker",,francie.tucker@hotmail.com,"(709) 895-1212","69 Skinners Road",No
"Funtime Child Care Centre",Whitbourne,"Holly Smith",,funtimeccc@gmail.com,"(709) 759-2202","19 Brown's Place",Yes
"Gander Day Care / Peter Pan Preschool",Gander,"Christine Penney",www.peterpangander.com,peterpan@nl.rogers.com,"(709) 256-8193","9 Mackay Street",Yes
"Gingerbread House Play School","Mount Pearl","Coralee Burton",www.yourmax.ca,coraleeburton@yourmax.ca,"(709) 747-2777","5 Cunard Place",No
"Green Bay South Child Care Centre","Robert's Arm","Brooke Fudge",,trainingwheels_frc@nf.aibn.com,"(709) 652-3493","11 Anthonys Avenue",Yes
"Growing Our Future Childcare Cooperative","Channel-Port aux Basques","Glenda Osmond",,gofccoop@gmail.com,"(709) 695-4378","208 Hardy's Arterial Road",Yes
"Happy Days Daycare",Holyrood,"Sherry Parsons",,happy.days.daycare@hotmail.com,"(709) 229-5437","533 Conception Bay Highway",Yes
"Happy Kids Child Care Centre",New-Wes-Valley,"Kristin Carter",,cfdassociation@hotmail.com,"(709) 536-5616","126 Loop Highway",Yes
"Happy Times Preschool","St. John's","Sarah Upwards",www.happytimespreschool.ca,gail.sullivan981@gmail.com,"(709) 753-2406","74 Queen's Road",Yes
"Happy Tots Nursery School","Stephenville Crossing","Kelly Skanes",,kellyannskanes.cac@gmail.com,"(709) 646-2822","32 Hospital Road",Yes
"HeadStart Preschool","Corner Brook","Terri Lynn Clancey",,hspreschool2018@gmail.com,"(709) 632-2200","6 Greenings Hill",Yes
"Hopewell AfterSchool Program","Conception Bay South","Annette Stone",,,"(709) 631-4277","1219 Conception Bay South Highway",Yes
"Humber Valley DayCare",Pasadena,"Laura Simms",,humbervalleydaycare@gmail.com,"(709) 686-5132","11 Church Street",Yes
"Immaculate Heart of Mary Jr. Kindergarten and After School Program","Corner Brook","Amanda Baldwin",,elaine.king.ihms@gmail.com,"(709) 634-1700","112 Humber Road",Yes
"International Friends","St. John's","Norma Hatcher",,nhatcher@ancnl.ca,"(709) 726-6848","10 Smithville Crescent",No
"Jack and Jill Nursery School",Stephenville,"Juanita O'Quinn",,jackandjill129@outlook.com,"(709) 643-2582","129 Montana Drive",Yes
"Kangnik Centre",Rigolet,"Karen Adams",,karen.adams@nunatsiavut.com,"(709) 947-3309","Flowers Kitchen Hill Road",Yes
"Keyin College Early Learning & Development Centre",Carbonear,"Tina  Seymour",,margdrover@hotmail.com,"(709) 596-0885","173 A and B Water Street",Yes
"KidKare Children's Centre","Portugal Cove-St. Philip's","Tracy Squires",,tracysquires@nl.rogers.com,"(709) 895-3124","1712A Portugal Cove Road",Yes
"KidKare Children's Centre 2","Portugal Cove-St. Philip's","Jodi Driscoll",,tracysquires@nl.rogers.com,"(709) 895-5124","1718 Portugal Cove Road",Yes
"Kids Kampus","Portugal Cove-St. Philip's","Hyoyoung Lee/Tania Wheeler",,kidskampus@gmail.com,"(709) 895-7200","1711 Portugal Cove Road",Yes
"Kids Kampus CBS","Conception Bay South","Staci Morgan/Nikita Drover",,kidskampus.cbs@gmail.com,"(709) 834-2226","834 Conception Bay Highway",Yes
"Kids Kampus Paradise",Paradise,"Deanne Saunders/Alicia Riggs",,kidskampusinc@gmail.com,"(709) 690-8863","98 St. Thomas Line",Yes
"Kids Kingdom Child Care","Grand Falls-Windsor","Cecilia Thompson",,kidskingdom@wpcnl.ca,"(709) 489-6635","97 King Street",Yes
"Kidz at Heart Learning Centre",Carbonear,"Lakeisha Rowe",,kidzatheartlearning@hotmail.com,"(709) 596-5439","58 High Road South",Yes
"King's Bridge Montessori ll","St. John's","Cindy Walsh",www.kingsbridgemontessori.ca,cwalsh@kingsbridgemontessori.ca,"(709) 764-2046","718 Water Street",No
"Lab West Child Care Centre","Labrador City","Sheila Drover/Jessica Rebelo",,lwcc2nd@outlook.com,"(709) 944-6180","121 Matthew Avenue",Yes
"Leaps and Bounds Daycare","Mount Pearl","Angela  Whelan",,applestozebras@outlook.com,"(709) 368-7300","1016 Topsail Road",Yes
"Les Etoiles Brillantes",Mainland,"Stephane Moraze",,dg@fpftnl.ca,"(709) 642-5254","L'Ecole Sainte-Anne, Route 463",No
"Les P'tits Cerfs-Volants","St. John's","Adjoa (Clarisse) Kouadio",,,"(709) 757-2850","65 Ridge Road",Yes
"Little Darlings Daycare and Preschool","Conception Bay South","Darlene Martin",,dmartin@littledarlingsdaycare.com,"(709) 834-6400","2501 Topsail Road",Yes
"Little Nest Children's Community","St. John's","Alison Johnson",,littlenestcc@gmail.com,"(709) 764-0986","100 Elizabeth Avenue, Suite 114",No
"Little People's Workshop - Cowan","St. John's","Rose Fagan",www.littlepeoplesworkshop.ca,rose.fagan@littlepeoplesworkshop.ca,"(709) 747-6701","111 Cowan Avenue",Yes
"Little People's Workshop - Cowan Avenue Afterschool Program","St. John's","Krystle Harnum",www.littlepeoplesworkshop.ca,Heather@littlepeoplesworkshop.ca,"(709) 743-1184","141 Frecker Drive",Yes
"Little People's Workshop - Howley Estates","St. John's","Sheffia Samuelson/Karen Hunt",www.littlepeoplesworkshop.ca,sheffia@littlepeoplesworkshop.ca,"(709) 722-6794","4 Rumboldt Place",Yes
"Little People's Workshop - Mundy Pond","St. John's","Sonja Titford",www.littlepeoplesworkshop.ca,sonja@littlepeoplesworkshop.ca,"(709) 739-5496","25 Mundy Pond Road",Yes
"Little People's Workshop - Paradise",Paradise,"Karen Barrett",www.littlepeoplesworkshop.ca,karen.barrett@littlepeoplesworkshop.ca,"(709) 237-7447","2 Hummingbird Road",Yes
"Little People's Workshop - Paradise Afterschool Program",Paradise,"Lori Hoffe",www.littlepeoplesworkshop.ca,lori@littlepeoplesworkshop.ca,"(709) 237-7447","2 Hummingbird Road",Yes
"Little People's Workshop - Smallwood","Mount Pearl","Roberta Maher",www.littlepeoplesworkshop.ca,roberta@littlepeoplesworkshop.ca,"(709) 747-5496","58 Smallwood Drive",Yes
"Lourdes Preschool",Lourdes,"Sheila Snook",,bhancock.cen@gmail.com,"(709) 642-5822","82 Main Street",Yes
"Max Preschool 2","Mount Pearl","Emma Felix",www.yourmax.ca,emmafelix@yourmax.ca,"(709) 733-7330","34 New Cove Road",No
"Merry Care Day Care","Conception Bay South","Janet Lucas",,merrycaredaycare@yahoo.ca,"(709) 834-4548","14 Craigs Lane",Yes
"Mes Amis Preschool","St. John's","Amy  Loveless",www.mesamispreschool.com/en/,lrlemay@hotmail.com,"(709) 722-9271","436 Torbay Road",Yes
"Milestones Early Learning Centre - Bally Rou Place","St. John's","Sharlene Norman",,ballyrou@milestoneselc.ca,"(709) 722-8995","370 Torbay Road",Yes
"Milestones Early Learning Centre - Commonwealth Avenue","Mount Pearl","David Murphy",www.milestonesearlylearningcenters.ca,commonwealth@milestones.ca,"(709) 747-8345","46 Commonwealth Avenue",Yes
"Milestones Early Learning Centre - Freshwater Road","St. John's","Janet Lewis",www.milestonesearlylearningcenters.ca,freshwater@milestones.ca,"(709) 722-9346","327 Freshwater Road",Yes
"Milestones Early Learning Centre - Kenmount Terrace","St. John's","Tanya King",,kenmount@milestones.ca,"(709) 722-9507","75 Kiwanis Street",Yes
"Milestones Early Learning Centre - Park Avenue A","Mount Pearl","Barbara Cooper/Elaine Burke",www.milestonesearlylearningcenters.ca,park@milestoneselc.ca,"(709) 368-0133","228 Park Avenue",Yes
"Milestones Early Learning Centre - Ricketts Road A","St. John's","Marja Stewart/Susan White",www.milestonesearlylearningcenters.ca,ricketts@milestoneselc.ca,"(709) 739-7148","3 Ricketts Road",Yes
"Milestones Early Learning Centre - Torbay Road","St. John's","Sharon Earle",www.milestonesearlylearningcenters.ca,torbay@milestoneselc.ca,"(709) 722-9245","555 Torbay Road",Yes
"Milestones Early Learning Centre - Watts Pond A",Torbay,"Amanda Bishop",,wattspond@milestoneselc.ca,"(709) 437-6234","5A Watts Pond Road",Yes
"Milestones Early Learning Centre - Watts Pond B",Torbay,"Jenny McDonald",,Wattspond@milestones.ca,"(709) 437-2530","5B Watts Pond Road",Yes
"Milestones Early Learning Centre Quigleys Lane",Torbay,"Janna King",,quigleys@milestoneselc.ca,"(709) 437-6769","2 Doyles & Quigleys Lane",Yes
"New Beginnings Daycare",Marystown,"Jill Antle",,newbeginningsdaycare@live.com,"(709) 279-1348","13 Rogers Place",Yes
"New Dimensions Child Care Center","St. John's","Crystal Yoga",,newdimensionschildcare@gmail.ca,"(709) 745-3692","10 Canada Drive",Yes
"New Fun Land I",Glenwood,"Christine Reid",www.newfunland.ca,newfunlandoperator10@gmail.com,"(709) 679-5464","29 Maple Avenue",Yes
"New Fun Land II",Springdale,"Samantha Stoodley",www.newfunland.ca,newfunlandoperator10@gmail.com,"(709) 673-4949","83 Little Bay Road",Yes
"New Fun Land III",Lewisporte,"Mary Watkins",www.newfunland.ca,newfunlandoperator03@gmail.com,"(709) 535-3131","2 Smallwood Drive",Yes
"New Fun Land IV",Gander,"Joni Anstey",www.newfunland.ca,newfunlandoperator10@gmail.com,"(709) 651-3737","100 Roe Avenue",Yes
"New Fun Land IX","Churchill Falls","Sherry  Cull",www.newfunland.ca,newfundlandoperator09@gmail.com,"(709) 925-3394","3 Ressegieu Drive",Yes
"New Fun Land V",Gander,"Kaitlyn Ferren",www.newfunland.ca,newfunlandoperator10@gmail.com,"(709) 651-7373","106 Roe Avenue",Yes
"New Fun Land VI",Gander,"Lacy Stuckless",www.newfunland.ca,newfunlandoperator10@gmail.com,"(709) 651-3377","106B Roe Avenue",Yes
"New Fun Land XII",Gander,"Alisha Verge",www.newfunland.ca,newfunlandoperator10@gmail.com,"(709) 651-7070","18 Rowsell Blvd",Yes
"North Shore Care & Share Daycare Centre",Irishtown-Summerside,"Lorraine Jenkins",,careandsharedaycare@hotmail.com,"(709) 783-3298","3 Wells Lane",Yes
"Nursery Time Academy","St. John's","Joanne Kavanagh",,nurserytime.jackandjill1709@outlook.com,"(709) 722-3311","205 Logy Bay Road",Yes
"Oak Trees and Acorns Child Care Centre","St. John's","Margaret Morgan",,oaktrees@chancellorpark.ca,"(709) 724-7227","270 Portugal Cove Road",Yes
"Panda Bear Daycare","St. John's","Gwen Tibbo",,pandabearlittleunivertsity@gmail.com,"(709) 726-5222","44 Linegar Avenue",Yes
"Paradise Daycare and Preschool",Paradise,"Jennifer Viguers",,paradisedaycareltd@gmail.com,"(709) 782-0996","169 Paradise Road",Yes
"Peter Pan Preschool II",Gander,"Samantha Linfield",www.peterpangander.com,peterpan@nl.rogers.com,"(709) 256-8593","4 Gray Avenue",Yes
"Pigutsavik Centre",NAIN,"Lorraine  Dicker",,michelle.solomon@nunatsiavut.com,"(709) 922-1330","8 Paungasi Place",Yes
"Pitter Patter Daycare 2","Conception Bay South","Meghan Petten/Krista Ryan",,Pitterpatter2010@live.ca,"(709) 834-7802","241 Conception Bay Highway",Yes
"Pitter Patter Daycare 4","St. John's","Roxanne Sutton",,pitterpatter2016@hotmail.com,"(709) 753-2220","500 Columbus Drive",Yes
"Play 'n' Learn Preschool","Bay Roberts","Elizabeth Guinchard",,playnlearnpreschool1234@hotmail.com,"(709) 786-0484","23 Cleary's Subdivision",Yes
"Play, Learn & Grow Child Care Centre","Grand Falls-Windsor","Wanda Cave",,wanda-tom@live.ca,"(709) 489-4529","33A Circular Road",Yes
"Precious People's Playland","St. John's","Florence Conway",,preciouspeoplesplayland@gmail.com,"(709) 747-7529","644 Topsail Road",Yes
"Precious People's School Age Program","St. John's","Nancy Whalen",,preciouspeoplesplayland@gmail.com,"(709) 747-2132","644 Topsail Road",Yes
"Precious Times Children's Centre",Paradise,"Brenda Beazley-Corcoran",,brendacorcoran@bellaliant.net,"(709) 782-3770","1 Osprey Place",Yes
"Priceless Treasures Daycare",Paradise,"Sandra Bushey",,ptkids@bellaliant.net,"(709) 781-2345","73 St. Thomas Line",Yes
"Pumped Kidz","Happy Valley-Goose Bay","Rebecca Quehe-Ash",,pumpedkidzasp@gmail.com,"(709) 896-7779","9A Cabot Crescent",Yes
"Pumpkin House Day Care","Happy Valley-Goose Bay","Kylee  Lyall",,pumpkinhouse@nf.aibn.com,"(709) 896-8239","60 Churchill Street",Yes
"Rainbow II ","St. John's","Erin Reid",www.rainbowdaycarecentre.com,rainbow.hallett@gmail.com,"(709) 754-3000","17 Hallett Crescent",Yes
"Rainbow III ","Mount Pearl","Renee Reid",www.rainbowdaycarecentre.com,rainbow.hallett@gmail.com,"(709) 368-0224","188 Park Avenue",Yes
"Rainbow IV ","St. John's","Linda Nolan",,,"(709) 754-3000","161 Hamlyn Road",Yes
"Rainbow IX","St. John's","Shelby Richards",,rainbow.hallett@gmail.com,"(709) 364-6118","161 Hamlyn Road",Yes
"Rainbow V ",Paradise,"Trista Wells",www.rainbowdaycarecentre.com,rainbow.hallett@gmail.com,"(709) 782-7007","11 Elizabeth Drive",Yes
"Rainbow VI","Conception Bay South","Susan Saunders",www.rainbowdaycarecentre.com,rainbow.hallet@gmail.com,"(709) 834-9161","1 Tampa Drive",Yes
"Rainbow VIII ","St. John's","Mary Hewitt",www.rainbowdaycarecentre.com,rainbow.hallett@gmail.com,"(709) 754-3000","17 Hallett Crescent",Yes
"Reach for the Stars Daycare","South River","Cheryl Cramm",,reachforthestarsdaycare@hotmail.com,"(709) 786-7099","172 Conception Bay Highway",Yes
"Riddles & Rhymes Daycare Centre","St. Anthony","Jennifer Samms",,riddlesandrhymes@hotmail.com,"(709) 454-2233","83-93 East Street",Yes
"Robin's Nest Child Care Centre","Happy Valley-Goose Bay","Isla Strachan",,robinsnestdaycaremfrc@outlook.com,"(709) 896-6900","564 Rivers Road, 5 Wing Goose Bay",Yes
"Rockcliffe Children's Centre","St. John's","Jennifer Jarvis",,rockcliffechildrenscentre@outlook.com,"(709) 726-7625","235 Blackmarsh Road",Yes
"Special Additions Child Care Centre","Bay Roberts","Rebecca O'Keefe",,,"(709) 786-1331","8-10 Gullys Road",Yes
"St. Edward's Afterschool","Conception Bay South","Dawn Butt",,merrycaredaycare@yahoo.ca,"(709) 685-9076","54 Longshore Road",Yes
"Stay and Play","Conception Bay South","April Hamlyn/Leaanne Corbet",,stayandplay@bellaliant.net,"(709) 834-5006","69 Foxtrap Access Road",Yes
"Stephenville High School Infant Care Centre",Stephenville,"Yvonne Francis Wadden",,bhancock.cen@gmail.com,"(709) 643-9672","1 Bruce Boulevard",Yes
"Stepping Stones Day Care (I)","Corner Brook","Kelly Carew-Piercey",,lorenzoreid@nf.aibn.com,"(709) 634-5411","304 O'Connell Drive",Yes
"Stepping Stones Day Care (II)","Corner Brook","Allison Gushue",,lorenzoreid@nf.aibn.com,"(709) 634-5411","304 O'Connell Drive",Yes
"Strong Roots Early Learning Centre","St. John's","Sandra  Hiscock",,strongrootsnl@gmail.com,"(709) 726-4048","40 International Place",Yes
"Suguset TugikKuk Child Care Centre",Makkovik,"Kerry  Mitchell",,kerry.mitchell@nunatsiavut.com,"(709) 923-2385",N/A,Yes
"The Children's Centre","St. John's","Katie O'Brien",,katie@thechildrenscentre.com,"(709) 579-9053","80 Craigmiller Avenue",Yes
"The Learning Lobby",Paradise,"Catherine Strickland",,catherinestrickland11@hotmail.com,"(709) 782-4480","2 Kinkora Street",Yes
"The Learning Tree Child Care ",Torbay,"Yvonne O'Brien",,yvon_obrien@hotmail.com,"(709) 437-7237","13 Quarry Road",Yes
"The Right Start Afterschool Program","Conception Bay South","Lisa Lewis",,rightstart25@gmail.com,"(709) 240-1292","21 Sunrise Avenue",Yes
"The Right Start Child Care Centre","Conception Bay South","Lorraine Murphy",,rightstart25@gmail.com,"(709) 834-2114","25 Sunrise Avenue",Yes
"Tiny Hands Child Care Centre","Grand Falls-Windsor","Tiffany Dillon",,tinyhandsdaycare10@gmail.com,"(709) 489-6535","4 King Street",Yes
"Toddle Inn Child Care Centre","New Harbour","Juanita  Newhook",,toddleinn1@gmail.com,"(709) 582-3322","11 Main Road",Yes
"Tot's Learning Centre",Paradise,"Sheila Kelley",,,"(709) 782-5868","23 Durango Drive",Yes
"Treehouse Daycare","St. John's","Amanda Singleton/Kerry Jarvis",,april-coish@hotmail.com,"(709) 552-2405","55 Airport Heights Drive",Yes
"Waterford Valley Infant Centre","St. John's","Patty Regular",,patriciaregular@nlesd.ca,"(709) 745-6264","465 Topsail Road",Yes
"Way 2 Grow Child Care Centre","Baie Verte","Terri Lynn Jenkins",,Way2growchildcarecenterOperator@hotmail.ca,"(709) 532-4519","5 Water Street",Yes
"Wee Gems Daycare","Mount Pearl","April Bishop",,gailbugden@nf.sympatico.ca,"(709) 368-1211","37 Yetman Drive",Yes
"Wonder Years Preschool and Daycare #1",Holyrood,"Charlotte Warford",,wonder.years2018@gmail.com,"(709) 231-2372","2 Seabreeze Drive",Yes
"Wonder Years Preschool and Daycare #2",Holyrood,"Olivia Earle",,,"(709) 231-2373","2 Seabreeze Drive",Yes
"YMCA  After School Program - C.C. Loughlin","Corner Brook","Carolyn Wheeler",www.ymcanl.com/children.php,amy.young@wnl.ymca.ca,"(709) 639-9676","1 Citadel Drive",Yes
"YMCA After School Program - J.J. Curling","Corner Brook","Tiffany Sampson",www.ymcanl.com/children.php,amy.young@wnl.ymca.ca,"(709) 639-9676","50 Woodbine Avenue",Yes
"YMCA After School Program - Kinsmen Centre","Corner Brook","Caroline Newman",www.ymcanl.com/children.php,amy.young@wnl.ymca.ca,"(709) 639-9676","45 St. Marks Avenue",Yes
"YMCA After School Program - Sacred Heart","Corner Brook","Carolyn  Wheeler",www.ymcanl.com/children.php,amyyoung.ymca@gmail.com,"(709) 639-9676","473 Curling Street",Yes
"YMCA Afterschool Care Program","Grand Falls-Windsor","Tracy Jenkins",www.exploitsvalleyymca.ca/childcare/,shirley.shea@ev.ymca.ca,"(709) 489-4472","18A  St. Catherine Street",Yes
"YMCA Child Care Centre","St. John's","Lori-Ann Evans",www.ymcanl.com/children.php,olga.sullivan@nl.ymca.ca,"(709) 754-2961","35 Ridge Road",Yes
"YMCA Children's Learning Centre","Grand Falls-Windsor","Helen Downton",www.exploitsvalleyymca.ca/childcare/,shirley.shea@ev.ymca.ca,"(709) 489-7413","13A Prices Avenue",Yes
"YMCA Connections - Lunch and Afterschool Program","Grand Falls-Windsor","Michelle Cooke",www.exploitsvalleyymca.ca/childcare/,shirley.shea@ev.ymca.ca,"(709) 489-9622","20 St. Catherine Street",Yes
"YMCA Connections 2","Grand Falls-Windsor","Jennifer Tulk",www.exploitsvalleyymca.ca/childcare/,shirley.shea@ev.ymca.ca,"(709) 489-0800","20A St. Catherine Street",Yes
"YMCA Playing to Learn Preschool Kinsmen Centre","Corner Brook","Carolyn Wheeler",www.ymcanl.com/children.php,amyyoung.ymca@gmail.com,"(709) 639-9676","45 St. Marks Avenue",Yes
"YMCA School Age Child Care - Bishop Field Elementary","St. John's","Jody Evoy",,olga.sullivan@nl.ymca.ca,"(709) 754-2962","44 Bond Street",Yes
"YMCA School Age Child Care - Cowan Heights Elementary","St. John's","Wanda  Maidment",,olga.sullivan@nl.ymca.ca,"(709) 754-2962","100 Canada Drive",Yes
"YMCA School Age Child Care - Elizabeth Park Elemenatry",Paradise,"Sean Evans",www.ymcanl.com/children.php,olga.sullivan@nl.ymca.ca,"(709) 754-2962","80 Ellesmere Avenue",Yes
"YMCA School Age Child Care - Holy Trinity Elementary",Torbay,"Emily Abbott",www.ymcanl.com/children.php,olga.sullivan@nl.ymca.ca,"(709) 754-2961","10 Doyle's & Quigleys Lane",Yes
"YMCA School Age Child Care - Mary Queen of the World Parish","Mount Pearl","Winnie Cowan",www.ymcanl.com/children.php,olga.sullivan@nl.ymca.ca,"(709) 764-2961","775 Topsail Road",Yes
"YMCA School Age Child Care - Octagon Pond",Paradise,"Nathaniel  Wilkins",www.ymcanl.com/children.php,olga.sullivan@nl.ymca.ca,"(709) 754-2961","11 Sgt Donald Lucas Drive",Yes
