,Nom de l'installation,Région administrative,Adresse,Municipalité,Code postal,Téléphone,Télécopieur,Adresse courriel,Type de service de garde,Places totales au permis,Places 17 mois ou moins,Place à contribution réduite,Territoire couvert,Places totales à l'agrément,Nombre de RSG reconnues
20,L'ÉVEIL DES CHÉRUBINS,1 - Bas-Saint-Laurent,"30, rue Saint-Laurent Ouest",Rimouski,G5L 8B4,(418) 725-4332,(418) 725-4377,eveil95@globetrotter.net,CPE,70.0,10.0,CR,,,
21,LA TRÂLÉE DES PRÉS,1 - Bas-Saint-Laurent,"350, rue Arthur-Buies Est",Rimouski,G5M 0C6,(418) 723-4004,(418) 725-5645,latraleeadmin@cgocable.ca,CPE,80.0,20.0,CR,,,
22,LA TRÂLÉE DU PARC,1 - Bas-Saint-Laurent,"209, rue Tessier",Rimouski,G5L 8X9,(418) 723-4004,(418) 725-5645,latraleeadmin@cgocable.ca,CPE,80.0,10.0,CR,,,
23,LES FARFADETS DE LA POINTE INC.,1 - Bas-Saint-Laurent,"365, avenue de la Jeunesse",Rimouski,G5M 1J2,(418) 722-8311,(418) 721-6282,farfadets@cgocable.ca,CPE,80.0,10.0,CR,,,
24,LA RIBAMBELLE,1 - Bas-Saint-Laurent,"33, rue des Pins Est",Rivière-Bleue,G0L 2B0,(418) 893-7276,(418) 893-7276,cperdl@cperdl.com,CPE,21.0,5.0,CR,,,
25,LA CLÉ DES BOIS,1 - Bas-Saint-Laurent,"135, rue Frontenac",Rivière-du-Loup,G5R 6E3,(418) 862-1117,(418) 862-6900,maryeve.gauvin@cpejardinsjolis.com,CPE,70.0,10.0,CR,,,
26,LA LICORNE,1 - Bas-Saint-Laurent,"61, rue Alexandre",Rivière-du-Loup,G5R 2W4,(418) 862-7553,(418) 862-1730,cperdl@cperdl.com,CPE,34.0,0.0,CR,,,
27,LA PASSERELLE DES P'TITS MOUSSES,1 - Bas-Saint-Laurent,"121, rue Thomas-Jones",Rivière-du-Loup,G5R 0J5,(418) 862-1117,(418) 862-6900,maryeve.gauvin@cpejardinsjolis.com,CPE,44.0,10.0,CR,,,
28,LA RELÈVE DES MOUSSES,1 - Bas-Saint-Laurent,"9, avenue Premier",Rivière-du-Loup,G5R 6C1,(418) 862-1117,(418) 862-6900,maryeve.gauvin@cpejardinsjolis.com,CPE,42.0,10.0,CR,,,
29,LE JARDIN,1 - Bas-Saint-Laurent,"80, rue Frontenac",Rivière-du-Loup,G5R 1R1,(418) 862-7553,(418) 862-1730,cperdl@cperdl.com,CPE,12.0,0.0,CR,,,
30,MI-LOUP,1 - Bas-Saint-Laurent,"57, rue Beaubien",Rivière-du-Loup,G5R 1H6,(418) 862-7553,(418) 862-1730,cperdl@cperdl.com,CPE,74.0,15.0,CR,,,
31,QUENOUILLE ET GRENOUILLE,1 - Bas-Saint-Laurent,"119, rue Thomas-Jones",Rivière-du-Loup,G5R 0J5,(418) 605-1483,(418) 605-1483,cperdl@cperdl.com,CPE,44.0,10.0,CR,,,
32,ÉCOLE MONTESSORI DE RIVIÈRE-DU-LOUP,1 - Bas-Saint-Laurent,"27, rue de Lévis",Rivière-du-Loup,G5R 2R2,(418) 867-3343,,ecolemontessori-rdl@hotmail.ca,GARD,30.0,0.0,,,,
33,CENTRE DE LA PETITE ENFANCE PITATOU,1 - Bas-Saint-Laurent,"499, rue des Mélèzes",Saint-Alexandre-de-Kamouraska,G0L 2G0,(418) 495-5378,(418) 495-5551,cpepitatou@bellnet.ca,CPE,39.0,5.0,CR,,,
34,CENTRE DE LA PETITE ENFANCE LES PETITS SOLEILS MAGIQUES,1 - Bas-Saint-Laurent,"147, rue Lavoie",Saint-Anaclet-de-Lessard,G0K 1H0,(418) 723-4977,(418) 721-3177,cpesoleils@globetrotter.net,CPE,62.0,10.0,CR,,,
35,LA VILLA D'ANTONIN,1 - Bas-Saint-Laurent,"218, rue Principale",Saint-Antonin,G0L 2J0,"(418) 862-7553, poste 102",(418) 863-6435,cperdl@cperdl.com,CPE,80.0,15.0,CR,,,
36,LA ROSE DES VENTS,1 - Bas-Saint-Laurent,"99, rue Claude",Saint-Cyprien,G0L 2P0,(418) 963-3636,,cperdl@cperdl.com,CPE,21.0,5.0,CR,,,
37,GARDERIE LES PETITS BOURDONS,1 - Bas-Saint-Laurent,"5, route 132 Est",Saint-Denis-De La Bouteillerie,G0L 2R0,(418) 498-3541,,servicesalafamille@videotron.ca,GARD,21.0,5.0,CR,,,
38,INSTALLATION DE SAINT-DONAT,1 - Bas-Saint-Laurent,"102, rue des Loisirs",Saint-Donat,G0K 1L0,(418) 739-1223,(418) 739-5109,directiongenerale@cpelespinsons.com,CPE,16.0,0.0,CR,,,
39,GARDERIE DES TROIS POMMIERS,1 - Bas-Saint-Laurent,"12, 13e Avenue",Saint-Fabien,G0L 2Z0,(418) 869-1313,,mariemorneau27@yahoo.ca,GARD,29.0,5.0,,,,
40,SERVICES DE GARDE L'ENFANT JOUE,1 - Bas-Saint-Laurent,"55, rue Principale",Saint-Moïse,G0J 2Z0,(418) 776-2903,(418) 776-5412,cpelenfantjoue@globetrotter.net,CPE,21.0,5.0,CR,,,
41,CENTRE DE LA PETITE ENFANCE PITATOU,1 - Bas-Saint-Laurent,"555, rue Hudon C.P. 3",Saint-Pascal,G0L 3Y0,(418) 492-1378,(418) 492-1493,cpepitatou@bellnet.ca,CPE,57.0,5.0,CR,,,
42,DES P'TITS SOURIRES,1 - Bas-Saint-Laurent,"280, rue Sirois",Saint-Épiphane,G0L 2X0,(418) 862-1117,(418) 862-6900,maryeve.gauvin@cpejardinsjolis.com,CPE,8.0,0.0,CR,,,
43,CENTRE DE LA PETITE ENFANCE LES PINSONS INC.,1 - Bas-Saint-Laurent,"20, rue des Coquillages",Sainte-Luce-Luceville,G0K 1P0,(418) 739-5080,(418) 739-5109,directiongenerale@cpelespinsons.com,CPE,31.0,5.0,CR,,,
44,INSTALLATION SAYABEC,1 - Bas-Saint-Laurent,"6C, rue Keable",Sayabec,G0J 3K0,(418) 536-2006,(418) 536-1818,cpelenfantjoue@globetrotter.net,CPE,31.0,5.0,CR,,,
45,CENTRE DE LA PETITE ENFANCE LA BALEINE BRICOLEUSE,1 - Bas-Saint-Laurent,"566, rue Jean-Rioux",Trois-Pistoles,G0L 4K0,(418) 851-2795,(418) 851-4385,direction@baleinebricoleuse.ca,CPE,41.0,5.0,CR,,,
46,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS""",1 - Bas-Saint-Laurent,"795, rue Commerciale Nord",Témiscouata-sur-le-Lac,G0L 1E0,"(418) 854-0255, poste 500",(418) 854-1077,cpe@cpebccalinours.ca,CPE,50.0,10.0,CR,,,
47,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS"" - INSTALLATION NOTRE-DAME",1 - Bas-Saint-Laurent,"684, rue Bélanger",Témiscouata-sur-le-Lac,G0L 1X0,"(418) 854-0255, poste 501",(418) 940-0688,cpe@cpebccalinours.ca,CPE,42.0,10.0,CR,,,
48,LES SERVICES DE GARDE LA FARANDOLE,1 - Bas-Saint-Laurent,"400, 3e Rue Fraser",La Pocatière,G0R 1Z0,(418) 856-1154,(418) 856-1155,cpe@farandole.ca,MF,,,CR,MRC Kamouraska,223.0,35.0
49,LE CENTRE DE LA PETITE ENFANCE DE MATANE,1 - Bas-Saint-Laurent,"210, avenue d'Amours",Matane,G4W 2X7,(418) 562-9379,(418) 562-9410,cpematanedirection1@gmail.com,MF,,,CR,MRC La Matanie,230.0,33.0
50,CENTRE DE LA PETITE ENFANCE L'AURORE BORÉALE,1 - Bas-Saint-Laurent,"418, rue Rouer",Rimouski,G5L 6J9,(418) 725-7270,(418) 725-4706,cpeborealedg@cgocable.ca,MF,,,CR,MRC Rimouski-Neigette,896.0,119.0
51,CENTRE DE LA PETITE ENFANCE DE RIVIÈRE-DU-LOUP INC.,1 - Bas-Saint-Laurent,"57, rue Beaubien",Rivière-du-Loup,G5R 1H6,"(418) 862-7553, poste 102",(418) 862-1730,cperdl@cperdl.com,MF,,,CR,MRC  Rivière-du-Loup,360.0,67.0
52,SERVICES DE GARDE L'ENFANT JOUE,1 - Bas-Saint-Laurent,"55, rue Principale",Saint-Moïse,G0J 2Z0,(418) 776-2903,(418) 776-5412,cpelenfantjoue@globetrotter.net,MF,,,CR,MRC La Matapédia,290.0,55.0
53,CENTRE DE LA PETITE ENFANCE LES PINSONS INC.,1 - Bas-Saint-Laurent,"20, rue des Coquillages",Sainte-Luce-Luceville,G0K 1P0,(418) 739-5080,(418) 739-5109,directiongenerale@cpelespinsons.com,MF,,,CR,MRC La Mitis,357.0,50.0
54,CENTRE DE LA PETITE ENFANCE LA BALEINE BRICOLEUSE,1 - Bas-Saint-Laurent,"566, rue Jean Rioux",Trois-Pistoles,G0L 4K0,(418) 851-2795,(418) 851-4385,direction@baleinebricoleuse.ca,MF,,,CR,MRC Les Basques,193.0,31.0
55,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS""",1 - Bas-Saint-Laurent,"795, rue Commerciale Nord",Témiscouata-sur-le-Lac,G0L 1E0,"(418) 854-0255, poste 520",(418) 854-6151,cpe@cpebccalinours.ca,MF,,,CR,MRC Témiscouata,344.0,42.0
56,AU PAYS DES BOTTINES,2 - Saguenay - Lac-Saint-Jean,"501, rue Laliberté Est",Alma,G8C 1N1,(418) 343-2588,(471) 343-2471,cpe.info@troispetitspas.net,CPE,39.0,5.0,CR,,,
57,CENTRE DE LA PETITE ENFANCE LA BAMBINERIE,2 - Saguenay - Lac-Saint-Jean,"200, avenue Mcnaughton",Alma,G8B 5S5,(418) 662-3649,(418) 662-2379,info@cpelabambinerie.com,CPE,62.0,0.0,CR,,,
58,CENTRE DE LA PETITE ENFANCE LA BAMBINERIE,2 - Saguenay - Lac-Saint-Jean,"1065, rue Price Ouest",Alma,G8B 0G1,(418) 662-3649,(418) 662-2379,info@cpelabambinerie.com,CPE,36.0,20.0,CR,,,
59,CENTRE DE LA PETITE ENFANCE LES PICASSOS DE L'ÎLE,2 - Saguenay - Lac-Saint-Jean,"121, rue Mistouk",Alma,G8E 2J1,(418) 347-5826,(418) 347-1507,cynthia.paquet@cpepicassos.com,CPE,70.0,10.0,CR,,,
60,CENTRE DE LA PETITE ENFANCE PLEIN SOLEIL,2 - Saguenay - Lac-Saint-Jean,"200, rue Price Ouest",Alma,G8B 4S4,(418) 668-7658,(418) 668-7085,cpepleinsoleil@outlook.com,CPE,80.0,10.0,CR,,,
61,CPE L'ENFANTHÈQUE,2 - Saguenay - Lac-Saint-Jean,"200, rue Alarie Est",Alma,G8B 7G1,(418) 668-6742,(418) 668-0732,cpe@lenfantheque.qc.ca,CPE,68.0,10.0,CR,,,
62,GARDERIE LES ÉTOILES DU LAC,2 - Saguenay - Lac-Saint-Jean,"322, rue Archambeault",Alma,G8B 0L4,(581) 235-6635,,garderieledp@gmail.com,GARD,73.0,15.0,,,,
63,LA GARDERIE URBAINE INC.,2 - Saguenay - Lac-Saint-Jean,"65, rue St-Joseph",Alma,G8B 6V4,"(418) 769-3255, poste 100",,garderieurbaine@gmail.com,GARD,55.0,15.0,,,,
64,ÉCOLE MONTESSORI DU LAC-ST-JEAN,2 - Saguenay - Lac-Saint-Jean,"625, rue de la Gare Ouest",Alma,G8B 4L4,(418) 720-7763,,mariefrance.cote@hotmail.com,GARD,24.0,0.0,,,,
65,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION BÉGIN,2 - Saguenay - Lac-Saint-Jean,"130A, rue Brassard",Bégin,G0V 1B0,(418) 549-7875,(418) 698-0824,lespetitscailloux@videotron.ca,CPE,13.0,5.0,CR,,,
66,"CENTRE DE LA PETITE ENFANCE ""AUX PETITS TRESORS""",2 - Saguenay - Lac-Saint-Jean,"139, rue de la Plaine",Chambord,G0W 1G0,(418) 342-8185,(418) 342-1146,cpepetitstresors@cgocable.ca,CPE,73.0,5.0,CR,,,
67,A chacun son histoire - Chicoutimi ! inc.,2 - Saguenay - Lac-Saint-Jean,"765, rue d'Alma",Chicoutimi,G7H 4E7,(581) 882-0480,,chicoutimi@achacunsonhistoire.com,GARD,78.0,10.0,,,,
68,ACADÉMIE DES MINI-AMOURS,2 - Saguenay - Lac-Saint-Jean,"1411, chemin de la Réserve",Chicoutimi,G7J 0C5,(418) 973-9815,(418) 696-2898,raphaelle.allard@gmail.com,GARD,57.0,15.0,,,,
69,"CENTRE DE LA PETITE ENFANCE ""LES TROTTINEURS"" INC.",2 - Saguenay - Lac-Saint-Jean,"717, rue Jacques-Cartier Est",Chicoutimi,G7H 6A3,(418) 543-7222,(418) 543-3242,stephane.claveau@cpecailloux.com,CPE,80.0,10.0,CR,,,
70,CENTRE DE LA PETITE ENFANCE AUX PETITES JOIES INC.,2 - Saguenay - Lac-Saint-Jean,"290, rue du Séminaire",Chicoutimi,G7H 4J3,(418) 543-0001,(418) 543-1002,cpepj@cpeauxpetitesjoies.com,CPE,62.0,0.0,CR,,,
71,CENTRE DE LA PETITE ENFANCE LA CACHE-CACHE,2 - Saguenay - Lac-Saint-Jean,"250, rue Colbert",Chicoutimi,G7G 1L7,(418) 545-8169,(418) 545-2932,cpelacachecacheab@gmail.com,CPE,80.0,10.0,CR,,,
72,CENTRE DE LA PETITE ENFANCE LA CAJOLERIE,2 - Saguenay - Lac-Saint-Jean,"1165, rue des Carcajous",Chicoutimi,G7J 0A9,(418) 545-8183,(418) 545-6483,cpelacajolerie@videotron.ca,CPE,47.0,5.0,CR,,,
73,CENTRE DE LA PETITE ENFANCE LE JARDIN DE LA RIVIERE INC.,2 - Saguenay - Lac-Saint-Jean,"75, rue Smith Ouest",Chicoutimi,G7J 1C9,(418) 690-2072,(418) 690-5126,direction@cpejardindelariviere.com,CPE,80.0,10.0,CR,,,
74,CENTRE DE LA PETITE ENFANCE LES DÉGOURDIS,2 - Saguenay - Lac-Saint-Jean,"774, rue des Saguenéens",Chicoutimi,G7H 8E5,(418) 690-0040,(418) 690-0050,cpelesdegourdis@bellnet.ca,CPE,68.0,10.0,CR,,,
75,CENTRE DE LA PETITE ENFANCE LES MINIMOUSSES,2 - Saguenay - Lac-Saint-Jean,"789, rue des Étudiants",Chicoutimi,G7H 6M3,(418) 545-8681,(418) 545-8121,cpe@cpeminimousses.ca,CPE,80.0,10.0,CR,,,
76,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION CHICOUTIMI,2 - Saguenay - Lac-Saint-Jean,"210, rue Mézy",Chicoutimi,G7G 1J5,(418) 698-4663,(418) 698-0824,lespetitscailloux@videotron.ca,CPE,75.0,15.0,CR,,,
77,CENTRE DE LA PETITE ENFANCE LES PETITS CAILLOUX INSTALLATION MILIEU ÉTUDIANT,2 - Saguenay - Lac-Saint-Jean,"847, rue Georges-Vanier",Chicoutimi,G7H 4M1,(418) 549-7875,(418) 549-7875,lespetitscailloux@videotron.ca,CPE,21.0,5.0,CR,,,
78,CENTRE DE LA PETITE ENFANCE MIKUENISS,2 - Saguenay - Lac-Saint-Jean,"491, rue Jacques-Cartier Est",Chicoutimi,G7H 1Z9,(581) 532-0727,(581) 532-0705,info@cpemikueniss.ca,CPE,45.0,5.0,CR,,,
79,CPE AU PAYS DES LUTINS,2 - Saguenay - Lac-Saint-Jean,"100, rue Don-Bosco",Chicoutimi,G7H 2Z7,(418) 698-2500,(418) 698-4483,info@cpebcdeslutins.com,CPE,73.0,5.0,CR,,,
80,CPE LA GRANGE AUX LUTINS,2 - Saguenay - Lac-Saint-Jean,"1480, rang Saint-Martin",Chicoutimi,G7H 7J5,(418) 543-4200,(418) 543-1903,info@cpebcdeslutins.com,CPE,29.0,5.0,CR,,,
81,GARDERIE BÉBÉLOUGAS,2 - Saguenay - Lac-Saint-Jean,"101, rue Beaupré",Chicoutimi,G7G 4E5,(418) 543-0969,(418) 543-3752,bebelougas@videotron.ca,GARD,29.0,5.0,CR,,,
82,GARDERIE LES MINIS AMOURS INC.,2 - Saguenay - Lac-Saint-Jean,"1340, chemin de la Réserve",Chicoutimi,G7J 3P7,(418) 696-9815,(418) 696-2898,garderiema@videotron.ca,GARD,49.0,15.0,CR,,,
83,GARDERIE LES PETITES BRICOLES,2 - Saguenay - Lac-Saint-Jean,"460, rue Legrand",Chicoutimi,G7J 3L6,(418) 690-2502,(418) 690-0470,garderielespetitesbricoles@hotmail.com,GARD,31.0,5.0,CR,,,
84,GARDERIE LES ÉTOILES DU PARC,2 - Saguenay - Lac-Saint-Jean,"129, rue Cossette",Chicoutimi,G7J 0G6,(418) 973-6033,,garderieledp@gmail.com,GARD,80.0,15.0,,,,
85,GARDERIE NATURE,2 - Saguenay - Lac-Saint-Jean,"281, rue Pinel",Chicoutimi,G7G 3N7,(514) 712-1139,,info@garderienature.ca,GARD,78.0,10.0,,,,
86,LA PETITE ÉCOLE VISION SAGUENAY,2 - Saguenay - Lac-Saint-Jean,"930, rue Jacques-Cartier Est C.P. 30",Chicoutimi,G7H 7K9,(418) 973-0883,(418) 973-6783,saguenay@petiteecolevision.com,GARD,80.0,0.0,,,,
87,LA PRÉ-MATERNELLE DES MINIS AMOURS,2 - Saguenay - Lac-Saint-Jean,"1340, chemin de la Réserve",Chicoutimi,G7J 3P7,(418) 696-9815,(418) 696-2898,garderiema@videotron.ca,GARD,15.0,0.0,,,,
88,UNIVERS DES MINI-MAGICIENS,2 - Saguenay - Lac-Saint-Jean,"555, boulevard de l'Université",Chicoutimi,G7H 2B1,"(418) 545-5011, poste 2770",,univers@minimagiciens.ca,GARD,12.0,0.0,,,,
89,ÉCOLE MONTESSORI DU SAGUENAY INC.,2 - Saguenay - Lac-Saint-Jean,"700, rue Racine Est",Chicoutimi,G7H 1V2,(418) 690-1661,,emsaguenay@hotmail.com,GARD,36.0,0.0,,,,
90,CENTRE DE LA PETITE ENFANCE CROQUE-LUNE,2 - Saguenay - Lac-Saint-Jean,"175, avenue de la Fabrique",Dolbeau-Mistassini,G8L 6A9,(418) 276-6679,(418) 276-8022,croquelune@hotmail.com,CPE,60.0,5.0,CR,,,
91,CENTRE DE LA PETITE ENFANCE LES RENARDEAUX,2 - Saguenay - Lac-Saint-Jean,"124, avenue des Chutes",Dolbeau-Mistassini,G8L 3X7,(418) 276-8818,(418) 276-9900,cpelesrenardeaux@hotmail.com,CPE,52.0,10.0,CR,,,
92,GARDERIE LES PETITS BOUTS DE CHOUX,2 - Saguenay - Lac-Saint-Jean,"194, avenue Jean-Dolbeau",Dolbeau-Mistassini,G8L 3J6,(418) 276-7636,(418) 276-5465,maryse@petitsboutsdechoux.ca,GARD,80.0,10.0,CR,,,
93,GARDERIE LA PETITE FABRIQUE INC.,2 - Saguenay - Lac-Saint-Jean,"165, rue Principale",Girardville,G0W 1R0,(581) 651-8181,,manlap@hotmail.com,GARD,34.0,10.0,,,,
94,CENTRE DE LA PETITE ENFANCE AM STRAM GRAM 2000,2 - Saguenay - Lac-Saint-Jean,"415, rue Turgeon",Hébertville,G8N 1T1,(418) 349-8190,(418) 349-8026,stramgram@cgocable.ca,CPE,21.0,5.0,CR,,,
95,"CENTRE DE LA PETITE ENFANCE ""LE JARDIN ENSANTÉ""",2 - Saguenay - Lac-Saint-Jean,"3641, rue Saint-Bernard",Jonquière,G7X 2T3,(418) 542-9464,(418) 542-0564,direction@cpejardinensante.ca,CPE,80.0,10.0,CR,,,
96,CENTRE DE LA PETITE ENFANCE DE LA SAGAMIE,2 - Saguenay - Lac-Saint-Jean,"3740, rue Panet",Jonquière,G7X 3W1,(418) 542-9862,(418) 542-3589,cpe@cpedelasagamie.com,CPE,80.0,10.0,CR,,,
97,CENTRE DE LA PETITE ENFANCE GARI-GATOU INC.,2 - Saguenay - Lac-Saint-Jean,"2126, rue Burma",Jonquière,G7S 2X6,(418) 548-6573,(418) 548-8882,cpegg@videotron.ca,CPE,78.0,5.0,CR,,,
98,CENTRE DE LA PETITE ENFANCE LA PIROUETTE,2 - Saguenay - Lac-Saint-Jean,"3200, rue Sainte-Émilie",Jonquière,G7S 5Y2,(418) 548-3003,(418) 548-9908,lynn.charest@cpelapirouette.ca,CPE,80.0,10.0,CR,,,
99,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE,2 - Saguenay - Lac-Saint-Jean,"3240, rue du Roi-Georges",Jonquière,G7S 5M9,(418) 548-0809,(418) 548-7163,louisetremblay@cpesourisverte.com,CPE,70.0,10.0,CR,,,
100,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE CENTRE MULTISERVICES ST-JEAN-EUDES,2 - Saguenay - Lac-Saint-Jean,"2182, rue Bonneau",Jonquière,G7S 4B2,(418) 548-0809,(418) 548-7163,louisetremblay@cpesourisverte.com,CPE,21.0,5.0,CR,,,
101,CENTRE DE LA PETITE ENFANCE LA SOURIS VERTE- INSTALLATION ST-LAURENT,2 - Saguenay - Lac-Saint-Jean,"2122, rue du Père-Lalemant",Jonquière,G7X 6H3,(418) 548-0809,(418) 548-7163,louisetremblay@cpesourisverte.com,CPE,21.0,5.0,CR,,,
102,CENTRE DE LA PETITE ENFANCE LES PETITS POUSSINS,2 - Saguenay - Lac-Saint-Jean,"2120, rue Gilbert",Jonquière,G7S 3N6,(418) 548-2247,(418) 548-5520,cpepetitspoussins@qc.aira.com,CPE,80.0,10.0,CR,,,
103,CENTRE DE LA PETITE ENFANCE VERT L'AVENTURE,2 - Saguenay - Lac-Saint-Jean,"3842, boulevard Harvey",Jonquière,G7X 2Z4,(418) 542-9862,,cpe@cpedelasagamie.com,CPE,16.0,0.0,CR,,,
104,EXPLORATOUT INC.,2 - Saguenay - Lac-Saint-Jean,"2540, rue Taillon",Jonquière,G7T 0B4,(418) 412-9412,,exploratout@yahoo.ca,GARD,54.0,0.0,,,,
105,GARDERIE JE T'AIME,2 - Saguenay - Lac-Saint-Jean,"2121, rue Pasteur",Jonquière,G7X 4G7,(418) 547-4077,(418) 547-6074,garderiejetaime@hotmail.com,GARD,37.0,5.0,CR,,,
106,GARDERIE LES P'TITES OREILLES,2 - Saguenay - Lac-Saint-Jean,"3714, boulevard Harvey",Jonquière,G7X 3A5,(581) 684-8386,(581) 684-8386,lespetitesoreilles@outlook.com,GARD,80.0,10.0,,,,
107,GARDERIE LES PETITS MOOSES INC.,2 - Saguenay - Lac-Saint-Jean,"4210, boulevard du Royaume",Jonquière,G7Z 0A2,(418) 542-3000,,garderie_lespetitsmooses@hotmail.com,GARD,21.0,5.0,,,,
108,GARDERIE LEURS PREMIERS PAS 2014 INC.,2 - Saguenay - Lac-Saint-Jean,"3843, rue Colbert",Jonquière,G7X 0E6,(418) 695-9631,,kimy1904@hotmail.fr,GARD,71.0,10.0,,,,
