Name,Prov_Terr,City,Address,Age_Groups,Telephone,
Eden Valley Child Development Centre,Alberta,Black Diamond,Box 809 Black Diamond AB,Infant Toddler Kindergarten Preschool Schoolage,403-558-2404,
Horizon Childcare Ltd.,Alberta,Blackfalds,4914 Broadway Ave. Blackfalds AB,Infant Toddler Kindergarten Preschool,403-885-5518,
Little Star Play School,Alberta,Blackfalds,5009 Broadway Ave Blackfalds AB,Preschool Schoolage,5878777827,
Ashton's Daycare,Alberta,Bowden,2110 23 Ave Bowden Bowden AB,Toddler Kindergarten Preschool Schoolage,506-261-9469,
Piikani Child Care Centre,Alberta,Brocket,PO Box 3059 Brocket AB,Infant Toddler Kindergarten Preschool,403-965-3982,
Alberta Aproved Family Day Home,Alberta,Brooks,47 greenbrook mobile village Brooks AB,Infant Toddler Kindergarten Preschool Schoolage,403-7932816,
Little Children Day Homes. Agency,Alberta,Brooks,12 Lakeview Cres. E. Brooks AB,Infant Toddler Kindergarten Preschool Schoolage,403 4271068,
Wizkid's Afterschool Program,Alberta,Brooks,323 1st Street East Brooks AB,Schoolage,403-409-3595,
Bruderheim Daycare And OSC,Alberta,Bruderheim,4924 51st Ave Bruderheim Bruderheim AB,Toddler Kindergarten Preschool Schoolage,780-616-2933,
Room2Grow Day Home,Alberta,Calgary,42 Street SE Calgary AB,Infant Toddler Kindergarten Preschool Schoolage,587-717-0256,
Kids Avenue Calgary,Alberta,Calgary,835 8 ave SW Calgary AB,Infant Toddler Kindergarten Preschool,587-968-8358,
Claudia's Day Home,Alberta,Calgary,"Cougarstone  Square SW, Calgary, AB Calgary AB",Infant Toddler Kindergarten Preschool,4032025740,
KIDS CAN BE KIDS,Alberta,Calgary,strathcona Calgary AB,Toddler Kindergarten Preschool,403-909-4044,
Ara's Corner Day Home,Alberta,Calgary,311 Prestwick Circle SE Calgary AB,Infant Toddler Kindergarten Preschool Schoolage,4039696372,
Maple Tree Dayhome,Alberta,Calgary,"Masters heights, SE Calgary AB",Infant Toddler Preschool,4034733148,
The Bs Knees Day Home,Alberta,Calgary,Cranston Way SE Calgary AB,Infant Toddler Preschool,587-777-4373,
Lil Ren's Tot Watch,Alberta,Calgary,Cougar Plateau Mews SW Calgary AB,Toddler Kindergarten Preschool Schoolage,4039998979,
Charleswood Day Nursery(2003) Ltd.,Alberta,Calgary,Capri Ave. N.W. Calgary AB,Toddler Kindergarten Preschool,403-2842648,
Twinkle Star Dayhome,Alberta,Calgary,"Evansborough Way, NW Calgary AB",Infant Toddler Preschool,587-717-8844,
(NEW) Huntington Hills Dayhome,Alberta,Calgary,131 Huntington Green NE Calgary AB,Toddler Kindergarten Preschool,403-401-0170,
1st Steps Day Home,Alberta,Calgary,9 ST N.E Calgary AB,Infant Toddler Kindergarten Preschool Schoolage,,
2000 Days Pre-Kindergarten,Alberta,Calgary,5728 1 St SW Calgary AB,Infant Toddler Kindergarten Preschool,403-319-2332,
24 Hour Day Home In Coventry Hills,Alberta,Calgary,112 Covepark way ne Calgary AB,Infant Toddler Kindergarten Preschool,403-663-9287,
24-7 Dayhome -childcare,Alberta,Calgary,287 berwick drive nw Calgary AB,Infant Toddler Preschool,403-275-6758,
3 And Up Kids Club (Acadia Kids),Alberta,Calgary,97 Avenue SE Calgary Calgary AB,Infant Toddler Kindergarten Preschool Schoolage,5874369655,
3 Little Munchies Dayhome,Alberta,Calgary,Prestwick Bay S.E Cagary Calgary AB,Toddler Kindergarten Preschool,403-969-7546,
7days A Week Dayhome,Alberta,Calgary,"Abbeydale,NE Calgary AB",Infant Toddler Kindergarten Preschool,403-472-7209,
Bradie's Dayhome,Alberta,Calmar,#7 Westview Crescent Calmar AB,Infant Toddler Kindergarten Preschool,7809852517,
Country Kids Dayhome,Alberta,Calmar,RR 272 Calmar AB,Infant Toddler Kindergarten Preschool Schoolage,780-985-2022,
Little Blue Stars,Alberta,Canmore,128 Coyote Way Canmore AB,Toddler Kindergarten Preschool Schoolage,403-678-1414,
Little Monkeys Playhome,Alberta,Canmore,Grotto close Canmore AB,Infant Toddler Kindergarten Preschool Schoolage,(403)675-8998,
Marti's Day-Home,Alberta,Canmore,Canyon Close Canmore AB,Infant Toddler Preschool,403-678-5735,
Mountain Munchkin Daycare,Alberta,Canmore,20 Grotto Way Canmore AB,Infant Toddler Kindergarten Preschool,14036785268,
P A N J U L I A Playcare,Alberta,Canmore,Eagle Terrace Road Canmore AB,Infant Toddler Kindergarten Preschool Schoolage,403-688-0504,
Rockies Playhome,Alberta,Canmore,Spring Creek Drive Canmore AB,Infant Toddler,587 361 4528,
Wendy`s Day Home,Alberta,Cayley,207 Cayley AB,Infant Toddler Preschool,403-395-3750,
Affordable Dayhome In Chestermere,Alberta,Chestermere,244 Wintermere dr Chestermere AB,Infant Toddler Kindergarten Preschool Schoolage,420-313-4339,
Amanda's Dayhome,Alberta,Chestermere,371 Marina Drive Chestermere AB,Infant Toddler Kindergarten Preschool Schoolage,403-861-3059,
Amy's Dayhome,Alberta,Chestermere,Stonemere Pl Chestermere AB,Infant Toddler,587-353-4582,
BrightPath Chestermere,Alberta,Chestermere,100 Main Street Chestermere Chestermere AB,Infant Toddler Kindergarten Preschool Schoolage,403-248-6900,
Chestermere Garden's Before And After School Care,Alberta,Chestermere,Kinniburgh Gardens Chestermere AB,Schoolage,403-204-2340,
Chestermere Learning Centre,Alberta,Chestermere,100 Main Street Chestermere AB,Infant Toddler Kindergarten Preschool Schoolage,403-248-6900,
Creative Connections Learning Centre (CCLC),Alberta,Chestermere,"107, 288 Kinniburgh Blvd Chestermere AB",Infant Toddler Kindergarten Preschool Schoolage,403-510-4632,
Dee's Day Home,Alberta,Chestermere,101 Kinniburgh Bay Chestermere AB,Infant Toddler Kindergarten Preschool,4034016218,
Dina'sayhome,Alberta,Chestermere,inveremere Chestermere AB,Toddler Kindergarten Preschool Schoolage,4032074093,
Jen's Day Home,Alberta,Chestermere,345 Windermere Dr Chestermere AB,Infant Toddler Kindergarten Preschool Schoolage,403-204-8887,
Claresholm Child Care Society,Alberta,Claresholm,Box 271 Claresholm AB,Infant Toddler Kindergarten Preschool Schoolage,403-625-4543,
Marianne's Day Home,Alberta,Coaldale,17 Avenue A Coaldale AB,Infant Toddler Kindergarten Preschool Schoolage,4033452524,
Bizzy Beez Dayhome,Alberta,Coalhurst,5301 2nd st Coalhurst AB,Infant Toddler Kindergarten Preschool Schoolage,587-425-2288,
Happy Hippo Day Home,Alberta,Cochrane,Sunset Link Cochrane AB,Infant Toddler Kindergarten Preschool,403-981-6971,
Happy Kids Daycare ~ Dayhome,Alberta,Cochrane,"20 West Broatch place Cochrane, AB Cochrane AB",Infant Toddler Kindergarten Preschool Schoolage,403-708-8476,
Home Away From Home Childcare,Alberta,Cochrane,Willow Green Cochrane AB,Infant Toddler Preschool,587-999-2740,
Kids And Company Cochrane,Alberta,Cochrane,101 Sunset Drive Unit 633 Cochrane AB,Infant Toddler Kindergarten Preschool Schoolage,403.981.1242,
Suzy's Dayhome,Alberta,Cochrane,river heights green Cochrane AB,Infant Toddler Preschool Schoolage,403-851-4612,
Angel Kisses Day Home,Alberta,Crossfield,crossfield Crossfield AB,,,
Charity's,Alberta,Crossfield,Sunset Heights Crossfield AB,Infant Toddler,403-941-8987,
Devon Dayhome,Alberta,Devon,Devon Devon Devon AB,Infant Toddler Kindergarten Preschool,780-660-5285,
K's Little Blossoms Dayhome,Alberta,Devon,Kananaskis drive Devon AB,Infant Toddler Kindergarten Preschool,7802893069,
Michelle's Place,Alberta,Devon,Highwood Blvd Devon AB,Infant Toddler Kindergarten Preschool Schoolage,(780)987-4220,
Sarah H's Day Home,Alberta,Devon,Michigan Key Devon AB,Infant Toddler Kindergarten Preschool Schoolage,780-913-7003,
Shelley's Dayhome,Alberta,Devon,Athabasca Acres Devon AB,Infant Toddler Kindergarten Preschool Schoolage,780-242-2830,
Sunbeams Home Childcare,Alberta,Devon,Birchwood Drive Devon AB,Infant Toddler Kindergarten Preschool Schoolage,780-987-5873,
Budding Geniuses- Great Beginnings Never End!,Alberta,Didsbury,66 Sandpiper Drive Didsbury AB,Infant Toddler Kindergarten Preschool Schoolage,587 586 8335,
Dawley Dayhome,Alberta,Didsbury,46 Southridge Cresent Didsbury AB,Toddler Preschool,403-335-2841,
Heather's DayHome,Alberta,Didsbury,1427 Ave - 18 street Didsbury AB,Toddler Kindergarten Preschool Schoolage,403 518-8982,
Purdy's Play And Grow,Alberta,Didsbury,23rd Ave Didsbury AB,Infant Toddler Kindergarten Preschool Schoolage,403-439-0185,
Christina's Dayhome,Alberta,Drayton Valley,49 Street Drayton Valley AB,Toddler Kindergarten Preschool Schoolage,(587) 897-0375,
Little Explorers Child Care And Discovery Centre,Alberta,Drumheller,245 3rd Street W Drumheller AB,Infant Toddler Kindergarten Preschool Schoolage,403.856.8111,
"Day Care Terwillegar Early Years Day Home Close To Windermere, Riverbend,Am",Alberta,Edmonton,"6835,speaker vista nw edmonton Edmonton AB",Toddler Kindergarten Preschool,780-988-6263,
Belle Rive Accredited Day Home,Alberta,Edmonton,161 89st Edmonton AB,Infant Toddler Kindergarten Preschool Schoolage,7809083355,
Bumble Bee Child Care Centre,Alberta,Edmonton,11028 106 ave Edmonton AB,Infant Toddler Kindergarten Preschool,780 802 3416,
Busy Kids Child Care Centre,Alberta,Edmonton,12621 153 Ave Edmonton AB,Infant Toddler Kindergarten Preschool,(780) 966-2172,
McLeod Day Care,Alberta,Edmonton,5914 153 Ave Edmonton AB,Infant Toddler Kindergarten Preschool,780 722 8660,
24-7 CHILDCARE CANADA INC,Alberta,Edmonton,15612 97 Avenue Edmonton AB,Infant Toddler Kindergarten Schoolage,7808192914,
6Buttons - Accredited Family Day Home,Alberta,Edmonton,Calderon Cres NW Edmonton AB,Infant Toddler Kindergarten Preschool,(587) 408-3606,
A B C Day Care Centre,Alberta,Edmonton,13586 Fort Road Edmonton AB,Infant Toddler Kindergarten Preschool Schoolage,780-476-2596,
A Londonderry Dayhome,Alberta,Edmonton,7212 139 Avenue NW Edmonton AB,Infant Toddler Kindergarten Preschool Schoolage,7808639260,
Abc Child Development Centre,Alberta,Edmonton,11411 40 Avenue Edmonton AB,Infant Toddler Kindergarten Preschool Schoolage,780-434-9261,
Accredited Dayhome On The Northside Of Edmonton,Alberta,Edmonton,155ave and 133st Edmonton AB,Infant Toddler Kindergarten Preschool,7804887774,
Ages And Stages Early Learning And Care,Alberta,Edmonton,5955 199 St Edmonton AB,Infant Toddler Kindergarten Preschool Schoolage,(780) 481-3359,
Alberta Approved Family Day Home In Meadows,Alberta,Edmonton,30 Ave NW Edmonton AB,Infant Toddler Preschool,7809947921,
ALEF BET JEWISH DAYCARE,Alberta,Edmonton,Wolfwillow Rd Edmonton AB,Toddler Kindergarten Preschool,780-483-1028,
Allen Gray Child Development,Alberta,Edmonton,5005 28 Avenue Edmonton AB,Infant Toddler Kindergarten Preschool Schoolage,780-469-9606,
Day Care Home Provide Near St. Martha School In Timblea,Alberta,Fort Mcmurray,44 milinnum gate Fort McMurray AB,Infant Kindergarten Preschool,7917156,
Dianna's Early Learning And Care,Alberta,Fort Mcmurray,Dickensfield Fort Mcmurray AB,Toddler Kindergarten Preschool,5876466498,
Rhoda- Providing Occasional Childcare!,Alberta,Fort Mcmurray,102 Cartier Rd. Timberlea Fort McMurray AB,Infant Toddler Kindergarten Preschool Schoolage,780 743 2542,
Twinkle Toes DayHome,Alberta,Fort Mcmurray,313 Millennium Dr Fort Mcmurray AB,Infant Toddler Kindergarten Preschool Schoolage,7807995059,
Gibbons Family Dayhome,Alberta,Gibbons,44 ave Gibbons AB,Infant Toddler Kindergarten Preschool Schoolage,7809232927,
Be More Montessori Learning Academy,Alberta,Grande Prairie,88a Street Grande Prairie AB,Infant Toddler Kindergarten Preschool,,
Scribbles And Giggles Family Day Home,Alberta,Grande Prairie,86 A Street Grande Prairie AB,Preschool,,
Healthy Living DayHome,Alberta,Grimshaw,49 ave Grimshaw AB,Infant Toddler Kindergarten Preschool Schoolage,(403)7403460,
Andrea's DayHome,Alberta,High River,10th ave s.e. High River AB,Infant Toddler Kindergarten Preschool Schoolage,403-652-3412,
Chealsey's Day Home,Alberta,High River,215 Sunrise Terrace N.E. High River AB,Infant Toddler Kindergarten Preschool,403-816-3217,
Cynthia Deans - Open Arms Dayhome,Alberta,High River,1408 Montrose Terrace SE High River AB,Infant Toddler Kindergarten Preschool,403-652-4484,
High Country Kids Dayhome,Alberta,High River,2090 High Country Rise NW High River AB,Infant Toddler Preschool,403 6010156,
High River DayCare,Alberta,High River,1006 11 Ave. SE High River AB,Infant Toddler Kindergarten Preschool Schoolage,403-652-3352,
Hippity Hop Dayhome,Alberta,High River,466 Ave Eas High River AB,Infant Toddler Kindergarten Preschool Schoolage,(403)880-0037,
Nicki's House Day Home,Alberta,High River,1718 High Park Drive NW High River AB,Infant Toddler Preschool,403 603 3172,
Rae Of Sunshine Dayhome,Alberta,High River,422 High Park Blvd. NW High River AB,Infant Toddler Preschool,403-486-2662,
Vi's Daycare,Alberta,High River,riverside dr nw High River AB,Infant Toddler,403-601-2532,
Vis Dayhome,Alberta,High River,river side dr High River AB,Infant Toddler,403 601 2532,
Brenda's Day Home,Alberta,Hinton,collinge road Hinton AB,Infant Toddler Preschool,780 740 0008,
Explore And Discover Child Care Center,Alberta,Hinton,143 Erith Drive Hinton AB,Infant Toddler Kindergarten Preschool Schoolage,780-817-0329   explorediscover2020@gmail.com,
Hinton Children's Learning Centre,Alberta,Hinton,805 Switzer Dr. Hinton AB,Toddler Kindergarten Preschool Schoolage,780-865-4005,
Lamont Day Home,Alberta,Lamont,4932 48ave Lamont AB,Infant Toddler Kindergarten Preschool Schoolage,(780)895-1029,
A 2 Z Day Home,Alberta,Langdon,Hanson Dr NE Langdon AB,Infant Toddler Kindergarten Preschool,403-936-8677,
All For Fun Family Day Home,Alberta,Langdon,Vander-velde Place Langdon AB,Kindergarten Preschool,403-998-3661,
Beansprout's Day Home,Alberta,Langdon,Boulder Creek Drive Langdon AB,Infant Toddler Preschool,0,
Busy Bee's Day Home,Alberta,Langdon,Wenstrom Langdon AB,Toddler Kindergarten Preschool Schoolage,,
Child Care,Alberta,Langdon,Barber St Langdon AB,Toddler Preschool,4033708071,
Corrine's Dayhome,Alberta,Langdon,Railway Cres SE Langdon AB,Toddler Kindergarten Preschool,403-936-0496,
Dannielle's Day Home,Alberta,Langdon,Boulder Creek Langdon AB,Toddler Kindergarten Preschool Schoolage,403-901-7111,
Dayhome,Alberta,Langdon,Douglas ave Langdon AB,Infant Toddler Kindergarten Preschool Schoolage,403-467-3832,
Deb's Dayhome,Alberta,Langdon,Boulder Creek Drive Langdon AB,Toddler Kindergarten Preschool,4039360167,
Bentley's Buddie's Dayhome,Alberta,Leduc,Aspen Drive East Leduc AB,Infant Toddler Preschool,780-265-4630,
Bentley's Buddies - Leduc,Alberta,Leduc,Aspen Drive East Leduc AB,Infant Toddler Preschool,780-257-1815,
Dawn's Day Home,Alberta,Leduc,53 ave Leduc AB,Kindergarten Preschool Schoolage,780-974-8818,
Dee's Private Home Daycare,Alberta,Leduc,Sheppard Circle Leduc AB,Infant Toddler Kindergarten Preschool Schoolage,,
Diana's Darlings,Alberta,Leduc,52 Street Leduc AB,Infant Toddler Preschool,780-739-0222,
Dragonflies And Dreams,Alberta,Leduc,Arndt Court Leduc AB,Infant Toddler Kindergarten Preschool Schoolage,7808879855,
Global Childcare Centre,Alberta,Leduc,5007 49th Avenue Leduc AB,Infant Toddler Kindergarten Preschool Schoolage,780-980-9700,
Growing Minds,Alberta,Leduc,Alton Drive Leduc AB,Kindergarten Preschool,780-9961242,
Jack And Jill Playschool,Alberta,Leduc,5212 50th Street Leduc AB,Preschool,(780)739-JILL,
Julias Home Away From Home,Alberta,Leduc,southwick way Leduc AB,Infant Toddler Preschool,780 986 2377,
Les Chatons,Alberta,Legal,4218 50 avenue Legal AB,Infant Toddler Kindergarten Preschool Schoolage,780-916-3248,
Les Chatons,Alberta,Legal,4218 50 Avenue Legal AB,Toddler Preschool Schoolage,780-916-3248,
A Childs Second Look Daycare Center,Alberta,Lethbridge,Mt Burke Blvd Lethbridge AB,Toddler Kindergarten Preschool,403-381-2555,
Caterpillar Clubhouse,Alberta,Lethbridge,Heritage Close West Lethbridge AB,Infant Toddler Kindergarten Preschool Schoolage,403 317 5922,
Discovery Dayhome,Alberta,Lethbridge,621 7 ST S Lethbridge AB,Infant Toddler Kindergarten Preschool Schoolage,403-328-8638,
Great And Small Daycare Inc.,Alberta,Lethbridge,520 18 Street South Lethbridge AB,Infant Toddler Preschool,403-942-7777,
KC's Kids,Alberta,Lethbridge,11 Laval Pl W Lethbridge AB,Toddler Preschool,403-892-2199,
KidZ N' LuvZ Dayhome,Alberta,Lethbridge,1012 19 Street South Lethbridge AB,Infant Toddler Kindergarten Preschool Schoolage,403-388-0906,
Little Owl Childcare,Alberta,Lethbridge,Heritage Close West Lethbridge AB,Infant Toddler Kindergarten Preschool Schoolage,403-317-5922,
Rhondas Family Dayhome,Alberta,Lethbridge,Chilcotin Cres W Lethbridge AB,Infant Toddler Kindergarten Preschool Schoolage,403-327-4518,
SunDance Day Care,Alberta,Lethbridge,226 Mt. Sundance Cres. West Lethbridge AB,Toddler Kindergarten Preschool,(403)942-4100,
University Daycare,Alberta,Lethbridge,4401 University Dr. W. Lethbridge AB,Infant Toddler Kindergarten Preschool Schoolage,403-332-4064,
Apple Blossom Day Homes,Alberta,Medicine Hat,20042 P.O. Box Kensington Medicine Hat AB,Infant Toddler Kindergarten Preschool Schoolage,403-526-8194,
Little Beginnings,Alberta,Medicine Hat,Sprague Way SE Medicine Hat AB,Infant Toddler Kindergarten Preschool,403-594-1147,
Niki's Private DayHome!,Alberta,Medicine Hat,Hunt Crescent NE Medicine Hat AB,Infant Toddler Kindergarten Preschool Schoolage,306-460-0339,
Sunita's Pre-Kindergarten Type Day Home,Alberta,Medicine Hat,20th Ave S>E Medicine Hat AB,Infant Toddler Kindergarten Preschool,403-580-2653,
Tiny Tots,Alberta,Medicine Hat,Somerset Lane Medicine Hat AB,Infant Toddler Kindergarten Preschool Schoolage,,
Kim's Dayhome,Alberta,Millet,51 ave Millet AB,Infant Toddler Preschool,780-382-2008,
Jamie's Day Home,Alberta,Morinville,10010 96 Avenue Morinville AB,Kindergarten Preschool Schoolage,780-572-2212,
Les Petites Grenouilles De Genevieve,Alberta,Morinville,105 street Morinville AB,Infant Toddler Kindergarten Preschool Schoolage,,
Little Monkey's Dayhome,Alberta,Morinville,102 ave Morinville AB,Toddler Kindergarten Preschool Schoolage,780-983-7103,
Peyton's Playhouse,Alberta,Morinville,9611 98A Street Morinville AB,Infant Toddler Preschool,780-668-9344,
Stoney First Nation Childcare Centre,Alberta,Morley,P.O. Box 990 Morley AB,Infant Toddler Kindergarten Preschool Schoolage,403-881-2692,
Wesley Care Bears Childcare Center,Alberta,Morley,P.o. Box 40 Morley AB,Infant Toddler Kindergarten Preschool Schoolage,403-932-1404,
Whitefield Day Care,Alberta,Morley,3644 39 St NE Morley AB,Infant Toddler Kindergarten Preschool Schoolage,403-280-4444,
Whitehorn Playcare,Alberta,Morley,3708 44 Avenue NE Morley AB,Infant Toddler Kindergarten Preschool Schoolage,403-590-0814,
Winston Heights Christian Day Care,Alberta,Morley,403 28 Ave NE Morley AB,Toddler Kindergarten Preschool Schoolage,403-277-9155,
Woodbine Day Care Centre,Alberta,Morley,308 Woodfield Road SW Morley AB,Toddler Kindergarten Preschool Schoolage,403-281-4997,
Ywca Child Care Centre,Alberta,Morley,320 5 Ave SE Morley AB,Infant Toddler Kindergarten Preschool Schoolage,403-232-1594,
Kidz Care,Alberta,Nanton,1414 26 ave Nanton AB,Toddler Kindergarten Preschool,403-646-0202,
Buddy's Place Child Care Center,Alberta,New Sarepta,5013 Centre Ave New Sarepta AB,Kindergarten Preschool,780-886-3515,
New Sarepta Out Of School Care,Alberta,New Sarepta,5013 Centre Avenue New Sarepta AB,Kindergarten Schoolage,780 902 8956,
Little Sunshine Daycare,Alberta,Nisku,2710 5st Nisku AB,Infant Toddler Kindergarten Preschool,780 979 2706,
Noralta Little Tykes Lodge,Alberta,Nisku,2710 5th Street Nisku AB,Infant Toddler Preschool,7809792706,
DONNA'S DAYHOME,Alberta,Okotoks,Crystal Shores Bay Okotoks AB,Infant Toddler,403-383-2529,
Kirsty's Daycare,Alberta,Okotoks,Crystal Ridge Close Okotoks AB,Infant Toddler Kindergarten Preschool Schoolage,403 9715999,
A LOVING DAYHOME,Alberta,Okotoks,Westfall Crescent Okotoks AB,Toddler Kindergarten Preschool,403 - 938 - 4868,
A LOVING DAYHOME,Alberta,Okotoks,Westfall Crescent Okotoks AB,Toddler Kindergarten Preschool,403 - 938 - 4868,
A Stepping Stone Child Care,Alberta,Okotoks,Cimarron Meadows Bay Okotoks AB,Infant Toddler Preschool,403-995-1623,
ABC Dayhome,Alberta,Okotoks,Knowles Place Okotoks AB,Toddler Kindergarten Preschool,4038131276,
Aleksandra's Dayhome,Alberta,Okotoks,Cimarron Blvd Okotoks AB,Toddler Preschool,403995 0433,
Bilingual Okotoks French Dayhome,Alberta,Okotoks,Cimarron blvd Okotoks AB,Toddler Kindergarten Preschool,4039822231,
Bubbles And Mud Puddles,Alberta,Okotoks,Drake Landing Cres Okotoks AB,Infant Toddler Kindergarten Preschool,403-982-7081,
CDDH In Okotoks,Alberta,Okotoks,Westmount Cres Okotoks AB,Infant Kindergarten Preschool,403-939-2028,
Cimarron Loving Dayhome,Alberta,Okotoks,Cimarron blvd Okotoks AB,Toddler Kindergarten Preschool,403-982-2231,
Core Values Family Day Home,Alberta,Okotoks,Cimarron Vista Way Okotoks AB,Kindergarten Schoolage,403.383.4905,
Country Sunflower Dayhome,Alberta,Okotoks,Cimarron Blvd Okotoks AB,Toddler Kindergarten Schoolage,403-995-9688,
Kristine's Bright Beginnings Dayhome,Alberta,Olds,4621 47th Ave. Olds AB,Toddler Kindergarten Preschool,403-791-7282,
Little Foot Dayhome,Alberta,Olds,5221 42 st Olds AB,Toddler Kindergarten Preschool Schoolage,403-618-0367,
Sugar Plum Tree Daycare,Alberta,Peace River,7501 99th Street Peace River AB,Infant Toddler Kindergarten Preschool Schoolage,780-624-1479,
Cindy's Dayhome,Alberta,Red Deer,Oates Green Red Deer AB,,,
"Creative Cubs Dayhome - Quality Childcare In Lacombe, AB",Alberta,Red Deer,Hangingstone Drive Red Deer AB,Infant Toddler Kindergarten Preschool Schoolage,,
Eastview Learning Centre,Alberta,Red Deer,#4 Ellenwood Drive Red Deer AB,Infant Toddler Kindergarten Preschool Schoolage,403-342-0094,
Janeth's Dayhome,Alberta,Red Deer,Openview Close Red Deer AB,Toddler Kindergarten Preschool Schoolage,4033180123,
Kids,Alberta,Red Deer,8 Conway Street Red Deer AB,Infant Toddler Kindergarten Preschool Schoolage,403.986.2234,
Kids And Company Red Deer,Alberta,Red Deer,210 - 8 Conway Street Red Deer AB,Infant Toddler Kindergarten Preschool Schoolage,403.986.2234,
Lotsa'Tots,Alberta,Red Deer,29 Michener Bend Red Deer AB,Infant Toddler Kindergarten Preschool,403-343-8472,
Lotsa'Tots 2,Alberta,Red Deer,12 Michener Blvd Red Deer AB,Infant Toddler Kindergarten Preschool,403-352-7747,
Mommy And Daddy Daycare Centre,Alberta,Red Deer,4813 47 Street Red Deer AB,Infant Toddler Preschool,403-340-3660,
Oriole Park Learning Centre,Alberta,Red Deer,86 Osler Crescent Red Deer AB,Infant Toddler Kindergarten Preschool,403-340-3775,
Little Steps,Alberta,Redwater,4944 53rd street Redwater Redwater AB,Toddler Kindergarten Preschool Schoolage,780 580 2293,
Little Steps Daycare,Alberta,Redwater,4611 54 Ave Redwater AB,Toddler Kindergarten Preschool Schoolage,780 580 2293,
Alyssa's Dayhome,Alberta,Rocky Mountain House,47 Street Rocky Mountain House AB,Toddler Kindergarten Preschool Schoolage,780-666-6189,
Alice Day Home,Alberta,Sherwood Park,124 Newcastle Cresent Sherwood Park AB,Infant Toddler Preschool,780-910-6653,
Cathy's Day Home,Alberta,Sherwood Park,Forrest DR Sherwood Park AB,Toddler Preschool,7804491953,
County Place Early Learning And Care Centre,Alberta,Sherwood Park,922 Ash Street Sherwood Park AB,Infant Toddler Kindergarten Preschool Schoolage,780-417-5008,
Creative Kidlets Day Home,Alberta,Sherwood Park,Brighton Bay Sherwood Park AB,Toddler Preschool,780-640-2556 (Megan),
DAISY BEFORE AND OUT OF SCHOOL CARE LTD.,Alberta,Sherwood Park,151 Crimson Drive Sherwood Park AB,Kindergarten Schoolage,780 966 0087,
Dee's Day Home,Alberta,Sherwood Park,Dalton Close Sherwood Park AB,Infant Toddler Kindergarten Preschool Schoolage,780-416-2611,
Friends Club,Alberta,Sherwood Park,1078 Strathcona Drive Sherwood Park AB,Kindergarten Preschool Schoolage,7807074481,
Grins And Giggles,Alberta,Sherwood Park,34 Connor Lane Sherwood Park AB,Toddler Kindergarten Preschool,780-908-3175,
Joanna's Dayhome,Alberta,Sherwood Park,Foxhaven Area Sherwood Park AB,Infant Toddler Kindergarten Preschool,7806168607,
Marichelle's Summerwood Dayhome,Alberta,Sherwood Park,Sunview Drive Sherwood Park AB,Infant Toddler Kindergarten Preschool Schoolage,780-417-6110,
Belle's Dayhome,Alberta,Smoky Lake,335 Mons lake rd Smoky Lake AB,Infant Toddler Kindergarten Preschool Schoolage,7802214971,
Dayhome,Alberta,Spruce Grove,Ashgrove Bay Spruce Grove AB,Infant Toddler Preschool,,
Doodles Dayhome,Alberta,Spruce Grove,sprucegrove Spruce Grove AB,,,
