,Unnamed: 0,facility,type,community,agegroups,district,address,operator,num_spaces,age,licence_status
38,38,BRIDGE STREET CHILDREN'S ACADEMY,Full-time Centre,Sackville,Infant,Anglophone East,146  Bridge   Street Sackville E4L 3P7 (506) 536-1066,BRIDGE STREET CHILDREN'S ACADEMY INC.,55,"Infant, Preschool",Active
39,39,Bright Beginnings Daycare,Full-time Centre,Fredericton,Infant,Anglophone West,486  Needham   Street Fredericton E3B 1P1 (506) 458-6998,Bright Beginnings Daycare Inc.,51,"Infant, Preschool",Active
40,40,BRIGHT HORIZONS,Full-time Centre,Saint John,Infant,Anglophone South,914  Dever   Road Saint John E2M 4J3 (506) 674-1484,BRIGHT HORIZONS DAYCARE INC.,20,"Infant, Preschool",Active
41,41,Brighter Horizons Preschool & Afterschool Centre,Full-time Centre,Minto,Preschool,Anglophone West,491  Pleasant   Drive Minto E4B 2T4 (506) 327-3030,Brighter Horizon's Preschool and Afterschool Centre Inc.,30,"Preschool, School-age",Active
42,42,Building Blocks Early Education Center,Full-time Centre,Campbellton,Preschool,Anglophone North,34  King   Street Campbellton E3N 1C6 (506) 987-2532,Building Blocks Early Education Center Inc.,22,"Preschool, School-age",Active
43,43,BUILDING BLOCKS PLAYCENTER,Home,Moncton,Infant,Anglophone East,79  Weyburn   Road Moncton E1A 5M5 (506) 874-9139,JANICE LEGER,6,"Infant, Preschool, School-age",Active
44,44,BUILDING FUTURES AFTERSCHOOL ADVENTURE,Full-time Centre,Moncton,Preschool,Anglophone East,178  Albert   Street Moncton E1C 1B2 (506) 384-7529,675708 NB INC.,49,"Preschool, School-age",Active
45,45,BUILDING FUTURES EARLY LEARNING CHILD CARE CENTER,Full-time Centre,Moncton,Infant,Anglophone East,178  Albert   Street Moncton E1C 1B2 (506) 384-7529,675708 NB INC.,60,"Infant, Preschool",Active
46,46,BUTTERFLIES & BUMBLEBEES DAYCARE,Full-time Centre,Saint John,Infant,Anglophone South,A 661  Dever   Road Saint John E2M 4J2 (506) 672-3134,BUTTERFLIES & BUMBLEBEES DAYCARE LTD.,48,"Infant, Preschool",Active
47,47,C.S.E Little Hands-Little Feet C.E.C Inc. 2,Full-time Centre,DSL de Drummond,Preschool,Francophone Nord-Ouest,1036  chemin   Tobique   DSL de Drummond E3Y 2K4 (506) 582-1722,C.S.E Little Hands-Little Feet C.E.C Inc.,55,"Preschool, School-age",Active
48,48,CAUSERIE AMICALE,Full-time Centre,Cocagne,Infant,Francophone Sud,176  chemin   Cormier Cross   Cocagne E4R 2J5 (506) 576-6738,CAUSERIE AMICALE INC.,52,"Infant, Preschool, School-age",Active
49,49,Cedar Brook Early Learning Center of Excellence,Full-time Centre,Fredericton,Infant,Anglophone West,3532  Woodstock   Road Fredericton E3E 1E6 (506) 260-6256,Cedar Brook Early Learning Centre of Excellence Inc,52,"Infant, Preschool",Active
50,50,Cedar Brook Forest School,Full-time Centre,Fredericton,Preschool,Anglophone West,3532  Woodstock   Road Fredericton E3E 1E6 (506) 260-6256,Cedar Brook Forest School Inc.,24,"Preschool, School-age",Active
51,51,CENTENARY QUEEN SQUARE DAYCARE CENTRE,Full-time Centre,Saint John,Infant,Anglophone South,310  Princess   Street Saint John E2L 1L5 (506) 693-8080,CENTENARY QUEEN SQUARE DAYCARE CENTRES INC.,24,"Infant, Preschool",Active
52,52,CENTRE DE JOUR L'EVEIL,Full-time Centre,Moncton,Preschool,Francophone Sud,9  rue   Sainte-Croix   Moncton E1A 3E9 (506) 858-4270,CENTRE DE JOUR L'EVEIL INC.,47,Preschool,Active
53,53,Centre de Soins et ducation Mickey & Minnie,Full-time Centre,Saint-Andr,Infant,Francophone Nord-Ouest,14  avenue   No   Saint-Andr E3Y 0C5 (506) 473-1090,Centre de soins et ducation Mickey & Minnie Inc.,39,"Infant, Preschool",Active
54,54,Centre ducatif Bouge O Max,Part-time Centre,Saint-Andr,Preschool,Francophone Nord-Ouest,438  rue   Levesque   Saint-Andr E3Y 3C7,Centre de soins et ducation Mickey & Minnie Inc.,23,"Preschool, School-age",Active
55,55,Centre ducatif la Marelle Educational Center,Full-time Centre,Dieppe,Preschool,Francophone Sud,1060  chemin   Melanson   Dieppe E1A 7P2 (506) 384-0707,Garderie la Marelle Daycare Inc.,60,"Preschool, School-age",Active
56,56,CENTRE DUCATIF LE PLATINUM,Full-time Centre,Dieppe,Preschool,Francophone Sud,355  rue   Amirault   Dieppe E1A 1G1 (506) 855-9000,CENTRE DUCATIF LE PLATINUM (2015) INC.,60,"Preschool, School-age",Active
57,57,CENTRE DUCATIF L'ENVOL DE DIEPPE,Part-time Centre,Dieppe,Preschool,Francophone Sud,11  ruelle   David   Dieppe E1A 0J7 (506) 384-2361,GILLES LAFRANCE,9,"Preschool, School-age",Active
58,58,Centre ducatif les p'tits crayons 2,Full-time Centre,Dieppe,Infant,Francophone Sud,520  rue   Amirault   Dieppe E1A 1C8 (506) 384-5936,Centre educatif les p'tits crayons (Dieppe) Inc.,34,"Infant, Preschool, School-age",Active
59,59,Centre educatif les p'tits crayons Inc.,Full-time Centre,Memramcook,Infant,Francophone Sud,313  rue   Centrale   Memramcook E4K 1Z9 (506) 334-0252,Centre educatif les p'tits crayons inc.,63,"Infant, Preschool, School-age",Active
60,60,CENTRE DUCATIF MLI MLO,Home,Dieppe,School-age,Francophone Sud,210  rue   Sainte-Therese   Dieppe E1A 1T3 (506) 852-1317,MELISSA ALBERT,9,School-age,Active
61,61,Centre Parascolaire Entre Amis,Part-time Centre,Dieppe,School-age,Francophone Sud,505  rue   Champlain   Dieppe E1A 1P2 (506) 855-2647,La Maison de jeunes  Dieppe Inc.,60,School-age,Active
62,62,Centre Parascolaire Entre Amis Junior,Part-time Centre,Dieppe,School-age,Francophone Sud,505  rue   Champlain   Dieppe E1A 1P2 (506) 855-2647,La Maison de jeunes  Dieppe Inc.,30,School-age,Active
63,63,CENTRE PARASCOLAIRE NOS PETITS CAMARADES,Full-time Centre,Dieppe,School-age,Francophone Sud,386  rue   Amirault   Dieppe E1A 1G3 (506) 854-7412,NOS PETITS CAMARADES (2014) LTE,40,School-age,Active
64,64,"Centre rcratif ""B"" Safari Social",Part-time Centre,Dieppe,School-age,Francophone Sud,55  rue   Englehart   Dieppe E1A 8K2 (506) 386-2262,SOCIAL SAFARI INC.,60,School-age,Active
65,65,Centre rcratif 'A' Safari Social,Full-time Centre,Dieppe,Preschool,Francophone Sud,55  rue   Englehart   Dieppe E1A 8K2 (506) 386-2262,SOCIAL SAFARI INC.,40,"Preschool, School-age",Active
66,66,Centreville Child Care,Full-time Centre,Centreville,Infant,Anglophone West,756  Central   Street Centreville E7K 2M7 (506) 276-4437,Centreville Child Care Inc.,60,"Infant, Preschool, School-age",Active
67,67,Centreville Preschool,Part-time Centre,Centreville,Preschool,Anglophone West,751  Central   Street Centreville E7K 2M6 (506) 276-4437,Centreville Child Care Inc.,10,Preschool,Active
68,68,CHATHAM DAY CARE CENTER,Full-time Centre,Miramichi,Infant,Anglophone North,80  University   Avenue Miramichi E1N 0C6 (506) 773-9779,CHATHAM DAY CARE CENTER INC,60,"Infant, Preschool, School-age",Active
69,69,CHATHAM DAY CARE CENTRE TOO,Full-time Centre,Miramichi,Infant,Anglophone North,21  Hotel Dieu   Street Miramichi E1N 0A5 (506) 773-0993,CHATHAM DAY CARE CENTER INC,45,"Infant, Preschool",Active
70,70,CHERYL'S HOME AWAY FROM HOME DAYCARE,Full-time Centre,Saint John,Infant,Anglophone South,79  Edith   Avenue Saint John E2J 4H3 (506) 696-6443,CHERYL'S HOME AWAY FROM HOME DAYCARE LTD.,45,"Infant, Preschool, School-age",Active
71,71,CHERYL'S HOME AWAY FROM HOME DAYCARE LTD.,Full-time Centre,Saint John,Preschool,Anglophone South,185  Loch Lomond   Road Saint John E2J 3Z6 (506) 639-3096,CHERYL'S HOME AWAY FROM HOME DAYCARE LTD.,17,Preschool,Active
72,72,CHEZ CATHY,Home,Dieppe,Infant,Francophone Sud,447  rue   Avant-Garde   Dieppe E1A 5E6 (506) 874-6860,CHEZ CATHY,6,"Infant, Preschool, School-age",Active
73,73,Chez Gisle,Home,Fredericton,Infant,Francophone Sud,144  Street   Goodine   Fredericton E3B 9H5 (506) 459-0405,Gisle Le Blanc,6,"Infant, Preschool, School-age",Active
74,74,Chickadee Tree ELC,Home,Fredericton,Infant,Anglophone West,11  Perley   Avenue Fredericton E3A 4R6 (506) 262-1436,Laura Hefling,6,"Infant, Preschool, School-age",Active
75,75,Children's Playhouse,Home,Fredericton,Infant,Anglophone West,1466  Woodstock   Road Fredericton E3C 1P3 (506) 454-2744,JOEMANA BORDAGE,6,"Infant, Preschool, School-age",Active
76,76,Cindy's Childcare Centre,Home,Waasis,Infant,Anglophone West,1125  655   Route Waasis E3B 9A4 (506) 429-2948,Cindy Hodgson,6,"Infant, Preschool, School-age",Active
77,77,CLARK'S AFTERSCHOOL ADVENTURES,Home,Miramichi,School-age,Anglophone North,11  Golden Hawk   Drive Miramichi E1N 3J1 (506) 773-7943,KAREN CLARK,9,School-age,Active
78,78,CLASS: CREATIVE LEARNING AFTER SCHOOL SOLUTIONS,Part-time Centre,Sussex,School-age,Anglophone South,25  Duke   Street Sussex E4E 1P8 (506) 434-1234,CLASS: CREATIVE LEARNING AFTER SCHOOL SOLUTIONS,60,School-age,Active
79,79,CLOSE TO HOME DAYCARE,Home,Kingston,School-age,Anglophone South,68  Lake   Road Kingston E5N 1K1 (506) 639-9587,RACHEL SOMMERVILLE,9,School-age,Active
80,80,CLUB 6-12,Part-time Centre,Moncton,School-age,Francophone Sud,140  Street   Botsford   Moncton E1C 4X5 (506) 859-1498,CLUB 6-12 INC.,60,School-age,Active
81,81,CLUB 6-12 PLUS,Part-time Centre,Moncton,School-age,Francophone Sud,140  Street   Botsford   Moncton E1C 4X5 (506) 859-1498,CLUB 6-12 INC.,40,School-age,Active
82,82,CLUB ABC,Part-time Centre,Moncton,School-age,Francophone Sud,83  Street   Drummond   Moncton E1A 2Z3 (506) 857-8999,Stphanie MacMullin Sunzu et Monique Hbert Maillet,15,School-age,Active
83,83,CLUB ANNA-MALENFANT,Part-time Centre,Dieppe,School-age,Francophone Sud,500  rue   Centrale   Dieppe E1A 6V7 (506) 383-8470,LE GARDE AMIS INC.,60,School-age,Active
84,84,Club Des Amis 2,Part-time Centre,Bathurst,School-age,Anglophone North,1125  Highland   Avenue Bathurst E2A 4P7 (506) 543-3807,CLUB DES AMIS HALTE SCOLAIRE INC.,60,School-age,Active
85,85,Club Des Amis 3,Part-time Centre,Bathurst,Preschool,Francophone Nord-Est,840  Street   Grandview   Bathurst E2A 3R7 (506) 547-0084,CLUB DES AMIS HALTE SCOLAIRE INC.,24,"Preschool, School-age",Active
86,86,Club Des Amis 4,Full-time Centre,Bathurst,Infant,Anglophone North,1410  Miramichi   Avenue Bathurst E2A 1Y2 (506) 548-8584,CLUB DES AMIS HALTE SCOLAIRE INC.,60,"Infant, Preschool, School-age",Active
87,87,Club Des Amis 5,Part-time Centre,Bathurst,School-age,Francophone Nord-Est,1255  Drive   Rough Water   Bathurst E2A 1Z2 (506) 548-8584,CLUB DES AMIS HALTE SCOLAIRE INC.,35,School-age,On Hold
88,88,Club Des Amis 6,Full-time Centre,Bathurst,Preschool,Francophone Nord-Est,980  Boulevard   Vanier   Bathurst E2A 3N2 (506) 547-0084,CLUB DES AMIS HALTE SCOLAIRE INC.,60,"Preschool, School-age",Active
89,89,Club Des Amis 7,Full-time Centre,Bathurst,Infant,Francophone Nord-Est,980  Boulevard   Vanier   Bathurst E2A 3N2 (506) 547-0085,CLUB DES AMIS HALTE SCOLAIRE INC.,60,"Infant, Preschool",Active
90,90,Club Des Amis Halte Scolaire,Full-time Centre,Bathurst,Preschool,Francophone Nord-Est,980  Boulevard   Vanier   Bathurst E2A 3N2 (506) 547-0085,CLUB DES AMIS HALTE SCOLAIRE INC.,12,Preschool,Active
91,91,Club Des Amis Terry Fox,Part-time Centre,Bathurst,School-age,Anglophone North,155  Basin   Street Bathurst E2A 6N1 (506) 547-0084,CLUB DES AMIS HALTE SCOLAIRE INC.,45,School-age,Active
92,92,Club Le Marais,Part-time Centre,Dieppe,School-age,Francophone Sud,1620  boulevard   Dieppe   Dieppe E1A 8P5 (506) 380-0777,LE GARDE AMIS INC.,38,School-age,Active
93,93,CLUB SOLEIL,Part-time Centre,Moncton,School-age,Francophone Sud,29  Street   Mcann   Moncton E1A 4S6 (506) 850-6000,Marc Dupuis,15,School-age,Active
94,94,CLUB STE-THRSE 2,Part-time Centre,Dieppe,School-age,Francophone Sud,500  rue   Notre-Dame   Dieppe E1A 5C2 (506) 855-7417,LE GARDE AMIS INC.,30,School-age,Active
95,95,Clubhouse Kids,Home,Hanwell,School-age,Anglophone West,55  Bromley   Avenue Hanwell E3C 1M8 (506) 454-6292,Natalie Foreman,9,School-age,Active
96,96,Coburg Early Learning Child Care Home,Home,Saint John,Infant,Anglophone South,120  Coburg   Street Saint John E2L 3K1 (506) 693-2228,FIRST STEPS HOUSING PROJECT INC,6,"Infant, Preschool, School-age",Active
97,97,COCHRAN'S HOME AWAY FROM HOME DAYCARE,Full-time Centre,Saint John,Infant,Anglophone South,1433  Loch Lomond   Road Saint John E2J 1Z8 (506) 696-6442,COCHRAN'S HOME AWAY FROM HOME DAYCARE LTD.,38,"Infant, Preschool, School-age",Active
98,98,College Hill Early Learning Cooperative Ltd.,Full-time Centre,Fredericton,Infant,Anglophone West,850  Montgomery   Street Fredericton E3B 2X9 (506) 458-2883,College Hill Early Learning Co-operative Limited,60,"Infant, Preschool, School-age",Active
99,99,Co-op Wee Care Daycare Education and Learning Center,Full-time Centre,Fredericton,Infant,Anglophone West,190  Doak   Road Fredericton E3C 2G2 (506) 444-0505,Fredericton Direct Charge Co-op Ltd.,60,"Infant, Preschool",Active
100,100,Country Kids Day Care,Part-time Centre,Riverview,School-age,Anglophone East,148  Hillsborough   Road Riverview E1B 1R6 (506) 860-6572,Country Kids Daycare Ltd.,32,School-age,Active
101,101,Country Kids Learning Center,Full-time Centre,Riverview,Preschool,Anglophone East,142  Hillsborough   Road Riverview E1B 1R6 (506) 860-6572,Country Kids Daycare Ltd.,42,"Preschool, School-age",Active
102,102,Country Kids Preschool,Full-time Centre,Riverview,Infant,Anglophone East,142  Hillsborough   Road Riverview E1B 1R6 (506) 860-6572,Country Kids Daycare Ltd.,58,"Infant, Preschool, School-age",Active
103,103,COURTENAY AVENUE DAYCARE 2018,Full-time Centre,Saint John,Preschool,Anglophone South,133  Courtenay   Avenue Saint John E2J 1N4 (506) 634-8418,COURTENAY AVENUE DAYCARE (2018) INC.,24,"Preschool, School-age",Active
104,104,CPE la Ribambelle en Folie Lte,Full-time Centre,Saint-Lonard,Infant,Francophone Nord-Ouest,11782  Route   144   Saint-Lonard E7E 2M1 (506) 423-6401,Centre de la petite enfance (CPE) La ribambelle en folie Lte,49,"Infant, Preschool",Active
105,105,CPE Les Poussins,Full-time Centre,Clair,Infant,Francophone Nord-Ouest,523  rue   Principale   Clair E7A 2G8 (506) 253-9075,CPE Les Poussins Lte,44,"Infant, Preschool, School-age",Active
106,106,Crafty Corner Childcare Centre,Full-time Centre,Florenceville-Bristol,Infant,Anglophone West,2-1 9160  Main   Street Florenceville-Bristol E7L 2A6 (506) 392-6161,Crafty Corner Childcare Centre,58,"Infant, Preschool, School-age",Active
107,107,Creating Lil' Wonders Daycare,Full-time Centre,Rexton,Infant,Anglophone North,205  Main   Street Rexton E4W 2A9 (506) 523-4434,Creating Wonders Daycare Inc.,16,"Infant, Preschool",Active
108,108,Creating Wonders,Full-time Centre,Rexton,Infant,Anglophone North,203  Main   Street Rexton E4W 2A9 (506) 523-4434,Creating Wonders Daycare Inc.,38,"Infant, Preschool, School-age",Active
109,109,Creative Childcare Early Learning Centre of Excellence,Full-time Centre,Fredericton,Infant,Anglophone West,1691  Lincoln   Road Fredericton E3B 8J7 (506) 459-8458,Creative Childcare Early Learning Center of Excellence Inc,60,"Infant, Preschool, School-age",Active
110,110,Crilley Connections Afterschool Program,Part-time Centre,Oromocto,School-age,Anglophone West,281  Restigouche   Road Oromocto E2V 2H2 (506) 357-9938,Catherine Crilley,24,School-age,Active
111,111,Crilley Connections Child Care,Full-time Centre,Oromocto,Infant,Anglophone West,281  Restigouche   Road Oromocto E2V 2H2 (506) 357-9938,Catherine Crilley,60,"Infant, Preschool, School-age",Active
112,112,CSE/CEC Marika Inc.,Full-time Centre,Grand-Sault/Grand Falls,Infant,Francophone Nord-Ouest,98  chemin   Tobique   Grand-Sault/Grand Falls E3Y 1B9 (506) 475-8525,CSE/CEC MARIKA INC.,53,"Infant, Preschool, School-age",Active
113,113,DALEY DAY CARE 2,Full-time Centre,Moncton,Infant,Anglophone East,99  Highlandview   Road Moncton E1A 2L1 (506) 388-9019,CAROL MCCLUSKEY,39,"Infant, Preschool, School-age",Active
114,114,Dandelion Daycare,Home,Fredericton,Infant,Anglophone West,103  Teak   Drive Fredericton E3A 2H9 (506) 292-0207,MELISSA BANKS,6,"Infant, Preschool, School-age",Active
115,115,Dawson Day Home,Home,Oromocto,Infant,Anglophone West,    Oromocto (709) 728-1190,Taneal Bourden,6,"Infant, Preschool, School-age",Active
116,116,Daycare of Memories,Home,Moncton,Infant,Anglophone East,217  Sumner   Avenue Moncton E1C 8A6 (506) 854-5656,Rachel Mercier,6,"Infant, Preschool, School-age",Active
117,117,DISCOVERY STREET LEARNING CENTER,Home,Dieppe,Infant,Anglophone East,19  Francis   rue Dieppe E1A 7R2 (506) 855-6276,Discovery Street Learning Center Inc.,6,"Infant, Preschool, School-age",Active
118,118,DIVINE MERCY CATHOLIC PRESCHOOL,Part-time Centre,Saint John,Preschool,Anglophone South,30  Douglas   Street Saint John E2K 0G5 (506) 214-5556,DIVINE MERCY CATHOLIC SCHOOL INC.,31,"Preschool, School-age",Active
119,119,Dragonfly Daycare and Afterschool Club,Home,Hanwell,Infant,Anglophone West,46  Milky Way   Drive Hanwell E3C 1M7 (506) 455-4704,LYNNE BROOKS,6,"Infant, Preschool, School-age",Active
120,120,Dufferin Street Afterschool Academy,Part-time Centre,Sackville,School-age,Anglophone East,10  Dufferin   Street Sackville E4L 3W3 (506) 536-1066,BRIDGE STREET CHILDREN'S ACADEMY INC.,60,School-age,Active
121,121,Dunn Learning Academy - Montesorri/Afterschool Program,Full-time Centre,New Maryland,Infant,Anglophone West,572  New Maryland   Highway New Maryland E3C 1K1 (506) 292-1788,Dunn Learning Academy Inc.,60,"Infant, Preschool, School-age",Active
122,122,Dunn Learning Academy I am Special Daycare,Full-time Centre,New Maryland,Infant,Anglophone West,162  Bradshaw   Drive New Maryland E3C 1H3 (506) 455-4667,Dunn Learning Academy Inc.,15,"Infant, Preschool",Active
123,123,Early World of Learning Daycare,Full-time Centre,Minto,Infant,Anglophone West,1052  Northside   Drive Minto E4B 3H7 (506) 327-4551,CLAUDETTE FULTON,37,"Infant, Preschool, School-age",Active
124,124,EARTHLINGS CHILDCARE,Part-time Centre,Moncton,Preschool,Anglophone East,144  Oak Ridge   Drive Moncton E1G 0M2 (506) 878-7554,669315 NB INC.,15,"Preschool, School-age",Active
