,name,address,year,phone,license,age,requirements,details
32,La Garderie du Petit Cheval Blanc,"22 Falcon Drive, Y1A 6C8",none, 633-6566, lcensed for 45 children, infant and older, training exemption in place.,none
33,Nlaye Ndasadaye Daycare,"81D Wilson Drive, Y1A 5R2", since 1999, 667-7012/336-0037/332-0872, licensed for 61 children, infant and older, training compliant, meals available.
34,La Garderie du Petit Cheval Blanc School Age Program,"22 Falcon Drive, Y1A 6C8",none,633-6566,licensed for 45 children,"kindergarten and school-age, French language only",training compliant,meals available.
35,Isabels FDH,"7160 7thAvenue, Y1A 1P9", since 2017, 332-1721, licensed for 6 children, toddler and older, 1 course taken in ECD.,none
36,Lola's FDH,"409 Lowe Street, Y1A 1W7", since 2001, 668-5185,licensed for 10 children, toddler and older, 2 year diploma in ECD.,none
37,Busy Bee FDH,"55 Boswell Crescent, Y1A 4T2", since 2012, 633-2177,licensed for 10 children, infants and older,1 course taken in ECD, meals available.
38,Kidz Retreat FDH,"79 Alsek Road, Y1A 3K5", since 2005, 668-5614, licensed for 10 children, toddler and older, 2 year diploma in ECD.,none
39,Kidz Spot FDH,"112 Alsek Road, Y1A 3K6", since 1984, 667-6728, licensed for 12 children, toddler and older, 1 course taken in ECD, meals available.
40,Footprints FDH,"1 Alsek Road, Y1A 3J6", since 2018, 334-4457, licensed for 12 children," infants and older, extended-hour care",2 year diploma in ECD,meals available.
41,Twittle Bugs FDH,"22 Pelly Road, Y1A 4M1", since 1992, 334-4922, licensed for 12 children, infants and older, 1 course taken in ECD, meals available.
42,Carries House FDH,"43-35 Normandy Road,Y1A 0L4", since 2019, 333-3061, licensed for 8 children, pre-school and older, 2year diploma in ECD.,none
43,Les Petits Anges De Cline,"225-989 Range Road, Y1A 6K1", since 2008, 668-7241,licensed for 8 children, infants and older,1 year taken in ECD program.,none
44,Tammie NickelFDH,"38-200 Lobird Road, Y1A 5V3", since 1996, 332-1039, licensed for 9 children, infants and older, 1 course taken in ECD, meals available.
45,CrystalsFDH,"21 Stope Way, Y1A 0B3",none,335-2128, licensed for 8 children, infants and older, 2year diploma in ECD.,none
46,Cubs DenFDH,"39 Redwood Street, Y1A 4B2", since 2016, 689-0878,licensed for 10 children, infants and older,1 course taken in ECD, meals available.
47,Just Like HomeFDH,"56 Cedar Crescent, Y1A 4P3", since 2017, 335-3142,licensed for 12 children, infants and older,1 course taken in ECD.,none
48,Kopan FDH,"75 Tamarack Drive, Y1A 4Y7", since 1997, 668-7710, licensed for 12 children, infants and older, 2year diploma in ECD, meals available.
49,Koss FDH,"1301 Elm Street, Y1A 4B4", since 2014, 667-6790, licensed for 10 children, infants and older, 2year diploma in ECD, meals available.
