Region,Community,Facility/Program,Infants,Preschooler,School age,Address,Postal Code,Phone,Fax,Email
Qikiqtani ,Kimmirut ,Kimmirut Pairivik Preschool ,0,16,0,P.O. Box 63 ,X0A 0N0 ,939-2221 ,,kimmirutpairivik@outlook.com 
Qikiqtani ,Kinngait ,Saipaaqivik Daycare ,4,24,0,P.O.Box 270 ,X0A 0C0 ,897-8455 ,897-8456 ,saipaaqivik@qiniq.com 
Qikiqtani ,Pangnirtung ,Attagoyuk Illisavik Daycare ,6,4,0,P.O.Box 605 ,X0A 0R0 ,473-8372 ,473-8858 ,kidten@qiniq.com 
Qikiqtani ,Pangnirtung ,Mianiqsivik Pairivik ,4,16,0,P.O. Box 429 ,X0A 0R0 ,473-8889 ,,pairivikdaycare@qiniq.com 
Qikiqtani ,Pond Inlet ,Nassivik Highschool Daycare ,4,6,0,P.O.Box 520 ,X0A 0S0 ,899-6074 ,,
Qikiqtani ,Pond Inlet ,Naurainnuk Daycare ,10,16,0,P.O.Box 339 ,X0A 0S0 ,899-8200 ,899-8201 ,naurainnuk@qiniq.com 
Qikiqtani ,Pond Inlet ,Pirurvik Preschool ,0,20,0,P.O.Box 431 ,X0A 0S0 ,899-8964 ext 2028 ,,pirurvikpreschool@hotmail.com 
Qikiqtani ,Qikiqtarjuaq ,Amaaqtuarvik Daycare ,4,6,0,P.O.Box 4 ,X0A 0B0 ,927-8832 ,,daycareamaaqtuarvik@gmail.com 
Qikiqtani ,Sanikiluaq ,Najuqsivik Daycare ,4,16,0,P.O.Box 138 ,X0A 0W0 ,266-8400 ,266-8175 (school) ,
Qikiqtani ,Sanikiluaq ,Najuqsivik Daycare - Infant Centre ,6,6,0,P.O.Box 138 ,X0A 0W0 ,266-8069 ,266-8175 (school) ,
Kivalliq ,Arviat ,Arviat Aboriginal Head Start ,0,17,0,P.O.Box 260 ,X0C 0E0 ,857-2378 ,857-2622 ,sccc@qiniq.com 
Kivalliq ,Arviat ,Arviat Aboriginal Head Start 2 ,0,17,0,P.O.Box 260 ,X0C 0E0 ,857-2378 ,857-2622 ,sccc@qiniq.com 
Kivalliq ,Arviat ,Shared Care Daycare ,10,21,0,P.O.Box 260 ,X0C 0E0 ,857-2735 ,857-2692 ,sccc@qiniq.com 
Kivalliq ,Arviat ,Shared Care Preschool ,0,20,0,P.O.Box 260 ,X0C 0E0 ,857-2735 ,857-2692 ,sccc@qiniq.com 
Kivalliq ,Baker Lake ,Baker Lake Daycare ,4,20,0,P.O.Box 7 ,X0C 0A0 ,793-2935 ,793-2538 ,bldaycare2018@outlook.com 
Kivalliq ,Chesterfield Inlet ,Siqiniq Daycare ,4,8,0,P.O.Box 76 ,X0C 0B0 ,899-9702 ,899-9703 ,chesterdaycaremanager@hotmail.com 
Kivalliq ,Coral Harbour ,Attiqtait Aboriginal Head Start ,0,16,0,P.O.Box 175 ,X0C 0C0 ,925-8144 ,925-9000 ,atiqtait@qiniq.com 
Kivalliq ,Coral Harbour ,Sivuniksavut Daycare ,6,16,0,P.O.Box 169 ,X0C 0C0 ,925-8036/8035 ,925-8066 ,salliqdaycare@gmail.com 
Kivalliq ,Naujaat ,Naujaat Daycare ,3,16,0,P.O.Box 10 ,X0C 0H0 ,462-4129 ,,
Kivalliq ,Rankin Inlet ,Ajajaa Pairivik ,4,11,0,P.O.Box 868 ,X0C 0G0 ,645-2502 ,645-2503 ,ajajaapairivik@gmail.com 
Kivalliq ,Rankin Inlet ,Ivvavik Daycare ,10,11,0,P.O.Box 886 ,X0C 0G0 ,645-2562 ,,ivvavikdaycare@gmail.com 
Kivalliq ,Rankin Inlet ,Kataujaq Society Daycare ,4,26,0,P.O.Box 344 ,X0C 0G0 ,645-2685 ,645-3691 ,kataujaqdaycare@qiniq.com 
Kivalliq ,Rankin Inlet ,Pulaarvik Kablu Friendship Centre - Rankin Inlet Preschool ,0,10,0,P.O.Box 429 ,X0C 0G0 ,645-2743 ,645-2538 ,pspnrankininlet@hotmail.com 
Kivalliq ,Whale Cove ,Amauti Daycare ,8,12,0,P.O.Box 120 ,X0C 0J0 ,896-9400 ,,amautidaycare@outlook.com 
Kitikmeot ,Cambridge Bay ,Cambridge Bay Childcare Centre ,10,36,0,P.O.Box 1154 ,X0B 0C0 ,983-2523/3211 ,983-2492 ,childcare@qiniq.com 
Kitikmeot ,Cambridge Bay ,Omingmak Preschool ,0,20,0,P.O.Box 16 ,X0B 0C0 ,983-2121 ,,
Kitikmeot ,Gjoa Haven ,Gjoa Haven Aboriginal Head Start ,0,22,0,P.O.Box 220 ,X0B 1J0 ,360-6149 ,360-6204 ,
Kitikmeot ,Gjoa Haven ,Gjoa Haven Child Care Centre ,3,16,0,P.O.Box 200 ,X0B 1J0 ,360-7141 ,360-6309 ,gjoahavendaycare2020@outlook.com 
Kitikmeot ,Kugluktuk ,Kakayak Daycare ,4,24,0,P.O.Box 310 ,X0B 0E0 ,982-3530 ,982-3321 ,kakayakdaycare@gmail.com 
Kitikmeot ,Kugluktuk ,Kugluktuk Aboriginal Head Start ,0,16,0,P.O.Box 148 ,X0B 0E0 ,982-4312 ,982-4415 ,preschool@qiniq.com 
Kitikmeot ,Kugaaruk ,Ilaliuvik Daycare ,7,13,0,P.O.Box 205 ,X0B 1K0 ,769-6133 ,769-6069 ,illaliuvikdaycare@gmail.com 
Kitikmeot ,Kugaaruk ,Kugaaruk Preschool (opening soon) ,0,18,0,P.O.Box 53 ,X0B 1K0 ,769-6211 ,,
Kitikmeot ,Taloyoak ,Innitait Daycare ,7,13,0,P.O.Box 21 ,X0B 1B0 ,561-5683 ,561-5163 ,inniitait@qiniq.com 
Kitikmeot ,Taloyoak ,Taloyoak Aboriginal Head Start ,0,24,0,P.O.Box 9 ,X0B 1B0 ,561-5501 ,561-5036 ,
