,Facility Number,Phone,Region,Area,Neighourhood,School Division,Type of Facility,Age Type,Facility Open On,Total Child Care Spaces,Address,Legal Name
25,50353,(204) 729-0742,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,12,None,Family or Group Child  Care Home *
26,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
27,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
28,101858,(204) 727-4210,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,74,"Unit B - 1129 3rd Street Brandon, MB ",Brandon Friendship Centre Inc.
29,9766,(204) 728-9041,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,36,"836 Lorne Avenue (Ave) Brandon, MB ",Brandon Friendship Centre
30,3045,(204) 728-1749,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,50,"32 Willowdale Crescent Brandon, MB ",Linden's Kid's Klub Inc.
31,101955,(204) 573-5838,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
32,101955,(204) 573-5838,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
33,9321,(204) 728-3275,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,80,"911 26th Street Brandon, MB ",Magical Memories Learning Centre Inc.
34,102001,(204) 573-5789,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
35,102001,(204) 573-5789,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
36,102641,(204) 724-0131,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,12,"11 Dominion Way Brandon, MB ",Megan and Dustin Van Damme
37,101782,(204) 727-0220,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
38,101782,(204) 727-0220,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
39,2110,(204) 727-6650,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,24,"2227 Brandon Avenue (Ave) Brandon, MB ",Child and Family Services of Western Manitoba
40,100291,(204) 730-0475,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
41,100291,(204) 730-0475,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
42,9745,(204) 726-4637,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
43,9745,(204) 726-4637,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
44,100391,(204) 720-1836,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Tammy Chambers
45,1119,(204) 728-9845,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"2227 Brandon Avenue (Ave) Brandon, MB ",Child and Family Services of Western Manitoba
46,9783,(204) 571-6557,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age","Weekdays, Evenings",48,"YMCA Brandon 231 8th Street Brandon, MB",The Young Men's Christian Association of Brandon
47,100492,(204) 571-6559,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,30,"Ecole New Era School M6 - 527 Louise Avenue (Ave) Brandon, MB",Young Men's Christian Association of Brandon
48,101020,(204) 571-6556,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,148,"1525 First Street S Brandon, MB ",The Young Men's Christian Association of Brandon
49,102375,(204) 571-6554,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"77 Whillier Drive Brandon, MB ",The Young Men's Christian Association of Brandon
50,100450,(204) 571-6558,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,34,"B - 565 34th Street Brandon, MB ",The Young Men's Christian Association of Brandon
51,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
52,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
53,9453,(204) 728-4018,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Family or Group Child  Care Home *
54,9814,(204) 573-7281,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
55,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
56,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
57,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
58,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
59,102391,(204) 901-3183,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,Preschool,Weekdays,6,None,Allison Stevens
60,9804,(204) 726-5522,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
61,9453,(204) 728-4018,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Family or Group Child  Care Home *
62,102392,(204) 724-8569,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
63,2186,(204) 725-0968,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre,"Preschool, School Age",Weekdays,56,"303 21st Street Brandon, MB ",BU Early Learning Centre Inc.
64,50801,(204) 729-9378,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"38 Sifton Avenue (Ave) Brandon, MB ",Family or Group Child  Care Home *
65,9209,(204) 728-7282,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
66,100054,(204) 727-4699,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
67,9814,(204) 573-7281,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
68,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
69,50353,(204) 729-0742,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,12,None,Family or Group Child  Care Home *
70,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
71,101955,(204) 573-5838,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
72,102001,(204) 573-5789,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
73,101782,(204) 727-0220,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
74,100291,(204) 730-0475,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
75,9745,(204) 726-4637,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
76,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
77,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
78,9453,(204) 728-4018,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Family or Group Child  Care Home *
79,9814,(204) 573-7281,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
80,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
81,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
82,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
83,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
84,2104,(204) 728-8407,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,20,"3101 Victoria Avenue (Ave) Brandon, MB ",Beginnings Pre-School Inc.
85,2034,(204) 725-2226,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,20,"451 18th Street Brandon, MB ",Brandon Nursery School Inc.
86,102209,(204) 721-0191,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,ROLLING RIVER SCHOOL DIVISION,Centre/Nursery,,Weekdays,10,"440 Richmond Avenue (Ave) Brandon, MB ",Heather Boyce
87,101596,(204) 761-5474,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,20,"1620 Braecrest Drive Brandon, MB ",Here We Grow Nursery School
88,2344,(204) 729-0788,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,24,"205 College Avenue (Ave) Brandon, MB ",Brandon Friendship Centre Inc.
89,100410,(204) 725-0333,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,20,"1105 Louise Avenue (Ave) E Brandon, MB ",Riverview Early Learners Inc
90,101383,(204) 727-8080,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Centre/Nursery,,Weekdays,17,"142 28th Street Brandon, MB ",Tracy Hoglander
91,9804,(204) 726-5522,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
92,9453,(204) 728-4018,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Family or Group Child  Care Home *
93,102392,(204) 724-8569,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
94,50801,(204) 729-9378,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"38 Sifton Avenue (Ave) Brandon, MB ",Family or Group Child  Care Home *
95,9209,(204) 728-7282,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
96,100054,(204) 727-4699,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
97,9814,(204) 573-7281,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
98,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
99,50353,(204) 729-0742,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,12,None,Family or Group Child  Care Home *
100,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
101,101955,(204) 573-5838,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
102,102001,(204) 573-5789,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
103,101782,(204) 727-0220,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
104,100291,(204) 730-0475,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
105,9745,(204) 726-4637,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
106,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
107,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
108,9453,(204) 728-4018,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Family or Group Child  Care Home *
109,9814,(204) 573-7281,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",7,None,Family or Group Child  Care Home *
110,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
111,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
112,50578,(204) 725-3343,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",12,None,Family or Group Child  Care Home *
113,9648,(204) 720-7400,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings, Weekends",7,None,Family or Group Child  Care Home *
0,9804,(204) 726-5522,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
1,2088,(204) 725-8713,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,56,"Room 249 1430 Victoria Avenue (Ave) E Brandon, MB",Assiniboine Early Learning Centre Inc.
2,9453,(204) 728-4018,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,None,Family or Group Child  Care Home *
3,102392,(204) 724-8569,Westman Region,BRANDON WEST,BRANDON WEST,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
4,102654,(204) 725-0968,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,15,"451 18th Street Brandon, MB ",BU Early Learning Centre Inc. Site #3
5,102654,(204) 725-0968,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,15,"451 18th Street Brandon, MB ",BU Early Learning Centre Inc. Site #3
6,1241,(204) 729-8175,Westman Region,BRANDON EAST,BRANDON EAST,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,34,"King George School, Gymnasium 535 B Park Street Brandon, MB",Children's Den Inc.
7,50801,(204) 729-9378,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"38 Sifton Avenue (Ave) Brandon, MB ",Family or Group Child  Care Home *
8,50801,(204) 729-9378,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"38 Sifton Avenue (Ave) Brandon, MB ",Family or Group Child  Care Home *
9,9209,(204) 728-7282,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
10,9209,(204) 728-7282,Westman Region,NORTH HILL,NORTH HILL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
11,9779,(204) 571-6935,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,8,"104 - 1930 1 st Street Brandon, MB ",Community Partnership Committee for Pregnant and Parenting Youth
12,9779,(204) 571-6935,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,8,"104 - 1930 1 st Street Brandon, MB ",Community Partnership Committee for Pregnant and Parenting Youth
13,9578,(204) 725-4307,Westman Region,BRANDON CENTRAL,BRANDON CENTRAL,BRANDON SCHOOL DIVISION,Home,"Infant, Preschool, School Age","Weekdays, Evenings",8,"1340 College Avenue (Ave) Brandon, MB ",Debbie Beaudry
