,EI Code,EI Name,EI Type,Address,EI Designation Date
53,GUAG,University of New Brunswick - Fredericton,University,"8 Bailey Drive,  Room 001,  Fredericton,  New Brunswick,  Canada,  (506) 453-4624",1988-12-21
54,GUAH,University of New Brunswick - Saint John,University,"Financial Services ,  P. O. Box 5050 ,  100 Tucker Park Road ,  Saint John,  New Brunswick,  Canada,  (506) 648-5500",1988-12-21
55,GVAA,New Brunswick Community Colleges - Woodstock,Technical and Vocational,"100 Broadway Street,  Woodstock,  New Brunswick,  Canada,  (506) 325-4400",1988-12-21
56,GVAB,Maritime College of Forest Tech.,Technical and Vocational,"1350 Regent Street,  Fredericton,  New Brunswick,  Canada,  5064580199",1988-12-21
57,GVAD,New Brunswick College of Craft & Design,Technical and Vocational,"PO Box 6000,  Fredericton,  New Brunswick,  Canada,  5064532305",1988-12-21
58,GVAE,New Brunswick Community College - Moncton,Technical and Vocational,"1234 Mountain Road,  Moncton,  New Brunswick,  Canada,  (506) 856-2220",1988-12-21
59,GVAF,CCNB - Campbellton,Technical and Vocational,"C.P. 309,  rue Village,  Campbellton,  New Brunswick,  Canada,  (506) 789-2445",1988-12-21
60,GVAG,CCNB - Edmundston,Technical and Vocational,"225, chemin du Pouvoir,  C.P. 70,  Edmundston,  New Brunswick,  Canada,  (506) 735-2506",1988-12-21
61,GVAI,New Brunswick Community College - St. Andrews,Technical and Vocational,"P.O. Box 427,  99 Augustus Street,  St. Andrews,  New Brunswick,  Canada,  (506) 529-5025",1988-12-21
62,GVAK,New Brunswick Community College - Saint John,Technical and Vocational,"950 Grandview Avenue,  P.O. Box 2270,  Saint John,  New Brunswick,  Canada,  (506) 658-6601",1988-12-21
63,GVAN,CCNB - Bathurst,Technical and Vocational,"C.P. 266,  725, rue du College,  Bathurst,  New Brunswick,  Canada,  (506) 547-2145",1993-11-02
64,GVAO,Moncton Hospital School of Radiologic Technology,Technical and Vocational,"135 Macbeath,  Moncton,  New Brunswick,  Canada,  (506) 857-5111",1988-12-21
65,GVAQ,Saint John School of Radiation Therapy,Technical and Vocational,"400 University Avenue,  Saint John,  New Brunswick,  Canada,  (506) 738-8959",1988-12-21
66,GVAT,CCNB - Dieppe,Technical and Vocational,"505, rue College,  Dieppe,  New Brunswick,  Canada,  (506) 856-2200",1988-12-21
67,GVAU,College de Technologie forestiere des Maritimes,Technical and Vocational,"725, rue du College,  C.P. 266,  Bathurst,  New Brunswick,  Canada,  (506) 546-4176",1988-12-21
68,GVAV,New Brunswick Community College - Miramichi,Technical and Vocational,"P.O. Box 1053,  80 University Avenue,  Miramichi,  New Brunswick,  Canada,  (506) 778-6000",1988-12-21
69,GVAW,New Brunswick Community College - Fredericton,Technical and Vocational,"26 Duffie Drive,  Fredericton,  New Brunswick,  Canada,  (506) 453-3641",1996-05-29
70,GVAZ,CCNB - Peninsule Acadienne,Technical and Vocational,"232A, avenue de l'Église,  Shippagan,  New Brunswick,  Canada,  (506) 336-3073",2001-05-29
