,EI Code,EI Name,EI Type,Address,EI Designation Date
26,FJCK,Heritage College - Cegep,Junior College,"325, boul. Cite des Jeunes,  Gatineau,  Quebec,  Canada,  8197782270",2017-12-06
27,FJCT,Cegep Baie-Comeau,Junior College,"537 Bleau,  Baie-Comeau,  Quebec,  Canada,  (418) 589-5707",2018-02-09
28,FJCY,Centre de Formation Proffessionelle (C.F.P.) Limoilou,Junior College,"2050 8e Ave.,  Quebec,  Quebec,  Canada,  (418) 525-8182",2017-02-28
29,FJDD,Centre de Formation Professionnelle (C.F.P.) Relance,Junior College,"155, Mgr. Ross Ouest,  C.P. 1268,  Chandler,  Quebec,  Canada,  4186893911",2016-12-05
30,FJDF,TAV College,Junior College,"6333 Decarie Boulevard ,  Montreal,  Quebec,  Canada,  (514) 731-2296",2017-02-09
31,FJDO,College Ultra De Montreal,Junior College,"502, 1255 Boulevard,  Robert-Bourassa,  Montreal,  Quebec,  Canada,  5142252540",2016-02-02
32,FJDP,Cegep Garneau,Junior College,"1660 Boulevard de l entente,  Quebec City,  Quebec,  Canada,  4186888310",2016-07-28
33,FJDQ,Ecole de Technologie Superieure,Junior College,"1100 Notre Dame Street West,  Montreal ,  Quebec,  Canada,  5143968800",2018-03-02
34,FJDR,CEGEP de Sherbrooke,Junior College,"475 Rue du Cegep,  Sherbrooke,  Quebec,  Canada,  8195646350",2019-02-14
35,FJDS,Centre de Formation Professionnelle de la Baie-James,Junior College,"265-A Rue Lanctot,  Chibougamau,  Quebec,  Canada,",2019-08-21
36,FJDT,College Salette,Junior College,"3536 Boul. St-Laurent,  Montreal,  Quebec,  Canada,",2019-08-28
37,FJDU,Campus D’Effets Visuels Inc.,Junior College,"226 ave Papineau #105,  Montreal,  Quebec,  Canada,",2020-02-27
38,FJDV,College Air Richelieu,Junior College,"5800 Route De l’Aeroport,  St-Hubert,  Quebec,  Canada,",2020-06-01
39,FPAA,Herzing College (Montreal),Private Institution,"1616 Rene Levesque Blvd.,  Montreal,  Quebec,  Canada,  514-935-7494",2013-07-03
40,FPAF,"CDI College of Business, Technology, Health Care",Private Institution,"416, boulevard de,  Maisonneuve Ouest,  Montreal,  Quebec,  Canada,  5148494757",2018-05-08
41,FPAL,National Theatre School of Canada,Private Institution,"5030 Saint - Dennis,  Montreal,  Quebec,  Canada,  5148427954",1988-12-21
42,FPAN,College O'sullivan de Montreal,Private Institution,"1191, rue de la Montagne,  Montreal,  Quebec,  Canada,  (514) 866-4622",2020-09-16
43,FPBC,Bart College,Private Institution,"751 Cote D'Abraham,  Quebec,  Quebec,  Canada,  (418) 522-3906",2015-12-02
44,FPBH,Lasalle College,Private Institution,"2000 Sainte-Catherine St. W.,  R-D,  Montreal,  Quebec,  Canada,  5149392006",1988-12-21
45,FPBJ,College Lafleche,Private Institution,"1687 Blvd Du Carmel,  Trois-Rivieres,  Quebec,  Canada,  (819) 375-7346",2017-10-18
46,FPBN,College O'sullivan de Quebec,Private Institution,"600 Rue St-Jean,  Quebec,  Quebec,  Canada,  (418) 529-3355",2017-09-01
47,FPBZ,College de L'immobilier du Quebec,Private Institution,"600 Chemin du Golf,  Ile des Soeurs,  Quebec,  Canada,  (514) 762-1862",2020-08-17
48,FPCC,INSTITUT TECHNIQUE AVIRON MTL.,Private Institution,"5460 Royalmount,  Ville Mont-Royal,  Quebec,  Canada,",2009-03-25
49,FPCM,Trebas Institute,Private Institution,"550 Sherbrooke Street West,  6th Floor,  East Tower,  Montreal,  Quebec,  Canada,  5148454141",1988-12-21
50,FPCX,College de Photographie Marsan,Private Institution,"3536 St. Laurent Blvd.,  Montreal,  Quebec,  Canada,  (514) 525-3030",2018-01-31
51,FPCY,College Inter-Dec,Private Institution,"2000 rue Sainte Catherine W,  Suite 8000,  Montreal,  Quebec,  Canada,  5149394444",1988-12-21
52,FPDP,Aviron Quebec Inc.,Private Institution,"270 Blvd. Charest,  Quebec,  Quebec,  Canada,  (418) 529-1321",2013-02-19
53,FPDS,Recording Arts Canada,Private Institution,"390, Notre-Dame Ouest,  Bureau 320,  Montreal,  Quebec,  Canada,  5142864336",1994-09-12
54,FPEE,Ecole de Stenographie Judiciaire du Quebec,Private Institution,"465 rue Saint-Jean,  bureau 505,  Montreal, QC,  Quebec,  Canada,  (514) 954-3459",2020-09-18
55,FPEF,Rosemount Technology Centre,Private Institution,"3737 Beaubien,  Montreal,  Quebec,  Canada,  (514) 376-4725",2018-04-26
56,FPEQ,Ecole National de Cirque,Private Institution,"8181 2nd Ave.,  Montreal,  Quebec,  Canada,  5149820859",2014-09-23
57,FPFE,C.F.P. - Sorel-Tracy,Private Institution,"2725 boul de Tracy,  Sorel-Tracy,  Quebec,  Canada,  4507431285",2016-05-02
58,FPFF,Syn Studio,Private Institution,"460 Saint Catherine West,  #508,  Montreal,  Quebec,  Canada,  5149987625",2016-05-30
59,FPFG,Institut Grasset,Private Institution,"220 Avenue,  Fairmount Ouest,  Montreal,  Quebec,  Canada,  5142774027",2017-02-28
60,FPFH,Centre de Formation Professionnelle de l'ASBESTERIE,Private Institution,"340 Boulevard Morin,  Asbestos,  Quebec,  Canada,  8198790769",2017-08-30
61,FPFI,Centre de Formation Professionnelle de 24 Juin,Private Institution,"2955 Boulevard de lUniversite,  Sherbrooke,  Quebec,  Canada,",2017-11-03
62,FPFJ,Centre de Formation Professionnelle Gabriel Rousseau,Private Institution,"1155, boul Guillaume-Couture,  Levis,  Quebec,  Canada,  4188390508",2018-10-16
63,FPFK,College Universel,Private Institution,"101 Rue Saint Jean Bosco,  Gatineau,  Quebec,  Canada,  8135032400",2018-10-18
64,FPSW,Academie de Massage Scientifique,Private Institution,"1375 rue Janelle,  Drummondville,  Quebec,  Canada,  (819) 475-1996",2016-10-12
65,FPTJ,CDI College - Pointe-Claire,Private Institution,"1000 Boulevard Saint-Jean,  Suite 500,  Pointe-Claire,  Quebec,  Canada,  5147820539",2012-06-29
66,FUAA,Bishop's University,University,"2600 College Street,  Sherbrooke,  Quebec,  Canada,  (819) 822-9600",1988-12-21
67,FUAC,Concordia University,University,"1550 de Maisonneuve Blvd W,  Guy-Metro (GM),  Room 230,  Montreal,  Quebec,  Canada,  5148482424",1988-12-21
68,FUAD,Universite de Montreal,University,"Pavillon J.A. Deseve,  2332 Boul Edouard-Montpetit,  4th Fl. Rm 4302,  Montreal,  Quebec,  Canada,  (514) 343-7076",2006-10-05
69,FUAE,Universite de Montreal School of Veterinary Medicine,University,"C.P. 5000,  St Hyacinthe,  Quebec,  Canada,  5147738521",2016-05-20
70,FUAG,Universite du Quebec a Montreal,University,"Pavillion J.A. DéSève,  Bureau DS-R305,  320 Rue Sainte-Catherine Est,  Montreal,  Quebec,  Canada,  (514) 987-3000",2018-01-08
71,FUAI,Universite du Quebeca Chicoutimi,University,"555 Boul. De L'Universite,  Chicoutimi,  Quebec,  Canada,  (418) 545-5005",2011-02-04
72,FUAJ,Universite du Quebec En Outaouais,University,"101 rue Saint-Jean-Bosco,  station BPO Box 1250,  Gatineau,  Quebec,  Canada,  (819) 773-1680",1988-12-21
73,FUAL,Universite de Sherbrooke,University,"2500 Boul. De L'Universite,  Sherbrooke,  Quebec,  Canada,  8198217684",2018-05-23
74,FUAN,Mcgill University,University,"Macdonald Campus,  Student Services Centre,  21,111 Lakeshore,  Ste-Anne De Bellevue,  Quebec,  Canada,  (514) 398-6013",2018-09-12
75,FUAO,Université du Québec en Abitibi-Témiscamingue,University,"445, boulevard de l'Universite,  C.P. 700,  Rouyn-Noranda,  Quebec,  Canada,  8197620971",2018-08-09
76,FUAQ,Universite du Quebec - Ecole de Technologie Superieur,University,"A/S De Monique Gagnon,  Service D'Aide Financière,  1100, Rue Notre-Dame Ouest,  Montreal,  Quebec,  Canada,  (514) 289-8800",2017-12-05
77,FUAR,HEC Montreal,University,"Côte-Sainte-Catherine Building,  3000 Côte-Sainte-Catherine Rd,  Montréal,  Quebec,  Canada,  5143406000",2018-04-10
78,FUAS,Ecole Polytechnique de Montreal,University,"2900 boul Edourd-Montpetit,  C.P. 6079 Succ. Centre Ville,  Montreal,  Quebec,  Canada,  (514) 340-4711",2014-06-23
79,FUAT,Institut national de recherche scientifiques,University,"490 rue de la Couronne,  Quebec,  Quebec,  Canada,  418-654-4677",2017-12-14
80,FUAU,Universite Laval,University,"Bureau - bourses et aide finan,  Pavillon Alphonse-Desjardins,  2325, rue de l'Université, loc,  Quebec,  Quebec,  Canada,",1988-12-21
81,FUAV,Mcgill University,University,"Blouin-Macbain Student Aid Cnr,  3600 Mctavish St. - Suite 3200,  Montreal,  Quebec,  Canada,  (514) 398-6013",2014-01-16
82,FUAX,Presbyterian College of Montreal,University,"3495 University St.,  Montreal,  Quebec,  Canada,  (514) 288-5256",2016-09-28
83,FUBC,Universite du Quebec Tele Universite,University,"455 Rue Du Parvis,  Quebec,  Quebec,  Canada,  (800) 561-2263",2014-02-03
84,FUBE,Ecole Nationale D'Administration Publique (Enap),University,"4750, Avenue Henri-Julien,  5ieme Etage,  Montreal,  Quebec,  Canada,  (514) 849-3449",2014-08-25
85,FVAB,Institut Maritime du Quebec,Technical and Vocational,"53 St-Germain Ouest,  Rimouski,  Quebec,  Canada,  (418) 724-2822",2018-04-11
86,FVAG,Institut Teccart (2003),Technical and Vocational,"3030, rue Hochelaga,  Montreal,  Quebec,  Canada,  (514) 526-2501",2018-05-16
87,FVAV,Centre de Formation Professionnelle Pavillon de L'Avenir,Technical and Vocational,"65, Rue Sainte-Anne,  Riviere-Du-Loup,  Quebec,  Canada,  4188682286",1991-11-15
88,FVBH,CFP Competences Outaouais,Technical and Vocational,"183 Broadway Ouest,  Gatineau,  Quebec,  Canada,  8196434640",2017-04-18
89,FVBO,Centre de Formation L'Envol,Technical and Vocational,"15 Rue Comeau,  Carleton,  Quebec,  Canada,  (418) 364-7510",2009-06-23
90,FVCA,Centre de Formation Professionel Gabriel-Rousseau,Technical and Vocational,"3724 Avenue_Des Eglises,  Charny,  Quebec,  Canada,  (418) 832-1616",2017-12-15
91,FVCN,Conservatoire de Musique et D'Art Dramatique de Montreal,Technical and Vocational,"4750, Avenue Henri-Julien,  Montreal,  Quebec,  Canada,  (514) 873-4283",2014-10-17
92,FVCT,Eastern Shores School Board,Technical and Vocational,"40 Mount Sorel,  New Carlisle,  Quebec,  Canada,  4187522247",2003-01-06
93,FVCV,Centre de Formation Professionnelle (C.F.P.)Mont-Joli-Mittis,Technical and Vocational,"1414, Rue Des Erables,  Mont-Joli,  Quebec,  Canada,  (418) 775-7577",2016-07-08
94,FVCY,John F. Kennedy Business Centre,Technical and Vocational,"3030 Villeray St,  Montreal,  Quebec,  Canada,",2008-08-14
95,FVCZ,Nova Career Centre,Technical and Vocational,"70 Maple Blvd.,  Chateauguay, Quebec,  Quebec,  Canada,  (450) 691-2540",2016-11-24
96,FVDE,Listuguj Migmag Development Centre,Technical and Vocational,"2 Pacific Dr.,  Listuguj,  Quebec,  Canada,  4187885668",2014-08-11
97,FVDF,Institut de Technologie Agroalimentaire St Hyacinthe,Technical and Vocational,"3230 rue Sicotte,  Saint-Hyacinthe,  Quebec,  Canada,  4507786504",2020-08-18
98,FVDG,Ecole des Metiers du Sud-Ouest de Montreal,Technical and Vocational,"717 Rue Saint Ferdinand,  Montreal,  Quebec,  Canada,",2015-05-21
99,FVDH,Centre de Formation Professionnelle Access,Technical and Vocational,"2121 Darwin Street,  Sainte-Julie,  Quebec,  Canada,",2015-11-13
100,FVDI,Centre Frere Moffet FP,Technical and Vocational,"9 Rue Notre-Dame-de-Lourdes,  Ville-Marie,  Quebec,  Canada,  (819) 629-2144",2015-12-08
101,FVDJ,Centre De Formation Professionnelle Lennoxville Vocational Training Centre,Technical and Vocational,"1700 rue College,  Sherbrooke,  Quebec,  Canada,  8195635627",2016-11-04
102,FVDK,Ecole des Metiers de lequipement Motorise de,Technical and Vocational,"5455 rue Saint Denis,  Montreal,  Quebec,  Canada,  5145965855",2017-05-18
103,FVDL,Cegep Edouard Montpetit,Technical and Vocational,"945 Ch. Chambly,  Longueuil,  Quebec,  Canada,",2019-11-13
104,FVDM,Centre De Formation Professionnelle de Forestville,Technical and Vocational,"34, 11e Rue,  Forestville,  Quebec,  Canada,  (418) 587-4735",2019-12-03
105,FVDN,Centre de formation professionnelle Val-d’or,Technical and Vocational,"700 boul des Pins,  Val-d'Or,  Quebec,  Canada,",2020-01-30
106,FVDO,Centre de Formation Des Metiers De la Sante,Technical and Vocational,"3501 bl Saint-Charles,  Kirkland,  Quebec,  Canada,",2020-04-28
