,EI Code,EI Name,EI Type,Address,EI Designation Date
17,DPCF,Academy of Learning (South),Private Institution,"297 St. Mary's Road,  Winnipeg,  Manitoba,  Canada,  (204) 478-8884",1992-09-17
18,DPCI,Academy of Learning (Winnipeg North),Private Institution,"77 Redwood Avenue,  2nd Floor,  Winnipeg,  Manitoba,  Canada,  (204) 582-9400",1992-12-08
19,DPCK,Wellington College of Remedial Massage Therapies Inc,Private Institution,"435 Berry Street,  Winnipeg,  Manitoba,  Canada,  (204) 957-2402",1994-12-19
20,DPCL,Evolve College of Massage Therapy,Private Institution,"504-1445 Portage Avenue,  Clarion Hotel,  Winnipeg,  Manitoba,  Canada,  (204) 772-8999",1995-02-01
21,DPCP,M.C. College,Private Institution,"575 Wall Street,  Winnipeg,  Manitoba,  Canada,  (204) 786-5081",1996-02-01
22,DPCT,Academy of Learning (Steinbach),Private Institution,"Box 25,  178 Hwy 12 North,  Steinbach,  Manitoba,  Canada,  (204) 326-4188",2010-04-27
23,DPDI,Aveda Institute Winnipeg,Private Institution,"80 Rorie Street,  Winnipeg,  Manitoba,  Canada,  (204) 956-2693",1998-03-06
24,DPDK,Centre for Christian Studies,Private Institution,"60 Maryland Street,  Woodsworth House,  Winnipeg,  Manitoba,  Canada,  204-783-2728",1998-07-23
25,DPDO,"CDI College of Business, Technology & Healthcare",Private Institution,"280 Main Street,  Winnipeg,  Manitoba,  Canada,  (204) 942-1773",1993-03-24
26,DPDV,Yellowquill College,Private Institution,"480 Madison Street,  Winnipeg,  Manitoba,  Canada,  (204) 953-2817",1964-09-23
27,DPEB,Northwest Law Enforcement Academy,Private Institution,"200 -1821 Wellington Avenue,  Winnipeg,  Manitoba,  Canada,  (204) 953-8300",2001-08-27
28,DPEC,Criti Care Emergency Medical Services,Private Institution,"106-386 Broadway,  Winnipeg,  Manitoba,  Canada,  (204) 989-3671",2002-07-30
29,DPED,Millennia Helicopters Ltd.,Private Institution,"28083 North Kildonan RPO,  Winnipeg,  Manitoba,  Canada,  204-230-5423",2010-01-06
30,DPEG,Willis College,Private Institution,"200-464 Hargrave Street,  Winnipeg,  Manitoba,  Canada,  (204) 956-4708",2003-09-25
31,DPEH,CHN College Inc.,Private Institution,"670 Main Street,  Winnipeg,  Manitoba,  Canada,  204-947-5237",2010-04-12
32,DPEK,Mountain City Aviation,Private Institution,"50 Conner Hill Drive,  Morden,  Manitoba,  Canada,",2011-07-26
33,DPEM,The Salon Professional Academy,Private Institution,"260-1395 Ellice Avenue,  Winnipeg,  Manitoba,  Canada,",2013-10-03
34,DPEN,Louis Riel Vocational College,Private Institution,"108-150 Henry Avenue,  Winnipeg,  Manitoba,  Canada,",2015-12-11
35,DPEO,Code of Excellence Training Centre - Local IBEW 2085,Private Institution,"550 Notre Dame Avenue,  Winnipeg ,  Manitoba,  Canada,  204-957-0036",2016-10-05
36,DPEQ,Traditional Chinese Medicine and Acupuncture College of Manitoba,Private Institution,"661 Pembina Highway,  Winnipeg,  Manitoba,  Canada,",2018-07-25
37,DPER,H & Co. Academy Esthetics,Private Institution,"801-10th Street,  Brandon, MB,  Manitoba,  Canada,  2047171700",2019-02-28
38,DUAA,Brandon University,University,"270-18th Street,  ATTN: Karen Stewart,  Brandon,  Manitoba,  Canada,  (204) 728-9699",1967-08-02
39,DUAB,University of Manitoba,University,"Room 422 University Centre,  Winnipeg,  Manitoba,  Canada,  (204) 474-9532",1964-09-23
40,DUAD,University of Winnipeg,University,"515 Portage Avenue,  Awards and Financial Aid Offic,  Winnipeg,  Manitoba,  Canada,  204-789-1420",1967-08-02
41,DUAF,Universite de Saint-Boniface,University,"200 Ave De La Cathedrale,  Saint-Boniface,  Manitoba,  Canada,  (204) 237-1818",1964-09-23
42,DUAK,Canadian Mennonite University,University,"500 Shaftsbury Boulevard,  Winnipeg,  Manitoba,  Canada,  (204) 487-3300",1988-12-21
43,DVAA,Assiniboine Community College,Technical and Vocational,"1430 Victoria Avenue East,  Attention: Bryce Neufeld,  Brandon,  Manitoba,  Canada,  (204) 725-8700",1964-09-23
44,DVAD,Louis Riel School Division Arts and Technology Centre,Technical and Vocational,"5 de Bourmont Avenue,  Winnipeg,  Manitoba,  Canada,  204-237-8951",2009-07-13
45,DVAG,Red River College,Technical and Vocational,"D101-2055 Notre Dame Avenue,  Winnipeg,  Manitoba,  Canada,  (204) 632-3979",1988-12-21
46,DVAQ,Manitoba Institute of Trades and Technology,Technical and Vocational,"7 Fultz Boulevard,  Winnipeg,  Manitoba,  Canada,  204-989-6519",1987-10-02
47,DVAU,R.B. Russell Vocational High School,Technical and Vocational,"364 Dufferin Avenue,  Winnipeg,  Manitoba,  Canada,",2010-12-13
48,DVCR,Manitoba Emergency Services College,Technical and Vocational,"1601 VanHorne Avenue East,  Brandon,  Manitoba,  Canada,  (204) 726-6855",1998-11-23
49,DVCU,St. James-Assiniboia Continuing Education,Technical and Vocational,"470 Hamilton Avenue,  Winnipeg,  Manitoba,  Canada,  (204) 832-9637",2001-05-03
